DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,TA,PA,RH,VPD,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,CO2_SIGMA,H2O_SIGMA,PPFD_IN
1,0.25,0.01199,5.85029999999997,63.5053500000001,14.034725,5.70382099999999,0.59698915,29.328885,26.59993,101.169,100,12.96555,513.3848,33.1243,1.8422875,1.523421,0.75859635,0.8364172,0.0311707872,2.66266448,0
1,0.75,0.0341,9.240625,62.049475,15.8745,4.6944925,0.55079,29.2207875,26.5335625,101.174,100,12.0131,528.0716,32.614995,1.80128375,1.68526875,0.622427875,0.857886375,0.030876608,3.46544016,0
1,1.25,0.02918,7.19024999999998,59.0391,19.2215,4.4469715,0.56415755,29.118035,26.32276,101.168,100,11.2194775,524.41725,32.2983525,1.773009,1.77354,0.69583355,0.73112695,0.029886724,1.424194184,0
1,1.75,0.0272875,5.948875,61.859175,17.1034,4.39758,0.5471195,28.8808125,25.8839,101.166625,100,12.9985025,522.97765,32.317455,1.794365,1.4119975,0.69810225,0.861186125,0.0328278944,4.43991632,0
1,2.25,0.0154625,3.45825,59.17995,14.465525,4.6726725,0.586635625,28.2620625,25.7604625,101.151625,100,10.5240975,515.277075,31.708965,1.78719,1.24689875,0.703684875,0.7358615,0.028514836,2.98199552,0
1,2.75,0.013,3.16800000000001,45.8416,14.1917,4.858974,0.5295934,28.04478,25.41778,101.1362,100,15.11876,524.2297,31.822125,1.712312,1.382524,0.6967106,1.031034,0.033547892,4.76295736,0
1,3.25,0.0160425,4.59509999999995,99.9599999999999,15.733175,4.19745575,0.53502615,27.57823,24.95593,101.14395,100,12.25256,524.01215,31.07992,1.42234325,1.2089515,0.624619249999999,0.851305325,0.0315712096,3.60211263999999,0
1,3.75,0.01031575,14.1527999999999,85.9984999999999,14.56765,4.1338205,0.532530125,27.690805,25.2482225,101.140275,100,9.5020555,530.18525,30.903715,1.715311,1.63703225,0.651389975,0.808717775,0.030548728,3.52273264,0
1,4.25,0.0183224999999999,6.30127499999995,59.448075,17.770875,4.39053425,0.573896974999999,27.1816575,24.8647275,101.1493,100,14.730215,535.3464,30.2206075,1.770184,1.7344425,0.736196599999999,0.866383849999997,0.026032384,3.34977944,0
1,4.75,0.03018,8.34080000000001,106.709175,13.47845,4.58211,0.5540726,27.09078,25.35896,101.165,100,13.570195,528.95235,29.9960025,1.627924,1.378194,0.6554848,0.693384600000001,0.0329923384,3.74639327999999,0
1,5.25,0.0137,5.884,161.729249999999,17.415,4.812376,0.5175956,26.91152,24.50298,101.172,100,12.8812625,521.51,29.841745,1.357548,1.219028,0.6096822,0.5928178,0.029337616,4.36186688,0
1,5.75,0.016625,5.555125,135.122325,13.7005,5.07268,0.591208375,26.5868625,24.2431625,101.1965,100,11.5021925,537.39075,29.4123775,1.53643875,1.362115,0.644602375,0.64034375,0.03871322,4.21723736,0
1,6.25,0.02528,2.29380000000001,101.4442,17.7535,4.646432,0.4930464,26.72454,24.6419,101.212,100,15.26294,540.2681,28.56984,1.616786,1.359086,0.623535,0.6478932,0.0294760816,5.18744127999998,55.15
1,6.75,0.02448,8.981,86.585625,15.0547,4.764418,0.543983600000001,26.69878,24.52792,101.1992,100,10.7644875,534.8655,28.613225,1.431092,1.429798,0.649689800000001,0.7382924,0.0501312391999997,4.2651588,155.2
1,7.25,0.0126925,24.8693,112.073275,11.16905,4.97111025,0.548604049999998,26.9237675,24.63812,101.21665,100,11.60244,519.353075,28.91268,1.407146,1.30833775,0.664831174999999,0.783812549999999,0.0290112144,3.82175808,267.25
1,7.75,0.00412974999999999,56.5936,136.845375,9.07649999999997,4.85633825,0.538804725,27.5599525,25.012495,101.235,100,11.347025,498.472,30.058775,1.4962745,1.236259,0.6338039,0.7754514,0.0323104991999999,3.7978584,444.1
1,8.25,-0.00581325,85.7935749999999,182.54,5.9565,5.2244275,0.578775575,28.5325375,26.0052825,101.2416,100,11.32495,465.16235,29.4597,1.54410475,1.35804775,0.68972405,0.704317925,0.0229694864,2.6089728,615.925
1,8.75,-0.00718175,136.57255,209.636125,6.89959999999998,5.35254,0.571659,29.4454,26.9315325,101.2509,100,14.7403275,452.0187,29.619765,1.5272925,1.27790275,0.6929415,0.74442075,0.021761607175,3.02885016,810.2
