DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,TA,PA,RH,VPD,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,CO2_SIGMA,H2O_SIGMA,PPFD_IN
1,0.25,-0.0209,-14.4842,3.1634,5.17464,2.12405,0.1639,20.1628,18.6319,100.2,94.8377,3.76173,426.683,15.1946,0.5135,0.4403,0.2175,0.2905,0.0054,0.1583,0
1,0.75,-0.02125,-16.31685,2.60082,6.083945,2.212285,0.1728,19.8304,18.4254,100.2,99.1568,3.58719,425.639,15.3425,0.5469075,0.441138,0.23025,0.265753,0.0057,0.14415,0
1,1.25,-0.029,-15.5669,2.52418,5.59649,2.18374,0.177465,19.6525,18.20525,100.201,100,2.7038,422.197,15.3206,0.563623,0.4954025,0.232922,0.2708105,0.0036,0.1979,0
1,1.75,-0.02125,-14.617,1.5913,5.4587,2.204925,0.164984,19.27525,17.89215,100.2,100,1.82915,426.0295,15.7839,0.542281,0.43735,0.2294045,0.236938,0.0043,0.1359,0
1,2.25,-0.0213,-13.7891,2.004365,5.3473,2.12965,0.1612,18.8484,17.7057,100.2,100,1.95225,429.4935,15.4207,0.532345,0.4295,0.21922,0.2477,0.0048,0.1647,0
1,2.75,-0.0244,-12.9799,0.568891,5.03402,2.0651,0.164981,18.6268,17.5209,100.2045,100,1.0042,428.51,15.2096,0.532979,0.422619,0.2293,0.233813,0.0031,0.1077,0
1,3.25,-0.0245,-10.5448,-0.1532,4.714005,2.05998,0.165663,18.5135,17.1154,100.2,100,0.7769,429.723,15.12685,0.50805,0.421412,0.221264,0.2404345,0.0036,0.1037,0
1,3.75,-0.02165,-9.72041,0.2886785,4.72526,2.039715,0.1672255,18.11255,16.82385,100.199,100,0.966497,431.575,15.17965,0.502466,0.412136,0.2126645,0.240517,0.0035,0.1035,0
1,4.25,-0.01235,-7.4347,0.0759,3.8243,1.841005,0.134658,17.97385,16.69455,100.2,100,0.8672,431.021,15.07875,0.476367,0.39165,0.184209,0.2311,0.0037,0.1118,0
1,4.75,-0.0119,-9.62966,-0.0376,4.358,1.97561,0.149925,17.8043,16.5857,100.2,100,0.499767,433.154,15.1731,0.491956,0.4499,0.190981,0.2263,0.0042,0.1245,0
