DOY2,HR2,FC,CO2,H,LE,G_1_1_1,G_1_2_1,G_2_1_1,G_2_2_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,CH4,FCH4,SC_1_1_1,SC_2_1_1,NEE,SH_1_1_1,SH_2_1_1,SLE_1_1_1,SLE_2_1_1,PPFD_IN,PPFD_OUT,WS_1_1_1,WS_2_1_1
1,0.25,-0.03361175,374.8119965,-30.2295,-0.28859,-8.79,-6.035,-2.52175,-2.79225,0.20659925,0.462714,0.3687505,0.246562,99.699997,71.73000125,-27.6175,-22.978049,0.11164125,-1.229,-2.237,-1.259,-0.62975,0.68525,2.71175,-0.5595,0.69625,2.768,4.34325,0,0.126,157.96276475,196.48028,0.4684985,2065.0650025,3.01918,-0.034855,-0.0202905,-0.02970275,-1.99015,-1.21713,-0.1316,-0.116593,0,0,2.5938,2.162405
1,0.75,-0.001379,374.66225425,-30.5891495,-0.253702,-8.7825,-6.056,-2.5075,-2.7925,0.1979365,0.485925,0.39932525,0.25655875,99.69874075,71.5324995,-27.86499925,-22.94387525,0.096757,-1.231,-2.2295,-1.264,-0.632,0.68375,2.70975,-0.559,0.69325,2.7665,4.342,0,0.12375,157.767013,195.6540055,0.468183,2052.577545,-13.41392,-0.038275,-0.016912,0.0280045,-1.79067,-1.216289,-0.10812,-0.11384475,0,0,2.4717,1.97722
1,1.25,-0.014245,374.56726075,-31.800699,-0.26497075,-8.7325,-6.056,-2.4935,-2.79275,0.201311,0.48070725,0.41294825,0.2640155,99.699997,71.44250075,-27.78250075,-23.15985075,0.095306,-1.23275,-2.22275,-1.27275,-0.62825,0.6835,2.711,-0.561,0.689,2.77325,4.33475,0,0.1325,156.864336,194.47560325,0.459341,2043.910034,2.415965,-0.01536425,-0.009676,-0.009044,-2.1950825,-1.256824,-0.09596975,-0.111522,0,0,2.4321,1.94717
1,1.75,-0.003105,374.828003,-31.38229925,-0.323533,-8.7825,-6.087,-2.509,-2.7925,0.207999,0.481546,0.411099,0.260869,99.699997,71.51750175,-27.77499925,-23.140499,0.09412925,-1.2355,-2.23775,-1.28075,-0.6315,0.68325,2.70775,-0.556,0.68,2.771,4.33075,0,0.12675,157.787559,193.8776325,0.4528315,2045.140015,1.10259325,-0.017669,-0.008723,0.0029855,-1.94715,-1.36947525,-0.111701,-0.10629125,0,0,2.4651,1.8548
1,2.25,-0.046231,374.67176025,-31.3178005,-0.2652045,-8.755,-6.028,-2.5175,-2.7915,0.1990825,0.4920875,0.399093,0.2548455,99.699997,71.6625,-28.02500075,-23.124,0.105589,-1.23625,-2.23775,-1.28975,-0.63525,0.684,2.70575,-0.56,0.67775,2.7675,4.32825,0,0.132,156.04886475,193.955401,0.43859375,2032.37747175,-0.03379875,-0.0232095,-0.0086415,0.0007295,-2.1171875,-1.2867465,-0.15945925,-0.1183595,0,0,2.3925,1.91335
1,2.75,-0.035541,374.6134945,-28.15777425,-0.22881075,-8.7275,-6.034,-2.5265,-2.791,0.185166,0.456815,0.362784,0.2398335,99.699997,71.28749875,-28.237501,-23.19145,0.10096675,-1.24075,-2.23725,-1.28675,-0.6395,0.6805,2.7055,-0.5595,0.67325,2.768,4.327,0,0.129,158.108082,193.67791425,0.419845,2046.714966,1.85675,-0.019047,-0.01122175,-0.03760025,-2.019405,-1.256221,-0.129895,-0.113823,0,0,2.5036,1.90665
1,3.25,0.0224655,374.78974125,-29.3328,-0.2419865,-8.71,-5.995,-2.535,-2.791,0.20208975,0.448239,0.379059,0.2525035,99.7295545,71.35249875,-28.3300005,-23.16562575,0.11029625,-1.2445,-2.24275,-1.2845,-0.63975,0.678,2.704,-0.56,0.66825,2.76225,4.326,0,0.126,157.152962,194.56732325,0.430181,2043.54244975,0.2308195,-0.0198845,-0.012535,0.02300225,-1.81876,-1.31789525,-0.094151,-0.12681725,0,0,2.515,2.07726
1,3.75,-0.007766,374.6255035,-27.8072995,-0.325232,-8.71,-6.05725,-2.54225,-2.79125,0.20776175,0.452424,0.3986345,0.272623,99.771255,71.0650025,-28.280001,-23.2587005,0.10436075,-1.2495,-2.2455,-1.287,-0.6395,0.67775,2.702,-0.56125,0.67,2.76025,4.328,0,0.1225,157.066785,193.81646325,0.441121,2051.884888,0.45183125,-0.036372,-0.0133975,-0.00640625,-1.49883,-1.13679225,-0.098041,-0.12309125,0,0,2.543625,2.096335
1,4.25,0.0074855,374.6585085,-28.8542755,-0.282021,-8.7175,-6.1045,-2.543,-2.79125,0.203306,0.4423245,0.4247825,0.2764565,99.72834225,71.12750275,-28.4950005,-23.2523495,0.095349,-1.25725,-2.25,-1.29275,-0.6385,0.67875,2.70075,-0.565,0.66925,2.75675,4.32875,0,0.1405,157.430762,194.44930575,0.445067,2058.4300535,0.55458825,-0.023458,-0.011415,0.00227125,-1.23707,-1.2939365,-0.117768,-0.12146475,0,0,2.46125,2.097975
1,4.75,-0.00716475,374.770004,-30.899801,-0.2279165,-8.71,-6.07725,-2.543,-2.7925,0.22290725,0.482455,0.4096865,0.28040225,99.699997,70.82500275,-28.78000075,-23.2498995,0.102588,-1.2535,-2.2615,-1.29825,-0.64075,0.6785,2.7,-0.56475,0.6725,2.75525,4.32675,0,0.1225,159.903299,193.540023,0.442936,2055.409912,1.408305,-0.0286185,-0.02102275,0.01260125,-1.57808,-1.111607,-0.1063955,-0.11072625,0,0,2.508,2.12927
1,5.25,-0.006565,374.752991,-31.40555,-0.3777345,-8.75,-6.061,-2.54325,-2.79375,0.22759175,0.504121,0.421973,0.276569,99.76234375,70.91750175,-28.79249925,-23.257,0.1078335,-1.2485,-2.26825,-1.30475,-0.64325,0.6775,2.703,-0.563,0.66375,2.75725,4.326,0,0.128,159.42816,192.44556,0.4502585,2056.704956,0.934565,-0.030535,-0.013053,0.008515,-1.31684,-1.025498,-0.109854,-0.108056,0,0,2.424125,2.11722
1,5.75,0.01140225,374.546494,-32.403199,-0.418752,-8.6175,-6.101,-2.545,-2.7925,0.2182405,0.486911,0.397906,0.2556195,99.699997,70.65250225,-28.94500075,-23.34947525,0.117397,-1.25275,-2.28075,-1.31175,-0.64575,0.67825,2.701,-0.57275,0.6685,2.75925,4.32325,0,0.135,159.58924,192.64387425,0.4453075,2068.85247825,0.669588,-0.01689875,-0.01336775,0.019989,-1.5560425,-1.2059995,-0.11687375,-0.09561975,0,0,2.34825,2.043835
1,6.25,-0.0621135,374.57700325,-29.1202,-0.22653975,-8.4775,-6.0695,-2.545,-2.7955,0.232102,0.49003175,0.3837845,0.27860825,99.74629825,70.54749875,-29.08250025,-23.21654975,0.112199,-1.2515,-2.2875,-1.31775,-0.65,0.679,2.703,-0.5715,0.67,2.75475,4.32475,0,0.127,159.28905675,192.576784,0.4529555,2075.18249475,-0.83973925,-0.02849025,-0.01448925,-0.04636725,-1.699325,-1.17084675,-0.1522075,-0.11334075,0,0,2.31005,2.03567
