DOY2,HR2,CO2,CH4,H2O,FC,FCH4,G_1_1_1,G_2_1_1,H,LE,PA,RH,T_SONIC,TA,VPD,LW_IN,LW_OUT,SW_IN,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT,TS_1_1_1,TS_2_1_1,TS_2_2_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_3_10_1,TS_3_11_1,TS_3_12_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_4_10_1,TS_4_11_1,TS_4_12_1,TAU,U_SIGMA,V_SIGMA,W_SIGMA,USTAR,WS
1,0.25,455.2175,2073.57,0.5429145,0.0187257,-0.620026,-19.9132,-14.2802817576415,-14.1244,-0.1550685,100.814775,73.6263540063726,-26.05475,-27.0875,0.161266335789963,156.7,204.4,0,0.150700865964024,-53.365,0,0,-5.67475,-6.804,-5.09325,-5.939,-5.533,-4.94925,-3.86053013058596,-3.024,-2.69625,-2.04963187120361,-1.69235836606255,-1.04369675165765,-0.518459407219523,-0.42625,-0.39225,-16.4475,-11.345,-8.4325,-5.17475,-4.49425,-3.88563031651161,-2.738,-1.589,-0.9905,-0.61325,-1.071,-0.43675,-0.1256325,0.491945797684118,0.362337123761408,0.191429568325774,0.159033,2.1855
1,0.75,455.285,2070.8925,0.5613055,0.0267825,0.585673,-20.04,-14.3351398123184,-16.09955,-0.209051,100.80145,73.345,-25.64,-27.2375,0.161186889076298,155.625,205.234998490451,0,0.15625,-54.0275,0,1.30443073877162e-18,-5.66525,-6.83500472831587,-5.1095,-5.94525,-5.52775,-4.96425,-3.869,-3.02580076427262,-2.69826152215914,-2.05293415481528,-1.69525,-1.04575,-0.5185,-0.43025,-0.396928023598092,-16.5825,-11.3875,-8.4625,-5.17210651284026,-4.498,-3.89525,-2.7315,-1.58375,-1.01225,-0.635439525938618,-1.074,-0.436119234069143,-0.118831,0.506302546846833,0.371000466792598,0.209710035757335,0.169334,1.989
1,1.25,455.376,2075.785,0.425483,0.03313325,-0.0451165,-20.13097,-14.57743,-17.21615,-0.266905,100.8177,73.5,-27.7475,-27.2225,0.170680533104456,156.028350856077,203.875,0,0.1195,-53.3625,0,0,-5.65575,-6.85897511285501,-5.12025,-5.97725,-5.5225,-4.98125,-3.8715,-3.02675,-2.69925,-2.06375,-1.709,-1.05825,-0.52375,-0.43225,-0.394,-16.48,-11.3925,-8.535,-5.169,-4.49875,-3.909,-2.72780991995063,-1.5845,-1.03,-0.6435,-1.064,-0.435,-0.118656,0.468228789448938,0.373303110285549,0.172301809884165,0.1462925,2.046
1,1.75,455.2,2075.69,0.565934,0.0339884,0.3246735,-20.21426,-14.456616710614,-19.5261,-0.34568225,100.842312224601,73.6975,-25.545,-26.4375,0.161836974150687,156,203.825,0,0.128,-54.7825,0,3.10192729707386e-25,-5.64725,-6.879,-5.12725,-6.008,-5.52225,-4.9755,-3.8705,-3.0205,-2.69325,-2.0715,-1.72075,-1.069,-0.52825,-0.438,-0.402440299600883,-16.59887861416,-11.409347061373,-8.605,-5.16275,-4.5075,-3.92475,-2.72325,-1.58275,-1.0075,-0.64175,-1.06,-0.439,-0.140051,0.577292819979601,0.378302788781685,0.224003348189263,0.185318,2.21
1,2.25,455.263,2069.1725,0.537744,0.0161838,0.2482065,-20.2119829878524,-14.3125,-18.663,-0.24752275,100.861325,73.125,-25.411,-26.7175,0.172553638706578,156.725,203.725,0,0.07425,-53.2975,0,0,-5.6625,-6.90093638599698,-5.13825,-6.05575,-5.5175,-4.966,-3.86925,-3.01675,-2.68825,-2.073,-1.7215,-1.069,-0.5275,-0.4385,-0.413,-16.6725,-11.4325,-8.6675,-5.17675,-4.50275,-3.926,-2.72875,-1.5795,-0.98975,-0.63725,-1.057,-0.44675,-0.154403,0.579040585796885,0.420910916940865,0.235308733369588,0.202538,2.22175
1,2.75,455.2215,2069.54,0.5531885,0.016349,0.1061615,-20.2445,-14.1755325,-14.846225,-0.441275,100.880595675481,73.1972784152533,-25.11,-27.1075,0.172489787873913,158.390821269543,203.075,0,0.09525,-53.3941988346358,0,0,-5.6905,-6.926,-5.137,-6.07925,-5.5205,-4.95525,-3.8705,-3.01775,-2.68925,-2.07225,-1.71825,-1.06429034815538,-0.52578529527327,-0.4365,-0.40625,-16.68,-11.4125,-8.7175,-5.1970435118001,-4.514,-3.939,-2.7445,-1.5825,-0.986,-0.624,-1.065,-0.45125,-0.1643125,0.526768396203932,0.387603121894227,0.223207522014791,0.180806,2.15675
1,3.25,455.054,2069.16,0.513208,0.038115,0.0364655,-20.1394847827344,-14.0859825,-14.054775,-0.174229,100.867275,73.4014361653927,-26.013,-26.885,0.170413827049358,158.810403435377,204.225,0,0.11775,-51.495,0,0,-5.72425,-6.95575,-5.14125,-6.11375,-5.5125,-4.948,-3.869,-3.01825,-2.68975,-2.07067982414356,-1.7161303091892,-1.06001894754947,-0.525220172835861,-0.4495,-0.398,-16.7875,-11.4175,-8.7625,-5.21061108236138,-4.502,-3.93176431541323,-2.76043142907542,-1.58399116613062,-0.98475,-0.6155,-1.081,-0.450012770423287,-0.130056,0.521779646977534,0.415908643814961,0.197823911598169,0.151163,1.9795
1,3.75,455.026,2069.13,0.55685225,0.0200559,-0.2066866,-20.385,-14.140415,-13.1324,-0.133301,100.907525,74.243429631786,-25.035,-27.385,0.165806211895777,159.725,205.825,0,0.07475,-51.6825,0,1.01643953670516e-20,-5.75975,-6.95325,-5.14475,-6.1355,-5.514,-4.94025,-3.86775,-3.02465115487117,-2.69716469207456,-2.07076688138391,-1.71418205873251,-1.05775,-0.52125,-0.451770690861153,-0.3855,-16.9375,-11.4325,-8.8075,-5.218,-4.4875,-3.91925,-2.79425,-1.58951998000386,-0.991,-0.61775,-1.095,-0.45,-0.15648775,0.55954198930069,0.416987747530614,0.210077347567765,0.17158525,2.2495
1,4.25,455.0655,2070.22,0.5626915,0.0234227,0.112999325,-20.2242025,-14.0653196597355,-15.09825,-0.196394,100.91635,74.61,-25.272,-27.405,0.159335609936927,160.475,204.8,0,0.07875,-53.08,0,0,-5.7825,-6.934,-5.14275,-6.142,-5.5385,-4.9355,-3.8735,-3.0175,-2.688,-2.07125,-1.713,-1.057,-0.5185,-0.4425,-0.38475,-16.76,-11.4625,-8.8225,-5.22925,-4.487,-3.919,-2.79,-1.589,-0.991,-0.613,-1.113,-0.453,-0.1406105,0.544227359548655,0.396973265118174,0.21114229111991,0.1630445,2.356
1,4.75,455.267,2073.755,0.563557,0.016899,-1.744435,-19.909635,-14.0616375,-15.913925,-0.26002075,100.925319261683,74.0724899055524,-25.29,-27.5586819388103,0.157948202210569,161.946802761867,204.775,0,0.10175,-53.005,0,0,-5.775,-6.935,-5.1325,-6.1395,-5.53725,-4.93175,-3.88008146129697,-3.01575,-2.6855,-2.07154266740491,-1.71164697849513,-1.05575636873229,-0.515350560716896,-0.44225,-0.386163762533876,-16.6125,-11.5011447622994,-8.8225,-5.25275,-4.489,-3.92225,-2.775,-1.58675,-0.991740218687072,-0.61025,-1.119,-0.44975,-0.163779,0.595654262135343,0.5348214655378,0.219784439849594,0.166942,2.2985
