DOY2,HR2,G_1_2_1,G_1_2_2,G_1_2_3,T_BOLE_1_1_1,T_BOLE_1_1_5,T_BOLE_1_1_7,T_BOLE_2_1_1,T_BOLE_2_1_4,T_BOLE_2_2_6,T_BOLE_2_2_1,T_BOLE_2_2_3,CO2_1_1_1,H2O,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,CO2_1_5_1,USTAR,LE,H,FC,SC,G_1,SLE,SH,NEE,TA_1_3_1,RH_1_1_1,TA_1_6_1,RH_1_2_1,TA_1_10_1,RH_1_3_1,TA_1_4_1,TA_1_11_2,TA_1_11_1,TA_1_9_1,TA_1_8_1,TA_1_8_2,TA_1_7_1,TA_1_6_2,TA_1_5_1,TA_1_1_1,TA_1_1_2,WS_1_2_1,NETRAD_1_2_1,NETRAD_1_1_1,SW_IN_1_1_1,SW_IN_1_1_3,SW_OUT_1_1_1,PPFD_IN_1_1_1,PPFD_IN_1_1_2,PPFD_DIF,PPFD_OUT,PPFD_BC_IN,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_3_2,TS_1_3_3,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,PA,TA_1_2_1,TA_1_2_2,T_SONIC_1_1_1,WS_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,TA_1_3_2
1,0.25,-6.8897,-6.56265,-7.9572,-4.627,-4.3835,-4.3601,-5.95225,-5.330725,-5.0334,-6.964,-6.632,371.415,2.57905,370.2,371.475,371.535,375.34,0.02014825,-6.367425,-113.1675,-0.512325,-1.567825,-8.3711,-6.5266,-10.319,0.017348,-5.4561,58.576,-6.059175,77.381,-5.5558,88.705,-6.857925,-1.8126,-5.173775,-5.19755,-5.33785,-4.5803,-5.9513,-7.103875,-5.43095,-4.6214,-4.494,0.0009995,-88.1915,-88.8275,0,0,0,0,13.09,13.105,0.179855,0,0.363565,0.174095,-0.61582,0.610505,-0.19271,-0.14761,0.48495,0.9228,2.2462,3.911,95.635,-3.5001,-3.930275,-3.71725,0.36036,208,285.515,-4.0142
1,0.75,-6.9236,-6.506,-8.0891,-4.6302,-4.3272,-4.3672,-6.1279,-5.360125,-5.007275,-7.022,-6.5458,369.79,2.86225,370.2,371.475,371.535,375.34,0.01786475,-5.4988,-137.35,-0.5241125,-1.56755,-8.1909,-10.324,-10.846,-0.120562,-5.6398,58.575,-6.1001,78.8085,-5.70575,89.243,-7.001025,-1.8038,-5.4051,-5.31305,-5.36155,-4.57665,-5.9405,-6.347,-5.6082,-4.7435,-4.60325,0.002267,-88.21775,-87.96275,0,0,0,0,13.05,13.105,0.0447915,0,0.36007,0.19385,-0.58989,0.605335,-0.20269,-0.13381,0.47726,0.92225,2.2408,3.9117,95.641,-3.7128,-4.146425,-3.76895,0.3415825,207.34,285.18,-4.0677
1,1.25,-6.9456,-6.4864,-7.9856,-4.5879,-4.3172,-4.3639,-6.1294,-5.3945,-5.0268,-7.117375,-6.4904,371.2,2.677425,370.2,371.475,371.535,375.34,0.0197865,-6.7376,-117.1875,-0.6796,-1.410325,-8.0095,-12.3715,-12.128,0.074076,-5.7455,60.093,-6.093725,78.721,-5.6642,89.7445,-7.032,-1.8015,-5.30535,-5.40385,-5.4201,-4.3973,-6.157875,-6.42185,-5.72405,-4.825,-4.5885,0.007546,-84.59975,-86.93125,0,0,0,0,13.0725,13.105,0.064382,0,0.355935,0.195879,-0.55992,0.61032,-0.215235,-0.119292,0.47036,0.92564,2.2573,3.9076,95.6125,-3.7173,-4.15575,-3.757625,0.34462,210.28,284.375,-4.0961
1,1.75,-6.8453,-6.5035,-8.01275,-4.5341,-4.3034,-4.3332,-6.146475,-5.432575,-5.06105,-7.026775,-6.477625,371.3,2.6439,370.1,371.48,373.14,376.24,0.0176865,-8.284,-133.8525,-0.37403,-2.392175,-8.0145,-10.341,-11.34,0.12157525,-6.0411,61.699,-6.29055,78.5255,-5.98215,89.9865,-7.0541,-1.8516,-5.4951,-5.5587,-5.6265,-4.4445,-6.0696,-6.5057,-5.79685,-5.0573,-4.99375,0.0023195,-84.39125,-87.059,0,0,0,0,13.07225,13.105,0.04764325,0,0.352465,0.186285,-0.5375,0.60293,-0.221815,-0.10428,0.46274,0.9301,2.2545,3.9085,95.599,-3.6996,-4.1335,-3.55435,0.3401025,207.3,284.15,-3.7427
1,2.25,-6.8672,-6.7084,-7.89045,-4.4777,-4.2603,-4.3633,-6.17625,-5.46775,-5.0953,-7.013525,-6.480225,371.1575,2.65105,369.965,371.4975,371.75,375.56,0.019884,-8.2305,-135.6,-0.4335,-2.717675,-8.1623,-8.9581,-7.9644,0.20289775,-6.1358,61.124,-6.4055,80.504,-6.2722,88.73,-6.68825,-1.9221,-5.79345,-5.9261,-6.01165,-4.46585,-6.1541,-6.5432,-6.05455,-5.3805,-4.68025,0.010749,-83.4715,-86.75525,0,0,0,0,13.05,13.105,0,0,0.353525,0.17332,-0.50687,0.602585,-0.234255,-0.0886249999999998,0.45462,0.93353,2.2551,3.9171,95.591,-3.53945,-3.978975,-3.626,0.35592,207.52,284.23,-3.682
1,2.75,-6.7766,-6.76215,-7.95435,-4.4249,-4.2119,-4.4133,-6.1845,-5.5013,-5.128725,-7.233775,-6.4738,371.0725,2.58815,370.6,371.53,371.52,375.03,0.019488,-4.808,-139.445,-0.30183,-3.0986,-8.1419,-9.6672,-9.8038,-0.0820775,-6.139,62.044,-6.426575,78.2505,-6.4587,89.438,-7.0682,-1.9834,-5.8263,-5.92965,-5.8547,-4.5442,-6.4484,-6.540675,-5.73195,-5.3055,-4.71925,3.75e-05,-83.448,-85.62975,0,0,0,0,13.0725,13.105,0,0,0.37588,0.192365,-0.38307,0.65505,-0.24384,-0.0726959999999998,0.4463,0.93602,2.255,3.9254,95.609,-3.4759,-3.90195,-3.7134,0.3436775,208.34,282.565,-3.6633
1,3.25,-6.7428,-6.7898,-8.0636,-4.4011,-4.1648,-4.4005,-6.1473,-5.535025,-5.162775,-7.314725,-6.444775,370.7,2.603125,370.2275,372.02,372.4225,374.36,0.0205685,-6.044925,-139.465,-0.4706,-2.19415,-8.0473,-7.8456,-10.2033,0.02217325,-6.1366,60.588,-6.518925,75.5755,-6.48615,89.2955,-7.18865,-1.8489,-5.92935,-6.059,-6.1175,-4.66415,-6.47025,-6.773575,-5.919575,-5.949125,-4.973,0.01120125,-89.78725,-86.4495,0,0,0,0,13.07,13.105,0,0,0.394505,0.195745,-0.23649,0.62826,-0.2471,-0.0572619999999998,0.43853,0.94905,2.2585,3.9323,95.593,-3.7945,-4.235225,-3.856325,0.3320725,208.44,282.55,-3.8464
1,3.75,-6.7673,-6.6151,-7.9681,-4.4579,-4.1788,-4.3442,-6.226625,-5.572825,-5.198725,-6.848925,-6.437,371.415,2.575975,370.53,372.4325,371.9975,375.965,0.020496,-6.47165,-138.9625,-0.30244,-2.8396,-7.9319,-7.5924,-10.998,0.0547,-6.3091,60.051,-6.557625,74.438,-6.4717,89.412,-7.3545,-1.8583,-6.0291,-6.1162,-6.21195,-4.9316,-6.501,-6.7965,-5.83275,-5.5923,-5.10025,0.02307,-89.27725,-86.6285,0,0,0,0,13.065,13.105,0,0,0.417995,0.21892,-0.21007,0.60194,-0.244975,-0.0442139999999997,0.43139,0.98498,2.271,3.9523,95.581,-3.3946,-3.77405,-3.897,0.37295,208.64,281.235,-4.3758
1,4.25,-6.6824,-6.51125,-7.98355,-4.4943,-4.2347,-4.285,-6.265,-5.60625,-5.2311,-7.1825,-6.468825,371.0575,2.5736,370.5,371.975,373.55,374.975,0.021306,-6.1462,-143.52,-0.7318,-2.0763,-7.8478,-7.3141,-9.5549,-0.086602,-6.2337,59.838,-6.6798,75.4485,-6.3294,89.054,-7.5029,-1.8367,-6.2159,-6.30335,-6.29405,-5.1094,-6.694825,-6.9276,-5.88185,-5.55,-4.8065,0.00692,-88.5935,-86.4455,0,0,0,0,13.05225,13.105,0,0,0.41338,0.23587,-0.185,0.61041,-0.24037,-0.0286069999999997,0.4256,0.97465,2.2842,3.9494,95.56,-3.22375,-3.606,-4.0202,0.34125,207.72,281.28,-4.0857
1,4.75,-6.726625,-6.52255,-8.00955,-4.560275,-4.292275,-4.2707,-6.2778,-5.64175,-5.262675,-7.378025,-6.5217,371.0575,2.557325,370.765,372.065,373.3975,375.4325,0.02636,-6.80205,-145.92,-0.488685,-2.147125,-8.313525,-7.3248,-11.537,-0.0820555,-6.34875,61.05875,-6.678,74.85,-6.4682,87.965,-7.527425,-2.025,-6.27245,-6.351175,-6.30645,-5.2398,-6.7008,-7.0488,-6.196875,-5.6282,-4.97725,0.000882,-88.628,-87.242,0,0,0,0,13.0575,13.105,0,0,0.41515,0.2358075,-0.1624525,0.6103275,-0.25285,-0.0189994999999996,0.419655,0.9827375,2.283975,3.944175,95.56975,-3.4872,-3.7745,-3.9734,0.31435,207.6925,280.995,-4.330325
