DOY2,HR2,TA_1_3_1,RH_1_1_1,TA_1_3_2,TA_1_4_1,TA_1_5_1,TA_1_6_1,T_BOLE_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_3_2,G_1_1_1,G_1_1_3,G_1_1_4,G_1_1_5,G_1_1_6,T_BOLE_2_1_1,CO2_1_2_1,CO2_1_1_1,H2O,NETRAD_1_1_1,SW_IN_1,USTAR,LE,H,FC,SC,G_1,SLE,SH,NEE,TA_1_1_1,TA_1_2_1,WS,NETRAD_1_1_2,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT_1_1_1,NETRAD_1_1_3,SW_OUT_1_1_2,PPFD_IN,PPFD_OUT,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TA_1_3_3,PA
1,0.25,-1.061,93.095,-0.5606,-1.693,-1.67375,-0.83145,-0.9793,-0.5168,-0.078055,0.02332,-0.0603025,-2.61,-5.03825,-6.09025,-6.4675,-8.187,-0.9793,372.775,393,5.418,-16.3675,0,0.03951,-0.8033,-10.66,0.339025,-0.02467,-6.3785,-0.155675,-0.3105,0.2961,-1.128,-4.293,0.283775,-13.89,0,0,0,0.1676,-21.52,0,0,0,0.10895,0.13675,0.574075,1.50975,2.58875,-1.21975,98.6675
1,0.75,-1.0385,93.095,-0.5667,-1.543,-1.642,-1.06045,-0.989125,-0.50855,-0.07558,0.04021,-0.056545,-2.644,-5.006,-6.25975,-6.4085,-8.0535,-0.989125,373.075,392.35,5.394,-17.4575,0,0.040185,-0.655225,-9.76675,0.4329,-0.03717,-6.772,-0.1834,-0.2808,0.9891,-1.0865,-4.531,0.27005,-12.4875,0,0,0,0.0891375,-22.455,0,0,0,0.10965,0.142475,0.5706,1.507,2.56925,-1.4465,98.6425
1,1.25,-1.131,92.895,-0.67945,-1.5885,-1.829,-1.0261,-0.8895,-0.4677,-0.073755,0.0445,-0.0530625,-2.68575,-5.309,-6.34075,-6.35325,-7.8935,-0.8895,373.65,392.6,5.388,-16.56,0,0.0388075,-0.736075,-9.329,0.46455,-0.02567,-6.69425,-0.16935,-0.3594,1.526,-0.968675,-4.3265,0.3129,-12.295,0,0,0,0.06457,-22.905,0,0,0,0.115075,0.146675,0.5814,1.5135,2.56425,-1.52225,98.665
1,1.75,-1.0755,93.04,-0.68105,-1.695,-1.93575,-1.3355,-0.9628,-0.5114,-0.079635,0.052625,-0.0379525,-2.68425,-5.2345,-6.2045,-6.36,-7.9845,-0.9628,374.225,392.6,5.32,-17.1675,0,0.03827,-0.690575,-10.01925,0.4303,-0.04955,-6.54425,-0.143775,-0.2541,1.233,-0.890225,-4.3335,0.33795,-9.3835,0,0,0,0.162625,-24.82,0,0,0,0.115275,0.141175,0.584425,1.51525,2.585,-1.60425,98.69
1,2.25,-1.1725,93.0525,-0.87045,-1.7655,-2.053,-1.4105,-0.956125,-0.547575,-0.0837075,0.0254925,-0.03855,-2.648,-5.155,-6.038,-6.332,-7.5975,-0.956125,374.25,392.8,5.352,-17.02,0,0.03839,-0.53935,-10.42,0.3492,-0.03885,-6.834,-0.16335,-0.277,0.897025,-0.916375,-4.2755,0.3181,-11.63,0,0,0,0.0785925,-23.7125,0,0,0,0.1215,0.1427,0.5843,1.524,2.559,-1.8025,98.7
1,2.75,-1.1585,93.095,-0.92595,-1.7275,-2.0795,-1.375,-0.9624,-0.58505,-0.085225,0.027095,-0.0394325,-2.64725,-5.18175,-6.15075,-6.34075,-7.4255,-0.9624,374.25,392.9,5.32575,-15.33,0,0.0381,-0.9292,-9.88725,0.45065,-0.04947,-6.858,-0.150425,-0.2453,1.072,-1.0189,-4.1525,0.28575,-11.8375,0,0,0,0.047895,-19.93,0,0,0,0.12355,0.14085,0.579275,1.53025,2.592,-1.79125,98.725
1,3.25,-1.125,92.6725,-0.9621,-1.7325,-1.99425,-1.149,-1.037,-0.6279,-0.091615,0.01737,-0.0295125,-2.656,-4.94925,-6.0915,-6.366,-7.31775,-1.037,374.4,392.65,5.343,-13.9825,0,0.0380225,-0.78775,-10.062,0.380775,-0.02358,-6.642,-0.15125,-0.2787,1.2805,-1.09,-3.98,0.324,-10.285,0,0,0,0.00861,-17.02,0,0,0,0.11945,0.137425,0.590625,1.527,2.59525,-1.79975,98.735
1,3.75,-1.153,92.445,-0.82615,-1.887,-2.12975,-1.0935,-1.059,-0.6247,-0.097065,0.0131,-0.0322725,-2.61575,-4.8875,-5.9055,-6.1965,-7.24125,-1.059,374.8,392.375,5.31875,-12.98,0,0.0405875,-0.5103,-8.0425,0.45745,-0.04908,-6.679,-0.16225,-0.19795,1.202425,-1.1845,-4.1385,0.2896,-9.509,0,0,0,0.03388,-17.9825,0,0,0,0.11535,0.135275,0.593875,1.552,2.605,-1.545,98.75
1,4.25,-1.055,92.395,-0.739275,-1.764,-2.13625,-1.23075,-1.04875,-0.62245,-0.104035,-0.0064275,-0.0417,-2.6355,-4.68475,-6.189,-6.221,-7.352,-1.04875,374.675,393.2,5.24475,-13.7725,0,0.03439,-0.7452,-9.983,0.3913,-0.04753,-6.75375,-0.1682,-0.2547,1.43675,-1.074,-4.252,0.2752,-11.785,0,0,0,0.070605,-21.37,0,0,0,0.1151,0.137,0.5992,1.564,2.612,-1.78025,98.77
1,4.75,-1.1985,92.52,-0.7085,-1.85425,-2.2235,-0.9787,-1.079,-0.620275,-0.102995,-0.02377,-0.04914,-2.5285,-4.7275,-5.99025,-6.168,-7.239,-1.079,374.2,392.475,5.202,-14.8425,0,0.0389075,-0.56455,-11.595,0.403175,-0.0363,-6.755,-0.223,-0.39175,1.376,-0.958275,-4.28825,0.292375,-13.0325,0,0,0,0.06532,-19.83,0,0,0,0.11905,0.1375,0.60115,1.575,2.603,-2.188,98.79
