DOY2,HR2,TA_1_3_1,RH_1_1_1,TA_1_3_2,TA_1_4_1,TA_1_5_1,TA_1_6_1,T_BOLE_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_3_2,G_1_1_1,G_1_1_3,G_1_1_4,G_1_1_5,G_1_1_6,T_BOLE_2_1_1,CO2_1_2_1,CO2_1_1_1,H2O,NETRAD_1_1_1,SW_IN_1,USTAR,LE,H,FC,SC,G_1,SLE,SH,NEE,TA_1_1_1,TA_1_2_1,WS,NETRAD_1_1_2,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT_1_1_1,NETRAD_1_1_3,SW_OUT_1_1_2,PPFD_IN,PPFD_OUT,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TA_1_3_3,PA
1,0.25,1.161,95.64,1.362,0.7012,0.42705,1.382,-0.0552,0.21,0.7654,0.8995,1.2875,-1.15,-2.182,-3.161,-4.569,-4.292,-0.0552,384.55,398.5,6.744,-3.2685,0,0.05887,-0.01785,-3.406,0.78555,0.01563,-3.0185,-0.007018,-0.0004435,0.6261,1.182,-1.3455,0.553,-3.8815,0,0,0,0.6215,-3.55,0,0,0.1512,1.604,1.6025,1.898,2.6225,3.61,0.66975,99.64
1,0.75,1.182,95.55,1.369,0.7405,0.5578,1.299,-0.05924,0.1922,0.7716,0.8896,1.272,-1.14,-2.1655,-3.1135,-4.479,-4.326,-0.05924,386.35,397.75,6.695,-3.9285,0,0.07127,0.01835,-3.124,0.8263,0.00837,-3.203,0.0079865,0.05339,1.468,1.085,-1.38,0.5735,-3.6685,0,0,0,0.6478,-4.174,0,0,0.1477,1.601,1.563,1.892,2.605,3.6085,0.7393,99.625
1,1.25,1.298,95.51,1.282,0.7892,0.47585,1.413,-0.0595,0.1728,0.7657,0.8772,1.2425,-1.1545,-2.2525,-3.2265,-4.3965,-4.3585,-0.0595,388.05,398,6.721,-3.621,0,0.06579,0.06555,-2.822,0.90355,0.008896,-3.134,-0.02079,-0.01295,1.753,1.0255,-1.296,0.5416,-4.7545,0,0,0,0.5745,-3.765,0,0,0.15185,1.59,1.5545,1.891,2.593,3.609,0.74475,99.62
1,1.75,1.24,95.46,1.355,0.7911,0.52985,1.474,-0.03176,0.1431,0.7549,0.8633,1.209,-1.179,-2.24,-3.1765,-4.3775,-4.3815,-0.03176,387.95,398.2,6.736,-3.2365,0,0.06734,0.01375,-3.048,0.9721,0.00388,-3.27,-0.0152,-0.04944,1.546,1.0086,-1.426,0.5695,-3.2735,0,0,0,0.68465,-3.8675,0,0,0.1332,1.56,1.5445,1.877,2.5885,3.611,0.68515,99.62
1,2.25,1.1945,95.565,1.297,0.6992,0.5452,1.3515,-0.029855,0.1401,0.7453,0.8529,1.178,-1.189,-2.151,-2.993,-4.343,-4.278,-0.029855,387.6,398.3,6.726,-2.989,0,0.06729,0.070235,-2.743,0.8751,0.002389,-2.994,0.009191,-0.03099,1.291,0.97315,-1.469,0.5157,-3.441,0,0,0,0.6113,-2.7125,0,0,0.1178,1.502,1.52,1.869,2.567,3.613,0.5881,99.59
1,2.75,1.145,95.61,1.414,0.7109,0.5226,1.605,-0.01056,0.08734,0.7495,0.8589,1.176,-1.179,-2.084,-2.991,-4.3725,-4.313,-0.01056,385.6,398.3,6.712,-2.059,0,0.06511,0.03237,-3.043,0.9542,-0.0003886,-2.9325,0.011406,-0.00767,1.415,1.227,-1.405,0.551,-3.77,0,0,0,0.53705,-1.756,0,0,0.1212,1.463,1.4895,1.8785,2.558,3.5915,-0.0978,99.63
1,3.25,1.231,95.545,1.579,0.717,0.49415,1.554,-0.00052,0.1469,0.7431,0.8584,1.137,-1.1755,-2.109,-2.97,-4.4575,-4.29,-0.00052,386.1,398.3,6.739,-2.4575,0,0.06775,-0.03924,-2.429,0.842,0.009403,-2.933,0.00127,-0.04123,1.767,1.137,-1.02,0.5319,-3.3055,0,0,0,0.39915,-2.095,0,0,0.1448,1.4415,1.448,1.884,2.535,3.573,0.03595,99.61
1,3.75,1.262,95.64,1.646,0.8725,0.53155,1.604,-0.02551,0.1186,0.7344,0.8487,1.122,-1.179,-2.15,-3.078,-4.456,-4.268,-0.02551,385.8,398.4,6.7755,-3.138,0,0.064995,0.1478,-2.377,0.8384,0.005772,-3.029,-0.0038845,-0.02729,1.6295,1.149,-1.078,0.5227,-3.587,0,0,0,0.4396,-3.1035,0,0,0.1355,1.416,1.4245,1.8755,2.527,3.564,0.5259,99.59
1,4.25,1.2095,95.64,1.4875,0.75675,0.51135,1.759,-0.031545,0.1501,0.7319,0.8568,1.108,-1.1735,-2.15,-3.093,-4.324,-4.345,-0.031545,387.25,397.9,6.7795,-2.9135,0,0.063715,-0.03816,-2.617,0.9336,-0.005941,-2.8635,-0.0078195,0.013755,1.9825,1.122,-1.329,0.51705,-2.941,0,0,0,0.6117,-3.399,0,0,0.099445,1.408,1.438,1.878,2.536,3.596,-0.11345,99.575
1,4.75,1.1055,95.65,1.211,0.7958,0.5222,1.605,-0.01791,0.17625,0.72575,0.8627,1.105,-1.146,-2.143,-3.182,-4.226,-4.269,-0.01791,384.7,398.3,6.725,-3.0065,0,0.06588,0.03438,-3.451,0.94585,0.01039,-3.0175,-0.02457,0.014625,1.64,1.122,-1.053,0.55125,-3.6885,0,0,0,0.5614,-2.906,0,0,0.112,1.416,1.431,1.87,2.542,3.589,-0.2734,99.58
