DOY2,HR2,WS_1_3_1,T_SONIC,H2O_1_2_2,CO2_1_2_2,W_SIGMA,CO2_SIGMA,USTAR,H,LE,FC,SC,NEE,CO2_2_1_1,CO2_1_7_1,CO2_1_6_1,CO2_1_4_1,CO2_1_3_1,CO2_1_2_1,H2O_2_1_1,H2O_1_7_1,H2O_1_6_1,H2O_1_4_1,H2O_1_3_1,H2O_1_2_1,TA_1_5_2,TA_1_2_1,RH_1_1_1,PA,SW_IN_1_1_1,NETRAD_1_2_1,PPFD_IN_1_2_1,PPFD_IN_2_1_1,WS_1_1_1,TS_1_1_1,TS_1_1_2,TS_2_1_1,TS_2_1_2,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_1_5_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,G_1_1_1,G_2_1_1,G_2_1_2,T_BOLE_1_3_1,T_BOLE_1_2_1,T_BOLE_1_1_1,T_BOLE_2_3_1,T_BOLE_2_2_1,T_BOLE_2_1_1,TA_2_2_1,TA_2_1_1,TA_1_13_1,TA_1_12_1,TA_1_11_1,TA_1_10_1,TA_1_9_1,TA_1_8_1,TA_1_7_1,TA_1_6_1,TA_1_4_1,TA_1_1_1,RH_1_3_1,CO2_1_5_1,H2O_1_5_1,CO2_1_1_1,H2O_1_1_1,RH_1_2_1,PPFD_OUT,SW_IN_1_2_1,SW_IN_1_3_1,SW_OUT,LW_IN,LW_OUT,NETRAD_1_1_1,WS_1_2_1,TA_1_5_1,TA_1_3_1,TS_2_5_1
1,0.25,3.2635823375,-0.833075,5.51907535975,406.929,0.8332,0.377114,0.724135348,-1.76942858,1.193133659,1.187354712,0.384864715,1.288762783,418.15375,415.46625,391.125,382.25375,413.2675,408.17,4.5539125,4.542195,5.8201,4.80119975,4.475425,4.5125,-0.181045,-0.5691825,90.9318,99.63625,-1.5738,-4.233575,0.22,0.32461,4.307,1.5682,1.0193,0.81744,0.79126,1.6637,3.7688,2.51567,3.8922,1.1329,1.4499,2.5398,-2.0674,-2.3777,-2.3308,-0.3582725,-0.7662575,0.14281,-1.1316,-0.8150125,-0.39684,-0.91,-0.8,-0.7421,-0.7,-0.7338,-0.73,-0.7715,-0.743,-0.76286,-0.7623,-1.4274,-1.6256,90.67811282,415.23625,4.5109125,417.01725,3.7523475,90.512891585,0.31806,-2.5568,-0.2321,1.2131,293.884995,307.895,-3.64112,3.67725,-0.48946675,-0.3435,4.8639
1,0.75,3.16714260325,-0.988975,5.5088996195,407.049,0.8252,0.329240937,0.700524498,-1.95,1.561091776,1.12807094875,0.345152,1.30894275,418.369,415.32825,390.74,381.927,413.79975,408.752,4.5630825,4.57751,5.76765,4.7471,4.50015,4.3694,-0.212865,-0.6730425,91.02275,99.63550225,-1.511475,-3.92295,0.18,0.30996,4.2395,1.5617,1.0177,0.81977,0.79044,1.6696,3.774,2.51143,3.8973,1.1399,1.4567,2.5347,-2.068,-2.3754,-2.3196,-0.35328,-0.73182,0.1303025,-1.141775,-0.783355,-0.40317,-0.82009,-0.74,-0.768,-0.7661,-0.75,-0.756,-0.8382,-0.73,-0.76389,-0.830725,-1.546,-1.64,90.6677235675,415.179,4.64381,417.07925,3.785375,90.84624695,0.24122,-1.5715,-0.2193,1.1664,295.780005,307.935,-3.43,3.6595,-0.52228,-0.43122675,4.863625
1,1.25,3.08603924475,-1.083675,5.5550464485,407.24825,0.8197,0.34582675,0.6889791185,-2.0099475,1.2484580205,1.09536959225,0.439285134,1.179350259,418.75,416.188,391.005,381.55,414.0275,408.125,4.601665,4.59515,5.7928,4.7696,4.46705,4.42476,-0.29849,-0.57041,91.4242,99.621997,-1.4532,-4.206375,0.20773,0.39027,4.1692,1.5707,1.031925,0.8209375,0.79104,1.6701,3.779775,2.513075,3.8974,1.1347,1.4677,2.5369,-2.068,-2.376,-2.3303,-0.349785,-0.76827,0.0352,-1.1681,-0.775065,-0.45984525,-0.77478,-0.78775,-0.8025,-0.83075,-0.8366925,-0.8309,-0.923695,-0.835075,-0.873,-0.87465,-1.5686,-1.6892,91.0897,416.0805,4.59,417.075,3.7657,91.358363955,0.240055,-2.16225,-0.2190125,1.121975,295.40999,308.0250075,-3.28584,3.623025,-0.42893,-0.37457,4.8664
1,1.75,3.1382311695,-1.16394,5.566332713,407.333439375,0.8099615,0.379148975,0.667687576,-1.7886625925,1.207718655,1.039119202,0.4278851805,1.102292839,418.5725,415.8375,390.6375,381.695,414.21,407.88875,4.693455,4.6233125,5.8424,4.75655,4.58135,4.4285875,-0.38385,-0.67698,91.539625,99.620001,-1.520125,-4.34195,0.22,0.3166325,4.0973,1.567475,1.0207,0.8204275,0.7950375,1.6732,3.772725,2.5117175,3.89878,1.1372,1.458,2.5374,-2.0681,-2.3798,-2.3327,-0.3415925,-0.7889905,0.089215,-1.18175,-0.80047,-0.44613,-0.91515,-0.8525,-0.85425,-0.87441,-0.85575,-0.902,-0.9482525,-0.925,-0.97485,-1.0006,-1.7166,-1.7772,91.2294,416.035,4.62,417.25,3.75155,91.2693985625,0.27,-1.7202,-0.236365,1.091735,295.2274925,307.9799925,-3.26003,3.6649,-0.404,-0.425,4.864
1,2.25,3.049124874,-1.20683,5.49170630775,407.71975,0.788171,0.350094,0.6526226455,-2.355162358,1.14002,1.1307748515,0.409923453,1.30432459925,420.2435,417.121,390.595,381.3465,415.4325,409.4225,4.88965,4.823275,5.83,4.7058,4.745,4.545,-0.48728,-0.69786,91.840125,99.631,-1.53745,-4.19045,0.21,0.3210625,4.3008,1.576075,1.019675,0.819655,0.78569,1.672025,3.7733,2.50385,3.8947,1.136,1.4609,2.5415,-2.0681,-2.3725,-2.3211,-0.3169825,-0.827895,0.069445,-1.2094,-0.776505,-0.40743,-1.11,-0.97367,-0.8774075,-0.8995675,-0.8475,-0.93875,-0.9768975,-0.96525,-1.004725,-1.06045,-1.7151,-1.7735,91.3743,417.475,4.844625,418.29475,4.196105,91.360574065,0.27,-2.75375,-0.25643,1.11502,294.4875,307.3264925,-3.26648,3.6953,-0.553676,-0.55,4.8603
1,2.75,3.1926816545,-1.2325,5.42,407.5,0.81,0.3817,0.66888503975,-2.329442568,1.499783966,1.20476,0.33952691575,1.300692675,418.525,416.4615,390.37,381.65,414.2575,408.695,4.6081975,4.5677,5.8679,4.673,4.5201625,4.33,-0.5369,-0.75419,91.441975,99.65125,-1.469475,-4.108925,0.21865,0.410245,4.3135,1.568,1.02555,0.8166,0.7879925,1.671,3.776,2.513,3.887025,1.1294,1.45875,2.542925,-2.06765,-2.36715,-2.32035,-0.3734875,-0.820275,0.035195,-1.184725,-0.790005,-0.41616,-1.07965,-1.07495,-0.940125,-0.936125,-0.94735,-1.067625,-1.043225,-1.060525,-1.103725,-1.1072,-1.7905,-1.781,91.266,416.3075,4.6146,417.4325,3.6629,91.58468181,0.252775,-1.9657,-0.2377025,1.0828,293.2499925,305.977505,-3.20058,3.729025,-0.718,-0.69828,4.862
1,3.25,3.114945,-1.348175,5.39001719175,407.448,0.7938375,0.35,0.6659516055,-1.599939016,1.63551554,1.1782008095,0.333632544,1.314902946,418.84,416.495,390.3575,382.48,414.149,409.025,4.61546,4.60801,5.95,4.46095,4.5152275,4.31249,-0.6,-0.8430525,91.37395,99.656,-1.443525,-4.0545,0.2197225,0.315245,4.1708,1.563275,1.0183,0.8203975,0.792605,1.6693,3.769375,2.50425,3.883,1.1267,1.4519,2.5381,-2.0682,-2.3654,-2.3211,-0.339805,-0.803775,0.008855,-1.168,-0.770815,-0.445735,-1.18025,-1.11975,-1.00995,-0.95575675,-0.93335,-1.00475,-1.039575,-1.033275,-1.079,-1.1111,-1.9562,-2.0123,91.695398285,416.20175,4.64262,417.5345,3.6467,91.508477795,0.24,-1.966225,-0.242995,1.10365,292.789995,305.36,-2.83473,3.76655,-0.778,-0.79452,4.8619
1,3.75,3.2338147515,-1.402125,5.3801634235,407,0.7887,0.33285876925,0.677142,-1.898811885,1.26237,1.0928025,0.40466773225,1.26,419,416.725,390.73,381.91,414.2835,408.89825,4.5144,4.53461,5.8847,4.439525,4.44725,4.24898,-0.648855,-0.95071,91.6022,99.66475025,-1.4493,-4.07985,0.17859,0.490555,4.1311,1.567675,1.02205,0.814935,0.7899375,1.666475,3.7728,2.50655,3.887625,1.1307,1.463375,2.55085,-2.0738,-2.367275,-2.32345,-0.3610775,-0.85181,-0.04623,-1.17445,-0.81621,-0.52259,-1.276975,-1.2326,-1.085925,-0.98783,-0.976025,-1.0355,-1.0679125,-1.046475,-1.082575,-1.127025,-1.8734,-1.9291,91.6186,416.46825,4.62121,417.23,3.549735,91.243020765,0.30744,-2.3584,-0.2003,1.0137,292.545,305.360005,-2.9827425,3.75605,-0.89,-0.892,4.861
1,4.25,3.19729049425,-1.464075,5.35142611975,407.45175,0.811375,0.337153529,0.690756868,-1.035207238,1.41634781,1.09910905125,0.398496317,1.3284,418.722,415.838,390.4375,382.0785,413.908,408.535,4.488175,4.483815,5.703061,4.428375,4.426085,4.2535,-0.70607,-1.000235,91.52285,99.67274775,-1.4259,-3.7058,0.224005,0.29781,4.151275,1.5735,1.0232,0.81988,0.79181,1.668,3.7683,2.504225,3.8875,1.1392,1.4559,2.536,-2.081,-2.3751,-2.3211,-0.34655,-0.9537425,-0.02067,-1.2094,-0.82453,-0.43133,-1.4069,-1.2477,-1.1312,-1.05,-1.041,-1.0723,-1.14,-1.1065,-1.15,-1.199,-1.8994,-1.9458,91.5808152975,416.269,4.60443,417.3065,3.5833,91.7460934625,0.3189925,-2.704825,-0.199035,1.00655,292.2924925,304.8174925,-2.8926,3.72725,-0.89675,-0.80675,4.858
1,4.75,3.19873356,-1.51265,5.36938955725,407.69476255,0.80552925,0.339748,0.66373725,-1.9609329905,1.19930255875,1.11448176,0.3966451265,1.311727526,418.195,415.4925,390.0325,382.621,413.621,408.034,4.45835,4.5,5.5396,4.426925,4.40856,4.300615,-0.8784775,-1.0216,91.30505,99.6727495,-1.4234,-3.96835,0.19521,0.39124,4.191325,1.5705,1.0234,0.81874,0.78124,1.6617,3.7773,2.504075,3.8857,1.1393,1.454025,2.5372,-2.070575,-2.3731,-2.322775,-0.40268,-1.104325,0.01393,-1.2094,-0.82473,-0.44875,-1.406,-1.3042,-1.2028,-1.2658,-1.26,-1.32,-1.2105,-1.27,-1.24,-1.2524,-2.0412,-2.0648,91.33855,416.27525,4.5836025,417.8015,3.5973125,91.1719428925,0.2642675,-2.65265,-0.2231275,1.008225,291.7150025,304.735,-2.94888,3.83134,-0.90775,-0.9145,4.8535
