DOY2,HR2,CO2,H2O,FC,SC,G_1_1_1,G_1_1_2,G_1_1_4,H,LE,WS,USTAR,TA,PA,RH,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_3_1,TS_1_4_1,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,NEE
1,0.25,413.014,6.1335,0.2608505,0.148661,-1.23125,-1.18425,-1.456,0.075905985,9.67076,3.539175,0.493617,-1.488,93.4737,94.2,0.728368,-0.440019,0.2582995,-0.12625,0.103,0.592,-0.766,0.386628,0,0.13925,0.8385,295.386,306.277,0.5398555
1,0.75,413.55575,6.1012475,0.184988,0.11898,-1.23,-1.186,-1.502,-0.823113,9.88653,3.545445,0.504179,-1.46718,93.4732,94.4,0.748405,-0.5405775,0.2566275,-0.133,0.096,0.589,-0.771,0.27918,0,0.091,0.8116155,295.122,305.548,0.54147325
1,1.25,413.623,6.099425,0.247694,0.0830918,-1.232,-1.1805,-1.441,-0.41326,10.373,3.5104525,0.503323,-1.372255,93.4855,94.3,0.760302,-0.564704,0.2680995,-0.13475,0.099,0.58575,-0.83975,0.491142,0,0.107,0.83375,295.575,305.286,0.540818
1,1.75,413.576,6.06726,0.44201625,0.14173,-1.23275,-1.188,-1.407,-2.15734,11.8272,3.64046,0.529367,-1.328415,93.511775,93.9,0.78289125,-0.3302365,0.258804,-0.1355,0.10275,0.58425,-0.936,0.36828,0,0.132,0.84475,294.416,305.476,0.5403465
1,2.25,413.469,6.12807,0.19278,0.170607,-1.2315,-1.1805,-1.396,-0.7097325,8.806985,3.6062025,0.514933,-1.28934,93.55405,93.9,0.74899625,-0.33279525,0.25597375,-0.13875,0.08975,0.5885,-0.84625,0.4257,0,0.109,0.77125,295.41,305.844,0.5421005
1,2.75,413.57625,6.153905,0.228043,0.1307395,-1.22975,-1.1835,-1.4955,-1.351565,11.6596,3.623445,0.511668,-1.321355,93.5548,93.85,0.76274,-0.4527235,0.264992,-0.134,0.093,0.5905,-0.548,0.243016,0,0.0805,0.8275,296.479,305.652,0.5415795
1,3.25,413.5785,6.28945,0.42,0.0999827,-1.23025,-1.1855,-1.3685,-1.90538,12.2403,3.662455,0.528656,-1.35,93.551125,93.8,0.732132,-0.42347,0.272072,-0.13375,0.09575,0.59075,-0.734,1.2869,0,0.2375,0.77475,295.282,305.963,0.54196075
1,3.75,414.2325,6.07679,0.14420775,0.1359325,-1.23075,-1.185,-1.3795,0.074673925,11.042125,3.5115725,0.500012,-1.399,93.57235,93.9,0.7373955,-0.38584775,0.27986825,-0.136,0.099,0.5915,-0.236,0.967362,0,0.196,0.83,296.125,306.156,0.53951075
1,4.25,414.622,6.150945,0.36,0.11837075,-1.2295,-1.1845,-1.359,-0.958224,14.8029,3.5871,0.518651,-1.4205,93.600125,94.15,0.71969675,-0.46108875,0.270384,-0.1405,0.106,0.592,-0.55975,0.535336,0,0.196,0.80825,295.877,305.377,0.54116225
1,4.75,413.872,6.163915,0.2055305,0.11661375,-1.22825,-1.18825,-1.4,0.288616,11.2044,3.6154,0.513406,-1.488,93.596625,94.1,0.70325,-0.677298,0.279843,-0.13575,0.103,0.59325,-0.76525,0.64876225,0,0.104,0.8265,294.4,305.178,0.539176
