DOY2,HR2,CO2,FC,SC,G_1_1_1,H,LE,SH,SLE,PA_1_1_1,RH_1_1_1,TA_1_1_1,VPD_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,TS_1_1_1,USTAR,WS_1_1_1
1,0.25,424.20500185,0.176579997,0.0464000015,-4.633318901,-6.177140236,-0.085299999,-0.057480007,-0.0276194995,97.252841945,88.9241333,-14.521758555,0.186378479,-2.8475785255,0.0859999995,-1.972630203,0.1464000045,1.420989037
1,0.75,424.30200195,0.179389998,0.0512499995,-4.75301528,-4.2557399275,0.121752001,-0.820152998,-0.0393710015,97.241718295,88.9241333,-14.25747919,0.187360004,-3.2357399465,0.085999999,-1.972630203,0.154652998,1.460875034
1,1.25,423.2054901,0.2488934915,0.0209999995,-5.161398888,-14.0409352765,-0.209429994,-0.283906996,-0.1333949975,97.13194275,88.74089813,-14.283236985,0.189759672,-4.168739796,0.090000004,-1.972630203,0.214855999,1.520256996
1,1.75,423.2349854,0.251711994,0.00374,-4.849157095,-9.8976095905,0.118952997,-0.1121675,-0.0339,97.100048065,88.9241333,-14.69536877,0.179608122,-1.9959535,0.0909999985,-1.945285559,0.2210770025,1.593487024
1,2.25,422.85099795,0.209422499,-0.009714,-5.180946827,-6.494810104,0.060199998,0.5403760075,0.0615449995,97.29794312,88.9241333,-14.07717133,0.177328706,-2.448124886,0.093000002,-1.945043564,0.1150055005,1.563539982
1,2.75,422.6260071,0.140395999,-0.000495,-4.2719374895,-10.751659872,0.1850755065,0.752819508,0.029599999,97.919887545,89.98864746,-13.81958961,0.175823823,-1.5250635145,0.0874999985,-1.944801569,0.149217002,1.7013545035
1,3.25,421.1480103,0.138628997,-0.00303,-2.578752041,-4.54610014,-0.081299998,-0.626736999,-0.0458,98.0328064,88.11504364,-13.458973885,0.175935328,-3.877077103,0.081,-1.91769892,0.177982502,1.762277007
1,3.75,421.09649655,0.167278007,-0.01275,-2.5910180805,-4.983650208,0.171213001,-0.4501420115,-0.034950001,98.053432465,87.640625,-13.35594082,0.176476784,-5.312582493,0.083999999,-1.91769892,0.152282998,1.6956344845
1,4.25,421.3679962,0.140806504,0.006135,-2.60431993,-4.983479977,0.044199999,-0.626824498,-0.0343500005,98.08134079,87.999362945,-13.35594082,0.1714701135,-4.403705001,0.081500001,-1.91769892,0.174164996,1.5400599835
1,4.75,421.4640045,0.1658369975,0.0005295,-2.608270526,-4.028559923,0.0297,-0.195524,-0.0328,98.056884765,88.057201385,-13.07742405,0.177442141,-4.1358509065,0.0824999995,-1.890469313,0.173097998,1.431535482
1,5.25,421.4240112,0.196185,0.00333,-2.6076885465,-6.345689774,0.151234999,-0.568893015,-0.029999999,98.011016845,87.58278656,-12.67118263,0.1743363365,-4.8348805905,0.0835000015,-1.890469313,0.179820001,1.487671971
1,5.75,421.34750365,0.154663503,0.00528,-2.608343005,-5.603700161,0.148151502,-0.142547995,-0.024700001,97.9585495,87.32736206,-12.94380951,0.1768609885,-3.728482008,0.0824999995,-1.890469313,0.1624915005,1.25246346
1,6.25,421.50250245,0.150611997,0.0221500005,-2.608637094,-5.748675108,0.055100001,-0.561109006,-0.0272500005,98.06300354,87.85961914,-13.12256145,0.1721676145,-3.720714092,0.082000002,-1.890469313,0.175634995,1.273728013
1,6.75,421.9069977,0.140287995,0.0155,-2.506242037,-3.6143449545,0.0383,-0.381693497,-0.029200001,98.066062925,85.73059082,-13.25290775,0.1798286515,-2.9496115445,0.083999999,-1.890469313,0.152645007,1.302978992
1,7.25,421.605011,0.1515130025,0.00857,-2.6176509855,-3.189239979,-0.008275,-0.5857504905,-0.0229,97.96402359,85.56943512,-13.04684258,0.1893250345,-3.273344517,0.096499998,-1.890469313,0.127941996,1.182669461
1,7.75,421.75601195,0.134491995,0.00359,-2.6232630015,-1.394050002,0.1347049995,0.033349999,0.000897,97.96642685,86.04385376,-13.01797962,0.1829416975,-3.1432925465,0.4494999945,-1.890290797,0.107511997,1.0255900025
1,8.25,422.2909851,0.152854994,0.00196,-2.620373011,-3.640980005,0.115951002,0.0136215015,-0.028999999,98.06256104,85.98601532,-12.76145935,0.1772769465,-5.080142021,8.300000191,-1.90022105,0.172284499,1.060013056
1,8.75,421.63749695,0.1600379945,-0.00338,-2.625250101,-2.311749935,0.225215003,0.0505065015,0.0106,98.01172638,88.11504364,-13.10394001,0.1739830225,-5.609034061,40.70000076,-1.890112281,0.147775993,0.954945326
1,9.25,423.0774994,0.120582998,0.0124,-2.67692101,-2.543034911,0.181654006,-0.520061016,-0.00493,97.932666775,86.5182724,-12.98714781,0.1736508305,-8.66226387,112.8000031,-1.890112281,0.124182999,1.006492078
1,9.75,422.07901,0.091200002,0.0276000005,-2.8591840265,-2.124310017,-0.126165003,-0.346044004,-0.0341500005,97.92645264,87.258815765,-13.16769886,0.1722433265,-14.7854104,200.4499969,-1.890112281,0.128380001,1.146477044
1,10.25,421.3049927,0.1752185,0.0127,-2.8542915585,-2.334715009,0.161233,0.088500001,0.00673,97.81342316,87.999362945,-13.92262173,0.175969109,-17.98952007,253.7000046,-1.890112281,0.1239644995,1.2886334655
