DOY2,HR2,TA,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,PPFD_OUT,WS,USTAR,TS_1,TS_2,T_SONIC,G_1,G_2,CO2
1,0.25,-21.94425,0,0.0058888,229.664425,251.046975,-48.00505,-0.00379455,-0.0711375,2.7352,0.0283885,-3.9199,-3.550475,-21.8365,-9.243875,-12.66175,446.1422
1,0.75,-22.53125,0,0.01455675,230.24375,250.85475,-47.7163,-0.00416135,-0.07490175,2.1071,0.0283885,-3.91125,-3.553175,-21.8365,-9.1128,-12.7835,446.1422
1,1.25,-22.55625,0,0.07026875,231.12755,251.156375,-47.229075,-0.005218425,-0.06907975,0.8748425,0.0283885,-3.9087,-3.5459,-21.8365,-8.9872,-12.89675,446.1422
1,1.75,-22.80425,0,0.06468675,230.761175,247.555975,-41.669775,-0.0041858,-0.072998,0.824036875,0.0283885,-3.910325,-3.526025,-21.8365,-9.008275,-12.69775,446.1422
1,2.25,-22.80525,0,0.125902,229.715075,247.753675,-38.329225,-0.004082475,-0.06376625,0.77323125,0.0283885,-3.9055,-3.5247,-21.8365,-9.199875,-13.17825,446.1422
1,2.75,-22.642,0,0.05536525,230.004525,249.18705,-38.543375,-0.00341305,-0.06836025,0.722425625,0.0283885,-3.902125,-3.520725,-21.8365,-9.176025,-13.2715,446.1422
1,3.25,-22.99775,0,0.1325375,230.0197,249.339375,-40.655625,-0.0025841,-0.07288525,0.67162,0.0283885,-3.9035,-3.52025,-21.8365,-8.92495,-12.9745,446.1422
1,3.75,-23.23075,0,0.136235,229.23915,242.8542,-38.696775,-0.003661725,-0.08320025,0.738930833333333,0.0283885,-3.9083,-3.515275,-21.8365,-8.8649,-13.02375,446.1422
1,4.25,-23.869,0,0.1738,224.117175,252.34455,-41.251475,-0.00590835,-0.07831575,0.806241666666667,0.0283885,-3.904975,-3.525925,-21.8365,-9.083775,-13.06375,446.1422
1,4.75,-23.55525,0,0.010651275,220.1505,252.260525,-37.682025,-0.00891185,-0.07963,0.8735525,0.0283885,-3.92355,-3.51995,-21.8365,-9.23895,-13.299,446.1422
1,5.25,-23.8285,0,0.01718225,218.287475,252.8634,-40.34835,-0.00341415,-0.096097,0.940863333333333,0.0283885,-3.90235,-3.50595,-21.8365,-9.357425,-13.16375,446.1422
1,5.75,-23.8265,0,0.06497625,216.167125,252.17515,-39.348025,-0.00566095,-0.0937,1.00817416666667,0.0283885,-3.913225,-3.502475,-21.8365,-9.5786,-13.1005,446.1422
1,6.25,-24.09125,0,0.012161,218.240725,244.7287,-32.582,-0.00674185,-0.1050175,1.075485,0.0283885,-3.913075,-3.500375,-21.8365,-9.577475,-13.16225,446.1422
1,6.75,-23.85825,0,0.0216455,221.660925,243.59765,-30.290025,-0.008384375,-0.1071525,1.14279583333333,0.0283885,-3.91705,-3.500425,-21.8365,-9.580625,-13.36,446.1422
1,7.25,-23.56,0,0.03055675,223.6107,246.94495,-29.900325,-0.0044976,-0.110465,1.21010666666667,0.0283885,-3.936225,-3.490275,-21.8365,-9.490975,-13.36,446.1422
1,7.75,-23.21125,0,0.10786675,224.298675,246.88715,-30.668475,0.10749,0.0003286725,1.2774175,0.0283885,-3.928275,-3.490225,-21.8365,-9.540825,-13.32175,446.1422
1,8.25,-23.0025,1.176225,1.584025,216.826275,246.63245,-27.973325,3.387425,3.0229,1.34472833333333,0.0283885,-3.94455,-3.4984,-21.8365,-9.6691,-13.75875,446.1422
1,8.75,-22.4915,11.637,10.273,218.0542,250.05225,-36.217525,29.93475,25.8045,1.41203916666667,0.0283885,-3.9506,-3.47535,-21.8365,-9.69615,-13.8085,446.1422
1,9.25,-21.7405,35.77725,30.8855,219.91645,256.38585,-40.46,85.82775,76.89525,1.47935,0.0283885,-3.947025,-3.4598,-21.8365,-9.754725,-13.90875,446.1422
1,9.75,-20.48925,60.689,51.2915,224.6457,263.17465,-29.091925,148.145,128.915,1.9698,0.0283885,-3.958675,-3.443575,-21.8365,-9.737525,-14.0355,446.1422
1,10.25,-19.8545,88.73,75.306,226.872,266.8348,-20.2082,220.38,187.3875,2.6049,0.05823475,-3.922475,-3.420425,-20.507,-9.7256,-14.162,451.2794
1,10.75,-19.48175,117.6425,96.00175,230.4131,271.97665,-16.34265,292.2775,246.5525,2.266825,0.079361,-3.950925,-3.468275,-22.8235,-9.639825,-14.2085,446.765
1,11.25,-19.344,143.875,123.64,233.86665,280.140075,-17.44375,336.985,322.4325,2.939525,0.084433,-3.949625,-3.44245,-21.6545,-9.487325,-14.21075,448.75825
1,11.75,-19.21975,172.0675,140.835,237.40985,286.090975,-10.980525,422.6875,352.075,3.1062,0.1549575,-3.9442,-3.440725,-21.211,-9.1871,-14.549,450.81135
1,12.25,-18.60675,184.305,160.71,237.2979,291.68015,-9.54875,450.0325,396.505,2.9618,0.17068,-3.9393,-3.4372,-20.937,-9.05615,-14.60475,451.9766
1,12.75,-18.517,170.825,151.4775,238.77395,297.1803,-15.480075,447.8725,373.11,3.0377,0.12425,-3.923025,-3.3741,-20.4135,-8.943375,-14.797,452.3929
1,13.25,-18.67375,178.48,153.7375,239.743325,296.99145,-21.510875,415.3375,391.0025,3.18495,0.1130515,-3.9295,-3.483575,-19.8955,-8.8945,-14.4995,452.606
1,13.75,-18.2975,164.825,132.13,241.312825,294.19185,-26.40105,399.245,329.61,3.2081,0.15571,-3.943425,-3.4239,-19.706,-8.955825,-14.30475,451.9133
1,14.25,-18.5255,137.1725,114.6975,237.74885,294.075275,-31.40905,338.0225,296.325,3.835375,0.1482825,-3.913675,-3.3959,-19.96875,-9.102725,-14.264,452.1349
1,14.75,-18.76475,117.2825,95.2835,236.86,293.811125,-42.522675,275.1475,236.065,3.581075,0.18047,-3.920625,-3.4045,-19.69025,-9.08605,-14.08025,442.14845
1,15.25,-18.8335,90.8105,74.0435,234.93745,293.107375,-54.91535,219.9475,181.705,2.914075,0.16438,-3.926,-3.4485,-19.458,-8.811525,-14.02925,441.9451
1,15.75,-19.14975,58.4115,47.78725,233.249575,289.0865,-65.483375,139.7325,114.9775,3.058325,0.12523525,-3.9325,-3.46165,-19.65775,-8.75825,-14.17225,452.062175
1,16.25,-19.40875,29.89125,26.19475,234.516825,287.17285,-75.378,70.264,61.02875,2.6964,0.085762,-3.931325,-3.476475,-20.737,-8.618625,-14.0655,452.25535
1,16.75,-19.71725,6.581325,6.550725,234.6617,285.857775,-74.544375,15.64075,13.156,2.6534,0.076592,-3.91955,-3.493075,-22.06525,-8.468825,-13.4625,455.397075
1,17.25,-19.76775,0,0.803325,232.45985,275.19375,-71.680075,0.7294925,0.595125,2.7516,0.01,-3.9232,-3.544125,-22.7485,-8.315675,-13.196,455.0834
1,17.75,-20.073,0,0.08898675,230.3081,273.882875,-66.500625,0.0245415,-0.00172535,2.6132,0.01,-3.921925,-3.56955,-22.377,-8.350675,-13.06875,454.80905
1,18.25,-20.297,0,0.03110575,230.096025,268.695375,-67.179075,0.00557795,-0.0728915,2.251875,0.0578545,-3.92435,-3.562625,-23.22375,-8.448275,-12.861,455.641025
1,18.75,-20.16425,0,0.03050375,232.2993,259.655175,-65.4574,-0.001139855,-0.06909525,2.48055,0.01,-3.93265,-3.5515,-17.309,-8.468,-12.80975,455.32275
1,19.25,-20.4255,0,0.01229405,231.667375,258.725925,-58.580075,-0.000582475,-0.088417,2.48935,0.01,-3.92955,-3.544725,-17.706,-8.3582,-12.62425,456.7075
1,19.75,-20.60975,0,0.079373,230.187575,258.492625,-60.7436,-0.001415925,-0.08391725,2.67,0.01,-3.932925,-3.547075,-18.045,-8.40425,-12.7955,457.1397
1,20.25,-20.99425,0,0.134305,229.854975,256.7016,-59.73645,-0.00333065,-0.0589915,1.9116,0.01,-3.921475,-3.54455,-18.116,-8.472625,-12.90725,457.477
1,20.75,-21.16725,0,0.117599,229.516975,256.113975,-60.880575,-0.001406775,-0.055873,2.8253,0.01,-3.9261,-3.53955,-20.204,-8.542125,-12.988,456.8871
1,21.25,-21.34725,0,0.00037386,227.773875,253.515725,-60.92275,-0.001998725,-0.04680875,4.024,0.01,-3.93895,-3.537275,-20.9015,-8.5168,-12.65375,456.2779
1,21.75,-21.589,0,0.006101175,227.3121,251.4458,-57.1158,0.0012490475,-0.051038,3.144775,0.01,-3.953775,-3.53495,-20.6275,-8.4176,-12.65475,455.7684
1,22.25,-21.59825,0,0.00484755,227.4376,249.952675,-49.254075,0.0003330175,-0.06949925,0.72308,0.01,-3.95975,-3.546,-17.3205,-8.6707,-12.62025,455.7684
1,22.75,-21.66675,0,0.032578725,229.516475,249.536875,-47.740125,-0.00583045,-0.06095975,2.55775,0.01,-3.96045,-3.541075,-18.8545,-8.814175,-12.39725,455.7684
1,23.25,-21.6,0,0.000498145,231.177625,251.110125,-50.06635,-0.00266575,-0.06217875,0.567345,0.01,-3.94045,-3.543825,-19.183,-8.82335,-12.3445,455.7684
1,23.75,-21.9715,0,0.0020745825,232.980975,249.825075,-47.58055,-0.0003079175,-0.07317525,0.4388125,0.01,-3.935675,-3.5431,-19.183,-8.7814,-12.329,455.7684
2,0.25,-21.81175,0,0.22614,227.1285,245.41845,-49.9686,-2.553825,-0.025126,0.60078,0.0283885,-4.37535,-3.8904,-21.8365,-10.4435,-11.198,446.1422
