DOY2,HR2,PA,TA,RH,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,PPFD_OUT,WS,USTAR,TS_1,TS_2,T_SONIC,G_1,G_2,CO2
1,0.25,99,-16.67,81.281,0,0.325865,254.6868,270.6406,-21.93305,0.00284565,-0.00821575,3.76185,0.12985,-1.7312,-1.38265,-18.7715,-6.00885,-9.03945,449.2707
1,0.75,98.995,-16.629,81.5275,0,0.324685,255.4723,271.10495,-17.30635,0.00664205,-0.00591785,4.0518,0.12985,-1.7202,-1.36998,-18.7715,-6.2253,-9.1288,449.2707
1,1.25,98.92,-16.9485,81.3555,0,0.40222,256.28195,266.52735,-13.37195,0.0026641,-0.01217,1.3335,0.12985,-1.7213,-1.37037,-18.7715,-6.46305,-9.0085,449.2707
1,1.75,98.85,-18.0185,81.4575,0,0.36538,256.4629,265.6869,-10.5522,0.00482845,-0.0118325,1.26031875,0.12985,-1.7205,-1.36735,-18.7715,-6.6684,-9.17995,449.2707
1,2.25,98.87,-17.9285,82.132,0,0.33771,256.73375,276.923,-17.192,0.0026649,-0.015611,1.1871375,0.12985,-1.73145,-1.37841,-18.7715,-6.7982,-9.0759,449.2707
1,2.75,98.88,-17.4545,82.2715,0,0.39063,257.3239,269.38345,-14.4537,0.0023296,-0.012651,1.11395625,0.12985,-1.73475,-1.375695,-18.7715,-6.8661,-9.13015,449.2707
1,3.25,98.95,-17.386,82.0205,0,0.501655,258.04015,269.15325,-13.6524,0.00174685,-0.0116645,1.040775,0.12985,-1.72515,-1.36623,-18.7715,-6.8421,-9.0954,449.2707
1,3.75,99.05,-17.309,81.903,0,0.439785,256.0813,268.4294,-12.27365,0.00101561,-0.0039439,1.16023541666667,0.12985,-1.7315,-1.372005,-18.7715,-6.7275,-9.36145,449.2707
1,4.25,99.145,-17.393,81.543,0,0.397795,254.82465,267.33285,-12.64915,0.00289605,-0.00591625,1.27969583333333,0.12985,-1.73355,-1.37099,-18.7715,-6.77245,-9.6849,449.2707
1,4.75,99.18,-17.3505,81.794,0,0.354935,253.08525,266.9732,-12.81135,0.003328,-0.003778,1.39915625,0.12985,-1.73785,-1.38713,-18.7715,-6.9513,-9.4813,449.2707
1,5.25,99.17,-17.5065,81.3925,0,0.4502,252.93745,261.7299,-11.376,0.0041459,-0.00574935,1.51861666666667,0.12985,-1.7429,-1.38725,-18.7715,-6.82,-9.1738,449.2707
1,5.75,99.245,-17.4935,81.5225,0,0.363475,255.5037,263.81875,-10.15005,0.00149765,-0.00344695,1.63807708333333,0.12985,-1.7701,-1.40209,-18.7715,-6.6386,-9.3556,449.2707
1,6.25,99.205,-17.697,81.68,0,0.328125,256.5497,263.3374,-9.17405,-0.00116628,-0.00394355,1.7575375,0.12985,-1.7769,-1.40699,-18.7715,-6.45185,-9.33425,449.2707
1,6.75,99.155,-17.7485,81.326,0,0.34922,257.07305,264.43245,-8.8785,0.00116533,-0.0041065,1.87699791666667,0.12985,-1.786,-1.40818,-18.7715,-6.47695,-9.2617,449.2707
1,7.25,99.04,-17.3775,81.6195,0,0.36361,256.4228,265.59365,-8.9039,0.0049568,-0.00410665,1.99645833333333,0.12985,-1.78215,-1.41143,-18.7715,-6.56985,-9.29045,449.2707
1,7.75,98.975,-17.2915,81.9955,0,0.444,255.64875,266.49,-8.87835,0.15011,0.0406725,2.11591875,0.12985,-1.79025,-1.413645,-18.7715,-6.7025,-9.2616,449.2707
1,8.25,98.945,-17.2315,81.577,1.82395,2.22705,255.29325,267.8121,-10.66675,4.09675,3.77165,2.23537916666667,0.12985,-1.78625,-1.40908,-18.7715,-6.7354,-9.31405,449.2707
