DOY2,HR2,H,LE,FC,SC,USTAR,WS,PA,RH,CO2,H2O,NETRAD,PPFD_IN,PPFD_BC_IN,TA_1_1_1,TA_1_2_1,TA_1_3_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,NEE
1,0.25,-11.672,-0.049,0.1255,0.011,0.315,3.42,98.98,95,374.4255,0.81361,-3.411,-2.348,2.534,-22.769,-23.678,-25.507,-2.287,-1.275,-0.778,0.0035,0.664,-10.425,-6.3575,-7.319,-1.709,0.247,0.2008
1,0.75,-12.519,-0.0465,0.164,0.02,0.32,3.39,99.01,95,374.4625,0.80878,-3.411,-2.348,2.526,-22.859,-23.771,-25.507,-2.287,-1.275,-0.778,0.026,0.664,-10.3675,-6.332,-7.371,-1.709,0.247,0.20038
1,1.25,-11.5585,-0.048,0.16,0.015,0.319,3.305,98.98,95,374.448,0.80717,-2.4715,-2.348,2.53,-22.9035,-23.818,-25.507,-2.287,-1.275,-0.778,0.026,0.664,-10.425,-6.332,-7.345,-1.686,0.247,0.18999
1,1.75,-11.3065,-0.038,0.119,0.0145,0.309,3.33,99.01,95,374.544,0.80717,-3.411,-2.348,2.54,-23.2655,-23.958,-25.557,-2.287,-1.275,-0.778,0.026,0.686,-10.396,-6.332,-7.371,-1.686,0.247,0.18326
1,2.25,-10.627,-0.0236385,0.159,0.016,0.32,3.33,99.015,95,374.806,0.80475,-3.411,-2.348,2.54,-23.22,-24.052,-25.407,-2.287,-1.275,-0.778,0.026,0.664,-10.396,-6.46,-7.319,-1.686,0.247,0.202835
1,2.75,-10.315,-0.0405,0.141,0.027,0.314,3.355,99.025,94,374.639,0.778975,-2.3035,-2.348,2.654,-23.402,-24.3835,-25.6075,-2.287,-1.275,-0.778,0.026,0.664,-10.396,-6.486,-7.345,-1.686,0.247,0.18779
1,3.25,-9.966,-0.022,0.123,0.016,0.302,3.28,99.04,94,374.903,0.79106,-2.278,-2.348,2.534,-23.586,-24.623,-25.557,-2.287,-1.275,-0.778,0.026,0.686,-10.396,-6.434,-7.319,-1.686,0.247,0.19823
1,3.75,-9.967,-0.04,0.155,0.011,0.301,3.26,99.04,95,374.892,0.791055,-2.285,-2.348,2.53,-23.632,-24.432,-25.911,-2.287,-1.275,-0.778,0.026,0.686,-10.3675,-6.434,-7.371,-1.709,0.247,0.197305
1,4.25,-9.9195,-0.0625,0.13774,0.006,0.318,3.205,99.06,95,374.7405,0.783,-2.284,-2.348,2.7,-23.586,-24.241,-25.911,-2.287,-1.275,-0.778,0.026,0.664,-10.339,-6.46,-7.319,-1.709,0.247,0.19572
1,4.75,-11.72,-0.063,0.166,0,0.318,3.27,99.04,95,374.662,0.777365,-2.281,-2.348,2.526,-23.7245,-24.72,-25.7585,-2.287,-1.275,-0.778,0.026,0.686,-10.282,-6.486,-7.3185,-1.686,0.247,0.20082
1,5.25,-9.825,0.0165,0.146,0.006,0.314,3.18,99.035,94,374.846,0.77333,-2.277,-2.348,2.54,-23.958,-25.012,-25.708,-2.287,-1.275,-0.778,0.026,0.664,-10.396,-6.486,-7.266,-1.686,0.247,0.190095
1,5.75,-11.794,-0.03,0.119,0.006,0.3125,3.17,99.065,95,375.115,0.77575,-2.277,-2.348,2.534,-23.958,-24.914,-25.708,-2.287,-1.275,-0.778,0.026,0.686,-10.339,-6.357,-7.266,-1.7205,0.247,0.188085
1,6.25,-10.678,-0.006,0.134,0.016,0.3185,3.23,99.08,95,375.076,0.79589,-2.276,-2.348,2.526,-24.005,-24.963,-25.708,-2.2635,-1.275,-0.778,0.026,0.686,-10.282,-6.434,-7.1615,-1.686,0.247,0.183015
1,6.75,-11.707,-0.011,0.1585,0.003,0.314,3.18,99.04,95,375.074,0.79106,-2.303,-2.348,2.526,-24.052,-24.6715,-25.708,-2.2635,-1.275,-0.778,0.026,0.675,-10.396,-6.383,-7.161,-1.686,0.247,0.200605
1,7.25,-9.85,0.007,0.161,0.016,0.33,3.275,99.03,95,375.042,0.79589,-2.298,-2.348,2.54,-24.241,-25.012,-25.911,-2.287,-1.275,-0.778,0.0035,0.664,-10.282,-6.4345,-7.161,-1.709,0.247,0.208525
1,7.75,-11.039,0.009,0.1395,0,0.324,3.33,99.005,95,375.143,0.77011,-2.278,-2.348,2.526,-24.052,-24.817,-26.013,-2.2635,-1.275,-0.778,0.026,0.686,-10.282,-6.383,-7.161,-1.732,0.247,0.202595
1,8.25,-9.238,-0.008,0.1045,0.006,0.339,3.255,99.04,95,374.962,0.749975,-2.276,-1.566,2.51,-24.1935,-24.963,-26.2695,-2.2635,-1.275,-0.778,-0.019,0.664,-10.282,-6.383,-7.1875,-1.732,0.247,0.173985
1,8.75,-9.979,-0.0285,0.158,0.0045,0.34,3.3,99.08,94,375.1735,0.74917,-1.141,1.566,2.66,-24.241,-25.209,-26.218,-2.2635,-1.275,-0.778,0.026,0.664,-10.339,-6.332,-7.24,-1.732,0.247,0.19211
1,9.25,-8.877,0.036,0.185,-0.014,0.3395,3.24,99.07,95,375.235,0.731445,2.9085,20.352,3.204,-24.146,-25.308,-26.218,-2.2635,-1.275,-0.778,-0.019,0.686,-10.339,-6.409,-7.266,-1.732,0.247,0.19552
1,9.75,-4.989,0.134,0.2535,-0.014,0.36,3.145,99.095,95,375.05,0.7685,13.3,56.359,3.3665,-24.052,-24.817,-25.911,-2.24,-1.275,-0.778,0.026,0.686,-10.3675,-6.28,-7.266,-1.709,0.247,0.22092
1,10.25,5.029,0.418,0.3085,-0.036,0.4056,3.245,99.1,95,375.1265,0.74594,29.4165,101.76,4.07,-24.052,-24.336,-25.457,-2.24,-1.275,-0.778,-0.019,0.664,-10.282,-6.28,-7.319,-1.686,0.247,0.237555
1,10.75,16.467,0.812,0.2475,-0.04,0.422,3.37,99.105,96.5,375.149,0.81039,43.157,150.094,4.116,-23.494,-23.678,-24.623,-2.24,-1.275,-0.778,0.0035,0.686,-10.3105,-6.28,-7.214,-1.64,0.269,0.20082
1,11.25,24.51,1.819,0.235,-0.045,0.439,3.205,99.11,96.5,375.246,0.85244,52.1305,179.252,4.193,-22.68,-22.948,-23.865,-2.24,-1.275,-0.778,0.026,0.686,-10.396,-6.28,-7.266,-1.64,0.247,0.18779
1,11.75,35.6895,2.237,0.2465,-0.0315,0.44721,3.29,99.135,98,374.9245,0.9135,61.378,222.6955,4.193,-21.806,-21.9785,-23.22,-2.24,-1.275,-0.778,0.026,0.686,-10.282,-6.383,-7.214,-1.64,0.247,0.191575
1,12.25,44.9755,3.09,0.231,-0.0235,0.439,3.26,99.13,99,374.9205,1.0118,68.595,247.352,4.1995,-21.129,-21.381,-22.68,-2.24,-1.275,-0.778,0.0035,0.686,-10.339,-6.2035,-7.266,-1.64,0.313,0.181165
1,12.75,46.964,3.0805,0.142,-0.025,0.437,3.22,99.145,98,374.867,1.0552,74.598,259.485,4.206,-20.55,-21.129,-22.065,-2.2635,-1.275,-0.778,0.026,0.686,-10.282,-6.178,-7.109,-1.549,0.313,0.1899
