DOY2,HR2,USTAR,TA_1_1_1,WS,FC,H,LE,RH,CO2,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,H2O_1_1_1
1,0.25,0.35725,-16.764,2.59625,0.23,-2.18875,0.174,80.58475,383.162,0.27,-1.46725,6.3625,-0.53775,0.268,0.16225,1.314
1,0.75,0.3755,-17.31125,2.707,0.2225,-1.59825,0.14525,80.5105,383.194,0.26,-1.72625,6.32475,-0.515,0.26875,0.2,1.2585
1,1.25,0.3865,-17.6485,2.6635,0.23625,-1.682,0.18025,81.112,383.281,0.26,-1.576,5.79775,-0.69475,0.255,0.11825,1.29
1,1.75,0.3785,-17.424,2.697,0.226,-1.739,0.135,81.1465,383.36225,0.26,-1.219,6.45775,-0.54725,0.24,0.13,1.3155
1,2.25,0.383,-17.32725,2.8135,0.225,0.732,0.037,80.9055,383.4325,0.26,-1.40775,6.5345,-0.33075,0.248,0.1965,1.367
1,2.75,0.3845,-17.604,2.66275,0.248,-0.671,0.258,80.92775,383.41625,0.26,-1.307,7.34025,-0.31,0.2295,0.168,1.31
1,3.25,0.39825,-17.84625,2.73725,0.273,1.652,0.273,80.912,383.44225,0.26,-1.37925,8.6005,-0.3995,0.2535,0.12525,1.275
1,3.75,0.36825,-18.107,2.4875,0.254,1.037,0.187,80.7765,383.46375,0.2575,-1.509,8.39175,-0.34825,0.24975,0.16875,1.262
1,4.25,0.387,-18.25125,2.5055,0.29025,-1.01925,0.1725,80.755,383.329,0.25,-1.21475,8.2955,-0.20775,0.25025,0.21625,1.0445
1,4.75,0.388,-18.69975,2.549,0.297,-1.146,0.203,81.074,383.112,0.255,-0.8775,8.06875,-0.144,0.28025,0.23575,1.052
1,5.25,0.37425,-18.7715,2.52375,0.271,-2.20525,0.153,81.1785,383.528,0.245,-0.62475,7.94,-0.186,0.2615,0.21125,1.053
1,5.75,0.366,-18.77225,2.46325,0.19225,-0.108,0.1335,81.2895,383.022,0.255,-1.4465,8.27,-0.26375,0.2335,0.2165,1.056
1,6.25,0.357,-18.96525,2.503,0.20075,2.026,0.216,81.0465,383.361,0.25,-1.431,7.647,-0.1785,0.26725,0.22375,1.063
1,6.75,0.37225,-19.14975,2.723,0.195,1.058,0.099,81.0875,383.3685,0.24,-1.29025,7.89675,-0.16125,0.24875,0.1895,1.0745
1,7.25,0.375,-19.05625,2.506,0.2555,0.4035,0.30875,81.0845,383.7165,0.24,-1.48475,7.5335,-0.4105,0.24675,0.21075,1.03525
1,7.75,0.379,-19.19,2.503,0.245,-0.47675,0.2185,81.0055,383.92175,0.24,-1.24325,7.46025,-0.22825,0.262,0.342,1.02675
1,8.25,0.372,-19.04225,2.66,0.19075,1.083,0.2,80.852,384.111,0.24,-1.14675,8.5095,-0.10525,0.39475,0.3375,1.067
1,8.75,0.337,-18.9575,2.45,0.21725,0.7685,0.20075,81.0345,384.18,0.25,-0.55375,14.37725,2.3555,4.703,2.2015,1.10275
1,9.25,0.367,-18.8035,2.565,0.211,1.439,0.182,80.8165,384.3795,0.25,1.9555,46.639,22.58675,21.49125,11.69125,1.10875
1,9.75,0.392,-18.44275,2.51,0.297,5.003,0.233,80.4775,384.18575,0.26,12.42825,121.28275,75.48225,54.35775,31.6955,1.127
1,10.25,0.438,-17.851,2.986,0.34,15.866,0.864,79.992,383.98875,0.27,26.201,209.65425,123.73125,93.817,53.40125,1.211
1,10.75,0.477,-17.3965,2.996,0.37125,26.8545,0.955,79.482,384.075,0.275,45.512,282.81575,178.903,134.84575,73.24575,1.26225
1,11.25,0.494,-16.88325,3.144,0.337,43.918,1.8525,78.997,383.784,0.295,53.11725,335.54075,212.87475,162.239,86.9835,1.343
1,11.75,0.511,-16.44275,3.3075,0.3295,52.1745,1.352,78.6305,383.4925,0.315,68.26,400.56125,241.24675,191.55,97.931,1.38725
1,12.25,0.50375,-16.209,3.354,0.37,59.8635,2.4705,78.2715,383.3655,0.345,89.05125,447.587,249.9005,210.5965,103.625,1.34475
1,12.75,0.51825,-15.36625,3.32375,0.367,61.0985,2.3365,77.8535,383.2745,0.37,88.74575,452.2835,256.0265,218.679,109.5325,1.3405
1,13.25,0.5135,-15.3305,3.4715,0.328,60.937,2.102,77.5385,383.344,0.395,86.77425,427.70875,247.602,213.72475,105.51625,1.3885
1,13.75,0.50425,-15.2645,3.4825,0.32925,61.26525,2.04875,77.064,383.44,0.405,79.8175,409.06625,224.4915,192.59975,97.5995,1.3895
1,14.25,0.48475,-14.93975,3.446,0.3025,47.7865,1.932,76.625,383.312,0.425,66.69175,360.1515,206.6675,163.70925,83.33675,1.346
1,14.75,0.4935,-14.77425,3.4965,0.2945,39.2685,1.6895,76.4415,383.198,0.415,50.113,299.217,169.3665,133.7765,69.39525,1.313
1,15.25,0.47675,-14.94425,3.40225,0.33725,23.76125,1.1525,76.7355,382.962,0.42,33.25325,219.55675,128.8845,100.36875,54.15875,1.22825
1,15.75,0.468,-15.382,3.371,0.29,10.0205,0.703,77.2565,382.817,0.41,14.389,128.653,79.1205,63.68,34.5535,1.2025
1,16.25,0.473,-15.632,3.141,0.323,3.474,0.592,78.247,382.89375,0.39,0.7305,65.2085,35.136,32.8255,16.706,1.24
1,16.75,0.441,-16.14725,3.0835,0.237,-1.119,0.277,79.33,382.90825,0.36,-3.321,24.20475,5.3615,10.662,3.6445,1.244
1,17.25,0.43225,-16.8055,2.93125,0.26925,-1.234,0.24675,79.7715,383.0655,0.3275,-3.99975,9.5285,-0.40875,1.26,0.17225,1.261
1,17.75,0.439,-17.11825,3.15125,0.248,-2.03725,0.12475,79.8725,382.834,0.3075,-4.23225,6.15825,-0.758,0.30525,0.0265,1.274
1,18.25,0.421,-17.244,3.081,0.2945,0.115,0.17275,80.01025,382.851,0.2975,-4.225,6.2885,-0.80925,0.2715,0.0395,1.279
1,18.75,0.42675,-17.261,3.018,0.25625,-0.815,0.20625,80.1105,382.9305,0.2875,-3.87925,7.7695,-0.7595,0.278,0.01825,1.266
1,19.25,0.40675,-17.254,2.89325,0.179,-0.443,0.155,80.359,383.004,0.29,-3.50025,7.67325,-0.65975,0.28525,0.03275,1.272
1,19.75,0.442,-17.2315,2.97,0.254,-0.31975,0.0915,79.65675,382.76225,0.28,-3.18475,7.48675,-0.69425,0.26925,0.038,1.30225
1,20.25,0.42875,-17.21675,3.0555,0.25425,-2.18925,0.19775,80.0425,382.757,0.2775,-1.88325,8.07375,-0.71725,0.29525,0.0485,1.3
1,20.75,0.42725,-17.11925,3.026,0.26225,-2.3915,0.18325,79.86325,382.862,0.2775,-1.96675,7.96425,-0.82225,0.27725,0.05675,1.274
1,21.25,0.428,-16.92125,2.92675,0.23775,-2.99475,0.134,79.85475,382.933,0.27,-1.64275,7.74925,-0.83675,0.26425,0.0485,1.2595
1,21.75,0.3985,-17.20825,2.90225,0.225,-3.29675,0.187,79.52375,382.998,0.27,-1.93175,8.12175,-0.636,0.2665,0.06625,1.2525
1,22.25,0.40575,-17.28875,2.791,0.27825,-1.51575,0.1615,79.68175,382.821,0.2575,-1.7995,5.73925,-0.43125,0.25525,0.09025,1.32575
1,22.75,0.388,-17.1345,2.90425,0.29025,-0.873,0.21475,79.92125,382.777,0.2675,-1.5275,4.9005,-0.42775,0.2535,0.10375,1.349
1,23.25,0.3895,-17.36825,2.823,0.22775,-1.8745,0.189,79.7735,382.717,0.27,-1.708,7.025,-0.62975,0.2695,0.0975,1.302
