DOY2,HR2,LE,USTAR,TA_1_1_1,WS,FC,H,RH,CO2,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,H2O_1_1_1
1,0.25,1.127675,0.588375,-8.441625,2.614575,0.623149999999995,7.03632499999999,89.040925,385.12285,0.685249999999998,5.17857499999999,0,0.433949999999999,0.473999999999999,1.607825,2.84225
1,0.75,4.80272499999987,0.5944,-8.3273,2.387675,0.548599999999995,9.7965249999999,88.607525,385.17275,0.717749999999998,5.44924999999999,0,0.768099999999999,0.331449999999999,1.14515,2.863125
1,1.25,1.96937499999993,0.5276,-8.579675,2.3513,0.782299999999985,4.23514999999999,88.651675,386.076475,0.723249999999998,4.71235,0,0.50535,0.296775,1.236475,2.76710000000001
1,1.75,1.342975,0.51125,-8.685025,2.300925,1.455475,8.88594999999995,88.84945,385.89955,0.63575,4.2369,0,0.49765,0.315,1.0843,2.77220000000001
1,2.25,2.18025,0.592275,-8.758175,2.357375,0.472975,9.38742499999996,90.24755,386.204475,0.643749999999999,3.9909,0,0.331575,0.33875,1.179,2.78880000000001
1,2.75,1.0073,0.662475,-8.792775,2.460875,0.5045,8.67972499999999,89.121975,386.064075,0.667999999999999,5.32547499999999,0,0.47635,0.42785,1.086975,2.79840000000001
1,3.25,0.72185,0.6528,-8.815125,2.593775,0.387175,3.35989999999998,88.690875,385.9055,0.60025,5.688675,-0.049,0.36195,0.507774999999999,1.116475,2.79510000000001
1,3.75,0.392199999999999,0.662125,-8.8454,2.522575,0.49045,9.35374999999997,88.958575,386.2472,0.561499999999999,4.66937499999998,-0.046225,0.29155,0.501025,1.0498,2.72432499999998
1,4.25,0.45375,0.698125,-8.592225,2.682125,0.7029,9.09655,92.842,386.99335,0.57125,4.06595,-0.044125,0.4873,0.43355,1.0946,4.71455
1,4.75,0.63385,0.661625,-8.45645,2.64225,0.38955,5.59375,92.78325,385.92475,0.56375,3.81442499999999,-0.0532,0.752449999999999,0.382124999999999,1.05,4.70925
1,5.25,0.983,0.627375,-8.31525,2.480875,0.6365,14.6295,92.8915,386.5825,0.56625,3.7314,-0.051225,0.3198,0.347075,1.0928,5.060425
1,5.75,0.588474999999999,0.586875,-8.017775,2.60825,0.770349999999999,3.4821,92.88325,386.936325,0.59875,4.72254999999999,-0.057175,0.517699999999999,0.520724999999999,0.932575,4.82577499999999
1,6.25,0.35135,0.62675,-7.8113,3.06,0.6561,4.51417500000001,92.884375,386.6076,0.57,5.202925,-0.05845,0.37915,0.447525,1.0663,5.0374
1,6.75,0.224725,0.73675,-7.69860000000001,2.794375,0.523775,11.3418,92.915,386.610525,0.615,6.03044999999999,-0.0526,0.3779,0.4325,0.9184,4.7854
1,7.25,0.6282,0.71825,-7.77180000000001,2.828625,0.6988,11.9134,92.2195,385.9224,0.6475,5.0464,-0.0549,0.332725,0.387175,1.0839,4.34745
1,7.75,0.368125,0.8424,-7.99150000000001,2.8568,0.82725,11.43275,90.816375,386.41045,0.725,6.8637,-0.056925,0.329075,0.395075,1.3807,4.0661
1,8.25,2.97170000000001,0.797875,-8.11925000000001,2.982625,0.854,15.8356,90.766,386.5289,0.74875,6.25317499999999,0.0375499999999993,0.92885,0.628874999999999,0.9932,3.716875
1,8.75,1.780775,0.7338,-8.10665,2.6904,0.59045,4.440225,90.201375,386.7676,0.7575,5.74859999999999,3.50297499999998,4.426275,8.48349999999999,3.91115,3.4985
1,9.25,3.93230000000001,0.770625,-8.457025,2.56225,1.0901,19.0025,89.98775,386.5385,0.7625,9.50064999999999,46.4922249999998,46.539675,33.119625,16.36985,3.041875
