DOY2,HR2,FC,LE,H,USTAR,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,T_BOLE_1_1_1,T_BOLE_2_1_1,T_BOLE_3_1_1,G_1_1_1,G_2_1_1,G_3_1_1,PA,PPFD_IN_1_1_1,PPFD_DIF,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN_1_1_2,PPFD_IN_1_2_1,PPFD_OUT,WS,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,RH_1_1_1,RH_1_2_1,RH_1_3_1,RH_1_4_1,RH_1_5_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1
1,0.25,0.68625,23.748,2.47249999999997,1.20925,414.8,414.75,414.8,414.85,0.601775000000003,0.785449999999998,0.611099999999998,-0.354999999999999,-0.337499999999998,-0.552499999999998,100.968,2.054,1.196,0.153,2.04,321.497,322.498,0.96,0.249,0.318,0.446,7.081,-0.525225000000011,-0.123850000000011,-0.169500000000009,-0.271600000000009,-0.54600000000001,-0.33930000000001,-0.41905000000001,96.4975,98.00315,97.262425,99.0918,98.403525,0.8644,0.6972,1.1703,1.6436,2.643,2.7338
1,0.75,1.90725,31.121,4.00224999999998,1.22875,414.75,414.8,414.75,414.75,0.551,0.743499999999995,0.568749999999995,-0.360999999999999,-0.484999999999998,-0.570499999999997,100.984,2.092,1.218,0,1.698,321.916,323.005,1.54,0.238,0.27,0.439,6.814475,-0.16052500000001,0.190874999999989,0.153799999999991,0.0735999999999912,-0.223150000000009,-0.0150000000000092,-0.0542250000000091,96.7925,98.275325,97.4852,99.31695,98.61205,0.9777,0.6972,1.17,1.5584,2.7493,2.734
1,1.25,1.50025,40.051,0.0337499999999857,1.21225,414.72,414.7675,414.7725,414.7675,0.245875000000002,0.484999999999994,0.313049999999994,-0.380999999999999,-0.618999999999998,-0.598499999999997,100.994,2.038,1.178,0,1.661,324.657,325.663,1.562,0.287,0.376,0.439,6.688125,0.17554999999999,0.36864999999999,0.311274999999992,0.252899999999991,-0.042450000000009,0.166174999999991,0.133099999999991,96.9825,98.5567,97.76285,99.54495,98.82295,0.8754,0.7215,1.0363,1.555,2.6808,2.7297
1,1.75,0.66925,41.577,-0.813999999999989,1.204,414.72,414.6725,414.7725,414.82,-0.416774999999999,-0.230125000000005,-0.395825000000004,-0.375499999999999,-0.803499999999999,-0.629999999999997,101.0445,2.032,1.154,0.018,1.583,325.664,326.396,2.445,0.289,0.32,0.449,6.87075,0.449824999999991,0.646199999999991,0.345649999999992,0.320549999999991,0.0641999999999909,0.268049999999991,0.245474999999991,97.0825,98.605,97.83315,99.615725,98.8885,0.929,0.577,1.2314,1.6124,2.7357,2.7127
1,2.25,0.6755,46.711,0.970749999999995,1.3945,414.92,414.72,414.8725,414.92,-0.985999999999999,-0.551250000000005,-0.721900000000005,-0.375999999999999,-0.8675,-0.602999999999997,101.1045,2.0385,1.1785,0,1.62975,326.34575,327.19275,2.63925,0.22,0.2885,0.497,7.5956,0.570099999999991,0.754549999999991,0.298649999999991,0.267849999999991,0.0209999999999908,0.236274999999991,0.181299999999991,97.235,98.601575,97.76095,99.54305,98.82105,1.00645,0.874124999999999,1.222375,1.51385,2.792875,2.80005
1,2.75,0.67575,27.765,3.55675,1.30025,414.93,414.925,414.8725,414.82,-1.06005,-0.589375000000006,-0.759050000000006,-0.381999999999999,-1.057,-0.654999999999997,101.108,2.04,1.179,0,1.58649999999999,327.477,328.0315,1.91699999999999,0.2485,0.2995,0.44,7.98785,0.550074999999991,0.750274999999991,0.246399999999991,0.200774999999991,-0.0237500000000093,0.180574999999991,0.123174999999991,97.186325,98.636225,98.1875,99.569175,98.845275,0.7875,0.752449999999999,1.159,1.62795,2.7251,2.6723
1,3.25,1.4905,30.52625,2.732,1.4235,414.795,414.875,414.84,414.83,3.00955000000001,3.37875,3.18225,-0.396499999999999,-0.853499999999999,-0.560999999999998,101.108,1.999,1.138,0,1.651,327.501,328.124,8.92299999999997,0.25,0.328,0.4285,7.3391,0.490224999999991,0.678524999999991,0.136674999999991,0.114824999999991,-0.10592500000001,0.10554999999999,0.0543749999999905,97.2711,98.90075,98.3775,99.6884,98.955475,0.889499999999999,0.6347,1.13925,1.62795,2.695,2.70995
1,3.75,1.1375,31.1055,3.1075,1.3875,414.73,414.785,414.775,414.975,3.14032500000001,3.5277,3.32915,-0.399999999999999,-0.812499999999998,-0.537999999999998,101.124,1.98,1.12,0,1.6675,327.232,327.799,6.01549999999999,0.259,0.2995,0.43,7.49135,0.438449999999991,0.632974999999991,0.0127499999999907,-0.00577500000000941,-0.20562500000001,-0.0189000000000099,-0.0639000000000096,97.4725,99.205,98.52,99.8537,99.108425,0.844499999999999,0.6276,1.31845,1.6766,2.72625,2.7059
1,4.25,0.93125,29.481,0.75,1.4875,414.7875,414.8025,414.8875,414.945,3.28767500000001,3.682525,3.422,-0.420999999999999,-0.727499999999998,-0.529499999999998,101.15,1.979,1.118,0,1.8125,326.5,327.6055,7.28749999999997,0.2095,0.289,0.4385,8.2759,0.305324999999991,0.50169999999999,-0.11140000000001,-0.13037500000001,-0.30787500000001,-0.0963750000000099,-0.13517500000001,97.643975,99.3554,98.6625,100,99.253775,0.953199999999999,0.7645,1.19095,1.624,2.603,2.69995
1,4.75,0.712,25.2025,6.9525,1.3975,414.6875,414.715,414.815,414.8875,3.46232500000001,3.8812,3.40582500000001,-0.403499999999999,-0.631999999999998,-0.508499999999998,101.21825,1.9795,1.139,0,1.659,327.0645,328.188,2.061,0.27925,0.32925,0.4595,7.2068,0.13894999999999,0.385249999999991,-0.20412500000001,-0.0407000000000093,-0.35692500000001,-0.11550000000001,-0.20650000000001,97.837775,99.791675,98.7575,100,99.4091,0.84875,0.738075,1.29675,1.646675,2.653625,2.70995
1,5.25,0.702,24.64275,5.06899999999999,1.38575,414.61,414.61,414.755,414.9,3.52362500000001,3.96647499999999,3.764675,-0.398499999999999,-0.516999999999997,-0.501499999999999,101.2265,2.0175,1.1585,0,1.84525,326.84775,328.3685,1.19,0.25975,0.3395,0.46975,8.201225,0.0490749999999902,0.568499999999991,-0.0422500000000092,-0.008525000000009,-0.186500000000009,0.0282499999999906,-0.0727500000000092,98.2588,99.979575,98.9525,100,99.648025,0.878,0.659425,1.228575,1.569475,2.619375,2.656925
