DOY2,HR2,FC,CO2,SC,H,LE,H2O,SH,SLE,G_1_1_1,G_2_1_1,WS,USTAR,PA_1_1_1,RH_1_1_1,VPD,TA_1_1_1,TA_1_1_2,TA_1_1_3,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,SW_IN,SW_OUT,LW_IN,LW_OUT,NEE
1,0.25,0.0442,410.3275,-0.0133,-36.60675,-1.13035,1.5361225,-0.3168375,-0.025375,-6.00624375,-7.39631125,0.0215055,0.07635,97.32648,57.984285,0.412265,-29.2283275,-23.570785,-22.63075,-3.84802375,-3.38793025,-2.6486165,-1.7557215,-1.227998,0.1119325,1.02554595,2.91194425,-1.696885,0.1757372,200.830925,204.905375,0.095665
1,0.75,0.00612,411.0725,-0.007655,-21.021225,0.23546,1.49702,-1.0211875,-0.2080575,-6.08411525,-7.38755675,0.05117775,0.02655,97.35139,58.2748775,0.41196,-28.6261525,-23.6585975,-22.7613525,-3.877143,-3.4069355,-2.6631285,-1.7666795,-1.2351455,0.10957825,1.0021825,2.934925,-2.0497215,0.08218018,201.62475,202.896225,0.0417827
1,1.25,-0.095325,412.835,-0.003785,-25.62545,-0.16225,1.4286675,-1.3466975,-0.10831,-6.2025965,-7.391381,0.092556,0.033125,97.35,57.527605,0.405595,-28.68283,-23.02869,-22.6031325,-4.023248,-3.4998755,-2.686492,-1.7804735,-1.264744,0.1205605,1.020202,2.95235,-1.523174,0.0865861825,201.4619,205.0162,0.008545
1,1.75,0.0582,410.6475,-0.00936,-25.85525,-0.3833,1.28051,-0.5104275,-0.107615,-6.28901525,-7.57195175,0.0574385,0.03695,97.2564575,58.835205,0.4000425,-28.7190225,-22.42334,-22.56371,-4.1302995,-3.599167,-2.72426225,-1.79110275,-1.232069,0.128761,1.04389075,2.96135,-0.742101575,0.172062725,204.055475,206.7517,0.079265
1,2.25,-0.0272,412.505,0.0065115,-22.5882,0.028025,1.191295,-1.101315,-0.158325,-6.351416,-7.7392325,0.06285,0.0328,97.334895,59.17265,0.36982,-28.610595,-21.57845,-21.6611675,-4.280951,-3.730196,-2.795528,-1.78230675,-1.268166,0.058627,1.028221,2.94156,-1.113149,0.09184947,204.1127,208.001,-0.0453
1,2.75,0.009175,413.8225,-0.0644,-3.40395,-0.1243975,0.755265,-0.2686725,-0.034825,-6.372136,-7.72315,0.10262775,0.038975,97.4638275,58.59505,0.312415,-28.243375,-21.91358,-21.9885975,-4.281348,-3.753001,-2.825315,-1.785211,-1.276354,0.05540798,1.033792,2.9615,-0.9509869,0.2511277,205.621,210.8012,0.08868
1,3.25,-0.07,412.8175,-0.0182,-26.61415,-0.1035775,0.89894,-0.33901,-0.04285,-6.341145,-8.256116,0.15903975,0.021625,97.31762,60.343795,0.3385475,-27.888615,-20.241345,-21.821,-3.7591025,-3.2442255,-2.5202655,-1.78810325,-1.19358825,0.13292815,1.0440645,2.97775,-1.476762,0.1171654,205.87755,214.2308,0.0061825
1,3.75,-0.0398,412.8775,0.0026625,-22.34505,-0.223525,0.91983,-0.3073875,-0.0583,-6.25876375,-7.845125,0.193822,0.020275,97.30559,60.6185675,0.344155,-27.60364,-20.432265,-22.137,-3.223225,-2.72335575,-2.184882,-1.789252,-1.12349775,0.166026075,1.05097325,2.98585,-1.20151075,-0.085956535,208.886375,215.0496,0.1755575
1,4.25,0.021725,410.775,-0.0203725,-30.99375,-0.447425,0.9337775,-0.306595,-0.04245,-6.145993,-7.5486,0.221636,0.0342,97.244275,60.92809,0.3470575,-24.46904,-20.464425,-22.441,-3.1783,-2.721492,-2.180372,-1.78664825,-1.1180805,0.1546095,1.059515,2.9624,-1.13954725,-0.0337494275,209.8736,217.5266,-0.0783
1,4.75,0.11137,410.6,0.023295,-20.027125,-0.391545,0.937335,-0.4467625,-0.0662075,-6.080287,-7.7304,0.15697,0.026125,97.23404,60.04685,0.34641,-25.85078,-21.21953,-22.5495,-3.21365,-2.724224,-2.1855655,-1.78719175,-1.232448,0.1127474,1.0538,2.97835,-1.055537,0.06375528,210.6939,215.0096,0.22535
