DOY2,HR2,FC,CO2,SC,H,LE,H2O,SH,SLE,G_1_1_1,G_1_2_1,G_2_1_1,G_2_2_1,WS,USTAR,V_SIGMA,W_SIGMA,PA_1_1_1,PA_1_1_2,RH_1_1_1,RH_1_2_1,VPD,TA_1_1_1,TA_1_1_2,TA_1_1_3,TA_1_2_1,T_SONIC,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_1_10_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_8_1,TS_2_9_1,TS_2_10_1,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT,FCH4,SCH4,NEE
1,0.25,-0.323653675,383.085,-1.49808,-84.14825,-2.6589862,0.33242745,-6.0245,-0.9084315,-4.206,-5.7382,-6.0287,-12.65213,0,0.02933,0.1755525,0.020223,96.129132603,95.49775,40.9085,56.628,0.2006481803,-30.78925,-31.1001405,-26.17949,-39.035,-28.3785201,-12.368213975,-10.66345,-5.914505,-6.319432025,-4.215439675,-2.07860985,-1.46352165,-0.804107325,-0.8005965,-0.49352085,-9.700713975,-8.22197865,-7.230114675,-5.712231975,-3.78364635,-0.415421675,-0.9165467,-0.772056975,0,0,170.874425,183.2725,-0.028775,-0.03555,-5.87,-3.44125,-0.660725125
1,0.75,-0.1310603,384.095,-0.5674255,-76.21675,-1.6077684,0.34389115,-7.5853025,-1.3130725,-4.1874,-5.7318,-5.9977,-12.60183,0,0.0381,0.1761243,0.0304599,96.115122453,95.48681875,41.8885,57.93974,0.1965124539,-31.236,-31.61149175,-26.0865805,-39.141,-28.0443182,-12.20867865,-10.592825,-5.94396,-6.347467675,-4.216099975,-2.093686,-1.482689,-0.856521675,-0.79464825,-0.4853305,-9.6920357,-8.173213975,-7.230571,-5.66720035,-3.777374975,-0.46355365,-0.90662465,-0.785896675,0,0,170.68762,185.57875,-0.031775,-0.037275,-1.494,-1.551575,-0.33576325
1,1.25,-0.420482,383.9825,-0.43534525,-82.5054,-2.7433035,0.34147965,-10.613925,-1.920943575,-4.1677,-5.7306,-5.9651,-12.55213,0,0.03289,0.23325825,0.04085475,96.109374592,95.49585225,41.14725,57.93468,0.2044335731,-30.74125,-31.2820025,-26.09838225,-39.118,-27.93614575,-12.097025,-10.541375,-5.94897,-6.344693025,-4.228856975,-2.10348585,-1.457274975,-0.8332857,-0.80039175,-0.4993185,-9.65217865,-8.12864965,-7.22908565,-5.655096675,-3.743210625,-0.467735325,-0.913582025,-0.788607,0,0,169.55652,183.3240225,-0.02955,-0.036825,-1.4694,-1.056425,-0.652487
1,1.75,-0.2331685,383.7845,-1.202868,-83.155775,-1.72187265,0.34553285,-9.681175,-20.05865,-4.1497,-5.725,-5.9338,-12.50326,0,0.02622,0.1336146,0.0341515,96.102452804,93.52733275,41.963,58.2892,0.2073420271,-30.5055,-30.077964,-26.054356,-39.155,-27.74991555,-12.053792975,-10.43810735,-5.96614,-6.27729965,-4.282125325,-2.1606071,-1.46473565,-0.84867465,-0.80479,-0.47310475,-9.646106975,-8.050539325,-7.22920335,-5.616239675,-3.7290787,-0.42143235,-0.921989675,-0.80806765,0,0,171.6092525,183.21128,-0.033,-0.043,-3.813,-2.611,-0.395399375
1,2.25,-0.3064124,383.81825,-4.6554875,-82.977,-1.6241274,0.337489925,-4.2771825,-3.8047048,-4.1286,-5.7205,-5.8999,-12.45774,0,0.0364625,0.252929625,0.032339875,96.110378921,95.5326725,42.51025,58.31719,0.2101118284,-30.158,-29.0495725,-26.4012675,-38.906,-27.801293225,-11.971135675,-10.44989265,-6.015935,-6.26869305,-4.300474975,-2.16982125,-1.46620695,-0.844560675,-0.8149065,-0.48082325,-9.62514305,-8.001132,-7.224407375,-5.58466805,-3.707907025,-0.398729,-0.96003565,-0.8324287,0,0,174.494015,186.4665,-0.032775,-0.041275,-4.814,-2.966,-0.114460025
1,2.75,-0.3208795,382.48625,-1.42329675,-83.64975,-2.40365705,0.32755855,-5.421167825,-2.07875115,-4.1087,-5.7176,-5.8668,-12.41334,0,0.0341075,0.170821725,0.0303766,96.09973847825,95.6399635,43.543,57.60307,0.2059902089,-30.26,-29.4022925,-26.99289175,-37.081,-28.21211145,-11.876010675,-10.409639325,-6.036525,-6.216239,-4.30492835,-2.1526787,-1.426257375,-0.8627787,-0.7992015,-0.491858,-9.57414265,-7.95778565,-7.205307375,-5.57200335,-3.69910335,-0.40315735,-0.94072135,-0.816314375,0,0,174.802535,185.1455,-0.036,-0.03665,-3.866,-2.396,-0.049597225
1,3.25,-0.40517855,382.48225,-0.5774684,-93.4059,-2.501696325,0.327505875,-6.72535,-30.087836,-4.0872,-5.7158,-5.8337,-12.37283,0,0.02428475,0.155155875,0.03368745,96.0728875725,95.169055,45.588,58.83254,0.2002948185,-30.51475,-29.3590455,-27.61066875,-35.836,-28.18982665,-11.909960675,-10.349856975,-6.03818,-6.175050025,-4.306985625,-2.1796141,-1.440107375,-0.864254,-0.794845,-0.478615,-9.541892675,-7.909125,-7.1887643,-5.543689,-3.64009265,-0.399364375,-0.951992275,-0.78446175,0,0,174.536785,185.180335,-0.0331,-0.045575,-1.4105,-2.3575,-0.609610375
1,3.75,-0.3009625,384.26625,-1.3669112,-85.659125,-1.7859058,0.34323775,-14.036625,-50.8688,-4.0655,-5.7133,-5.7984,-12.33471,0,0.031285,0.15400475,0.030096675,96.0633288825,95.55332,46.26325,60.046,0.19770935225,-30.16925,-29.07059875,-28.599273,-34.81,-27.7734064,-12.026175,-10.397392675,-6.02471,-6.17608235,-4.298396325,-2.12084995,-1.465436025,-0.87703195,-0.81061025,-0.5029065,-9.493606975,-7.88759305,-7.170829,-5.553214,-3.651007325,-0.40806805,-0.93619965,-0.7672611,0,0,174.1856275,183.99247,-0.029,-0.033825,-0.166,-2.24975,-0.245927775
1,4.25,-0.51385385,383.861,-1.514995,-81.2407,-3.3766687,0.33160585,-9.136375,-57.8806775,-4.0457,-5.7122,-5.7634,-12.29763,0,0.04115,0.231972,0.0544335,96.0457784675,95.534784,44.49325,59.771,0.20232346525,-29.90625,-29.1456025,-29.436028,-34.56383,-28.10221845,-12.052332025,-10.420749975,-6.00666,-6.179117675,-4.3039963,-2.138071375,-1.4496467,-0.847575025,-0.81673025,-0.505421925,-9.46264265,-7.879456975,-7.123064675,-5.535503325,-3.66805735,-0.403996675,-0.933242625,-0.782250025,0,0,174.79036,184.0015,-0.032,-0.03455,-5.41125,-1.708,-0.41251495
1,4.75,-0.379441,384.025,-0.81128,-70.586125,-4.528946675,0.317247975,-5.26536,-2.73806,-4.0226,-5.7106,-5.7301,-12.2623,0,0.0384775,0.160824525,0.064768125,96.037682912,95.514036,44.91875,58.92554,0.203565403325,-29.78825,-29.6300775,-29.555766,-34.547,-28.502001425,-12.091421325,-10.46595365,-6.006875,-6.18723565,-4.322731975,-2.144686,-1.471610675,-0.84930365,-0.7842215,-0.515241475,-9.428892975,-7.859614675,-7.11362865,-5.51753195,-3.696635325,-0.407557325,-0.939818025,-0.7539494,0,0,174.8068225,181.9145,-0.03455,-0.0471,-3.04,-3.51125,-2.63848
1,5.25,-0.1104253,383.965,-1.47830125,-55.639675,-2.4424096,0.3164033,-5.9066475,-1.339272,-4.0003,-5.7097,-5.6951,-12.22902,0,0.04314,0.202768875,0.05114375,96.01593158875,95.483682,45.939,59.05544,0.198059414,-29.82275,-29.5019285,-30.101052,-36.015,-28.5496479,-12.07156765,-10.475821325,-5.981165,-6.26863935,-4.31002535,-2.0827714,-1.454536,-0.82716765,-0.7986315,-0.51936875,-9.397893025,-7.81972865,-7.065617975,-5.513160625,-3.6348143,-0.37205735,-0.930564325,-0.756507825,0,0,176.5070475,182.037,-0.036775,-0.046275,-0.6634,-3.6475,-0.2552708
