DOY2,HR2,FC,CO2,SC,H,LE,H2O,SH,SLE,G_1_1_1,G_1_2_1,G_2_1_1,G_2_2_1,WS,USTAR,V_SIGMA,W_SIGMA,PA_1_1_1,PA_1_1_2,RH_1_1_1,RH_1_2_1,VPD,TA_1_1_1,TA_1_1_2,TA_1_1_3,TA_1_2_1,T_SONIC,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_1_10_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_8_1,TS_2_9_1,TS_2_10_1,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT,FCH4,SCH4,NEE
1,0.25,0.09997,407.54,0.0355,-3.9430985,-0.076985,0.86901,-1.099243,0.016865,-2.2094,-3.3855,-2.8654,-6.0616,2.081,0.16356,0.57305,0.22383,98.17690284,97.64285,67.93,78.432,0.388572258,-19.905,2.07665,-15.76752,-21.233,-19.339393,-5.7312145,-4.9737285,-2.0797,-2.4792355,-1.7892145,-1.136,-0.8559305,-0.541215,-0.4781435,-0.3588555,-6.2094215,-4.99815,-4.05765,-2.948707,-1.965807,0.014357,-0.5689285,-0.457572,0,0,227.7792258,230.035,-0.002,-0.002,2.13,-1.405,0.26528
1,0.75,0.18006,406.29,-0.01047,-2.5572,-0.0462,0.876435,-1.346693,0.02405,-2.2132,-3.3836,-2.8576,-6.0512,2.069,0.123129,0.48102,0.266458,98.18929869,97.64625,67.755,78.351,0.391532706,-20,1.9035,-16.52872,-21.01925,-19.21617,-5.705643,-4.9830785,-2.0743,-2.470357,-1.7793645,-1.077143,-0.853357,-0.54543,-0.4671435,-0.3605695,-6.2091355,-4.9825,-4.0689145,-2.9487,-1.9772,0.013357,-0.5817835,-0.462285,0,0,227.6206,229.3105562,-0.002,-0.002,1.3765,0.422,0.199175
1,1.25,0.12028,408.159528,0.02955,-1.816316,0.171178,0.8846,-0.370788,-0.04235,-2.2287,-3.3829,-2.8508,-6.0403,2.074,0.158694,0.511685,0.26458,98.13989,97.661125,67.595,78.45994,0.404330858,-20.03,2.4152,-16.846555,-20.986,-19.14,-5.702007,-4.9465215,-2.0479,-2.5085,-1.771214,-1.0677,-0.850785,-0.553713,-0.4507145,-0.359071,-6.2094215,-4.98565,-4.041857,-2.938993,-1.9692785,0.0108575,-0.5947145,-0.46586,0,0,227.4713,229.6825,-0.0025,-0.003,2.08,1.251,0.22387
1,1.75,0.135762,407.84,0.125784,-1.055109,0.16473,0.945667,-0.013,0.096058,-2.2386,-3.3826,-2.8431,-6.0308,2.207,0.147792,0.431653,0.224722,98.16615365,97.665325,67.75,78.62959,0.403227588,-20.015,1.7051,-17.70362,-21.026,-18.69,-5.750214,-4.9006355,-2.0454,-2.513357,-1.7807855,-1.0274,-0.8695,-0.565,-0.414642,-0.347,-6.187093,-5.0370145,-4.0485,-2.9554,-1.9553355,0.0282145,-0.5960715,-0.473715,0,0,227.62,230.31,-0.002,-0.0045,3.62,-0.0829,0.2209865
1,2.25,0.10392,408.495,0.0297,-2.4725,0.24436,0.963875,-0.09548,0.00956,-2.2429,-3.3847,-2.8349,-6.0185,2.295,0.1617735,0.4663995,0.2901895,98.17662702,97.82833,68.115,79.103,0.39422,-20.075,2.1601,-18.005155,-20.726,-18.9294975,-5.698,-4.8782855,-2.0311,-2.538007,-1.773307,-1.066667,-0.87936,-0.56957,-0.4075015,-0.348212,-6.1727355,-5.0165,-4.0853,-2.9426,-1.97395,0.017357,-0.587357,-0.46743,0,0,228.0092,230.68,-0.002,-0.0025,3.03,0.051,0.18213
1,2.75,0.120061,406.675,-0.0263,-1.867754,0.681891,0.9528955,-0.593909,0.0275,-2.2465,-3.3905,-2.8286,-6.0137,2.144,0.1652795,0.4661305,0.2574355,98.197953815,98.002945,67.925,79.0435,0.397114441,-20.175,1.9035,-16.962015,-20.73833,-18.8581665,-5.722207,-4.86255,-2.0486,-2.5459855,-1.765,-1.101429,-0.8682845,-0.568285,-0.3995715,-0.364357,-6.2024785,-5.0002145,-4.060307,-2.9730715,-1.977507,0.014786,-0.593142,-0.4682855,0,0,227.74135875,230.26,-0.002,-0.004,3.76,0.103,0.234153
1,3.25,0.0893,404.2,-0.010725,-1.445288,0.206441,0.96907,-0.28919,-0.0531,-2.2486,-3.4015,-2.8209,-6.0271,2.043115784,0.1741165,0.4130985,0.25478,98.203,97.6789,68.155,78.94043,0.390679264,-20.11,1.6624,-16.98568,-20.605,-18.8778035,-5.727843,-4.8768355,-2.0603,-2.5027145,-1.786357,-1.106714,-0.857215,-0.57014,-0.3955715,-0.361715,-6.1993355,-5.00635,-4.0775,-2.957207,-1.9755,0.0256425,-0.5780705,-0.4697145,0,0,227.33239195,229.73,-0.001,-0.003,3.61,0.105,0.2677985
1,3.75,0.0898,405.86,0.042,-0.8165165,0.3303,0.97918,-0.1395635,-0.00113,-2.249179,-3.3963,-2.819901,-6.0179,2.009,0.172034,0.45769,0.2690485,98.20922482,97.84919,67.875,78.84873,0.39318,-20.11,1.7051,-17.284475,-20.632,-18.741479,-5.7405,-4.912657,-2.0433,-2.5286645,-1.789943,-1.0944,-0.865925,-0.57207,-0.3892855,-0.375357,-6.257357,-5.0274785,-4.07905,-2.94245,-1.9830215,0.0207145,-0.585787,-0.471785,0,0,228.0679546,230.31,-0.002,-0.002,3.17,-0.01397,0.242875
1,4.25,0.098551,407.07,-0.00165,-3.4881,0.42644,0.98192,-0.02796,0.1129,-2.2548,-3.3872,-2.831343,-6.0064,2.128,0.174396,0.448758,0.269072,98.20892,97.8823,67.855,78.76233,0.38518854,-20.22,1.9932,-15.45314,-20.827,-18.712767,-5.7554215,-4.9236215,-2.044,-2.5115,-1.8126425,-1.0879285,-0.861857,-0.56079,-0.418786,-0.3704295,-6.289693,-5.0000215,-4.0850785,-2.9424285,-2.0091,0.022857,-0.576,-0.46586,0,0,227.35595,230.61,-0.002,-0.003,4.375,0.0123,0.1661105
1,4.75,0.11878,406.56,0.0475,-2.902474,-0.062635,0.999005,-0.24098,0.06685,-2.2569,-3.3901,-2.839205,-6.004118,2.063,0.194855,0.448414,0.28618,98.184623275,97.90056,67.77,78.60641,0.3902659295,-20.07,1.9035,-15.3363,-20.8688,-18.465016,-5.7750855,-4.9471215,-2.0729,-2.5184285,-1.816193,-1.048143,-0.8616415,-0.555785,-0.4205,-0.365213,-6.281007,-5.0320715,-4.07785,-2.943857,-2.0088,0.022357,-0.5778595,-0.46014,0,0,226.94285,229.1802,-0.002,-0.003,5.13,0.10475,0.28634
1,5.25,0.114826,407.62,0.07715,-2.69115,0.132774,1.0451,0.2267745,0.19145,-2.2571,-3.3818,-2.845044,-6.033689,2.257,0.239876,0.5640415,0.3677825,98.169887525,97.90884,67.93,78.681,0.3933957785,-20.165,1.6624,-15.15511,-21.002,-18.25,-5.7474145,-4.943343,-2.0719,-2.5423575,-1.8188785,-1.126714,-0.879858,-0.5634265,-0.4304285,-0.365643,-6.2773,-5.031,-4.1098,-2.938929,-1.9793,0.013214,-0.575925,-0.457785,0,0.10073,227.17636505,229.2794,-0.002,-0.003,5.07,-0.0275,0.21165
1,5.75,0.099499,408.15,0.0175,-4.4901,0.101095,1.0585,0.219706,0.0398,-2.2582,-3.37408,-2.8502,-6.060285,2.203,0.1816385,0.5926295,0.3800685,98.175015605,97.94447,67.94,78.58896,0.3838196755,-20.255,1.7051,-15.1471,-20.769,-18.17,-5.75,-4.950157,-2.035,-2.5109285,-1.831,-1.145286,-0.8745715,-0.56807,-0.4477855,-0.365645,-6.2497,-5.017093,-4.0775,-2.93645,-1.95975,0.0237855,-0.555425,-0.459357,0,0,227.65816445,230.0780073,-0.002,-0.002,3.85,0.0495,0.16348
