DOY2,HR2,FC,CO2,SC,H,LE,H2O,SH,SLE,G_1_1_1,G_1_2_1,G_2_1_1,G_2_2_1,WS,USTAR,V_SIGMA,W_SIGMA,PA_1_1_1,PA_1_1_2,RH_1_1_1,RH_1_2_1,VPD,TA_1_1_1,TA_1_1_2,TA_1_1_3,TA_1_2_1,T_SONIC,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_1_10_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_8_1,TS_2_9_1,TS_2_10_1,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT,FCH4,SCH4,NEE
1,0.25,0.30918325,429.579389,0.15464,-1.1749355,0.7459675,1.660139,0.4063925,0.2249295,-1.6793,-2.7105,-2.114912,-4.8013,2.976,0.27556,0.67724,0.35012,98.93192582,98.7770175,73.8525,81.715,0.518291021,-14.9375,9.236075,-13.8434,-17.846,-13.549587,-3.97814275,-3.30942825,-1.835,-1.5612145,-1.18350025,-0.73793,-0.67939275,-0.451039,-0.18367825,-0.308895,-5.2003215,-4.00270325,-3.030893,-2.22553575,-1.45985,0.143645,-0.4370725,-0.369,0.117906,0.53666,240.46727685,244.54137055,0,0,2.98,0.386,0.57155725
1,0.75,0.3073375,431.00382525,0.2702745,-0.81236,0.79257,1.553338,0.5938525,0.440944,-1.684,-2.7152,-2.1078,-4.8215,2.934,0.251573,0.633506,0.34254,98.93052749,98.7912725,73.8025,82.303,0.521469851,-14.8575,8.82925,-13.952175,-17.679,-14.4133355,-3.9788145,-3.30965,-1.83565,-1.5865,-1.16531075,-0.73607,-0.67599675,-0.46793,-0.1846785,-0.310711,-5.1593895,-4.025425,-3.04203225,-2.20839275,-1.43685,0.1520375,-0.45103775,-0.3827145,0.13366,0.415427,240.657997775,243.118403875,0,0,4.4425,1.50725,0.369126
1,1.25,0.276229,431.22982475,0.27402,0.396649,0.804008,1.645732,1.5652345,0.274208,-1.6887,-2.714,-2.0972,-4.8408,3.041,0.30067,0.637073,0.3598525,98.905,98.8023075,73.86,82.27718,0.540208759,-14.7475,9.1392,-14.125475,-17.529,-13.6152695,-3.98783575,-3.29157825,-1.82915,-1.540214,-1.1930465,-0.730285,-0.69539075,-0.46218175,-0.185,-0.311,-5.13316775,-4.0023,-3.02142175,-2.2005,-1.465425,0.161107,-0.454428,-0.38096425,0.16113,0.403607,240.76,243.4093262,0,0,3.82,1.7575,0.5567225
1,1.75,0.25813,428.8805365,0.243339,0.758935,1.104393,1.6302715,2.160389,0.33896,-1.6918,-2.7119,-2.0859,-4.8657,3.157,0.298723,0.554626,0.354189,98.9178111525,98.80181,73.4825,82.217,0.525432491,-14.84,9.311,-14.21511,-17.38,-13.60116,-3.94529275,-3.3126425,-1.82075,-1.5652855,-1.18651075,-0.723425,-0.6991075,-0.46189,-0.17625,-0.3135,-5.14106075,-4.0075,-3.01661775,-2.19168925,-1.48185,0.14839,-0.4422475,-0.39239275,0.135321911,0.427482,240.824908975,242.790105,0,0,4.7,1.184,0.51736125
1,2.25,0.19419,432.37210225,0.170575,0.54052,1.1608,1.6102995,1.07926925,0.172219,-1.6941,-2.7127,-2.0757,-4.883,3.167594785,0.3148775,0.61751975,0.3965095,98.960571875,98.87031,73.1625,82.349,0.517222931,-15.225,9.30205,-14.0528275,-17.22,-13.624732,-3.91549675,-3.31242825,-1.82435,-1.5047605,-1.18423575,-0.74064,-0.687035,-0.4582125,-0.1835,-0.3064645,-5.12448575,-4.0346285,-3.0236535,-2.20665,-1.492825,0.1448575,-0.4444625,-0.3928225,0.18963,0.349981,241.38672395,243.27,0,0,6.12,0.695,0.44475
1,2.75,0.289931,431.847074,0.088925,0.10860125,1.6055715,1.608292,0.9236775,0.24809,-1.6982,-2.7177,-2.064853,-4.8983,3.048,0.302679,0.624035,0.37864475,98.975100515,98.9527225,73.32,82.15601,0.518100908,-15.2925,8.37615,-13.875895,-17.288,-13.678664,-3.91160725,-3.33670725,-1.8376,-1.5167855,-1.21682175,-0.73664,-0.709642,-0.46503575,-0.18110725,-0.31092925,-5.1186215,-4.0338465,-3.0147,-2.1918895,-1.4766,0.1432525,-0.45971425,-0.39429,0.206944,0.3721,241.4,241.82062775,0,0,6.81,0.792,0.45636
1,3.25,0.3052985,430.17527725,0.1083125,0.68155,1.5966605,1.58455525,1.2070975,0.315609,-1.696191,-2.7232,-2.0622,-4.9023,2.862,0.278812,0.648379,0.37829825,98.9855274,98.5804075,73.1475,82.082,0.52657879725,-15.2675,9.1392,-13.24788,-17.346,-13.45030375,-3.90410725,-3.30678225,-1.82175,-1.5361355,-1.19007825,-0.740785,-0.7030025,-0.46218175,-0.19535725,-0.313536,-5.131929,-4.034925,-3.035325,-2.186,-1.49725,0.12617775,-0.464895,-0.396644,0.32656,0.38606,241.761480025,241.54292935,0,0,4.785,0.9805,0.466825
1,3.75,0.230005,431.48905125,0.21258,0.4743825,1.99238825,1.5690735,1.33319675,0.25337,-1.690048,-2.7244,-2.0655,-4.8806,2.856,0.3053215,0.56677725,0.35347625,98.975146575,98.69893,73.43,82.253,0.52703375,-15.59,9.30545,-12.9716875,-17.381,-13.481484,-3.89625,-3.30085,-1.80385,-1.558214,-1.2163715,-0.747785,-0.691535,-0.46007125,-0.18307025,-0.31506925,-5.09949975,-4.05516775,-3.04238225,-2.19675,-1.50516775,0.1533215,-0.4565375,-0.3940705,0.30742,0.339315,241.930682725,241.5,0,0.00075,5.97,0.56825,0.5594335
1,4.25,0.263355,430.743794,0.157611,0.0585,1.3847,1.625625,1.223387,0.51333725,-1.684969,-2.7267,-2.0676,-4.8592,2.96235,0.275126,0.550991,0.376378,98.957457945,98.66696,73.3775,82.227,0.526488194,-15.44,9.1701,-11.6629,-17.237,-13.672408,-3.86455,-3.25935325,-1.7892,-1.52707175,-1.24263925,-0.73886,-0.70661,-0.45803575,-0.193286,-0.30974975,-5.08444275,-4.08178925,-3.07156775,-2.18556775,-1.483025,0.1431425,-0.46274975,-0.39064175,0.2265,0.443674,241.93,241.635,0,0,6.73,1.03,0.44694
1,4.75,0.36398,435.922201,0.295974,0.778114,1.1278415,1.651362,1.5041,0.3126815,-1.6818,-2.7273,-2.0694,-4.8381,3.038125,0.341315,0.7875795,0.4323275,98.8930528375,98.64426,73.6675,81.966,0.53129679625,-15.355,8.1496,-11.39674,-17.178,-13.6120765,-3.877425,-3.265675,-1.8034,-1.5129285,-1.22376075,-0.73343,-0.7016775,-0.4696075,-0.188393,-0.3094285,-5.07518225,-4.0717535,-3.09651425,-2.188725,-1.4938535,0.12321325,-0.46167825,-0.38638975,0.26738,0.505806,241.89,242.8307144,0,0,8.77,0.91525,0.36518
