DOY2,HR2,CO2,G_1_1_1,H,H2O,LE,LW_IN,LW_OUT,NETRAD_1_1_1,PA,PPFD_IN,PPFD_OUT,RH,SC,SH,SLE,SW_IN,SW_OUT,TA_1_1_1,TS_1_1_1,TS_1_2_1,USTAR,VPD,WS
1,0.25,365.4355,-9.45,-11.985,0.467,-0.4,175.35,199.175,-35.7875,95,0,0,74.65,-0.15,-1.7,-0.1,-1.56,0.11,-24.55,-8.98,-8.415,0.09,0.15,0.86
1,0.75,365.50325,-9.6,-13.9825,0.465,-0.8,176.725,197.875,-28.26,95,0,0,75.2,-0.14,-2.5,-0.2,-1.485,0.065,-25.1,-9.06,-8.395,0.07,0.1475,0.9975
1,1.25,365.52125,-9.75,-10.67,0.448,-0.55,179.35,197.275,-28.4875,95,0,0,75.525,-0.145,-2.175,-0.1,-1.495,0.0925,-25.85,-9.125,-8.4125,0.0775,0.15,0.99
1,1.75,365.65175,-9.75,-15.515,0.454,-0.6,180.875,196.875,-21.5325,95,0,0,74.9,-0.24,-1.65,-0.125,-1.345,0.0575,-26.35,-9.1625,-8.435,0.1,0.1475,1.04625
1,2.25,365.72175,-9.7,-15.44,0.453,-0.6,180.375,196.675,-21.2625,95,0,0,75.525,-0.17,-2.025,-0.1,-1.555,0.0725,-26.5,-9.1925,-8.445,0.08,0.14,1.0175
1,2.75,366.39525,-9.8,-15.01,0.506,-0.5,181.25,196.575,-28.6075,95,0,0,75.8,-0.27,-1.575,-0.2,-1.4675,0.08,-26.15,-9.2175,-8.4575,0.08,0.14,0.9995
1,3.25,365.857,-9.9,-17.54,0.496,-0.4,179.9,195.85,-27.45,95,0,0,74.5,-0.085,-1.4,-0.175,-1.4475,0.1125,-25.7,-9.23,-8.4775,0.08,0.14,0.975
1,3.75,366.011,-9.8,-16.1175,0.498,-0.5,178.275,195.675,-20.88,95,0,0,74.9,-0.05,-1.75,-0.2,-1.5375,0.12,-25.8,-9.2475,-8.51,0.12,0.14,1.1175
1,4.25,365.89475,-9.75,-15.345,0.52725,-0.4,177.7,197.8,-26.715,95,0,0,75.575,-0.255,-1.625,-0.2,-1.6075,0.1525,-25.625,-9.2625,-8.52,0.09,0.1475,0.9975
1,4.75,365.7275,-9.6,-11.94,0.556,-0.45,170.375,197.5,-25.39,95,0,0,74.5,-0.1325,-1.325,-0.1,-1.69,0.09,-26.225,-9.2875,-8.525,0.08,0.14,0.963
