DOY2,HR2,T_BOLE_1_1_1,T_BOLE_2_1_1,G_1_2_1,G_2_2_1,G_3_2_1,G_4_2_1,NEE,G_1_1_1,USTAR,FC,LE,SLE,H,SH,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN_1_1_1,PPFD_OUT,PPFD_IN_1_2_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,RH_1_1_1,RH_1_2_1,RH_1_3_1,WS,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1
1,0.25,-25.54725,-25.62075,-3.3668,-2.421275,-3.07215,-2.783425,-0.01213595,-3.35887,0.12481225,-0.00745525,-0.53576575,-0.362599,-20.096225,-2.592965,-52.515725,-0.243914,-0.1718675,172.6575,217.53725,-0.003166315,0,0,-22.68625,-22.011,-24.14675,-24.36225,79.060375,77.835,76.510775,1.5999,-6.707775,-6.467325,-6.24295,-5.9106,-4.678125,-1.86755,-5.993075,-5.854775,-5.5285,-5.37645,-4.1856,-1.86755
1,0.75,-25.7045,-25.5915,-3.372475,-2.4182,-3.07965,-2.8027,0.018477675,-3.3131325,0.11031225,0.00432763,-0.41058625,-0.3881935,-16.50375,-3.14819,-48.6737,-0.289456,-0.203749,173.0375,216.929,-0.0040764675,-3.542785e-05,0,-22.887,-22.369,-24.40475,-24.45,78.68555,77.39585,76.23235,1.68635,-6.730775,-6.464525,-6.2346,-5.91895,-4.679725,-1.866875,-5.99145,-5.848975,-5.5182,-5.372375,-4.187275,-1.866875
1,1.25,-25.752,-25.69375,-3.3627,-2.4164,-3.0862,-2.809225,0.0131146375,-3.23351,0.12785,5.82999999999998e-05,-1.43464,-0.378426,-15.653825,-2.1926425,-52.179525,-0.17277375,-0.19913625,168.5245,216.0345,-0.0029783275,-3.8952475e-05,0,-23.147,-22.85325,-24.60625,-25.041,78.84875,76.782,75.29715,1.60015,-6.742975,-6.45615,-6.239775,-5.928675,-4.676375,-1.8625,-5.98725,-5.8425,-5.514,-5.370025,-4.1845,-1.8625
1,1.75,-24.797,-24.883,-3.352625,-2.4235,-3.089375,-2.814725,0.0077516,-3.20438,0.095878,-0.00421103,-0.363149,-0.2821555,-17.0976,-1.6581825,-52.2154,-0.16961225,-0.2140645,168.11325,216.407,-0.00261557,-1.7507725e-05,0,-23.189,-23.6195,-25.12025,-25.1245,78.63325,76.28205,75.2206,1.530975,-6.72105,-6.45905,-6.21545,-5.9023,-4.65685,-1.85725,-5.93015,-5.80135,-5.4142,-5.279,-4.15115,-1.85725
1,2.25,-24.834,-24.911,-3.344875,-2.4407,-3.0925,-2.81285,0.01227795,-3.240065,0.155257,-0.001953515,-0.619171,-0.2596085,-19.687,-2.04854,-55.561625,-0.12864325,-0.2042665,168.437,216.2745,-0.0023845775,-4.13934e-05,0,-23.281,-23.604,-24.97325,-25.00275,78.8465,76.3774,75.07535,1.68175,-6.7274,-6.4557,-6.23205,-5.90035,-4.6502,-1.85955,-5.926,-5.80295,-5.4136,-5.28655,-4.1582,-1.85955
1,2.75,-25.492,-25.493,-3.33515,-2.453675,-3.095625,-2.81045,0.0371688,-3.276505,0.163167,0.0173519,-0.274573,-0.30758125,-19.5965,-2.17001,-52.333475,-0.172228,-0.19237075,170.6515,215.97075,-0.005212115,-0.00027266725,0,-23.3185,-23.5595,-25.17775,-25.35825,78.841,76.3734,75.8854,1.81825,-6.73055,-6.4647,-6.24765,-5.8996,-4.65205,-1.86185,-5.9217,-5.80305,-5.4138,-5.3039,-4.1682,-1.86185
1,3.25,-25.951,-25.79,-3.32505,-2.461175,-3.099475,-2.8091,0.038955125,-3.2776125,0.1550765,0.016050225,-0.320611,-0.464198,-20.630675,-2.9302575,-50.88745,-0.21852825,-0.1876895,168.35625,215.48825,-0.0054600325,-0.0002203265,0,-23.4585,-23.687,-24.766,-24.6895,78.74515,77.8668,76.310725,1.630825,-6.7352,-6.4814,-6.2648,-5.8962,-4.679,-1.86395,-5.91785,-5.80355,-5.41185,-5.3105,-4.1714,-1.86395
1,3.75,-25.24975,-25.2995,-3.31725,-2.46415,-3.098625,-2.80735,0.03189935,-3.3307225,0.160187,0.0180199,-0.405342,-0.4359405,-18.124275,-2.8830575,-49.211925,-0.1999475,-0.23769375,171.23875,216.7615,-0.005264665,-0.000362808,0,-23.363,-23.69825,-24.9495,-25.13275,78.8675,78.40665,76.589975,1.5114,-6.72885,-6.453375,-6.23995,-5.857425,-4.6601,-1.8581,-5.86405,-5.768025,-5.331,-5.290325,-4.171175,-1.8581
1,4.25,-25.52175,-25.5295,-3.3373,-2.465475,-3.1037,-2.815875,0.02900575,-3.3118825,0.160492,0.001770975,-0.4094685,-0.4576065,-17.896775,-3.869195,-40.7736,-0.20265875,-0.239452,175.54475,217.032,-0.0054006775,-0.00051912825,0,-23.68175,-24.04575,-25.116,-25.16225,79.66,78.20335,76.077075,1.65205,-6.728275,-6.45085,-6.248,-5.85765,-4.658975,-1.85315,-5.861075,-5.76985,-5.335,-5.32515,-4.16535,-1.85315
1,4.75,-25.905,-25.83925,-3.37095,-2.46945,-3.108875,-2.819625,0.0292298,-3.3344825,0.160083,0.00193159,-0.5689585,-0.522256,-20.102675,-3.3149925,-46.645,-0.25538275,-0.268512,180.48175,216.85225,-0.0051886375,-0.00042429575,0,-23.4875,-23.8215,-25.4095,-25.37625,79.67475,78.0165,76.053925,1.5607,-6.722075,-6.450425,-6.254225,-5.857675,-4.652575,-1.85355,-5.857975,-5.763725,-5.3431,-5.321,-4.1764,-1.85355
