DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2,H2O,NETRAD,PPFD_IN,PPFD_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,W_SIGMA,V_SIGMA
1,0.25,-0.44905,-0.67785,-2.8968,-83.0156,0.023,-0.53585,373.585775,0.3824,-79.1255,0,0,-17.92525,62.5945,0.07055,96.914,-4.5754,-3.7196,-3.0998,-1.957825,0.6792,2.40215,-8.8665,-3.153925,-3.89,-1.43925,0.4818,2.4936,-18.071,-17.735,0.03916,0.1809125
1,0.75,-0.47985,-0.536775,-3.48975,-81.2802,0.0177,-0.40965,373.91925,0.326375,-78.76,0,0,-17.98575,62.9585,0.060425,96.9112,-4.4787,-3.73085,-3.0713,-2.0016,0.6694,2.38575,-8.8475,-3.2017,-4.046175,-1.5078,0.25675,2.5928,-18.15225,-17.0325,0.0457,0.170425
1,1.25,-0.4227,-0.6732,-4.09275,-77.862175,0.01935,-0.416,374.4205,0.303125,-78.71575,0,0,-18.3305,63.0775,0.07355,96.8916,-4.464,-3.7503,-3.085,-1.618925,0.6337,2.356325,-8.85475,-3.3982,-3.97015,-1.886625,0.387475,2.6781,-17.93325,-17.4725,0.0434375,0.182625
1,1.75,-0.32055,-0.774075,-3.21335,-76.787,0.019,-0.332025,374.920075,0.34295,-78.054,0,0,-18.62075,62.6795,0.07495,96.8188,-4.6025,-3.738075,-3.1562,-1.73395,0.5983,2.368825,-8.867,-3.1176,-3.7922,-1.796,0.3716,2.5965,-18.137,-17.42,0.0397125,0.165225
1,2.25,-0.56505,-0.840725,-3.2101,-82.7883,0.018,-0.455,373.8726,0.35695,-77.258,0,0,-18.91825,63.698,0.07275,96.8196,-4.6941,-3.7407,-3.0487,-1.8216,0.5921,2.3685,-8.87275,-3.223,-4.0194,-1.3865,0.3764,2.5636,-18.241,-16.44,0.0379075,0.181535
1,2.75,-0.31725,-0.86765,-3.1442,-77.0604,0.019525,-0.39275,373.312375,0.4005,-79.38625,0,0,-18.95925,63.33175,0.049475,96.8498,-4.6197,-3.783375,-3.14,-1.84745,0.6437,2.378,-8.848,-3.3372,-3.94225,-1.479875,0.3528,2.5758,-18.91925,-16.57,0.034185,0.16392
1,3.25,-0.386,-0.68085,-3.1412,-75.112,0.0201,-0.361125,374.3035,0.3529,-78.17975,0,0,-18.98775,64.25925,0.036375,96.8,-4.5587,-3.7743,-3.1123,-1.8856,0.6915,2.3564,-8.843,-3.2372,-3.842725,-1.778,0.3187,2.5666,-20.45825,-17.1825,0.03683,0.153745
1,3.75,-0.3178,-0.364,-2.739,-76.76995,0.0186,-0.365475,374.190375,0.35125,-76.79425,0,0,-19.43825,64.835,0.1068,96.7502,-4.6805,-3.750775,-3.1043,-1.78565,0.6829,2.3497,-8.839,-3.5477,-3.82025,-1.643075,0.5245,2.5762,-19.9375,-17.655,0.038625,0.14582
1,4.25,-0.49955,-0.8221,-2.834725,-79.13345,0.0186,-0.5089,374.99345,0.342275,-77.85375,0,0,-19.618,64.32,0.0309,96.74,-4.671,-3.72685,-3.1326,-1.94675,0.648025,2.3699,-8.838,-3.4403,-3.49545,-1.7997,0.2561,2.58375,-19.413,-17.86,0.03449,0.141785
1,4.75,-0.4995,-0.814,-3.115075,-76.45975,0.015525,-0.33345,375.338875,0.355575,-77.03175,0,0,-19.62775,64.58325,0.0399,96.7016,-4.79,-3.7009,-3.2268,-1.927075,0.609625,2.2734,-8.85975,-3.5603,-3.6564,-1.630375,0.386375,2.6168,-19.3055,-17.9425,0.0369225,0.16851
1,5.25,-0.517625,-0.678,-3.32495,-75.76855,0.02,-0.385725,375.816875,0.3185,-77.6295,0,0,-19.75975,66.4285,0.0818,96.6368,-4.8031,-3.68585,-3.3004,-1.89235,0.68385,2.28955,-8.872,-3.6611,-3.931,-1.5739,0.6401,2.55165,-19.351,-18.8,0.03916,0.1657
1,5.75,-0.3452,-0.9359,-3.0385,-79.9944,0.01955,-0.47765,375.4191,0.3079,-78.20725,0,0,-19.97525,67.19225,0.100325,96.58,-4.7918,-3.689175,-3.2862,-2.0159,0.66915,2.3066,-8.87625,-3.5647,-3.71255,-1.80515,0.1043,2.53275,-18.77675,-18.4475,0.04597,0.16432
