DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,CO2_1_2_1,NETRAD,PPFD_IN,PPFD_OUT,PPFD_BC_IN,TA,RH,WS,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,PA
1,0.25,-2.774,-23.022025,-14.509125,-144.55875,0.039,-5.55785,381.6691,410.7745,-78.08,0,0,0,-17.91,64.8815,0,-7.6105,-5.2911,-5.026825,-4.763175,-3.420575,-0.670425,-4.050575,-4.6728,-4.983675,-7.8,-2.110325,-4.97865,-9.01475,-11.60975,97.0948
1,0.75,-2.281675,-5.59425,-25.02015,-152.118125,0.044875,-4.00225,381.82855,411.508375,-79.265,0,0,0,-17.88675,65.71575,0,-7.50725,-5.16925,-5.1641,-4.900975,-3.48,-0.6416,-4.097475,-4.68615,-4.9469,-7.69,-2.203,-4.7428,-8.83575,-11.2015,97.039625
1,1.25,-2.2289,-3.552625,-22.1245,-115.41715,0.045625,-3.7248,378.48085,412.24875,-78.6325,0,0,0,-17.68,64.888,0.007625,-7.48725,-5.405475,-5.166225,-4.814775,-3.487275,-0.624675,-4.087325,-4.6906,-4.8556,-7.74,-2.762475,-4.9613,-8.58975,-10.9355,97.022625
1,1.75,-2.56945,-13.4303,-20.3847,-103.4509,0.052,-5.3925,376.934375,411.316375,-79.0775,0,0,0,-18.07175,65.22475,0.024375,-7.79525,-5.21535,-5.091,-5.0011,-3.4309,-0.664275,-4.13325,-4.6635,-4.9209,-7.768,-2.6564,-4.8658,-8.71,-11.047,96.999
1,2.25,-2.2832,-5.101925,-19.12235,-124.01145,0.04075,-5.0689,342.72,412.66975,-78.54,0,0,0,-18.3095,64.31875,0.001,-7.73775,-5.2938,-5.389975,-4.492775,-3.4336,-0.646675,-4.1616,-4.776875,-4.952,-7.71,-2.212375,-4.7144,-8.969,-11.1495,97.00275
1,2.75,-2.25035,-15.34205,-14.8112,-167.53615,0.050375,-2.1424,341.91935,436.5464,-79.92,0,0,0,-18.8165,65.89575,0.001875,-7.48925,-5.154975,-5.087975,-4.745675,-3.448025,-0.678225,-4.20495,-4.82035,-5.01255,-7.828,-2.525775,-4.94735,-9.35275,-11.251,97.04625
1,3.25,-2.393,-24.5565,-7.37225,-139.0075,0.047625,-4.466925,375.738275,437.14,-78.865,0,0,0,-19.45225,66.015,0,-7.7945,-5.197075,-5.09795,-4.624825,-3.4309,-0.697075,-4.315175,-4.694975,-5.0345,-7.772,-2.355225,-4.923975,-9.896,-11.30225,97.0407
1,3.75,-1.9372,-25.2135,-26.2085,-125.2877,0.052,-1.029775,381.79125,438.0884,-78.6075,0,0,0,-20.25125,66.392,0,-7.67075,-5.140225,-5.1061,-4.8782,-3.400975,-0.64735,-4.319425,-4.811975,-5.02465,-7.856,-2.148125,-5.039925,-10.43075,-10.99775,97.03
1,4.25,-2.914,-3.035,-31.815625,-120.58235,0.04475,-12.665875,381.18755,438.4396,-80.21,0,0,0,-20.52725,67.76225,0.000875,-7.4615,-5.1126,-5.0922,-4.2302,-3.44215,-0.666825,-4.375225,-4.793325,-5.042375,-7.888,-2.29075,-4.8563,-10.31425,-10.9285,97.027875
1,4.75,-2.96945,-10.9822,-20.622375,-150.655125,0.0405,-6.31325,373.02295,438.5208,-79.7775,0,0,0,-20.6145,69.18375,0,-7.463,-5.401225,-5.320175,-4.55255,-3.49075,-0.668325,-4.339675,-4.9157,-5.018575,-7.894,-2.294475,-4.995825,-10.4975,-11.184,97.071625
