DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,CO2_1_2_1,H2O,NETRAD,PPFD_IN,PPFD_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,W_SIGMA,V_SIGMA
1,0.25,0.6445,0.50775,6.563,-7.934,0.69575,0.219,421.164,409.98775,5.35025,-8.96,0,0,0.369,94.1,3.02225,99.64375,0.901,1.65425,2.26025,2.2825,2.9255,4.924,0.78425,0.4705,0.846,1.393,3.0215,4.22225,-1.655,-1.6345,0.8611,1.353
1,0.75,0.863,0.9265,7.4935,-8.831,0.706,0.1795,424.09725,410,5.686,-9.30225,0,0,0.268,94.2,2.918,99.6455,0.9145,1.658,2.22475,2.24975,2.892,4.9315,0.873,0.517,0.74875,1.3415,3.091,4.229,-1.656,-1.63375,0.8484,1.3383
1,1.25,0.8195,0.82325,6.103,-9.4635,0.692,0.19,423.802,410.2,5.696,-8.78,0,0,0.256,94,3.04325,99.64725,0.91,1.65025,2.247,2.2275,2.905,4.9235,0.771,0.4585,0.773,1.33,3.094,4.2295,-1.655,-1.65275,0.8481,1.3572
1,1.75,0.8085,0.746,6.18875,-8.3095,0.67525,0.17375,424.18175,410.6,5.76175,-8.4075,0,0,0.27,93.9,2.98775,99.6,0.924,1.67075,2.1475,2.234,2.93275,4.95175,0.763,0.44,0.736,1.3675,3.07075,4.243,-1.655,-1.7885,0.851925,1.33525
1,2.25,0.774,0.768,5.576,-8.232,0.685,0.20475,424.21275,410.5,5.7285,-8.3485,0,0,0.172,94,3.00925,99.62775,0.9085,1.66125,2.1635,2.262,2.922,4.9525,0.84325,0.423,0.8045,1.309,3.06575,4.21,-1.655,-1.7705,0.824975,1.318275
1,2.75,0.766,0.692,5.611,-7.5785,0.685,0.1965,424.429,410.283,5.741,-8.32,0,0,0.21,93.8,2.91575,99.6,0.89875,1.61925,2.15,2.205,2.9615,4.90925,0.791,0.43775,0.7435,1.351,3.09425,4.22325,-1.655,-1.80725,0.823575,1.323725
1,3.25,0.77,0.782,5.65,-7.4,0.671,0.20125,424.039,410.5,5.6415,-8.1825,0,0,0.144,94.2,2.83775,99.6,0.8885,1.62125,2.09225,2.2005,2.9195,4.948,0.751,0.468,0.69325,1.33325,3.0735,4.221,-1.653,-1.80875,0.808975,1.2753
1,3.75,0.762,0.79125,5.95525,-7.898,0.65425,0.184,423.757,409.80125,5.598,-8.2175,0,0,0.123,94,2.9145,99.6,0.904,1.6445,2.1475,2.2085,2.9585,4.946,0.75875,0.4315,0.75975,1.3315,3.0605,4.20325,-1.656,-1.81375,0.807,1.30395
1,4.25,0.73725,0.72675,6.1535,-7.2005,0.65475,0.19,424.364,410.38075,5.5535,-8.5275,0,0,-0.071,94.1,2.865,99.6,0.855,1.619,2.09,2.20175,3.0275,4.9405,0.797,0.466,0.72925,1.338,3.1455,4.1845,-1.656,-1.814,0.809,1.30935
1,4.75,0.7845,0.806,5.818,-7.651,0.6745,0.22725,424.4035,410.8095,5.506,-8.56,0,0,-0.108,94.3,2.99025,99.6,0.878,1.6645,2.09875,2.199,2.94,4.904,0.779,0.473,0.71075,1.331,3.077,4.15525,-1.656,-1.81375,0.8177,1.29705
