DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,H2O,NETRAD_1_1_1,NETRAD_1_2_1,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT,PPFD_BC_IN,TA_1_1_1,TA_1_2_1,TA_1_3_1,RH_1_1_1,RH_1_2_1,RH_1_3_1,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,W_SIGMA,V_SIGMA
1,0.25,0.6145,0.5055,0.4995,-22.712,0.4895,0.027,406.8775,389.275,389.06,3.966,-19.97,-2.166,-0.751,0,269.6,294.2,0,0,0,-3.935,-4.115,-4.155,85.7,88,89.25,2.3375,99.209,0.458,-0.0635,0.099,0.809,2.341,4.064,-0.045,0.168,0.519,0.9875,2.2365,4.3,-2.39,-2.388,0.5957,0.89995
1,0.75,0.556,0.467,0.3715,-21.7655,0.5225,0.0035,407.395,389.43,388.555,3.965,-19.01,-2.186,-0.67,0,270.9,293.7,0,0,0,-3.835,-4.117,-4.1165,85.8,87.9,89,2.322,99.218,0.451,-0.0675,0.095,0.8175,2.361,4.0625,-0.054,0.172,0.5035,1.015,2.237,4.304,-2.392,-2.436,0.6044,0.9301
1,1.25,0.297,0.187,0.333,-21.255,0.525,0.007,409.932,389.92,388.805,3.862,-19.48,-2.029,-0.79,0,269.2,294.2,0,0,0,-3.888,-4.096,-4.114,86.3,88.25,89.4,2.2775,99.2095,0.447,-0.0665,0.092,0.8175,2.3575,4.0575,-0.05,0.173,0.516,1.005,2.2285,4.312,-2.38,-2.407,0.6188,0.9606
1,1.75,0.5795,0.433,0.437,-23.3085,0.529,0.042,407.358,389.665,388.885,3.8555,-19.35,-2.297,-0.686,0,269.2,294,0,0,0,-3.838,-4.059,-4.131,85.9,88.1,89.25,2.335,99.203,0.452,-0.0705,0.1,0.8195,2.354,4.059,-0.05,0.167,0.509,1.023,2.24,4.3065,-2.365,-2.415,0.6266,0.97335
1,2.25,0.6075,0.45,0.3965,-22.6875,0.515,0.0595,407.376,389.575,389.43,3.9305,-21.17,-2.157,-0.601,0,270.6,294.6,0,0,0,-3.731,-4.095,-4.064,86.05,88.2,88.8,2.24,99.215,0.46,-0.0705,0.095,0.8185,2.369,4.058,-0.053,0.164,0.5045,1.045,2.2505,4.308,-2.381,-2.447,0.60965,0.9387
1,2.75,0.512,0.405,0.5305,-20.0835,0.508,0.0165,407.3555,389.655,389.29,3.918,-19.31,-2.084,-0.646,0,272,294.3,0,0,0,-3.76,-4.069,-4.043,86.4,88.3,89.05,2.2855,99.21,0.45,-0.069,0.095,0.819,2.3705,4.0625,-0.055,0.166,0.501,1.114,2.252,4.309,-2.416,-2.446,0.61215,0.9359
1,3.25,0.58,0.445,0.5425,-22.643,0.52,0.026,407.558,389.455,389.61,3.9185,-19.66,-2.232,-0.572,0,272.9,293.8,0,0,0,-3.84,-4.121,-4.12,86.3085,88.05,89.3,2.3035,99.221,0.457,-0.0755,0.096,0.8195,2.3625,4.062,-0.056,0.162,0.5045,1.1135,2.25,4.316,-2.393,-2.469,0.6203,0.93875
1,3.75,0.528,0.446,0.417,-21.604,0.514,0.012,407.526,389.6,390.175,3.8625,-21.22,-2.139,-0.569,0,273.3,293.4,0,0,0,-3.834,-4.18,-4.209,86,88.3,89.6,2.3055,99.21,0.441,-0.0765,0.093,0.8195,2.378,4.066,-0.055,0.161,0.497,1.093,2.25,4.309,-2.404,-2.55,0.61435,0.9767
1,4.25,0.5325,0.4705,0.323,-25.1735,0.535,0.0265,407.5255,389.375,390.07,3.796,-20.38,-2.326,-0.719,0,271.5,294,0,0,0,-3.845,-4.191,-4.27,86.4,88.5,89.4,2.31,99.2115,0.449,-0.076,0.091,0.816,2.371,4.0625,-0.063,0.16,0.491,1.046,2.2465,4.312,-2.414,-2.572,0.6221,0.934
1,4.75,0.565,0.483,0.253,-24.408,0.537,0.0415,407.708,389.24,390.28,3.8185,-20.6835,-2.197,-0.7235,0,270.85,293.9,0,0,0,-3.794,-4.119,-4.312,86.4,88.5,89.5,2.2805,99.218,0.457,-0.0755,0.1,0.815,2.3595,4.06,-0.061,0.1615,0.4865,1.044,2.242,4.307,-2.424,-2.572,0.6401,0.95625
