DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,H2O,NETRAD_1_1_1,NETRAD_1_2_1,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT,PPFD_BC_IN,TA_1_1_1,TA_1_2_1,TA_1_3_1,RH_1_1_1,RH_1_2_1,RH_1_3_1,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,W_SIGMA,V_SIGMA
1,0.25,2.02955,2.508025,16.35765,10.8855499999999,1.2397,1.452,451.231675,407.88475,408.2305,10.975,4.95425,9.898,2.098,2.739125,349.54,350.08,0,0,0,8.1955,7.778,6.747625,99.99,100,100,5.293725,100.88925,4.133,3.37355000000001,3.2194,3.710525,4.8732,6.248675,3.36579999999999,3.578325,4.28125,3.841875,4.915125,6.35825,1.48744999999999,2.2759,1.489,2.1905625
1,0.75,2.163125,2.613675,20.14975,13.732825,1.2275,1.290375,451.90855,407.7025,407.84825,11.03855,5.22055,9.916,1.9408,2.58465,348.88,351.46,0,0,0,8.1035,7.976,6.83575,99.97055,100,100,5.2298,100.918,4.1126,3.36595000000001,3.2118,3.712525,4.87,6.242625,3.37639999999999,3.597525,4.347,3.852,4.9123,6.357,1.42929999999999,2.3212,1.44242,2.21835
1,1.25,2.125,2.161125,16.472875,17.3620999999999,1.236,1.62705,452.66615,407.2905,407.89375,11.21175,5.52250000000001,9.72600000000001,1.8978,2.666575,348.16,350.76,0,0,0,8.2045,7.986,7.009375,99.975,100,100,5.19515,100.927,4.1318,3.35480000000001,3.192,3.702875,4.861875,6.242475,3.37999999999999,3.62015,4.31705,3.86725,4.912775,6.357,1.88834999999999,2.17334999999999,1.4547,2.252625
1,1.75,2.39222499999999,2.3816,18.2894,10.170725,1.2402,1.2236,452.034975,407.37,409.013,10.9978,5.95595,15.1760000000001,1.9692,2.6314,347.58,350.78,0,0,0,8.1795,8.04950000000001,6.76479999999999,99.975,100,100,5.34485,100.896,4.1382,3.34377500000001,3.1234,3.68945,4.8672,6.243625,3.3628,3.63965,4.2862,3.872825,4.91555,6.3506,1.24289999999998,1.91699999999999,1.4933,2.1588
1,2.25,2.0749,2.45,20.39675,18.880425,1.2162,1.411025,452.491075,407.9145,409.068,10.945175,5.40765,16.6664999999999,2.1662,2.748,344.86,350.26,0,0,0,8.4635,7.33900000000002,6.6693,100,100,100,5.030625,100.889,4.1552,3.33545,3.078,3.729,4.862,6.2417,3.3512,3.658025,4.254525,3.87475,4.919325,6.360725,0.910399999999997,1.86775,1.4256175,2.144645
1,2.75,2.06115,2.6842,24.184975,13.966875,1.216,1.267975,452.42845,409.2605,409.053,11.0749,5.85775,14.1477499999999,2.1284,2.7706,343.84,350.7,0,0,0,8.4495,7.57550000000001,6.44879999999999,100,100,100,5.06187499999999,100.9525,4.0832,3.334075,3.0956,3.731975,4.85125,6.225975,3.3438,3.67405,4.29415,3.873275,4.922275,6.360175,1.13279999999999,1.95099999999999,1.5024375,2.304
1,3.25,2.1572,2.72635,31.226375,13.955,1.3255,1.501925,452.1791,408.85175,409.777,11.127275,5.4903,9.82600000000001,2.146,2.7366,344.34,351.34,0,0,0,8.21250000000001,8.10800000000001,6.49779999999999,99.865,100,100,5.2026,100.984,4.0564,3.325975,3.1162,3.723875,4.844875,6.211775,3.348,3.679575,4.332575,3.872525,4.926225,6.426,1.9282,2.02809999999999,1.492115,2.292975
1,3.75,2.07275,2.680175,19.9465,16.5934,1.277,1.374575,452.041075,409.41175,409.88325,11.147025,6.28455,8.97600000000001,2.2526,2.6658,345.52,351.3,0,0,0,8.675,8.5465,6.19149999999998,99.9,100,100,5.17455,100.96875,4.0846,3.35035,3.1248,3.7153,4.8325,6.205925,3.3282,3.668,4.329525,3.8991,4.930525,6.389925,1.49665,2.00385,1.5171475,2.23802
1,4.25,2.22635,2.380875,18.616,13.8069,1.13,1.166,451.89205,410.15,410.206,11.09295,5.85055,8.3,2.0308,2.652875,345.5,352.06,0,0,0,8.8015,8.6285,6.44019999999999,99.9,100,100,5.245,100.95625,4.091,3.3368,3.1026,3.731525,4.8231,6.201925,3.2518,3.64235,4.334075,3.901925,4.9238,6.3581,1.5254,1.62159999999999,1.44033,2.1909825
1,4.75,2.207725,2.4846,18.627025,10.8141999999999,1.2121,1.175275,451.9767,410.046,410.598,11.02855,5.32455,9.45800000000001,2.073675,2.7012,345.36,352.33,0,0,0,8.38225,8.66875,6.617,99.9875,100,100,5.0253,100.968,4.1188,3.347375,3.1112,3.72895,4.8696,6.2,3.1652,3.602325,4.3309,3.891,4.9268,6.3548,1.59345,1.3272,1.4808625,2.37166
