DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,H2O,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_5_1,G_1_1_1,U_SIGMA,W_SIGMA,V_SIGMA
1,0.25,-0.5305,-0.9205,-0.5335,-14.71325,0.114,-0.04475,424.39475,4.303,-36.69325,0,-1.646,-0.0985,241.55925,285.94475,-5.96225,81.15,1.157,98.40525,-0.0845,-0.38225,0.23425,2.12075,-9.22425,0.3419,0.1875,0.393175
1,0.75,-0.03875,-0.088,-0.12725,-11.122,0.12775,-0.083,423.94225,4.262,-29.23725,0,-1.53225,-0.07025,248.2475,285.28,-6.07175,81.525,1.2435,98.384,-0.0845,-0.389,0.23225,2.12125,-9.3885,0.3903,0.1902,0.4132
1,1.25,-0.0355,-0.155,-0.084,-13.2865,0.118,-0.031,424.1975,4.1735,-33.09,0,-1.66725,-0.05525,233.46775,282.23225,-6.09275,82.2,1.1585,98.296,-0.08425,-0.38825,0.22075,2.1225,-9.623,0.4109,0.1736,0.43065
1,1.75,0.039,-0.16975,0.29775,-13.8605,0.151,-0.05,424.649,4.26975,-35.82625,0,-1.6085,-0.09525,239.66575,281.56475,-6.26175,79.985,1.29075,98.38025,-0.08425,-0.387,0.2085,2.12375,-9.65175,0.396675,0.226,0.41255
1,2.25,-0.0445,-0.137,-0.03925,-14.99325,0.15325,-0.03975,424.577,4.054,-29.647,0,-1.352,-0.07075,243.9015,283.815,-6.39675,79.6575,1.309,98.464,-0.08425,-0.38925,0.19625,2.12425,-9.78025,0.3678,0.1903,0.4084
1,2.75,-0.195,-0.1595,0.00375,-15.337,0.144,-0.0525,424.585,4.24025,-23.85975,0,-1.41725,-0.03375,242.52,283.2055,-6.5385,80.5,1.18075,98.404,-0.0855,-0.4085,0.18425,2.1255,-9.754,0.3706,0.17105,0.385425
1,3.25,-0.077,-0.127,-0.4185,-15.2455,0.143,-0.04425,424.94175,3.99425,-29.875,0,-1.728,-0.0475,239.8185,279.63475,-6.49375,79.825,1.32025,98.407,-0.091,-0.40025,0.17275,2.126,-9.76575,0.3383,0.15685,0.383975
1,3.75,-0.12275,-0.08875,-0.20025,-14.4535,0.1265,-0.038,424.62475,4.12725,-22.77525,0,-1.0385,-0.0485,249.00525,279.83725,-6.759,79.5225,1.06625,98.3975,-0.091,-0.393,0.15975,2.12575,-9.855,0.3718,0.156375,0.3694
1,4.25,0.001,-0.0415,-0.055,-15.57975,0.1195,-0.049,425.274,4.09,-23.2,0,-1.30125,-0.05975,244.193,276.25,-6.72275,78.9575,1.1475,98.401,-0.09,-0.39675,0.147,2.12525,-9.70125,0.322225,0.138525,0.37795
1,4.75,-0.0715,-0.099,0.034,-16.73,0.127,-0.036,424.96525,4.113,-22.5955,0,-1.3945,-0.06175,250.201,275.78125,-6.69425,78.2225,1.033,98.43,-0.09,-0.40075,0.134,2.12475,-9.64125,0.3105,0.1328,0.3691
