DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,H2O,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_5_1,G_1_1_1,U_SIGMA,W_SIGMA,V_SIGMA
1,0.25,-0.1215,-0.23,0.101,-5.949,0.228,-0.003,429.073,5.724,-15.6735,0,-0.7315,0.0365,288.2785,305.1985,-1.922,87.1,2.426,99.0975,0.368,0.3125,1.137,2.8455,-6.1555,0.6365,0.3286,0.65625
1,0.75,0.25,0.2075,5.676,-6.0475,0.2245,-0.013,428.809,5.731,-16.2215,0,-0.6215,0.0515,287.882,308.068,-1.9805,88.7,2.506,99.089,0.3615,0.3105,1.1245,2.8335,-6.184,0.6346,0.3171,0.678
1,1.25,0.326,0.256,5.174,-6.055,0.225,0.006,429.1055,5.8305,-16.4495,0,-0.671,0.0235,289.172,308.405,-1.677,88.35,2.394,99.07,0.3555,0.3105,1.1065,2.822,-6.3185,0.6235,0.29045,0.6082
1,1.75,0.27,0.261,5.877,-4.96,0.236,-0.006,429.415,5.756,-15.0485,0,-0.6715,0.045,287.2595,308.3035,-1.7455,87.55,2.498,99.095,0.352,0.307,1.0895,2.8105,-6.526,0.62755,0.3189,0.6282
1,2.25,0.313,0.264,6.3935,-8.232,0.2195,0,428.743,5.739,-14.2265,0,-0.75,0.056,286.7765,307.664,-1.5455,87.2,2.379,99.097,0.35,0.3055,1.074,2.8005,-6.608,0.6199,0.3328,0.661
1,2.75,0.137,0.098,5.465,-6.858,0.245,0,428.574,5.835,-14.3905,0,-0.621,0.0505,291.1075,308.0705,-1.4355,87.3,2.3165,99.096,0.348,0.3035,1.0615,2.792,-6.5965,0.66305,0.3407,0.6494
1,3.25,0.215,0.2205,5.6565,-7.073,0.242,0.003,428.411,5.7875,-13.287,0,-0.59,0.0665,291.0555,307.474,-1.5835,87.95,2.1845,99.0275,0.3465,0.302,1.054,2.784,-6.559,0.6313,0.32605,0.71735
1,3.75,0.2715,0.2935,5.123,-6.938,0.2275,0.003,428.3455,5.7765,-11.7125,0,-0.5955,0.0435,293.9355,308.028,-1.718,87.55,2.165,99.0455,0.347,0.3,1.046,2.777,-6.548,0.63425,0.3076,0.66105
1,4.25,0.409,0.378,5.7975,-4.3935,0.2235,0.01,428.559,5.767,-11.6735,0,-0.5705,0.035,286.1065,307.713,-1.7525,88.15,2.029,99.0165,0.347,0.2965,1.039,2.7745,-6.479,0.5926,0.3199,0.62875
1,4.75,0.3105,0.224,6.23,-6.12,0.248,0,428.9465,5.8275,-12.333,0,-0.6055,0.047,283.7965,307.39,-1.8375,88.05,2.191,98.999,0.3475,0.2935,1.0325,2.7735,-6.4225,0.6486,0.3356,0.6847
1,5.25,0.214,0.307,4.771,-8.1795,0.23,-0.0085,428.363,5.854,-10.132,0,-0.52,0.0435,285.234,306.6175,-2.0225,89.15,2.2505,98.999,0.349,0.2905,1.0265,2.7725,-6.5175,0.66515,0.33965,0.7149
1,5.75,0.256,0.2385,4.821,-6.342,0.227,0.013,427.886,5.805,-10.3405,0,-0.518,0.054,288.011,306.2675,-2.19,88,2.067,99.011,0.349,0.2875,1.0195,2.7715,-6.5465,0.6863,0.3282,0.7342
1,6.25,0.3495,0.247,3.312,-7.4705,0.216,0.008,427.54,5.848,-11.9745,0,-0.5545,0.038,287.851,305.5445,-2.1385,87.2,2.252,99.017,0.3495,0.285,1.0135,2.77,-6.5155,0.6475,0.3138,0.6647
1,6.75,0.3025,0.271,6.146,-6.491,0.227,0.015,427.713,5.597,-11.7405,0,-0.536,0.023,288.224,305.7165,-2.429,87.95,2.477,99.299,0.3505,0.2725,1.008,2.7685,-6.544,0.6569,0.3407,0.6709
1,7.25,0.1155,0.039,0.394,-4.793,0.242,0.017,428.39,5.604,-12.056,0,-0.429,0.105,289.3925,305.338,-2.457,88.75,2.3985,99.101,0.3505,0.2705,1.0025,2.767,-6.499,0.7092,0.371,0.7439
1,7.75,0.178,0.131,4.8695,-5.4105,0.22,-0.006,428.6345,5.696,-9.558,2.278,3.544,1.7825,293.0725,305.2235,-2.407,88.4,2.349,99.102,0.35,0.269,0.9975,2.7655,-6.611,0.6784,0.3483,0.705
1,8.25,0.1525,0.179,4.4825,-3.777,0.2005,0.013,429.315,5.6965,-0.7315,30.415,19.617,6.877,292.551,306.0885,-2.4355,87.65,2.4245,99.158,0.3495,0.2675,0.9925,2.764,-6.658,0.6695,0.3454,0.693
1,8.75,0.094,0.093,6.6225,-3.473,0.219,0.01,429.405,5.846,10.111,72.58,41.114,14.8015,292.0105,307.7025,-1.966,88.55,2.395,99.2085,0.351,0.266,0.988,2.762,-6.5895,0.675,0.3281,0.674
1,9.25,0.0525,0.046,8.515,-0.3175,0.254,-0.001,429.398,5.931,20.756,113,68.155,31.1685,291.932,308.855,-1.8665,86.9,2.486,99.132,0.3555,0.265,0.983,2.761,-6.378,0.751,0.377,0.7562
1,9.75,-0.0125,-0.008,12.518,1.318,0.265,-0.012,428.773,5.834,33.709,193.4,98.8225,40.471,292.8265,312.3035,-1.667,84.05,2.707,99.108,0.3595,0.2645,0.9785,2.7595,-6.2185,0.8049,0.3934,0.87245
1,10.25,0.077,0.092,15.879,4.9845,0.2825,0.002,428.346,5.592,47.402,261.3,118.6705,47.051,292.0275,313.257,-1.122,83.15,2.86,99.1395,0.3585,0.2645,0.9745,2.758,-5.8045,0.84305,0.4006,0.86725
1,10.75,-0.0485,-0.046,17.914,7.437,0.3155,0.004,428.597,5.512,57.3425,343.9,129.788,48.045,290.038,314.697,-0.912,82.8,2.751,99.1715,0.3615,0.265,0.9705,2.7565,-5.0795,0.9142,0.43295,1.0061
1,11.25,0.031,0.118,21.56,8.3855,0.3165,-0.0175,428.876,5.744,64.129,354.4,161.5935,51.405,289.273,315.069,-0.994,82.45,2.691,99.186,0.3635,0.265,0.9675,2.7545,-4.5445,0.91995,0.40565,1.01845
1,11.75,-0.054,-0.0685,23.765,9.588,0.3,-0.0105,428.405,5.992,78.1925,366.85,207.2185,61.103,287.532,317.788,-0.959,82.3,2.797,99.1435,0.3625,0.2655,0.9645,2.753,-4.1155,0.933,0.432,1.03845
1,12.25,-0.058,0.038,23.871,11.307,0.302,0.006,428.496,6.1195,67.232,400.85,168.4525,73.265,290.7175,317.1935,-0.8,82.6,2.9675,99.071,0.374,0.266,0.963,2.751,-3.8885,0.93445,0.4104,1.0204
1,12.75,0.0955,0.186,25.7825,11.914,0.3025,0.0035,428.7895,6.066,66.6355,393.25,184.127,58.6775,287.725,317.396,-0.8255,80.4,2.9175,99.0645,0.383,0.267,0.9865,2.749,-3.3835,0.9351,0.44935,0.99935
1,13.25,0.139,0.1095,26.267,11.081,0.299,0.001,428.657,6.017,55.373,382.05,160.269,51.171,289.262,316.7325,-0.5695,80.75,3.0235,99.096,0.3935,0.2685,1.03,2.747,-3.0295,0.9227,0.4194,0.99905
1,13.75,0.125,0.1585,24.368,12.8505,0.307,-0.001,428.817,5.854,47.552,343.95,150.3005,54.3735,290.088,316.1865,-0.6775,80.95,2.8725,99.087,0.4025,0.2705,1.054,2.745,-2.8545,0.92755,0.41935,0.96295
1,14.25,0.175,0.162,24.686,9.218,0.2785,-0.0135,428.76,6.17,34.3025,332.45,131.941,46.342,288.4835,317.091,-0.552,79.7,2.9455,99.0625,0.421,0.2735,1.069,2.743,-2.682,0.8858,0.37995,0.9643
1,14.75,0.118,0.008,26.491,7.0805,0.275,-0.013,428.441,6.141,24.933,320.35,109.9725,43.2045,283.4895,316.4435,-0.5995,78.04,2.7875,99.006,0.439,0.279,1.083,2.741,-2.8265,0.8948,0.3886,0.9629
1,15.25,0.264,0.256,21.995,5.048,0.28,-0.007,428.584,5.8835,11.89,219.95,88.7945,30.2465,283.652,314.217,-0.466,79.175,2.738,99.026,0.428,0.278,1.104,2.739,-2.985,0.86185,0.4017,0.95255
1,15.75,0.189,0.137,17.732,1.928,0.2815,-0.002,428.665,5.931,2.7485,173.25,56.546,19.91,276.3185,311.8505,-0.4405,80.6,2.5335,99.064,0.434,0.278,1.1345,2.738,-3.2565,0.80115,0.3703,0.8481
1,16.25,0.235,0.255,12.874,-2.312,0.256,-0.005,428.428,5.752,-11.8765,91.6,29.667,10.3775,279.1575,309.674,-0.5315,82.05,2.66,99.0825,0.4565,0.2885,1.1715,2.737,-3.473,0.785,0.3783,0.7903
1,16.75,0.23,0.271,10.548,-4.96,0.2325,-0.01,428.212,5.892,-19.4085,38.38,6.8445,3.0085,279.347,309.826,-0.6335,82.5,2.417,99.0985,0.4725,0.292,1.182,2.736,-3.769,0.688,0.3497,0.7596
1,17.25,0.318,0.361,8.1725,-5.3195,0.2245,-0.0085,428.345,5.997,-26.4505,0,-0.217,0.294,281.3385,308.788,-0.875,84.2,2.0335,99.0735,0.471,0.2935,1.175,2.7355,-3.936,0.5953,0.3032,0.6276
1,17.75,0.208,0.192,7.976,-5.9155,0.223,-0.0125,428.533,5.8035,-22.416,0,-0.915,0.026,284.8705,307.8405,-1.0255,84.9,2.161,99.095,0.461,0.292,1.1635,2.723,-4.82,0.62085,0.29725,0.62325
