DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,CO2_1_2_1,H2O,NETRAD,PPFD_IN,PPFD_OUT,PPFD_BC_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,W_SIGMA,V_SIGMA
1,0.25,-0.04,-0.015,-0.381,-33.14,0.28,-0.277,405.49375,385.15,2.3425,-58.8175,0,0,-0.009,-2.98825,0.221,260.198,275.887,-7.048,69.63,2.1765,100.8,0.0385,0.41,0.718,1.187,2.367,4.355,-0.014,0.124,0.495,1.15,2.4435,4.033,-4.998,-5.796,-5.418,-5.922,0.34975,0.608225
1,0.75,0.13325,0.052,-0.49075,-33.24675,0.281,-0.22425,404.657,384.2,2.296,-60.19725,0,0,-0.009,-3.0895,0.26875,258.838,276.994,-7.19125,70.525,2.25225,100.75,0.042,0.4095,0.7135,1.191,2.3875,4.3555,-0.0155,0.1295,0.491,1.161,2.437,4.0545,-4.956,-5.796,-5.481,-5.922,0.34955,0.5795
1,1.25,0.172,0.0645,-0.4635,-33.251,0.27825,-0.186,404.649,383.925,2.26725,-62.66275,0,0,-0.009,-3.09,0.2435,258.36875,277.23325,-7.30225,70.765,2.2685,100.75,0.04,0.41,0.7145,1.193,2.3835,4.3465,-0.0175,0.125,0.486,1.164,2.449,4.054,-5.019,-5.838,-5.523,-5.88,0.359975,0.586725
1,1.75,0.181,0.0355,-0.508,-35.838,0.2925,-0.275,404.185,384.175,2.344,-57.7875,0,0,-0.009,-2.917,0.244,257.5015,276.688,-7.469,70.535,2.33,100.725,0.03275,0.40025,0.71375,1.192,2.3825,4.35025,-0.01675,0.1325,0.48825,1.1535,2.4325,4.04075,-4.998,-5.838,-5.502,-5.838,0.37575,0.625975
1,2.25,0.152,0.101,-0.39625,-34.004,0.284,-0.2875,404.435,385.175,2.307,-53.045,0,0,-0.009,-2.61925,0.23725,259.36325,276.018,-7.49925,72.06,2.229,100.8,0.042,0.407,0.7165,1.1905,2.3865,4.35,-0.011,0.13,0.4795,1.1575,2.44375,4.046,-5.019,-5.964,-5.481,-5.922,0.3813,0.6192
1,2.75,0.131,0.05925,-0.518,-34.824,0.296,-0.2,404.762,385.2,2.35,-57.00875,0,0,-0.009,-2.862,0.23575,256.5905,275.5095,-7.383,71.875,2.25375,100.8,0.036,0.413,0.7135,1.184,2.3935,4.3445,-0.019,0.1055,0.487,1.155,2.439,4.048,-5.0715,-5.9745,-5.5335,-5.985,0.371425,0.649625
1,3.25,0.11,0.0665,-0.306,-34.02625,0.29,-0.207,405.5335,385.15,2.344,-57.797,0,0,-0.009,-2.976,0.244,256.9115,274.977,-7.534,72.6075,2.241,100.8,0.041,0.4025,0.719,1.1895,2.398,4.348,-0.0135,0.1045,0.4795,1.1565,2.4385,4.0415,-5.1135,-5.943,-5.5335,-5.9535,0.37195,0.62605
1,3.75,0.053,0.044,-0.371,-32.878,0.275,-0.253,405.941,385.15,2.348,-57.3935,0,0,-0.009,-2.804,0.26625,255.877,275.1615,-7.6035,72.6425,2.1585,100.75,0.031,0.4,0.714,1.184,2.384,4.3415,-0.0105,0.1175,0.482,1.1555,2.432,4.0465,-5.1555,-5.9535,-5.544,-5.9535,0.3669,0.6338
1,4.25,0.123,0.1025,-0.385,-34.0405,0.291,-0.222,405.69775,384.4,2.277,-55.6735,0,0,-0.009,-2.827,0.271,253.6995,275.8635,-7.65525,72.6475,2.2185,100.725,0.035,0.402,0.7095,1.1855,2.4035,4.3375,-0.0385,0.113,0.4815,1.1585,2.438,4.044,-5.1555,-6.006,-5.586,-5.922,0.37985,0.64595
1,4.75,0.228,0.074,-0.2895,-32.20775,0.285,-0.305,405.6575,384.35,2.27575,-60.3805,0,0,-0.009,-2.916,0.258,253.267,275.72,-7.639,72.3575,2.23825,100.75,0.02925,0.401,0.709,1.1925,2.3935,4.336,-0.0395,0.105,0.485,1.1625,2.439,4.045,-5.124,-6.027,-5.6595,-5.9115,0.36395,0.602475
