DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,CO2_1_2_1,H2O,NETRAD,PPFD_IN,PPFD_OUT,PPFD_BC_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,W_SIGMA,V_SIGMA
1,0.25,0.822,0.8025,2.846,-3.696,0.872,0.28525,430.61875,422.8,5.25225,-7.46525,0,0,0.017,-0.5195,1.1895,317.4445,318.5145,1.54125,92.1,4.422,102.1,1.507,1.985,2.288,2.707,3.707,5.447,1.639,1.75,2.231,2.873,3.8965,5.291,-2.268,-3.192,-2.94,-2.772,1.111175,1.627
1,0.75,0.961,0.942,2.32275,-3.72575,0.87025,0.354,430.689,423.6,5.29025,-7.52375,0,0,0.009,-0.53825,1.1925,316.52825,318.5915,1.6465,91.5,4.49475,102.15,1.496,1.982,2.272,2.714,3.701,5.4525,1.6335,1.752,2.212,2.867,3.89225,5.2895,-2.289,-3.213,-2.961,-2.772,1.14095,1.6257
1,1.25,1.075,0.9965,2.739,-4.248,0.83775,0.3095,430.7205,423.775,5.31525,-7.57725,0,0,0.017,-0.526,1.23375,316.2075,317.811,1.44925,91.7,4.417,102.1,1.492,1.9805,2.2735,2.712,3.704,5.453,1.622,1.7475,2.206,2.866,3.8945,5.291,-2.289,-3.213,-2.982,-2.772,1.095575,1.61305
1,1.75,1.188,1.095,2.671,-4.6485,0.86,0.3205,431.127,423.4,5.30725,-7.46325,0,0,0.017,-0.543,1.141,315.7505,317.532,1.29875,92.175,4.4415,102.1,1.50125,1.9785,2.2785,2.71375,3.697,5.456,1.63175,1.75425,2.19725,2.85025,3.891,5.29025,-2.31,-3.192,-2.982,-2.772,1.0999,1.59555
1,2.25,1.189,1.148,3.0015,-3.905,0.85475,0.27075,431.366,423.375,5.259,-7.27375,0,0,0.017,-0.5175,1.13175,315.77425,317.1415,1.34875,92.65,4.4425,102.15,1.49,1.964,2.271,2.725,3.7,5.4505,1.626,1.738,2.1715,2.854,3.88625,5.2875,-2.352,-3.213,-2.982,-2.793,1.09565,1.584075
1,2.75,1.19225,1.12375,2.89575,-4.409,0.868,0.3415,431.6405,423.7,5.24225,-7.12875,0,0,0.017,-0.54,1.132,315.993,317.85,1.275,92.8,4.58325,102.2,1.49,1.955,2.277,2.7275,3.7005,5.4435,1.6045,1.739,2.166,2.8465,3.89,5.284,-2.394,-3.192,-2.982,-2.7825,1.1082,1.606425
1,3.25,1.161,1.0675,3.1985,-4.14225,0.841,0.3405,431.4915,423.9,5.213,-7.56425,0,0,0.017,-0.567,1.174,315.823,317.7385,1.201,92.35,4.40625,102.2,1.482,1.9475,2.2655,2.72,3.706,5.4515,1.6155,1.735,2.1725,2.8395,3.89725,5.2785,-2.436,-3.213,-2.982,-2.7825,1.0956,1.6401
1,3.75,1.072,1.036,3.116,-5.3215,0.855,0.3225,431.096,423.25,5.172,-8.30425,0,0,0.017,-0.572,1.19525,315.6095,316.97,1.2435,92.275,4.44875,102.2,1.494,1.951,2.279,2.723,3.6995,5.4475,1.625,1.727,2.1705,2.8515,3.883,5.2735,-2.436,-3.276,-2.982,-2.772,1.1004,1.6282
1,4.25,1.105,1.1785,3.064,-3.798,0.8415,0.284,430.74425,423.15,5.145,-8.34425,0,0,0.017,-0.549,1.122,315.5915,316.816,1.276,91.675,4.557,102.175,1.482,1.9435,2.273,2.714,3.7025,5.4385,1.6245,1.7245,2.159,2.855,3.889,5.2845,-2.436,-3.234,-2.9505,-2.7825,1.09035,1.60955
1,4.75,1.155,1.218,2.8695,-4.30925,0.876,0.23975,430.6195,423,5.03425,-8.74575,0,0,0.017,-0.551,1.199,315.955,316.64,1.229,91.575,4.6065,102.15,1.476,1.9475,2.2725,2.7145,3.7,5.4415,1.6185,1.7325,2.152,2.8505,3.896,5.279,-2.394,-3.2445,-2.9085,-2.772,1.100375,1.6364
