DOY2,HR2,CO2,H2O,FC,NEE,LE,H,USTAR,TA_1_1_2,TA_1_1_1,RH,PA,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN_1_1_1,PPFD_OUT,PPFD_IN_1_1_2,PPFD_DIF,TS_1_1_1,TS_2_1_1,TS_1_2_1,TS_2_2_1,TS_1_3_1,TS_2_3_1,TS_1_4_1,TS_2_4_1,TS_1_5_1,TS_2_5_1,TS_1_6_1,TS_2_6_1,WS
1,0.25,398.2,3.05,0.23,0.2725,0.225,0.47,0.28,-7.08,-7.1,91.65,95.65,-0.085,1.08,266.95,271.8,-0.245,0,0,28.415,17.885,-4.125,-5.997,-3.0635,-5.2905,-2.0015,-4.21,0.9695,-2.2485,0.2505,-0.105,4.515,4.3,1.98
1,0.75,397.25,2.97,0.25,0.28,0.28,0.84,0.29,-7.395,-7.47,90.7,95.6,-0.01,1.06,264,270.85,0.125,0,0,27.35,16.49,-4.2195,-5.9905,-3.0555,-5.294,-2.033,-4.234,0.976,-2.284,0.2505,-0.105,4.515,4.3,2.015
1,1.25,398.15,3.03,0.23,0.24,0.345,1.115,0.285,-7.66,-7.62,91,95.6,-0.01,1.075,265.25,269.95,-0.23,0,0,27.165,16.645,-4.246,-6.0205,-3.07,-5.3035,-2.0355,-4.2215,0.982,-2.295,0.2505,-0.105,4.515,4.3,2.025
1,1.75,398.2075,3.0725,0.2675,0.3,0.455,1.29,0.2825,-7.37,-7.34,90.7,95.6,-0.005,1.035,267.1,268.6,-0.325,0,0,24.53,15.12,-4.2535,-6.1,-3.0865,-5.3205,-2.0545,-4.21,0.988,-2.307,0.25,-0.11,4.515,4.3,1.955
1,2.25,397.1725,3.165,0.24,0.26,0.3675,1.825,0.305,-7.34,-7.37,90.7,95.6,0,0.925,266.65,267.8,-0.03,0,0,27.54,17.165,-4.2965,-6.16,-3.102,-5.3155,-2.0725,-4.244,0.993,-2.3185,0.25,-0.11,4.515,4.3,1.975
1,2.75,397.58,3.18,0.24,0.26,0.51,1.32,0.31,-7.275,-7.36,90.55,95.6,0.065,1.01,266.65,269.2,0.105,0,0,26.355,17,-4.295,-6.12,-3.0995,-5.3325,-2.079,-4.2965,0.9995,-2.33,0.25,-0.11,4.515,4.3,1.865
1,3.25,397.49,3.07,0.2475,0.23,0.355,1.495,0.285,-7.48,-7.34,90.45,95.6,0.01,0.915,266.85,269,0.26,0,0,29.705,17.825,-4.2685,-6.14,-3.0835,-5.338,-2.056,-4.362,1.002,-2.3775,0.25,-0.11,4.515,4.3,1.88
1,3.75,397.151284,3.13,0.245,0.23,0.3,1.45,0.3,-7.5,-7.62,90.7,95.6,0.045,0.89,267.55,272.7,0.455,0,0,28.34,17.59,-4.2565,-6.17,-3.042,-5.342,-2.058,-4.4665,0.9955,-2.4275,0.2495,-0.11,4.515,4.3,1.895
1,4.25,397.456884,3.1425,0.21,0.235,0.545,1.6025,0.28,-7.285,-7.36,90.9,95.6,-0.01,0.84,266,271.3,-0.49,0,0,27.255,17.365,-4.2915,-6.18,-2.9945,-5.337,-2.059,-4.4495,0.984,-2.436,0.25,-0.11,4.515,4.3,1.875
1,4.75,397.26677125,3.0975,0.23,0.26,0.2825,1.0275,0.2925,-7.485,-7.57,90.6,95.6,-0.06,0.815,265.5,270.75,-0.535,0,0,29.17,18.87,-4.3,-6.167,-2.986,-5.36,-2.0605,-4.474,0.9625,-2.42,0.2495,-0.11,4.515,4.3,1.91
1,5.25,396.9975,3.045,0.25,0.27,0.33,1.2075,0.3,-7.4,-7.51,90.8,95.65,-0.015,0.92,265.75,270.25,-0.465,0,0,27.98,16.445,-4.2605,-6.1875,-2.981,-5.367,-2.049,-4.488,0.9405,-2.44,0.2495,-0.11,4.515,4.3,1.96
1,5.75,397.14,3.08,0.26,0.2675,0.35,0.69,0.3,-7.225,-7.38,90.8,95.6,-0.035,0.91,265.1,270.5,-0.55,0,0,29.005,18.67,-4.228,-6.155,-2.979,-5.349,-2.073,-4.483,0.919,-2.43,0.2485,-0.11,4.515,4.295,1.865
1,6.25,397.15,3.0375,0.23,0.23,0.535,1.6,0.2875,-7.645,-7.7,91.05,95.6,-0.115,0.84,265.95,270.45,-0.57,0,0,27.595,16.315,-4.216,-6.0865,-2.963,-5.3615,-2.13,-4.466,0.8975,-2.44,0.249,-0.11,4.515,4.3,1.91
1,6.75,397.35,3.08,0.2725,0.3125,0.42,1.62,0.3,-7.515,-7.41,91,95.6,-0.1,0.915,267.1,271.05,-0.44,0,0,28.08,17.525,-4.2215,-6.094,-2.944,-5.3755,-2.12,-4.5045,0.876,-2.4655,0.2485,-0.11,4.515,4.3,1.985
1,7.25,397.4975,3.0275,0.245,0.27,0.4,1.2075,0.29,-7.715,-7.57,90.5,95.6,-0.12,0.795,266.35,271.55,-0.57,0,0,28.185,17.255,-4.226,-6.1865,-2.9685,-5.4165,-2.1,-4.4655,0.8555,-2.4885,0.249,-0.11,4.515,4.295,1.985
1,7.75,397.38,3,0.22,0.24,0.51,1.96,0.3,-7.61,-7.54,89.75,95.6,-0.105,0.755,264.4,269.85,-0.605,0,0,26.74,16.19,-4.2125,-6.1865,-2.9465,-5.42,-2.095,-4.4575,0.8455,-2.489,0.2485,-0.11,4.51,4.295,1.98
1,8.25,397.765,3.0375,0.2475,0.25,0.39,1.185,0.28,-7.955,-8.04,90.3,95.6,0.47,1.035,265.2,271.35,-0.455,1.22,0.58,25.49,15.75,-4.201,-6.125,-2.917,-5.3935,-2.115,-4.4575,0.835,-2.489,0.249,-0.11,4.51,4.295,1.825
1,8.75,397.62,3.0475,0.27,0.3,0.415,1.0025,0.3,-7.84,-8.03,90.7,95.55,6.68,4.6,264.55,270.95,0.465,12.975,6.51,33.215,21.575,-4.1925,-6.0575,-2.87,-5.3795,-2.13,-4.4595,0.832,-2.488,0.2485,-0.11,4.51,4.295,1.895
1,9.25,397.635,3.04,0.23,0.255,0.605,3.4,0.31,-8.0675,-8.0325,90.65,95.6,31.5525,18.9775,265.725,272.05,9.8075,46.3275,24.6225,62.8875,51.2375,-4.18675,-6.0045,-2.885,-5.364,-2.1245,-4.4665,0.82975,-2.4905,0.24775,-0.1075,4.505,4.3,2.0875
1,9.75,397.4925,3.1375,0.29,0.29,0.715,6.4925,0.32,-8.025,-8.005,90.425,95.6,64.43,34.8575,268.325,274.3,22.1675,103.975,48.96,118.85,96.05,-4.194,-6.049,-2.88975,-5.34775,-2.0995,-4.45375,0.838,-2.48825,0.247,-0.1075,4.4975,4.3,2.0625
1,10.25,397.56612925,3.075,0.32,0.33,1.4875,15.7025,0.3375,-7.7275,-7.77,90.425,95.625,116.425,51.67,268.05,276.375,36.4675,173.3,78.95,204.925,142.9,-4.18475,-5.96875,-2.918,-5.3575,-2.079,-4.43575,0.84575,-2.47075,0.24775,-0.1075,4.4975,4.3,2.1525
1,10.75,397.29,3.13,0.33,0.25,2.6,24.875,0.3675,-6.8375,-7.1375,89.475,95.7,151.275,70.6,269.225,278.15,49.6025,244.55,109.1,279.5,180.275,-4.19075,-5.82075,-2.941,-5.33,-2.03,-4.413,0.85375,-2.48625,0.247,-0.1075,4.4975,4.3,2.3325
1,11.25,396.9726205,3.1925,0.33,0.28,3.04,34.5525,0.4,-5.855,-6.13,88.025,95.7,185,80.7,271.975,281.225,67.51,298.175,132.475,342.1,210.725,-4.177,-5.75375,-2.9405,-5.23325,-2.0075,-4.412,0.86125,-2.49975,0.247,-0.1075,4.4975,4.3,2.48
1,11.75,396.11,3.22,0.335,0.23,3.59,42.58,0.4,-5.325,-5.515,86.825,95.7,207.6,88.6,273.8,285.425,73.85,338.425,150.725,402.6,235.075,-4.18375,-5.74075,-2.8935,-5.12225,-2.0075,-4.35875,0.86575,-2.49675,0.247,-0.1075,4.4975,4.3,2.5225
1,12.25,395.81,3.22,0.26,0.22,3.92,48.13,0.41,-5.005,-5.235,86.5,95.7,218.6,94.875,273.3,285.875,77.1,357.475,164.225,435.475,238.575,-4.14825,-5.556,-2.85,-5.12125,-1.99625,-4.33275,0.8705,-2.488,0.247,-0.1075,4.4975,4.3,2.6725
1,12.75,395.7425,3.29,0.205,0.2,5.06,49.31,0.4,-4.91,-5.015,84.525,95.625,236.95,103.4,273.35,288.225,79.075,389.175,178.175,468.3,258.8,-4.1255,-5.57275,-2.80125,-5.01,-1.98675,-4.28825,0.87525,-2.47975,0.24625,-0.1075,4.4975,4.3,2.745
1,13.25,395.9525,3.39,0.24,0.24,4.675,47.6625,0.4025,-4.4125,-4.76,83.175,95.625,217.075,99.2,274.3,289.675,65.685,349.625,176.125,454.85,235.9,-4.0875,-5.46875,-2.8305,-4.8755,-1.98925,-4.22875,0.88,-2.4635,0.24625,-0.1075,4.4975,4.3,2.675
