DOY2,HR2,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,SC,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_2_3_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_4_1,TS_3_5_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,G_5_1_1,NETRAD,H2O_1_1_1,H2O_1_1_2,H2O_1_1_3,H2O_1_2_2,H2O_1_2_3,H2O_1_3_2,H2O_1_3_3,H2O_1_4_2,H2O_1_4_3,H2O_1_5_2,H2O_1_5_3,CO2_1_1_1,CO2_1_1_2,CO2_1_1_3,CO2_1_2_2,CO2_1_2_3,CO2_1_3_2,CO2_1_3_3,CO2_1_4_2,CO2_1_4_3,CO2_1_5_2,CO2_1_5_3,CH4_1_1_1
1,0.25,2.81231438923537,25.4263544554702,0.307095657467152,2.17940707585191,0.251321057642524,8.8241562980371,-1.15523023997902,0.31765992545393,-12.8020252413175,1.75338822273091,0.594301287506252,2.17,0.9,0.2875,0.33,23.9253,23.67875,23.634675,23.0057,22.7724,22.6107,100.389865,78.17,9.2528,23.105,23.045,23.335,22.825,1,-3.3,2.2,-1.155,0.935,378.75,438.7,429.175,438.2,0.16,-0.0025,0.0675,0.1,0.0775,0.295,0.1325,1.4325,0.095,23.88025,24.027,24.53575,24.8715,25.1605,25.89525,26.298,26.6765,23.9125,24.237,24.8465,24.99775,25.27825,26.343,26.554,26.983,23.70175,24.95325,24.479,26.95225,23.8675,24.215,24.44025,24.7505,25.47275,25.881,26.1255,26.42025,27.098,23.752,24.30175,24.87275,25.31875,25.87275,26.41375,26.7195,26.893,27.31775,-2.2335,-2.79425,-3.234,-62.425,24.3690523162092,20.2348249146666,23.037651878018,19.885372630523,22.9668505386824,21.4775135277176,21.3652337746748,21.6062897464816,23.4265548040004,21.4879492133579,23.5408961267939,418.328657551334,421.112863094123,416.109297337295,420.634954549066,417.114631182949,424.779644536361,420.045947053089,432.389303270559,423.418774316617,448.542435114349,435.166029603974,1934.61944895937
1,0.75,2.87848742884676,25.5529879478966,0.303928367462531,1.88145050615345,1.00559492767927,4.44653294576349,0.468936437794443,0.30478514758991,-12.1575806012846,2.30912203280263,0.637208722959134,2.1975,0.89,0.29,0.35,23.8449,23.6925,23.5229,22.943925,22.7474,22.489625,100.384265,76.95,9.4978,22.98,22.9725,23.25,22.6725,0.85,-3.205,2.175,-1.1775,0.93,379.25,438.45,428.6,437.6,0.16,-0.01,0.0675,0.1,0.08,0.32,0.13,1.44,0.1025,23.83625,23.9945,24.49875,24.8575,25.15825,25.8945,26.297,26.6765,23.8165,24.162,24.786,24.96875,25.27175,26.342,26.553,26.98225,23.56725,24.927,24.47725,26.95675,23.7955,24.13775,24.3865,24.73625,25.46525,25.881,26.1255,26.4195,27.0985,23.643,24.2015,24.7905,25.2825,25.8645,26.41275,26.7195,26.893,27.3185,-2.37475,-2.869,-3.2935,-61.825,24.4475420567323,20.3808855869342,22.8559264527992,19.5375689690043,22.1613888289566,20.7723544246626,22.1646481194121,21.4115617154023,23.3129420467764,20.8852778586709,23.5224013016887,418.830500877628,420.374976572543,415.592834918564,420.156467864718,416.256345902609,424.583558262426,420.56427445095,429.925728313436,426.312888391173,450.543542142397,448.901736995234,1961.5318375332
1,1.25,2.74894946702377,25.5092859321599,0.335470483041495,2.36945309241264,0.775507944205593,-0.526493957891895,2.80550323703064,0.290561737163873,-12.2919944172168,0.920586355165323,0.676264317869593,2.11,0.8525,0.2625,0.3425,23.76615,23.611,23.4535,22.9206,22.6085,22.3956,100.369695,76.84,9.1537,22.865,22.8275,23.125,22.5225,0.925,-3.19,2.525,-1.1775,0.91,377.15,438.3,427.325,437.4,0.155,-0.01,0.0675,0.1,0.07,0.3,0.115,1.395,0.095,23.78175,23.95925,24.46925,24.8375,25.1545,25.8945,26.297,26.6765,23.6975,24.08625,24.73675,24.9495,25.262,26.341,26.553,26.98225,23.468,24.90225,24.4765,26.955,23.71775,24.0875,24.3475,24.72825,25.45775,25.88025,26.1255,26.4195,27.0985,23.54575,24.117,24.73925,25.2475,25.8525,26.41275,26.71875,26.893,27.31775,-2.6705,-3.196,-3.8245,-59.975,24.2248751319805,20.6249338376571,22.5150941541531,19.3336544127068,23.0704970408991,21.193135793021,22.9360595352561,21.106775662862,21.7077723168509,20.8461913473659,22.8183341245974,419.096117724583,423.490226859291,417.368560164672,423.282225111273,417.348986044576,431.714141279054,419.723550046125,441.086814388012,429.305357797856,465.582898416546,444.757728284534,1981.04219639125
1,1.75,2.86173957057908,25.3771742003449,0.30308979227457,3.09436804131767,-0.0332473634242724,5.05304382801441,-0.414237084400544,0.292055855790667,-13.2086186300659,2.05851973037545,0.603141065587895,2.12,0.835,0.265,0.34,23.7052,23.5215,23.4,22.8587,22.624525,22.2583,100.337805,76.935,9.1491,22.7825,22.75,23.03,22.3875,0.975,-3.285,2.375,-1.155,0.92,377.25,437.65,427.4,436.7,0.16,-0.01,0.0675,0.1,0.0725,0.305,0.1225,1.4025,0.095,23.72725,23.9245,24.4405,24.81725,25.1495,25.89425,26.297,26.6755,23.575,23.98475,24.679,24.9265,25.25625,26.3435,26.553,26.98225,23.399,24.87475,24.47725,26.95425,23.605,24.0585,24.309,24.71075,25.454,25.88,26.12475,26.41925,27.09775,23.41625,24.0315,24.6945,25.2145,25.843,26.41175,26.7185,26.892,27.3175,-2.851,-3.467,-4.136,-59.83,24.1556336603644,19.7042416498845,22.6154731897578,19.0063512563557,22.5707334569525,20.0592550438447,22.9615719372281,20.6857856602113,22.633733937519,20.4831610878071,23.4395771149842,419.354800359467,421.447048181964,417.003370255774,420.309042430619,416.946324217604,430.514184066982,419.87833393285,434.766834268578,431.651928665732,452.623319059805,438.766547401749,1915.41007324291
1,2.25,2.71564463543189,25.0258472100729,0.30630081045054,2.66062181128986,0.787920645610332,1.97922050186359,4.976455205214,0.243878454813581,-13.3241662567625,1.26722283020111,0.670411850537558,2.13,0.825,0.2775,0.3325,23.6882,23.489,23.415,22.889125,22.6404,22.149975,100.308875,76.7125,9.1506,22.7825,22.825,22.98,22.3125,0.8,-3.26,2.4,-1.125,0.905,378,437,426.425,436,0.16,0.005,0.0675,0.1,0.095,0.3,0.13,1.35,0.11,23.6615,23.8855,24.424,24.80125,25.144,25.89425,26.29775,26.6755,23.468,23.903,24.612,24.901,25.254,26.343,26.5545,26.983,23.351,24.85225,24.474,26.95425,23.50225,23.99425,24.2705,24.695,25.4475,25.8805,26.1245,26.4185,27.0975,23.331,23.959,24.62275,25.18325,25.8335,26.41175,26.7185,26.892,27.3175,-3.10475,-3.704,-4.371,-59.07,24.1561457219457,19.7936105180337,22.6028041145069,19.356531983068,22.2431739559384,20.1544946977246,22.1653278007377,20.517713785831,23.2757949085148,20.625919940105,23.1167204789203,418.418025944133,420.326868409494,416.286408886016,420.809386020388,416.113372234012,427.955955081127,420.27245312016,434.930180638918,429.305639505027,448.899092924506,445.05092376466,1924.88574163521
1,2.75,2.72941147499311,25.1107519856851,0.301772836476991,1.87985092616218,0.60379570097361,3.21877463399524,2.86238429715205,0.261479843145116,-9.79628326916229,0.476143202244126,0.591945688038154,2.1075,0.82,0.27,0.3225,23.5857,23.43525,23.4076,22.770575,22.5356,21.974075,100.2830625,77.1375,9.163525,22.71,22.735,22.915,22.2825,1,-3.27,2.35,-1.16,0.93,376.9,436.75,425.075,435.425,0.16,-0.01,0.0675,0.1,0.095,0.3075,0.125,1.3325,0.11,23.60025,23.836,24.38425,24.789,25.14025,25.8935,26.29675,26.6755,23.3425,23.7925,24.5635,24.8655,25.249,26.342,26.554,26.9825,23.23025,24.8385,24.47325,26.954,23.448,23.91875,24.23975,24.67425,25.442,25.88,26.1245,26.41825,27.09675,23.29475,23.887,24.57125,25.1545,25.8235,26.41075,26.71775,26.892,27.31675,-3.07625,-3.83975,-4.674,-60.605,24.294953202711,20.7398704405627,22.5330716844921,19.6723291043456,22.5916987567026,20.4053460113892,22.2562439786529,20.4608375103311,22.3496679566901,20.4680979209797,22.5845984614632,418.149039981083,421.591565577206,415.777661024032,421.2411274713,415.479869169769,427.569740783736,418.752525868046,439.434779640948,427.408720506689,451.799766886478,443.807007099658,1953.15340941898
1,3.25,2.7506254476598,25.1045139421335,0.326911303067792,3.52004675942088,0.630132255613073,-0.440308081962027,-2.08282367963347,0.274918701294859,-12.6674640444058,0.899026339980804,0.639511503402577,2.14,0.835,0.28,0.3425,23.54105,23.33925,23.375,22.69515,22.4875,22.096725,100.26198,77.875,9.3027,22.6725,22.665,22.915,22.2425,1,-3.265,2.2,-1.1375,0.865,378.7,436.85,424.725,434.725,0.16,-0.0175,0.0675,0.1,0.1,0.2925,0.125,1.32,0.0875,23.537,23.76925,24.3605,24.773,25.13525,25.89325,26.29675,26.6755,23.288,23.6835,24.501,24.836,25.2405,26.3415,26.554,26.9825,23.06525,24.82425,24.471,26.954,23.4075,23.851,24.20875,24.6475,25.43925,25.879,26.12375,26.41825,27.09675,23.2415,23.826,24.539,25.127,25.81525,26.41075,26.71775,26.89125,27.3165,-3.1805,-3.9985,-4.6055,-60.005,23.8740785968908,20.6245547054538,22.0853852647476,19.5969772205496,22.113145905488,20.8717773122948,22.1452633180766,20.6770716981883,22.554683777617,20.9243758155872,22.7533342946719,418.053109487988,419.869376567789,417.482868167131,420.088711546976,418.012071462289,427.353133554335,420.008138417409,434.281150990461,424.485947869686,453.444539458212,442.473518044409,1958.81610722205
1,3.75,2.83100739541014,25.1701038821821,0.302346921958095,2.64870660911116,0.577999039196914,-2.53878179148335,-1.54893509339288,0.308882744911358,-13.6402882438929,3.53548039231939,0.641062643985306,2.225,0.8625,0.29,0.35,23.607475,23.438,23.3518,22.6999,22.4186,22.13015,100.25186,77.22,9.368575,22.6225,22.6475,22.88,22.225,0.975,-3.205,2.5,-1.1575,0.9075,378.5,436.9,424.15,433.625,0.16,-0.0175,0.0675,0.1,0.095,0.295,0.1175,1.2475,0.0875,23.465,23.709,24.318,24.7535,25.131,25.89325,26.2965,26.6745,23.2285,23.633,24.4395,24.7985,25.2315,26.3405,26.5535,26.9825,22.992,24.808,24.46875,26.954,23.3875,23.83025,24.1685,24.62975,25.43625,25.878,26.123,26.41825,27.09675,23.207,23.792,24.49625,25.10425,25.81025,26.40975,26.7175,26.891,27.3165,-3.3745,-4.124,-4.809,-59.57,23.8281906755689,20.3005350080491,22.4347105065419,19.1314667156869,22.4503886742223,20.8521930427486,22.2752978297321,20.8712835568347,21.8119656217367,20.7677659011867,22.7681733254838,417.538300464514,420.911361995186,415.497032333578,420.174501840891,415.087522181841,427.166879059328,423.001819724461,431.701425708154,434.490201928016,457.062460700084,443.497735699469,1959.00020780333
1,4.25,2.8302124167663,25.090343428694,0.297825362399282,1.9114662038403,1.33817953667382,6.91598664227674,2.18420847281315,0.305964814153785,-10.804005650052,0.391725861088435,0.66499678078513,2.0575,0.82,0.29,0.345,23.58595,23.385,23.260025,22.595825,22.4056,22.1182,100.247085,77.07,9.373,22.595,22.565,22.775,22.2025,0.925,-3.275,2.525,-1.18,0.9175,377.85,436.5,424.45,433.6,0.16,-0.025,0.0675,0.1,0.1,0.31,0.115,1.2375,0.095,23.42775,23.66325,24.27725,24.744,25.12475,25.8925,26.29675,26.6745,23.189,23.6035,24.4025,24.774,25.2225,26.34,26.553,26.982,22.9255,24.7905,24.4675,26.95375,23.3095,23.7765,24.1245,24.61925,25.43325,25.87725,26.12275,26.41825,27.09575,23.13575,23.7355,24.4495,25.09525,25.80175,26.40975,26.7175,26.891,27.3165,-3.462,-4.356,-5.027,-59.9275,23.740880074973,19.9483929785525,21.94576337791,19.4096355199286,21.9018307326393,20.1875348459379,22.1149061832938,20.3436837847116,22.4150963532148,20.5423128565051,23.1217748510469,417.887689722303,421.65889833153,415.523798374233,420.979342778312,416.905902040381,426.252976874786,429.8299777782,431.036298552256,436.734674815199,452.767833395347,445.593744437603,1925.53866649864
1,4.75,2.90406048015061,25.1656652240098,0.296722836549791,3.5867275806072,-0.393292366064389,0.01069340692849,1.72412285927524,0.297114940445179,-11.7491636367392,2.18480048687577,0.665167333249888,2.125,0.8525,0.28,0.33,23.599375,23.31625,23.1052,22.491475,22.19465,22.099425,100.255755,76.62,9.569,22.5025,22.495,22.75,22.24,0.825,-3.335,2.05,-1.17,0.935,380.35,436.55,425.15,433.6,0.16,0.0125,0.0675,0.1,0.095,0.305,0.115,1.1975,0.0875,23.38525,23.60625,24.24025,24.7315,25.1205,25.89225,26.29575,26.6745,23.123,23.521,24.3565,24.749,25.2145,26.3395,26.553,26.9815,22.8855,24.767,24.46475,26.953,23.27025,23.7325,24.09025,24.60775,25.43125,25.87625,26.12275,26.4175,27.09575,23.0795,23.7055,24.41075,25.07925,25.798,26.40875,26.7175,26.89025,27.31575,-3.492,-4.493,-5.1735,-58.99,23.6472920784936,19.9392688091277,22.1135859716995,19.6363540103518,22.1950004218613,20.3308374204814,22.2734319551522,20.6479229040243,22.1518956541829,20.5213175604236,22.580705668556,419.051717078848,420.875837802833,417.158266470555,419.794630932434,418.53675711474,425.268148532528,419.589238563048,429.615111501577,438.548872817436,453.664600907341,449.74579555564,1950.17594597176
1,5.25,2.86980340368879,25.2093202069168,0.275260901359965,2.59710282215759,0.658276652736174,3.12296690824909,2.12771655231514,0.294473017456644,-9.63734800937645,2.60430884800319,0.686610218446018,2.145,0.8425,0.2725,0.3425,23.610175,23.3315,23.2292,22.524575,22.27175,22.13355,100.25786,76.345,9.50455,22.5025,22.43,22.715,22.19,0.8,-3.25,2.15,-1.165,0.935,377.5,436.3,424.15,433.2,0.16,-0.01,0.0675,0.1,0.1,0.31,0.115,1.2125,0.0875,23.355,23.558,24.21225,24.7195,25.117,25.89225,26.29575,26.67375,23.094,23.4865,24.3115,24.7285,25.205,26.3385,26.5525,26.9815,22.86725,24.73925,24.463,26.95225,23.23475,23.70725,24.06925,24.59775,25.43025,25.876,26.122,26.4165,27.09575,23.067,23.656,24.377,25.055,25.7935,26.408,26.71725,26.89025,27.31575,-3.712,-4.6935,-5.276,-60.82,23.3650617069569,20.1082488714606,22.0295664351174,19.278850830484,21.4143705671388,20.358041582326,21.5764611575968,20.4571530234557,22.488477182128,20.6283134249642,23.1131559804227,417.33550620752,420.922508929097,415.555563952394,418.907438322886,416.221665545137,424.307945453784,421.705436378769,429.626993480725,429.480009465118,451.404565874612,443.40219313694,1917.95760545622
1,5.75,3.0058204394946,25.0415700389186,0.328259876398904,2.42150287617034,1.67074450183338,-0.799949557298188,7.45890327385173,0.335052373903478,-8.23316805135154,3.06755144170083,0.616924972557835,2.2,0.88,0.29,0.35,23.546525,23.19925,23.1653,22.57415,22.30225,21.99095,100.27034,75.7,9.5992,22.475,22.4375,22.665,22.19,0.9,-3.33,2.5,-1.15,0.9,374.65,435.75,423.075,432.05,0.16,0.02,0.0675,0.1,0.1,0.29,0.115,1.1475,0.0875,23.295,23.5135,24.18475,24.69825,25.114,25.892,26.29575,26.6735,23.0565,23.416,24.2705,24.702,25.1995,26.3375,26.5525,26.9815,22.83575,24.71675,24.46,26.952,23.17275,23.6605,24.06675,24.59025,25.42875,25.875,26.121,26.4165,27.0955,22.99,23.6405,24.3615,25.0255,25.7885,26.40775,26.71725,26.89,27.3155,-3.85125,-4.92,-5.402,-60.87,23.6436513943574,19.7837051415498,21.201346315973,19.3352994273919,21.6736882097747,20.2760700639267,21.9528586974818,20.2267125391921,21.6412265119418,20.3239521897403,22.4220154693218,418.47993862454,420.988154202525,416.472336015948,419.449658711565,419.845963452789,426.935071777843,429.931778958376,430.417344327812,431.430852891351,448.789629942265,456.776905399747,1926.99528826812
1,6.25,2.85020547840955,25.0614980713117,0.35907218616644,2.09814316829095,0.321165408684423,3.35164768258763,2.16745119607579,0.328590541836679,-10.4508192457492,2.74126148881661,0.687513339957303,2.145,0.85,0.27,0.335,23.561825,23.293,23.1864,22.60805,22.3302,21.99135,100.293495,75.96,9.55665,22.5225,22.5,22.69,22.0325,1,-3.215,2.475,-1.1675,0.9,380.7,435.85,422.75,432.125,0.16,0.02,0.0675,0.1,0.1,0.3,0.115,1.1325,0.0875,23.2715,23.465,24.173,24.67975,25.1105,25.89125,26.29475,26.6735,22.9975,23.368,24.233,24.6775,25.196,26.337,26.552,26.981,22.817,24.69225,24.4565,26.952,23.119,23.60775,24.06,24.57625,25.42575,25.874,26.12075,26.41625,27.0955,22.88775,23.56775,24.34125,24.9895,25.78375,26.407,26.71725,26.88925,27.3155,-3.899,-5.023,-5.39425,-59.335,22.9232250874975,19.7290461420989,22.040296037612,19.4785699888193,21.791515356368,20.163729938254,21.8271479975068,20.1877414547363,21.7409048013795,20.2493476271198,22.6206887339355,418.599594769776,421.523959192381,415.146201088748,420.550184704286,417.154436386725,429.340104744025,423.625187405192,433.7586961932,433.549832437058,458.085585362786,437.267352476681,1922.29750854817
1,6.75,2.89068334625022,25.067857713886,0.320946407871759,2.75520813549783,0.946854480070021,-1.13981028183529,4.63565714481129,0.300259468863766,-10.7100993208901,2.45704471565527,0.69085655946236,2.19,0.885,0.29,0.36,23.4509,23.2055,23.0895,22.5774,22.4072,22.055375,100.3226,75.63,9.684075,22.46,22.52,22.655,22.1125,1.7,-2.22,3.05,-0.2075,1.04,380.15,436.2,424.125,432.05,2.6875,2.34,1.0125,0.5025,0.295,0.45,0.28,1.33,0.33,23.23425,23.4455,24.1505,24.67025,25.10775,25.891,26.29475,26.6735,22.951,23.338,24.2015,24.6495,25.1915,26.33975,26.5515,26.9805,22.76275,24.673,24.45375,26.952,23.0885,23.587,24.04625,24.564,25.4225,25.87325,26.12,26.4155,27.0945,22.86075,23.5325,24.29025,24.9685,25.7785,26.406,26.7165,26.889,27.31475,-3.935,-5.168,-5.259,-58.1175,22.2109613737544,19.5184427330705,21.2116996285209,19.3546482599741,21.0757548134636,19.9380789911594,21.2930369009885,20.0042603806444,22.4636874561788,20.1387476179337,22.2443652123509,417.160785741514,421.238929117738,415.189646547562,420.497076611622,416.605260334635,426.259260974199,419.489852519936,430.841331775736,429.95513485818,454.029588495875,445.086577096563,1951.97657904926
1,7.25,2.95205717819727,25.0302788667891,0.345664799842977,1.74517978866233,-0.187012510275871,3.56222294283914,7.99271778084391,0.303692366723762,-11.8581342252291,8.14883107303526,0.754817113883503,2.125,0.8725,0.2875,0.345,23.57805,23.242,23.1659,22.6824,22.453825,22.0555,100.366975,75.045,9.75485,22.5725,22.5775,22.8,22.1975,15.5,36.3875,23.95,28.155,12.2125,378.675,436.675,424.2,432.7,56.575,55.4425,20.615,9.5475,4.175,6.2625,3.89,5.5425,9.2475,23.215,23.41975,24.13275,24.66,25.1055,25.89025,26.29475,26.67275,22.95,23.3145,24.1605,24.6205,25.1885,26.33875,26.5515,26.9805,22.74275,24.65475,24.451,26.95175,23.092,23.5645,24.0135,24.544,25.4175,25.87225,26.11975,26.4155,27.0945,22.8215,23.47375,24.2625,24.946,25.77125,26.406,26.71625,26.889,27.31475,-3.88425,-4.8805,-5.159,-36.8375,22.4769787642085,19.9079865220695,21.3276316964569,19.3959556945912,22.0944503296716,19.943069817017,21.827830666544,19.992710266297,21.2942381338794,20.6268692019878,21.5330754030844,418.588264626061,422.058323011381,415.731078550754,420.17189603945,415.991155737195,425.523107652333,418.721501337086,432.69393996102,429.25525905684,457.703296788477,456.248450429769,1947.92096057588
1,7.75,2.86598158877063,25.3832824436739,0.277098886503162,-0.400985715336268,-0.28376899102458,25.8052038446063,12.7091114581817,0.357588816581676,-13.6829577064696,18.3188599691136,0.792542009562611,2.21,0.98,0.31,0.38,23.9614,23.6715,23.7879,23.299125,23.1696,22.79865,100.40578,75.2725,10.318475,23.5,23.44,23.44,22.72,41.4,147.12,104.9,122.145,36.89,381.2,442.9,428.3,436.1,251.09,245.9975,57.415,58.32,16.2925,23.19,14.2625,14.63,27.0275,23.2425,23.40675,24.097,24.65725,25.11375,25.88575,26.2915,26.66975,22.98825,23.3215,24.13125,24.6005,25.186,26.341,26.54575,26.97675,22.712,24.644,24.4475,26.945,23.0845,23.55025,23.98925,24.52825,25.41475,25.87125,26.119,26.41425,27.0945,22.81525,23.40575,24.245,24.92175,25.76625,26.405,26.71625,26.88825,27.31375,-3.867,-4.757,-5.097,33.16,23.3468756120869,20.2483743704581,21.8749110326425,19.7448378045242,22.0017922198086,21.2103651813485,21.5276205977373,21.9780280412538,22.2967335194542,22.2193695381169,23.0345676543633,418.974368746931,420.819305145169,417.621550225699,418.331531089652,414.631263285986,422.278903222616,414.48165984339,424.303951300295,420.730536663812,449.655430644736,437.187350947499,1960.59079559052
1,8.25,2.88752111160779,25.8070270824306,0.27259449085617,-2.89513632326277,1.09053458558529,75.3099515877248,16.3762348831113,0.425869468320424,-3.34637788968386,16.0603948489932,0.865074227452143,2.5125,1.13,0.415,0.495,24.5903,24.7095,24.5933,24.304275,24.177825,23.9844,100.435335,72.665,11.5025,24.785,25.015,25.5225,23.455,62.825,277.195,223.3,234.8625,56.7875,383.7,450.85,436.25,442.75,515.8025,520.1,115.735,72.645,95.9525,37.8325,29.2,26.61,56.345,23.3855,23.528,24.1255,24.6535,25.107,25.892,26.2945,26.675,23.12475,23.4065,24.14725,24.59125,25.18275,26.3375,26.55225,26.9815,22.8295,24.6175,24.443,26.9445,23.1235,23.5775,23.9885,24.521,25.4125,25.8615,26.118,26.41425,27.09425,22.93,23.4735,24.261,24.925,25.7625,26.405,26.71525,26.888,27.31375,-3.7885,-4.756,-5.13475,133.59,23.8964492519771,20.7475339339388,21.5498489870414,19.9810769673431,21.5394219739442,21.1888517487261,23.2718993809843,22.6329746810933,22.7031377264955,22.1760621180226,23.5631146703185,417.269765559962,418.066590274865,413.230240930182,417.342290879768,413.150724003646,419.111139886768,411.811631396474,421.359559187079,415.375122774666,433.113279680376,440.134082484917,1918.18799222669
