DOY2,HR2,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CH4_1_1_1,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CH4_1_2_1,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CH4_1_3_1,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CH4_1_4_1,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,CO2_1_1_1,H2O_1_1_1,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,NETRAD,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,G_5_1_1
1,0.25,421.4593,18.1967,415.865,19.5096,1968.455225,424.58915,18.109775,423.80545,19.46195,1969.8648,423.92855,17.9084,427.721,19.1048,1964.3335,428.5655,16.488225,484.995,17.5464,2035.0449,0.3363,20.084025,0.101275,427.263125,18.95705,-6.8199,-10.928,-14.3396,-7.7002,-9.551575,0.02315,-30.1075,-6.983275,0.127125,0.21,0.16725,0.01,18.566625,18.47215,17.728375,17.2776,15.253375,101.189375,82.571,-0.3825,14.34625,14.94225,14.98,0,-5.4305,0.7,-2.33575,347.185,401.85,-66.426,353.1225,392.075,-0.27525,-0.34,-0.3,-0.27,-0.41275,-0.26,-0.1,-0.12,20.9064,21.43895,22.38855,22.35225,23.4534,24.10655,24.601,25.828825,25.3348,19.68505,21.03045,23.09525,22.245775,23.7984,24.473,20.3605,21.7045,22.1255,22.7978,23.98575,24.6789,24.946,24.4514,25.12665,20.175125,21.36185,21.770175,23.1486,24.01555,24.5043,25.063525,26.037725,25.841925,21.3304,22.42045,23.2177,23.5249,23.90415,24.74775,25.09435,25.0652,25.77755,-25.6748,-25.737925,-21.17905
1,0.75,424.879075,18.157975,412.8727,19.26685,1981.8545,426.5619,17.8707,414.89075,19.22785,1973.19625,426.684275,17.22155,447.3205,18.555375,2044.28755,429.768625,16.192575,467.98515,17.2668,2058.21285,0.30245,19.7028,0.10745,428.4168,18.7909,-15.1898,-7.9625,-8.6394,-13.49625,-9.22585,0.02315,-44.849275,-4.68535,0.12415,0.22475,0.15725,0.01,18.064625,18.13775,17.279875,16.75465,15.0755,101.17895,84.746,-0.37025,14.14025,14.84525,14.87575,0,-5.56875,0.6475,-2.27525,345.9125,401.2875,-66.59375,353.095,392.285,-0.26,-0.34,-0.30525,-0.27,-0.41,-0.27,-0.1,-0.12825,20.7521,21.3993,22.3621,22.3446,23.4543,24.10755,24.6016,25.828825,25.3348,19.48225,20.87,22.99205,22.2341,23.79925,24.473,20.137,21.5185,22.1005,22.7792,23.98265,24.6799,24.9455,24.4514,25.126925,20.00985,21.203125,21.727125,23.12875,24.017475,24.5043,25.0631,26.036725,25.84135,21.1828,22.26935,23.203,23.5168,23.9046,24.74775,25.0949,25.0656,25.7772,-26.5547,-23.9766,-22.80825
1,1.25,428.85445,17.798975,416.87115,19.145025,1984.68225,425.5095,17.71305,427.4546,18.795225,2016.1522,431.22955,17.083525,439.71,18.3348,2034.077,437.2331,15.676,428.47385,17.1103,2042.59335,0.366075,19.33995,0.102375,431.0358,18.544,-11.53055,-8.8225,-10.82245,-12.00285,-8.312075,0.0243,-31.2458,-6.335225,0.12715,0.20475,0.16725,0.01,17.7818,17.780225,16.96905,16.8421,14.7098,101.1639,81.7715,-0.373025,14.062,14.438,14.599,0,-5.30525,0.5,-2.4105,345.8975,400.595,-64.454,350.01,390.6425,-0.2605,-0.34,-0.3,-0.27,-0.41275,-0.27,-0.1,-0.12,20.57995,21.35855,22.335175,22.33695,23.4534,24.1067,24.6022,25.8285,25.334525,19.25525,20.67435,22.90005,22.220425,23.8001,24.472,19.9285,21.233,22.05725,22.7606,23.98375,24.6809,24.945,24.4514,25.1272,19.8448,21.0371,21.651625,23.10875,24.0184,24.5043,25.0631,26.036725,25.840925,21.0015,22.18825,23.1887,23.508,23.90505,24.747225,25.09635,25.0612,25.7772,-27.024125,-24.7365,-24.1247
1,1.75,429.1673,17.645675,420.2078,18.724775,1992.6695,429.6717,17.585725,442.5967,18.566375,2023.5666,440.44915,17.16325,450.9798,18.37885,2041.3153,441.6038,15.561775,444.16795,16.614675,2050.432,0.313,19.111,0.0914,429.2642,18.439,-18.3334,-8.9868,-33.397,-13.378,-10.907775,0.024,-22.40255,-7.67805,0.1222,0.21475,0.18725,0.01,17.5595,17.5082,16.8758,16.494575,14.6353,101.137125,81.289,-0.3761,13.97225,14.43225,14.5095,0,-5.47725,0.6,-2.2735,345.63,398.99,-62.965,348.6425,389.4,-0.27,-0.34,-0.3,-0.27,-0.41275,-0.27,-0.1,-0.12,20.31415,21.27095,22.3027,22.3282,23.4534,24.10685,24.6022,25.827825,25.33435,19.06915,20.53145,22.81715,22.204575,23.80025,24.471,19.679,21.009,22.0035,22.7426,23.980875,24.6819,24.945,24.4514,25.12775,19.67775,20.8915,21.581675,23.0913,24.0204,24.5043,25.062525,26.03665,25.840925,20.79965,22.1035,23.1756,23.4982,23.90405,24.7467,25.095,25.0614,25.77655,-26.9786,-25.2753,-24.46225
1,2.25,437.488625,17.5322,426.5443,18.231725,1978.3821,432.6413,17.419375,449.61925,18.193375,2032.2256,438.975625,16.4926,450.876675,17.759325,2072.76475,456.795875,15.214,488.541275,16.318,2070.8335,0.326,18.729,0.108,427.3671,18.209225,-3.09585,-12.77975,-1.65445,-16.4764,-7.820575,0.028,-26.5655,-5.63475,0.107,0.21475,0.1945,0.01,17.279625,17.291575,16.475425,16.34685,14.43645,101.100425,82.34225,-0.363,13.94425,14.29425,14.41425,0,-5.39775,0.6,-2.271,345.9,398.5475,-61.9175,347.0875,388.9325,-0.27,-0.34,-0.30525,-0.28,-0.41,-0.27525,-0.1,-0.12,20.16045,21.201,22.270325,22.31755,23.4533,24.10685,24.6028,25.82715,25.338175,18.91145,20.3887,22.7196,22.190625,23.8011,24.471,19.4215,20.82575,21.9475,22.7332,23.977375,24.683625,24.945,24.451,25.1283,19.63665,20.8094,21.531825,23.0774,24.0224,24.503475,25.062525,26.035725,25.84035,20.5831,22.0048,23.1633,23.4874,23.90395,24.7467,25.09235,25.0548,25.7762,-26.9824,-26.012125,-25.2526
1,2.75,428.8508,17.310175,429.75315,18.488075,1969.54525,437.352825,17.0896,425.86325,18.542625,1998.871,440.9964,16.48775,454.05565,17.69165,2083.202275,447.483,15.013575,498.2218,16.434,2056.699275,0.3433,18.5609,0.0955,440.310675,17.85975,-9.805,-11.9877,-8.6268,-6.91585,-9.475625,0.029,-13.919225,-6.60425,0.133,0.23425,0.18,0.01,17.0561,17.118825,16.3788,16.035,14.33145,101.0825,83.565,-0.39415,13.70075,14.0385,14.218,0,-5.34525,0.5,-2.26575,343.8,397.0325,-61.61325,347.07,388.195,-0.26,-0.34,-0.3,-0.28,-0.42,-0.2755,-0.1,-0.12,20.0353,21.09505,22.239725,22.30635,23.4532,24.107,24.6034,25.826825,25.338175,18.84825,20.29615,22.6322,22.17665,23.80295,24.4705,19.2275,20.66075,21.91825,22.7236,23.979,24.684625,24.9445,24.4508,25.128575,19.483,20.6805,21.481275,23.04865,24.02425,24.503475,25.0622,26.034725,25.83945,20.4113,21.8701,23.1252,23.4749,23.90385,24.7467,25.092275,25.0542,25.7762,-26.5867,-25.7286,-25.55785
1,3.25,425.511625,17.0651,415.0136,18.2732,2018.253125,428.4675,16.7506,427.953,18.071,2004.4023,435.336625,16.112425,460.5671,17.335425,2056.029,445.61005,14.7077,441.4652,15.8628,2112.82865,0.3096,18.4117,0.0771,444.488125,17.69985,-8.396,-13.33825,-6.988625,-11.4922,-8.257,0.0301,-24.5031,-5.8445,0.1285,0.2145,0.167,0.01,16.76455,16.8767,16.2774,15.793,14.162875,101.07155,83.879,-0.394125,13.3835,13.6105,14.2845,0,-5.5305,0.6,-2.38,342.845,395.545,-61.2285,346.605,386.45,-0.26,-0.345,-0.31,-0.28,-0.413,-0.28,-0.1,-0.1285,19.93655,20.98305,22.203225,22.2924,23.455,24.10685,24.604,25.82615,25.336,18.756275,20.2123,22.53765,22.158,23.8031,24.4695,19.018,20.43375,21.87825,22.71315,23.9778,24.6849,24.944375,24.4498,25.12985,19.366,20.5582,21.4274,23.0184,24.0184,24.503475,25.0612,26.03415,25.839925,20.24505,21.75685,23.0901,23.4621,23.90295,24.746175,25.095125,25.053175,25.7762,-27.435,-25.907175,-25.713025
1,3.75,441.5172,16.762775,428.3296,18.0701,2004.6144,439.66265,16.964125,450.9576,17.6424,2056.564925,449.478675,16.2282,459.37685,17.3592,2050.005,462.581175,14.4877,481.2192,15.9372,2072.756575,0.32,18.377,0.087,444.954675,17.868,-8.497625,-9.415875,-9.279625,-8.0406,-8.598775,0.021,-25.885325,-6.05295,0.129,0.2345,0.164,0.01,16.8892,16.947,16.2086,15.7493,14.114475,101.0584,84.30125,-0.381125,13.3945,13.667,13.9785,0,-5.32,0.6,-2.191,343.275,395.31,-62.818,346.415,385.735,-0.27,-0.34,-0.3,-0.28,-0.42,-0.2755,-0.1,-0.1285,19.80535,20.872525,22.162,22.287425,23.455,24.1077,24.6046,25.8255,25.334725,18.5906,20.130425,22.43235,22.142,23.8041,24.469,18.8245,20.21775,21.822675,22.697025,23.9781,24.6859,24.944,24.4504,25.12895,19.2348,20.4816,21.3808,22.9896,24.0194,24.503475,25.0612,26.03415,25.838925,20.09425,21.656525,23.05025,23.4484,23.90395,24.7457,25.095125,25.0494,25.77555,-28.30675,-26.2154,-25.695975
1,4.25,443.6288,16.934725,437.0672,17.822675,2007.312,448.903875,16.9389,453.7971,17.78005,1992.75025,452.4782,16.124125,465.708,17.107,2019.8223,468.7692,14.636425,522.8274,15.8723,2069.267875,0.3572,18.04775,0.11205,444.3418,17.983,-21.347525,-14.10245,-38.834625,-22.42,-7.51565,0.02705,-28.429,-6.9349,0.1231,0.249,0.18,0.01,16.6904,16.7343,16.037,15.724875,13.98855,101.064075,85.01125,-0.351125,13.2745,13.644,13.8485,0,-5.2255,0.545,-2.2055,341.96,393.47,-61.269,346.205,384.965,-0.27,-0.34,-0.31,-0.28,-0.42,-0.29,-0.1,-0.12,19.671375,20.8187,22.116,22.284025,23.455,24.1084,24.6046,25.8255,25.334175,18.379275,20.024625,22.33585,22.124,23.80525,24.4685,18.675,20.0745,21.756575,22.676575,23.97835,24.6869,24.9435,24.4498,25.129225,19.17,20.3958,21.3454,22.969,24.0213,24.5033,25.0612,26.03315,25.838925,19.9751,21.524825,23.02015,23.43605,23.903375,24.745175,25.09455,25.0478,25.77555,-29.2705,-26.0874,-26.056375
1,4.75,440.77265,16.7873,428.6222,17.7842,1983.5502,432.44125,16.32675,443.9695,17.785125,1987.493625,442.90265,15.721375,471.0051,16.81715,2016.0298,479.71335,14.4201,495.6649,15.7555,2058.3309,0.3508,17.8405,0.12195,440.385675,17.766,-9.8272,-14.51925,-16.45305,-25.4964,-9.77915,0.0297,-70.87,-5.763,0.1234,0.22,0.154,0.01,16.3945,16.3516,15.6818,15.48245,13.9131,101.078275,82.565,-0.32225,13.237,13.4515,13.726,0,-5.1725,0.6,-2.0665,342.49,392.535,-61.4895,346.02,385.06,-0.27,-0.34,-0.3055,-0.28,-0.42,-0.2855,-0.1,-0.1285,19.53705,20.7519,22.0888,22.2789,23.455,24.10855,24.6052,25.824825,25.3339,18.22025,19.90855,22.2529,22.105,23.80625,24.4675,18.538,19.97375,21.697225,22.65655,23.9778,24.687175,24.943,24.4498,25.131225,19.062,20.4478,21.3128,22.9536,24.02325,24.5033,25.0606,26.03215,25.83835,19.876775,21.3873,22.9927,23.42405,23.90295,24.745175,25.09455,25.0468,25.77555,-28.5333,-26.4594,-26.255625
