DOY2,HR2,WS,U_SIGMA,V_SIGMA,W_SIGMA,RH,PA,T_SONIC,T_SONIC_SIGMA,CO2,H2O,CH4,FC,NEE,H,LE,USTAR,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT,G_1_1_1,G_1_1_2,G_1_1_3,G_1_1_A,TS_1_1_1,TS_1_1_2,TS_1_1_3,TS_1_1_A,TS_2_2_1,TS_2_2_2,TS_2_2_3,TS_2_2_4,TS_2_2_5,TS_2_2_6,TS_2_2_A,TS_2_3_1,TS_2_3_2,TS_2_3_3,TS_2_3_4,TS_2_3_5,TS_2_3_6,TS_2_3_A
1,0.25,5.15155,0.6412,0,0,36.08795,102.2378,-15.7907,0.0317,460.1053,0.06945,1887.1141,-0.0358,-0.0358,0,-0.0295,0.1822,199.4,218.908,0.0124,0,-7.5701,-5.279,-8.0605,-7.0208,-15.807,-15.7458,-16.4634,-15.9968,-12.626,-16.1128,-14.846,-13.6088,-13.256,-14.1332,-14.011,-11.7568,-14.4795,-13.6987,-12.663,-12.6075,-12.7527,-12.9172
1,0.75,5.3331,0.63355,0,0,36.5544,102.2217,-15.4512,0.04465,465.6388,0.1637,1881.0653,0.2314,0.2314,0,-0.0397,0.1783,199.589,218.482,0.0103,0,-7.5461,-5.1506,-8.0752,-7.0025,-15.791,-15.7398,-16.4655,-16.0175,-12.6202,-16.1256,-14.8361,-13.6254,-13.248,-14.142,-14.0262,-11.7452,-14.4876,-13.6962,-12.6693,-12.5945,-12.744,-12.9169
1,1.25,5.4651,0.6981,0,0,36.9849,102.263,-16.6313,0.0592,470.4139,0.15075,1896.8386,0.0557,0.0557,0,0.0324,0.12025,202.012,218.477,0.0103,0,-7.3816,-5.0863,-8.267,-6.9577,-15.779,-15.7371,-16.4579,-16.0159,-12.6248,-16.1105,-14.8342,-13.6254,-13.2547,-14.1572,-14.0249,-11.7577,-14.493,-13.7107,-12.6624,-12.6176,-12.7564,-12.9211
1,1.75,5.9078,0.62775,0,0,38.1945,102.25225,-16.1298,0.049,463.49975,0.1502,1900.2777,-0.1516,-0.1516,0,0.03385,0.1127,200.501,219.05,0.0123,0,-7.3205,-5.0615,-8.2423,-6.9951,-15.7776,-15.7673,-16.4556,-16.0066,-12.6297,-16.1016,-14.813,-13.629,-13.2454,-14.1863,-14.0123,-11.7732,-14.4864,-13.7112,-12.6684,-12.6279,-12.7596,-12.917
1,2.25,5.5808,0.5717,0,0,38.6932,102.2249,-16.266,0.0436,468.6378,0.1037,1899.1387,-0.2672,-0.2672,0,-0.0248,0.142,197.137,216.844,0.0129,0,-7.308,-4.9055,-8.2615,-6.9341,-15.7777,-15.7782,-16.5122,-16.0357,-12.6356,-16.0692,-14.804,-13.6264,-13.2417,-14.1892,-14.0013,-11.7818,-14.4851,-13.7364,-12.683,-12.6437,-12.768,-12.9234
1,2.75,5.3204,0.5225,0,0,38.9355,102.2273,-14.8213,0.0445,467.81495,0.01565,1893.31915,1.0323,1.0323,0,-0.0282,0.1406,196.414,218.347,0.0092,0,-7.2629,-4.9576,-8.2611,-6.9378,-15.771,-15.7977,-16.5216,-16.0605,-12.6586,-16.0653,-14.7927,-13.621,-13.2456,-14.1932,-13.9863,-11.7939,-14.4948,-13.7287,-12.685,-12.6169,-12.7757,-12.926
1,3.25,5.1031,0.5851,0,0,38.1956,102.2583,-15.4638,0.0747,470.0855,0.0143,1885.07775,0.497025,0.497025,0,-0.000949999999999999,0.1197,197.502,218.336,0.0123,0,-7.4051,-4.8335,-8.2916,-6.9858,-15.7517,-15.7995,-16.5464,-16.0655,-12.6393,-16.0645,-14.7884,-13.6095,-13.2234,-14.2116,-13.9837,-11.7904,-14.4836,-13.7427,-12.6915,-12.6345,-12.7936,-12.927
1,3.75,5.3528,0.6108,0,0,36.7058,102.2663,-16.2129,0.0497,469.07775,0.0143,1881.64225,-0.03825,-0.03825,0,-0.0386,0.1414,198.371,219.245,0.01265,0,-7.1181,-4.803,-8.1648,-6.8635,-15.7238,-15.8004,-16.5314,-16.052,-12.6421,-16.0586,-14.7979,-13.6085,-13.217,-14.2179,-13.9882,-11.8104,-14.4781,-13.7409,-12.689,-12.6363,-12.8005,-12.9233
1,4.25,4.663,0.6621,0,0,39.2078,102.2528,-14.7996,0.04905,458.56575,0.01695,1884.14615,0.04275,0.04275,0,-0.0362,0.1437,199.851,218.737,0.0129,0,-7.3375,-4.818,-8.5074,-6.7787,-15.7151,-15.7924,-16.5246,-16.0432,-12.621,-16.0581,-14.7927,-13.6046,-13.2172,-14.209,-13.993,-11.8198,-14.4876,-13.7411,-12.7093,-12.6345,-12.7959,-12.9276
1,4.75,5.18,0.6233,0,0,38.1029,102.2169,-14.89215,0.0395,454.6195,0.01695,1880.89755,0.23465,0.23465,0,-0.031,0.1222,200.33,217.461,0.0126,0,-7.1857,-4.8208,-8.0925,-6.8741,-15.7149,-15.7792,-16.5232,-16.0365,-12.6139,-16.0684,-14.7783,-13.6041,-13.2112,-14.2118,-13.9905,-11.8167,-14.4826,-13.7359,-12.705,-12.6232,-12.7801,-12.9236
