DOY2,HR2,WS,U_SIGMA,V_SIGMA,W_SIGMA,RH,PA,T_SONIC,T_SONIC_SIGMA,CO2,H2O,FC,NEE,H,LE,USTAR,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT,G_1_1_1,G_1_1_2,G_1_1_3,G_1_1_A,TS_1_1_1,TS_1_1_2,TS_1_1_3,TS_1_1_A,TS_2_2_1,TS_2_2_2,TS_2_2_3,TS_2_2_4,TS_2_2_5,TS_2_2_6,TS_2_2_A,TS_2_3_1,TS_2_3_2,TS_2_3_3,TS_2_3_4,TS_2_3_5,TS_2_3_6,TS_2_3_A
1,0.25,0.71532,0.05922,0,0,0,99.666195,-25.03212,0.00018,453.508405,-0.06994,-0.93821,-0.93821,-35.2091025,-12.3547825,0,0.047725,142.985225,175.6975,0,0,-17.0939125,-19.32305,-12.2440225,-15.558425,-14.32877,-14.68251,-14.8774175,-14.56242,-15.079415,-11.841805,-17.438295,-14.631585,-12.933505,-14.347095,-14.039145,-14.15966,-11.167655,-16.154995,-13.65589,-12.84684,-13.61442,-13.274615
1,0.75,0.3713975,0.02876,0,0,0,99.673985,-25.22126,1e-04,451.066725,-0.07962,-4.78252,-4.78252,-40.8391075,-14.538355,0,0.0494475,142.211725,174.889725,0,0,-17.17846,-19.419725,-12.2517125,-15.59623,-14.3278925,-14.68557,-14.886375,-14.58933,-15.080625,-11.842045,-17.42561,-14.62892,-12.94656,-14.34719,-14.04155,-14.168125,-11.16011,-16.163435,-13.639735,-12.84312,-13.61216,-13.282205
1,1.25,0.452615,0.0356225,0,0,0,99.674315,-25.029925,9e-04,452.2246375,-0.078215,-2.71069,-2.71069,-33.68327,-10.578775,0,0.09261,142.102225,175.096725,0,0,-17.2541275,-19.0603775,-12.28743,-15.348985,-14.33961,-14.6960675,-14.8885625,-14.610905,-15.094455,-11.845565,-17.40604,-14.625455,-12.95277,-14.330265,-14.04334,-14.17876,-11.161915,-16.167615,-13.62923,-12.83684,-13.61472,-13.28883
1,1.75,0.8312675,0.0256075,0,0,0,99.6638325,-25.3986925,0.00034,452.8840625,-0.0759525,-2.21926,-2.21926,-33.7193475,-12.27894,0,0.015885,142.753575,175.34565,0,0,-17.0973325,-19.10381,-12.40609,-15.45179,-14.3447025,-14.693155,-14.8840925,-14.622365,-15.08907,-11.844985,-17.38861,-14.634875,-12.970745,-14.331375,-14.044465,-14.1838,-11.173735,-16.179015,-13.6087,-12.83664,-13.6256,-13.296115
1,2.25,1.229975,0.04295,0,0,0,99.64581,-25.791625,0.00024,455.09138,-0.072695,-3.01792,-3.01792,-35.5831125,-40.0705875,0,0.0451225,143.22765,175.267625,0,0,-17.07778,-18.993085,-12.105305,-15.4755925,-14.3582425,-14.7097325,-14.90308,-14.64145,-15.09582,-11.84882,-17.370755,-14.65262,-12.989415,-14.322925,-14.04452,-14.191425,-11.16428,-16.18576,-13.583315,-12.82584,-13.63542,-13.300815
1,2.75,1.16745,0.04345,0,0,0,99.6576675,-26.187595,0.00015,456.65697,-0.06904,-3.0995875,-3.0995875,-42.43019,-14.2375825,0,0.028815,143.1998,176.451075,0,0,-17.014635,-19.106755,-12.3280575,-15.2360425,-14.36658,-14.728595,-14.917865,-14.6583825,-15.103835,-11.84573,-17.34731,-14.658675,-12.986525,-14.32339,-14.044445,-14.18587,-11.17266,-16.1894,-13.569875,-12.8288,-13.63754,-13.29956
1,3.25,1.34889,0.048165,0,0,0,99.664425,-25.648145,0,459.469005,-0.07036,-1.9811775,-1.9811775,-39.73716,-12.704565,0,0.055615,142.990475,176.2116,0,0,-16.88938,-19.0480925,-12.2753025,-15.176445,-14.3653525,-14.745465,-14.930815,-14.6747225,-15.102735,-11.8413,-17.32766,-14.662255,-12.977615,-14.31695,-14.043045,-14.200635,-11.167065,-16.198345,-13.54995,-12.8207,-13.63808,-13.29814
1,3.75,1.42515,0.031875,0,0,0,99.6767575,-25.579825,7.5e-05,463.6457,-0.06761,-1.94442,-1.94442,-45.23138,-19.4319825,0,0.04244,141.9894,175.23825,0,0,-16.890125,-19.0362875,-12.202805,-15.2700625,-14.364505,-14.7612775,-14.9475075,-14.6909675,-15.11476,-11.8481,-17.31385,-14.67617,-12.961895,-14.315775,-14.04399,-14.20445,-11.16835,-16.202335,-13.545085,-12.82682,-13.63638,-13.29476
1,4.25,1.61112,0.03256,0,0,0,99.6762225,-25.27924,1e-04,463.57032,-0.0694,-0.75394,-0.75394,-41.42846,-17.501415,0,0.03778,142.63335,175.53535,0,0,-17.043775,-19.5131625,-12.25303,-15.272445,-14.39029,-14.7791,-14.9652625,-14.711565,-15.11266,-11.841935,-17.29671,-14.6961,-12.949225,-14.308045,-14.04694,-14.207485,-11.165285,-16.20201,-13.52531,-12.8135,-13.65472,-13.29347
1,4.75,1.2423025,0.022765,0,0,0,99.6824775,-24.76437,0.00024,450.49335,-0.06856,-7.117,-7.117,-40.104385,-19.70571,0,0.1081,142.180825,174.073375,0,0,-16.7387625,-19.028905,-12.50888,-15.29889,-14.411155,-14.8041675,-14.9827475,-14.73269,-15.11964,-11.838985,-17.283065,-14.679395,-12.96379,-14.307505,-14.05124,-14.202915,-11.168515,-16.206485,-13.51745,-12.8129,-13.65834,-13.29162
