DOY2,HR2,TAU,H,LE,FC,CO2,T_SONIC,TA,PA,RH,VPD,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,NETRAD,G,TS,PPFD_IN
1,0.25,-0.09080257,-29.12974236,-2.067224203,-0.42191595525,249.093873825,0.726532883,0.155307177,91.1368866325,71.81822448,0,1.22936541,0.087676232,0.338258167,0.370571468,0.096168639,0.267333584,-67.52562987,-41.1515379,3.79383325,-0.05453781
1,0.75,-0.074786819,-25.05901323,-1.793036615,-0.43846852275,249.362032475,0.49889528,-0.102329601,91.139276315,73.625175965,0,1.240120261,0.095391975,0.368162641,0.386705094,0.096876382,0.265443969,-67.981888455,-40.5391254625,3.445107875,-0.053166315
1,1.25,-0.084589071,-27.92954177,-1.803710286,-0.38581481125,250.063123775,0.192041768,-0.299667059,91.1222619125,73.70387144,0,1.272692818,0.088371585,0.358289719,0.387588761,0.089051512,0.278150059,-67.5389545025,-40.206287905,3.19984,-0.051751375
1,1.75,-0.077569043,-26.84795751,-1.031734006,-0.38710700625,248.8405741,0.202385969,-0.412716846,91.1226887725,69.00110531,0,1.165742639,0.085916435,0.375510789,0.410129712,0.090315967,0.291079879,-64.7440920375,-40.624687435,2.95079125,-0.0512681725
1,2.25,-0.081243183,-23.59952615,-1.31098260325,-0.398982962,248.77088815,0.472608188,-0.050257253,91.1325056725,73.81157348,0,1.173338505,0.089847584,0.37345274,0.43939949,0.095526028,0.279496108,-64.2917885075,-39.40142632,2.681613375,-0.0469292525
1,2.75,-0.080128907,-28.35432264,-1.089621532,-0.50166999875,248.540355225,0.009868791,-0.620659913,91.1392050875,73.89574104,0,1.056441457,0.093701008,0.382381119,0.422967996,0.093216156,0.266896646,-63.7812562525,-37.659788175,2.545012375,-0.04867369
1,3.25,-0.080342308,-28.43780004,-0.997347928,-0.66778262325,248.94794135,-0.308223818,-0.768785502,91.1318413425,72.31145706,0,1.093891068,0.086096721,0.378704193,0.395779181,0.092008212,0.274710345,-63.4688497175,-37.50272512,2.454113875,-0.047648335
1,3.75,-0.064659621,-25.41558173,-1.68632117175,-0.431778384,249.159659875,-0.391705323,-0.99023977,91.1176310525,69.56068508,0,1.23179883,0.086414041,0.369115792,0.401881365,0.093072186,0.295374378,-60.6043704575,-38.559420385,2.1528763625,-0.047300685
1,4.25,-0.061954025,-27.37379712,-1.83124328775,-0.717936756,250.95800505,-0.544113705,-0.93265981,91.122139405,71.6233279725,0,1.155148178,0.083460817,0.388111157,0.410785534,0.089595504,0.322944735,-60.236566965,-38.125130645,1.8161694375,-0.0477632275
1,4.75,-0.052973002,-24.67284858,-1.00936727525,-0.334649295,251.888697425,-0.640313997,-1.108567974,91.1251724825,72.01826964,0,1.087764892,0.081266479,0.397586576,0.393694676,0.090298738,0.321184948,-63.12765687,-37.56581256,1.589353,-0.048583955
