DOY2,HR2,H,LE,WS,USTAR,VPD,SW_IN,NEE,FC,CO2,SW_OUT,LW_IN,LW_OUT,NETRAD,TA,RH,H2O,CH4,FCH4,SC,SLE,SH,SCH4,PA,U_SIGMA,V_SIGMA,W_SIGMA
1,0.25,-2.09,-0.02831,0.562455,0.12532,0.195555,0,-0.009285,-0.01258,430.6114,-0.0095,256.51095,266.34305,-5.253,-10.63267,88.36666,1.59531,2066.672,3.89455,-0.00429,-0.011085,-0.03824,-0.03211,95.8953,0.42296425,0.4202,0.185041
1,0.75,-1.8,0.51732,0.552625,0.108335,0.20323,0,-0.24407,-0.24164,430.4475,-0.0115,255.6195,263.9889,-5.42533,-10.62767,88.05,1.606415,2068.566,3.337655,0.00515,0.00173,-0.02913,-0.0198,95.869385,0.46749965,0.471875,0.203055
1,1.25,-1.64333,0.32,0.6823,0.10735,0.203525,0,-0.120715,-0.12863195,429.6557,0,258.03725,265.038,-5.321995,-10.66175,88.11167,1.61241,2060.652,3.11178,-0.00208,-0.01106,-0.06991,-0.01135,95.84466,0.36351,0.39773,0.17838795
1,1.75,-1.939405,0.69105,0.617325,0.1225,0.19181,0,-0.17309295,-0.185345,429.97635,0,255.004,262.0615,-5.013,-11.0355,88.07,1.600983,2061.006,3.83263,0.0097,-0.00573,-0.017845,0.048065,95.84227,0.433375,0.46478,0.19928
1,2.25,-1.76914,0.4575132,0.63019,0.11505,0.185675,0,-0.20566,-0.215245,430.56735,0,255.3207,264.05115,-5.20708,-11.15562,88.06875,1.552675,2060.6885,3.63444,0.00646,0.0005978125,-0.00137,0.03099,95.86242,0.4553,0.44694,0.1984796
1,2.75,-2.14702,0.39476,0.5764,0.10699,0.18908675,0,-0.13472,-0.13229,430.9389,0.003335,254.6418,263.66785,-5.29417,-11.879335,88.068335,1.548337,2066.454,3.144275,-0.00354,-0.010803643,-0.02109,-0.003605,95.8225,0.42411,0.4278,0.17181
1,3.25,-2.373125,-0.01218,0.51322,0.11279,0.20077,0,-0.30087,-0.29332,430.6605,0.004545,252.7585,263.728,-5.13008,-11.409585,88.489995,1.513675,2065.896,3.337935,-0.006456995,0.00545,-0.00878,0.00884,95.83289,0.38729,0.40936,0.17804
1,3.75,-1.77,0.09318,0.5553397,0.10429,0.21327,0,-0.33735,-0.30302,430.4478,0.00121,258.5335,264.88,-4.64904,-10.723165,88.61667,1.549905,2062.971,3.37693,-0.0010170025,-0.008,-0.05781,-0.04072,95.82623,0.41702,0.46045,0.19564
1,4.25,-2.56538,0.41174,0.54623,0.118295,0.20594,0,-0.25659,-0.27348,430.5905,0.01221,259.5815,268.311,-4.35029,-10.860165,88.77334,1.663595,2061.3745,3.40443,0.005065,-0.00808,-0.08705506,-0.04332,95.79237,0.3742378,0.44998,0.18352
1,4.75,-2.52743,0.87436,0.54669,0.11213,0.19661,0,-0.16957,-0.18428,430.85775,-0.01202,256.2005,267.2203,-4.732125,-10.173415,88.81667,1.64652,2063.904,2.8968,0.00578,-0.02338,-0.034738495,-0.00251,95.77969,0.477147,0.517835,0.21476
