DOY2,HR2,H,LE,WS,USTAR,VPD,SW_IN,NEE,FC,CO2,SW_OUT,LW_IN,LW_OUT,NETRAD,TA,RH,H2O,CH4,FCH4,SC,SLE,SH,SCH4,PA,U_SIGMA,V_SIGMA,W_SIGMA
1,0.25,0.1789,3.73135325,1.11969,0.22381,0.3252875,0,0.367765,0.3705875,438.302125,0.069249995,281.44325,285.43685,-2.74429,-6.405775,93.196665,2.3360725,2090.751,5.92062,0.0118647925,0.04646652,0.123845,0.13674,96.40458,0.773061775,0.832065,0.353748875
1,0.75,0.20959,4.123526,1.078125,0.209845,0.32028035,0,0.476105,0.411395,436.8988,0.054205,280.4209,284.78345,-2.24496,-6.55525,93.05331,2.3240975,2083.23275,5.363075,0.0417675,0.08924,0.206715,0.14761,96.404695,0.80116495,0.83018445,0.34339375
1,1.25,0.414125,3.2972,1.01551,0.22010575,0.31861,0,0.34164,0.38009,436.641,0.06946,281.61625,284.141,-2.30075,-6.8377655,93.12334,2.2382845,2085.305,4.91413,0.02616914,0.064265,0.086404925,0.09942,96.42106,0.777971975,0.78816155,0.3553142
1,1.75,0.10219,2.8839525,1.2333075,0.24662,0.31938,0,0.2022,0.18157,436.8380425,0.07946,280.826,284.6415,-1.7973315,-7.06586,92.9975,2.229475,2075.531,5.25797,0.027709575,0.07267,0.18331,0.184075,96.421325,0.7724575,0.82121585,0.370106275
1,2.25,0.6716225,3.8476175,1.138669,0.23377,0.33372,0,0.342945,0.31117075,438.21665,0.0682799975,281.9886,284.39935,-1.8114025,-5.875595,93.21874,2.29777,2077.7425,5.81884,0.0282830275,0.091900835,0.2019586,0.10646,96.402075,0.779220625,0.80074695,0.3441754
1,2.75,0.477495,3.7257165,1.02851,0.2166425,0.320315,0,0.276359525,0.25855,439.0869,0.071125,282.0293,285.933875,-2.05221,-6.7358875,93.2574975,2.30394875,2089.839,4.84535,0.010575,0.09112,0.27994,0.1229,96.38187,0.7335355,0.76248705,0.3426982
1,3.25,-0.08606,2.40553,1.03236,0.22357,0.3314975,0,0.2244675,0.347695,438.5285,0.06592,281.7944,286.6617,-1.680625,-5.99195,93.1475025,2.3339205,2087.549,6.18085,0.00942,0.114035,0.19031,0.10522,96.3717475,0.69139,0.6943407,0.3393717
1,3.75,-0.0663963,3.60241,1.16908,0.202545,0.3296375,0,0.18048,0.1684021,438.383675,0.06798,281.53675,285.8945,-1.31525,-5.51261025,93.4874975,2.352925,2087.51475,4.83989,0.01027292,0.05681,0.12022,0.21219,96.38083,0.709410325,0.80779,0.341423825
1,4.25,0.4726925,3.17748,1.00748125,0.221815,0.3401475,0,0.11265,0.09612183,438.8574,0.054,281.588,286.2176,-1.79746,-6.8110745,93.6887425,2.297605,2094.4915,4.86031,0.0317425,0.06366,0.1402875,0.08074,96.3763275,0.743295,0.78472365,0.3343869
1,4.75,-0.12467,3.7591275,1.091415,0.203335,0.335995,0,0.35497,0.34267,442.595575,0.060545,282.2736,286.7116,-1.31775,-5.31626,93.88334,2.3914295,2076.8495,4.88324,0.01924,0.0847675,0.2331473,0.12196,96.3783925,0.740912975,0.810325,0.348135
