DOY2,HR2,TAU_1_1_1,H_1_1_1,LE_1_1_1,FC_1_1_1,WS_1_1_1,USTAR_1_1_1,T_SONIC_1_1_1,CO2_1_1_1,H2O_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,T_SONIC_SIGMA_1_1_1,PA_1_1_1,TA_1_1_1,TA_2_1_1,RH_1_1_1,RH_2_1_1,SW_IN_1_1_1,LW_IN_1_1_1,SW_OUT_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_2,SW_IN_1_1_2,PPFD_IN_1_1_1,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_1_2,TS_1_2_2,TS_1_3_2,NETRAD_1_1_1,TAU_1_2_1,H_1_2_1,LE_1_2_1,FC_1_2_1,WS_1_2_1,USTAR_1_2_1,T_SONIC_1_2_1,TA_1_2_1,PA_1_2_1,RH_1_2_1,CO2_1_2_1,H2O_1_2_1,U_SIGMA_1_2_1,V_SIGMA_1_2_1,W_SIGMA_1_2_1,T_SONIC_SIGMA_1_2_1,TAU_1_3_1,H_1_3_1,LE_1_3_1,FC_1_3_1,WS_1_3_1,USTAR_1_3_1,T_SONIC_1_3_1,TA_1_3_1,PA_1_3_1,RH_1_3_1,CO2_1_3_1,H2O_1_3_1,U_SIGMA_1_3_1,V_SIGMA_1_3_1,W_SIGMA_1_3_1,T_SONIC_SIGMA_1_3_1,PPFD_OUT_1_1_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_3_1_1,TS_3_1_2,TS_3_2_1,TS_3_2_2,TS_3_3_1,TS_3_3_2,SW_DIF_1_1_1,T_CANOPY_1_1_1
1,0.25,-0.002193033,31.12298,30.33074,2.30922,10.0406275,0.62404345,18.666265,418.43135,12.70568,1.714065,1.433954,0.7368313,0.914601499999999,99.9,12.61975,12.615,98.300335,97.0875,0,338.704775,3.89125,357.453275,-1.86275,4.216058,13.1775,14.0568525,13.1319,13.5189425,16.586165,9.63925,9.68825,9.49149999999999,9.58375,9.62225,9.42774999999999,-0.00820000000000016,-0.001751885,35.6505875,35.7297349999999,3.03767049999998,12.97114,0.652405125,19.43155,18.49379,99.90564,81.0783975,412.7151,12.7052925,1.781301,1.485785,0.76896915,0.8044284,-0.00227297625,38.2504074999999,35.65654,3.45427799999999,15.1073475,0.621975,18.2650075,17.72828,99.52399,100,404.79775,14.7032375,1.73567,1.45444,0.781687,0.768867949999999,3.95892499999999,8.1418925,8.11192,8.14005,8.176655,9.25233175,10.8445075,8.5634,8.5260265,8.56437,8.49953575,8.5364765,8.45998,3.16357,9.6381735
1,0.75,-0.001446978,31.66037,35.6300025,2.425669,9.64008725,0.6144622,18.58586,419.7574,12.624865,1.759953,1.2139315,0.7085327,0.737715799999999,99.9,12.3996825,12.215,98.486,97.1,0,339.04975,3.49775,356.194,-1.831,4.466286,13.7225,5.81008599999999,5.81801425,5.21856325,4.33611325,9.59825,9.5475,9.36349999999999,9.5375,9.48974999999999,9.34275,-0.377160000000005,-0.001432532,40.635325,35.3053699999999,2.96644,12.85295,0.64030575,19.4268475,18.65873,99.89831,80.55888,413.1592,12.8289,1.649565,1.3493225,0.7595215,0.854368749999994,-0.002103166,46.33157,33.85045,2.59267625,15.45867,0.68566905,18.2964,17.396325,99.502015,100,405.559875,14.7762875,1.655323,1.2961175,0.7963335,0.862077,4.498875,8.072231,8.11344825,8.13113,8.17773,9.25373,10.8433425,8.56385,8.5306515,8.5279985,8.4768735,8.3939515,8.3324735,3.5436125,9.51521425
1,1.25,-0.00209854225,40.3139399999998,31.01815,2.936112,9.716458,0.67079505,18.5539,419.78315,12.683345,1.8567835,1.2746235,0.76916715,0.8168879,99.884,12.9766675,12.71,98.5,97.3,0,337.196225,3.52295,357.085,-2.24625,4.214436,14.4125,13.71897,13.99574,12.6701399999999,17.24455,9.55,9.39225,9.34874999999999,9.483,9.40249999999999,9.1855,-0.0600000000000023,-0.00188612625,38.406925,28.12878,2.7720325,12.90722,0.62190875,19.24743,18.21849,99.88414,81.70917,412.653725,13.1334075,1.8045475,1.2927475,0.7687165,0.712205399999999,-0.001819072,49.9856999999999,30.6303775,2.96689575,15.21999,0.66251045,17.99925,17.26502,99.49946,100,405.5982,14.53569,1.72650025,1.3616625,0.794402225,0.81570675,3.5922625,7.99571,8.0936665,8.120895,8.18094325,9.250405,10.8444075,8.560732,8.531331,8.486968,8.449832,8.22597,8.23473099999999,3.3735475,9.52475
1,1.75,-0.002096177,28.72306,33.86675,2.449366,9.6527625,0.613930699999999,18.513235,419.2543,12.8108325,1.774988,1.3129195,0.7265195,0.758057599999998,99.808,12.9285825,12.575,98.78936,97.655,0,338.351475,3.3685,357.396725,-0.32175,4.407554,15.74,7.28574324999999,5.501575,6.09634424999999,4.97444649999999,9.49275,9.30225,9.32399999999999,9.45025,9.33974999999999,9.13375,0,-0.00228915225,39.562125,29.19568,3.20675799999999,12.76926,0.6263295,19.05129,17.87985,99.87685,84.1529,413.43255,13.694635,1.7166165,1.348637,0.75058305,0.7288949,-0.003095188,58.7989499999999,35.4317225,2.6281865,15.5235875,0.647073,17.85845,17.2243175,99.4999325,100,404.7782,14.23988,1.68092,1.37629,0.799386,0.792802600000001,4.63645,7.93260925,8.07019325,8.10946825,8.1805,9.2461665,10.841925,8.55589075,8.51728575,8.42646575,8.41891075,8.18073425,8.20501075,3.5206565,9.96889675
1,2.25,-0.0020782625,36.796595,36.22765,2.210279,9.94526075,0.6360417,18.41085,420.0162,13.06704,1.817046,1.2622265,0.7383091,0.682500725,99.854,12.64925,12.31,98.6,97.7,0.00400000000000001,338.67125,3.4715,357.008275,-0.9085,4.517314,16.465,12.9434425,12.534175,13.4451225,15.40478,9.42825,9.23125,9.29375,9.4565,9.274,9.1375,0,-0.00244536475,42.2718,32.2603374999998,2.53873,12.8649875,0.6146215,18.80865,17.3831725,99.86783,83.959555,413.92775,13.404055,1.74481,1.26518,0.764191,0.6919875,-0.002821332,54.015385,34.1466899999999,3.24649975,15.201865,0.64917655,17.2668675,16.78473,99.499575,100,405.0504,13.8881375,1.797603,1.29792125,0.780152925,0.7328653,4.54785,7.87060325,8.04546825,8.086025,8.18847675,9.24599325,10.83814,8.5547265,8.507025,8.3620765,8.377295,8.072361,8.2304015,3.47628075,10.2091325
1,2.75,-0.00169792,33.8671975,35.7790225,2.486975,9.7455415,0.6191315,18.1379,420.83,12.92381,1.847334,1.2784335,0.71551225,0.69290685,99.836,12.5931325,11.95,98.606,97.585,0,338.61725,3.67125,357.980475,-1.12575,4.337476,16.4125,8.2993025,7.08832999999998,7.09655424999998,6.13295,9.35825,9.192,9.25375,9.421,9.22,9.08125,0,-0.00255526725,45.454535,27.69102,3.5932815,13.23854,0.68671505,18.98492,17.412225,99.865065,82.70718,414.060875,13.45769,1.733552,1.36897375,0.7841193,0.739078199999998,-0.0022605335,43.400375,29.801945,3.32222349999999,15.6006,0.654655925,17.342155,16.70717,99.5084625,100,404.811,13.54342,1.7169555,1.37891125,0.793173925,0.737072849999999,4.27305,7.81601325,8.00305925,8.0760375,8.19399825,9.24535675,10.8364,8.54788575,8.48344075,8.303205,8.353975,8.08796575,8.226925,3.32511175,10.25085
1,3.25,-0.0023008245,25.3695,33.96709,3.112991,9.5935925,0.6197266,18.337425,423.19265,13.0824775,1.783,1.27333,0.715981199999999,0.68418725,99.848,12.4844325,11.92,98.712,97.575,0,337.0405,3.5445,357.023475,-0.6085,4.33818,16.1,15.462425,10.6802325,11.3041725,13.225615,9.331,9.15825,9.14375,9.381,9.18,8.94225,0,-0.00276918400000001,37.0833999999998,29.4113675,3.45453075,12.943325,0.6349665,18.9692425,17.6867575,99.8385,84.949825,414.02195,13.140225,1.73156,1.323901,0.777326,0.6737911,-0.003082335,53.3953299999998,29.6974625,3.23787899999998,15.104585,0.66260015,17.53762,16.8432,99.4956,100,404.76,12.939875,1.7493565,1.3260405,0.7706535,0.825046100000001,4.81949999999998,7.7562425,7.95983925,8.05789925,8.20345,9.2471665,10.8383425,8.54512,8.45988925,8.2572485,8.34906425,8.12354075,8.10053825,3.4669175,10.13721075
1,3.75,-0.002395712,30.682925,34.87688,2.69283175,9.49115125000001,0.6328992,18.492,423.65185,12.9917575,1.72026,1.250504,0.72256615,0.6382065,99.812,12.47125,11.83,98.7845525,97.585,0,335.573025,3.534,356.44275,-1.2105,4.32795025,17.6725,8.44017574999994,4.920176,6.85234999999999,6.065165,9.27375,9.05275,9.0055,9.3165,9.12375,8.83224999999999,0,-0.00163188375,44.27156,29.32818,3.2796175,12.3132875,0.644814999999999,18.74234,17.7133575,99.8478,84.37006,414.861,12.53598,1.72901,1.330126,0.7876973,0.8342344,-0.00214917675,54.9666,31.33202,3.553834,15.02432,0.6719152,17.456375,16.504065,99.473675,99.9486625,405.3155,13.2461775,1.7425285,1.372236,0.7932559,0.8625464,5.14049999999997,7.661035,7.943095,8.047389,8.207495,9.24040175,10.8368575,8.52825,8.4571485,8.20231075,8.3401515,8.1756765,8.07849575,3.34757075,10.37006
1,4.25,-0.002215248,41.9600975000002,34.93178,2.5237455,9.29580899999998,0.63130525,18.1038325,421.769525,12.730625,1.78269725,1.31081725,0.715694175,0.5986891,99.8,12.2895,11.81,98.840805,97.6,0,337.983775,3.292,355.597775,-1.9965,4.41283025,17.28,12.9425125,11.16091,12.400265,13.66755,9.2165,8.96225,8.88,9.23375,9.07025,8.7585,0.344453199999999,-0.002699976,47.5451800000001,28.63192,3.20925675,12.73823,0.625404975,18.2173,17.21575,99.8046,84.9882224999999,414.44785,11.9360375,1.77064525,1.337738,0.770910624999999,0.6905964,-0.002449937,60.6961175,24.4952075,3.185726,14.8814725,0.65867845,16.9363,16.14563,99.476295,97.8190875,405.89225,12.4132725,1.693446,1.3773235,0.77719655,0.771876,4.26184999999997,7.60872575,7.9321225,8.02892925,8.21167,9.23935675,10.8351675,8.518655,8.44623575,8.17371075,8.31288925,8.1910765,8.1680625,3.47380325,10.5605675
1,4.75,-0.0025105115,33.8700299999998,31.64508,2.4656345,9.23952399999999,0.629773674999999,18.1369975,425.840025,12.6768875,1.7289025,1.23748525,0.71895085,0.644794675000001,99.814,12.11575,11.545,99.2238,97.3,0,338.685975,3.63925,354.895475,-2.44875,4.34557,15.9775,7.80174999999999,5.59619674999999,6.6208125,7.2614,9.171,8.88524999999999,8.751,9.17925,8.99925,8.682,0,-0.0031126875,43.44648,30.9819375,4.36334125,12.32454,0.6290549,18.1611125,17.1348225,99.7905575,84.2142725,413.7305,11.75437,1.7197095,1.211773,0.7387435,0.697331375,-0.00338659225,48.2861449999999,29.04311,2.928452,14.36273,0.639917,16.63712,15.7994375,99.4796325,97.0204375,405.339,12.6020775,1.80253,1.34645,0.776241,0.82294915,5.98979999999999,7.566021,7.889925,8.0131625,8.22097675,9.23825,10.8333675,8.50511575,8.433695,8.1396235,8.258955,8.08931325,8.23478925,3.383796,10.11866425
