DOY2,HR2,TAU_1_1_1,H_1_1_1,LE_1_1_1,FC_1_1_1,WS_1_1_1,USTAR_1_1_1,T_SONIC_1_1_1,CO2_1_1_1,H2O_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,T_SONIC_SIGMA_1_1_1,PA_1_1_1,TA_1_1_1,TA_2_1_1,RH_1_1_1,RH_2_1_1,SW_IN_1_1_1,LW_IN_1_1_1,SW_OUT_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_2,SW_IN_1_1_2,PPFD_IN_1_1_1,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_1_2,TS_1_2_2,TS_1_3_2,NETRAD_1_1_1,TAU_1_2_1,H_1_2_1,LE_1_2_1,FC_1_2_1,WS_1_2_1,USTAR_1_2_1,T_SONIC_1_2_1,TA_1_2_1,PA_1_2_1,RH_1_2_1,CO2_1_2_1,H2O_1_2_1,U_SIGMA_1_2_1,V_SIGMA_1_2_1,W_SIGMA_1_2_1,T_SONIC_SIGMA_1_2_1,TAU_1_3_1,H_1_3_1,LE_1_3_1,FC_1_3_1,WS_1_3_1,USTAR_1_3_1,T_SONIC_1_3_1,TA_1_3_1,PA_1_3_1,RH_1_3_1,CO2_1_3_1,H2O_1_3_1,U_SIGMA_1_3_1,V_SIGMA_1_3_1,W_SIGMA_1_3_1,T_SONIC_SIGMA_1_3_1,PPFD_OUT_1_1_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_3_1_1,TS_3_1_2,TS_3_2_1,TS_3_2_2,TS_3_3_1,TS_3_3_2,SW_DIF_1_1_1,T_CANOPY_1_1_1
1,0.25,-0.05742365,-9.366185,2.67452,0.3251,3.37157,0.203223,8.24132,402.721,5.91238,0.583527,0.467176,0.2297285,0.234528,98.2467,0.4205835,-0.018,76.75,75.2,-1.361,257.58,0.602,303.0085,-46.92,2.6953,0,-19.185,-18.635,-22.155,-20.21,4.6175,3.834,2.424,4.7295,3.973,2.6795,-56.6582,-0.0569368,-5.9357,1.04103,0.209566,5.93334,0.1871465,9.38592,10.07525,98.0658,51.12455,391.533,6.298495,0.616598,0.513392,0.2295155,0.227347,-0.0621279,-3.629915,1.00978,0.182146,7.805635,0.179806,8.443795,8.78798,97.4943,62.95905,383.3585,7.07505,0.598898,0.50392,0.212642,0.2076805,-1.66666500000582e-05,5.131665,5.9692,6.181015,6.90892,8.06733,9.622165,6.373965,6.360365,5.93315,5.9801,5.204585,5.01198,2.326515,-0.8707
1,0.75,-0.0568302,-9.09718,2.99459,0.332449,3.39597,0.196876,8.0226,403.524,5.8658,0.5914835,0.490722,0.238073,0.2383525,98.2367,0.3064335,-0.295,77.2,75.85,-1.397,256.515,0.577,302.7365,-46.62,2.5832,0,-20.19665,-19.3415,-23.08,-20.87,4.585,3.7445,2.268,4.702,3.9215,2.5705,-55.77,-0.0608719,-6.51797,1.42875,0.235075,5.88495,0.184847,9.28542,9.76739,98.0877,51.1929,391.733,6.29891,0.629665,0.504099,0.234706,0.220299,-0.0550117,-3.48756,1.18353,0.161867,7.85974,0.172194,8.35531,8.761405,97.4943,63.34815,383.242,7.024685,0.58324,0.497938,0.211193,0.203731,-0.009,5.08565,5.963,6.179565,6.90495,8.062,9.619835,6.383015,6.35858,5.91165,5.9572,5.1421,4.9688,2.1805,-0.911083
1,1.25,-0.0516644,-10.03915,2.50283,0.373832,3.46147,0.1973245,7.86506,403.4285,5.83745,0.5642295,0.488681,0.239161,0.232322,98.2167,0.1870335,-0.331,77.75,77.6,-1.19,255.3965,0.6236,302.7065,-46.64,2.5544,0,-19.45,-18.79,-22.41,-20.34,4.554,3.656,2.215,4.707,3.8585,2.465,-54.74,-0.05498255,-6.203655,1.27664,0.223927,5.75182,0.193845,9.14477,9.56922,98.05455,51.2714,392.393,6.20794,0.610249,0.491279,0.238625,0.212356,-0.054487,-4.30001,1.17356,0.1627145,7.84006,0.1852295,8.11056,8.67213,97.4943,63.3482,383.25,7.0702,0.608953,0.500985,0.232157,0.205315,0,5.063165,5.9716,6.17307,6.909,8.064165,9.6195,6.37063,6.351,5.889,5.9455,5.09293,4.90013,2.186435,-0.87505
1,1.75,-0.0554898,-9.271865,2.487965,0.3517715,3.3867,0.198704,7.783035,403.39,5.846395,0.5795235,0.4960905,0.2358145,0.220975,98.2133,0.1378335,-0.522,78.827,78.4,-1.236,253.3935,0.5911,302.1985,-46.36,2.5085,0,-20.265,-20.0085,-23.04765,-21.38285,4.557,3.5975,2.081,4.69,3.799,2.453,-54.55,-0.0559773,-5.62523,1.868635,0.261381,5.801555,0.1974775,9.04468,9.55003,98.0586,51.9518,392.722,6.232135,0.6131925,0.4929445,0.24003,0.219872,-0.053151,-4.571515,1.33416,0.188666,7.692645,0.184948,8.064285,8.59854,97.4943,63.76745,383.073,7.06158,0.593932,0.505808,0.221018,0.2119235,-0.000166666500000116,5.01383,5.97315,6.17435,6.91142,8.059,9.61783,6.39275,6.359,5.86485,5.935,5.05568,4.87165,2.174465,-0.9681165
1,2.25,-0.0553075,-9.88438,2.56205,0.379733,3.4816,0.2009925,7.80134,403.104,5.825945,0.6001685,0.4912175,0.2403715,0.223031,98.201,0.0765,-0.619,78.36465,78.3,-1.14,253.71,0.6125,301.6615,-46.33,2.44147,0.014,-19.96935,-19.73235,-22.76185,-20.91235,4.538,3.5245,2.0135,4.6735,3.749,2.3355,-54.24,-0.0605691,-6.02966,1.82074,0.218941,5.740745,0.199637,8.80053,9.41317,98.0603,52.1752,393.003,6.23023,0.64205,0.51089,0.242195,0.2144255,-0.0603178,-3.74877,1.17352,0.1666505,7.69273,0.1840405,7.87351,8.54281,97.4943,64.0356,383.423,6.97214,0.605295,0.5117435,0.2322235,0.2043345,0,4.965135,5.96945,6.176635,6.9045,8.05733,9.61883,6.3967,6.3711,5.8517,5.9262,5.01655,4.84297,2.126665,-1.084015
1,2.75,-0.0561598,-8.52499,2.85949,0.351337,3.43242,0.198234,7.66959,403.129,5.784665,0.580428,0.4729005,0.242776,0.221788,98.2267,-0.04385,-0.926,78.694,78.8,-1.179,253.9635,0.637,301.09,-46.45,2.46973,0.002,-20.527,-20.31,-23.32015,-21.8445,4.503,3.4595,1.942,4.6355,3.695,2.3135,-54.625,-0.0579096,-6.20437,1.99722,0.254483,5.74915,0.190128,8.76789,9.35965,98.08745,52.48245,393.03,6.26345,0.602117,0.487586,0.246441,0.214565,-0.0555338,-3.65917,1.42584,0.179466,7.7258,0.1819465,7.882495,8.38108,97.4943,64.4287,383.686,6.93125,0.573657,0.502852,0.2294095,0.201517,0,4.92195,5.96885,6.173035,6.90728,8.054585,9.618165,6.393665,6.384585,5.833115,5.9207,4.99575,4.797,2.073665,-1.040985
1,3.25,-0.05434085,-8.80672,2.718615,0.357802,3.377215,0.1990855,7.537555,403.198,5.73287,0.575136,0.4708905,0.244385,0.2221585,98.21,-0.1854335,-0.918,79,79.1,-1.158,252.2635,0.571,300.573,-46.26,2.56023,0.002,-20.04,-20.079,-22.855,-21.433,4.455,3.4015,1.855,4.6175,3.636,2.278,-54.6201,-0.0583394,-6.13922,2.09485,0.2588085,5.72073,0.19569,8.78042,9.252265,98.0882,52.5205,392.844,6.2126,0.623553,0.499941,0.247546,0.2155195,-0.0543974,-3.37651,1.322585,0.1631845,7.66061,0.177002,7.76606,8.27732,97.4943,64.8144,383.023,6.9337,0.581671,0.520391,0.223325,0.196903,0,4.901535,5.93775,6.170965,6.90385,8.044485,9.618665,6.38873,6.391735,5.819,5.90535,4.95493,4.70355,2.239585,-1.13072
1,3.75,-0.05347775,-8.582845,2.48864,0.3452075,3.31923,0.1973645,7.4335,403.547,5.72299,0.5867425,0.4837735,0.240133,0.220011,98.2,-0.4145665,-1.155,79.6,79.6,-1.267,251.25,0.577733,300.3835,-46.31,2.664515,0.025,-20.655,-20.91815,-23.44915,-22.0577,4.392,3.3515,1.779,4.616,3.5945,2.2235,-54.48,-0.05530565,-5.33721,1.95056,0.226873,5.581955,0.189555,8.61854,9.186765,98.0883,52.7457,392.592,6.19079,0.635144,0.521804,0.241732,0.21373,-0.0563068,-3.90668,1.53764,0.142297,7.64309,0.180299,7.55323,8.2355,97.4943,64.5063,383.401,6.94101,0.614923,0.50891,0.219229,0.201068,0,4.87302,5.9083,6.16425,6.91095,8.0425,9.615165,6.39023,6.397915,5.80408,5.89495,4.950165,4.662415,2.262115,-1.146285
1,4.25,-0.04930585,-8.0548,2.55003,0.380681,3.25486,0.191734,7.41554,403.886,5.72187,0.594218,0.492287,0.232377,0.22837,98.2,-0.6063665,-1.276,79.87,80,-1.339,250.145,0.4883,299.3,-45.83,2.532685,0.04,-20.275,-20.24,-22.96935,-21.63,4.3655,3.2995,1.7335,4.601,3.5475,2.188,-53.1151,-0.05317515,-6.26217,1.67819,0.235671,5.54005,0.1919495,8.53879,9.19308,98.0596,53.07315,393.2695,6.170415,0.6079235,0.5185825,0.2354065,0.217438,-0.0503369,-3.800695,1.35799,0.137325,7.712915,0.178981,7.42968,8.18624,97.4943,64.63045,384.095,6.96521,0.608453,0.511037,0.21138,0.203788,0,4.83635,5.88355,6.1548,6.90843,8.04383,9.614165,6.40533,6.4156,5.7875,5.8935,4.912835,4.59628,2.2087,-1.15865
1,4.75,-0.0479303,-8.2956,2.157435,0.346579,3.33081,0.191712,7.29584,403.5445,5.66845,0.573443,0.493788,0.23047,0.222014,98.2,-0.6575,-1.317,80.5,80,-1.281,252.515,0.514,299.525,-45.78,2.54825,0.011,-21.025,-20.965,-23.515,-22.44,4.3475,3.2375,1.662,4.576,3.499,2.1295,-53.09,-0.0540361,-6.08198,1.84139,0.2664545,5.66393,0.190596,8.40625,9.044985,98.07225,53.21515,393.3035,6.171815,0.626285,0.5126005,0.23205,0.216557,-0.0527347,-3.83616,1.46134,0.171729,7.688485,0.181794,7.45312,8.080625,97.4943,65.432,383.973,6.999605,0.590601,0.522442,0.21266,0.197216,0,4.7886,5.8747,6.149535,6.914615,8.048665,9.612335,6.401815,6.42655,5.770465,5.87665,4.868365,4.540435,2.23325,-1.200565
