DOY2,HR2,USTAR_1_2_1,WS_1_2_1,FC_1_2_1,H_1_2_1,LE_1_2_1,TAU_1_1_1,H_1_1_1,LE_1_1_1,FC_1_1_1,SH_1_1_1,SLE_1_1_1,SC_1_1_1,WS_1_1_1,USTAR_1_1_1,T_SONIC_1_1_1,TA_1_1_1,PA_1_1_1,RH_1_1_1,VPD_1_1_1,CO2_1_1_1,H2O_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,T_SONIC_SIGMA_1_1_1,CO2_SIGMA_1_1_1,H2O_SIGMA_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1
1,0.25,0.313,1.337,0.824,-19.069,1.407,-0.0910274,-18.0147,1.145115,0.21815,-4.27241,0.271316,0.1654385,1.50554,0.262969,5.30043,4.69188,100.36,82.29125,1.20717,357.156,6.65353,0.593802,0.469587,0.307954,0.21407,0.0254886,0.0402310525,2.000756,0.789889
1,0.75,0.256,1.212,0.9135,-23.1795,1.154,-0.08918415,-17.74655,1.58195,0.1976005,-4.65778,0.230481,0.161772,1.50333,0.2671425,5.03263,4.416735,100.355,83.8725,1.10652,357.0025,6.62469,0.5847775,0.4644875,0.309251,0.204922,0.0265406,0.045527839,2.000756,0.795811375
1,1.25,0.259,1.204,0.966,-22.54,0.906,-0.0977169,-18.5305,1.72253,0.2848675,-3.177575,-0.123232,0.115653,1.50125,0.279595,5.045635,4.32168,100.3455,85.0375,1.24356,357.3185,6.33239,0.609051,0.463968,0.3344585,0.2127705,0.0246904,0.041218052,2.000756,0.7925785
1,1.75,0.253,1.215,1.072,-25.785,0.83,-0.08646915,-21.21845,2.118,0.215765,-3.79102,-0.6237295,0.07941305,1.527125,0.264179,4.634,4.03408,100.361,83.3068,1.23554,356.874,6.222175,0.591202,0.479524,0.3162,0.200816,0.0280314,0.040462595,2.000756,0.798030325
1,2.25,0.252,1.208,0.799,-19.556,0.281,-0.0915086,-17.01305,2.03727,0.30532,-3.12678,-0.306539,0.08756065,1.525045,0.2679315,4.60453,3.95027,100.3495,82.47035,1.224505,357.834,6.20261,0.585888,0.4639805,0.323335,0.1970005,0.0293629,0.036036424,2.000756,0.74442005
1,2.75,0.241,1.165,0.725,-21.757,0.739,-0.0948811,-18.917,1.929405,0.2204515,-2.98211,-0.0897362,0.118402,1.4558,0.273742,4.59883,3.83118,100.378,86.2723,0.9993615,358.143,6.14469,0.588524,0.46872,0.314202,0.201667,0.03101075,0.0377309295,2.000756,0.77309485
1,3.25,0.2725,1.1505,0.72,-19.9605,0.7785,-0.0858377,-19.0447,1.820165,0.223501,-2.63841,0.00685548,0.131563,1.5411,0.25633,4.4637,3.76327,100.401,88.1497,0.835923,358.42,6.271795,0.578969,0.468083,0.312561,0.19122,0.0296,0.040911087,2.000756,0.73446565
1,3.75,0.2175,0.9815,0.571,-17.7105,0.0365,-0.0985672,-15.2484,1.459205,0.317564,-2.67973,-0.2230345,0.115749,1.54496,0.2789415,4.12324,3.361805,100.3665,89.9824,0.64281,359.588,6.250465,0.603449,0.4653525,0.34346,0.188925,0.0338513,0.041522443,2.000756,0.74120185
1,4.25,0.267,1.129,0.717,-21.154,0.227,-0.0975615,-19.2126,1.320565,0.2609955,-3.19434,-0.0583053,0.110088,1.53451,0.28068,3.78872,3.13734,100.373,90.3449,0.4884,359.3865,6.2295,0.607608,0.49357,0.326551,0.196141,0.0340098,0.043752024,2.000756,0.73407415
1,4.75,0.248,1.123,0.397,-20.259,0.722,-0.112839,-20.8728,1.44498,0.2697335,-3.226685,-0.284571,0.0667708,1.52838,0.300986,3.50005,2.9421,100.392,91.9281,0.505214,359.7995,6.16294,0.613635,0.482387,0.336839,0.184502,0.0348711,0.03680157,2.000756,0.797218675
1,5.25,0.2595,1.1885,0.595,-17.483,0.7025,-0.104088,-19.26965,1.92445,0.3007625,-2.8545,0.166657,0.0896402,1.451205,0.2869935,3.352805,2.83294,100.4145,92.654,0.429782,359.9515,6.20608,0.619089,0.485509,0.338957,0.1823105,0.03334945,0.0351318375,2.000756,0.79275805
1,5.75,0.223,1.181,0.5555,-17.463,0.4115,-0.0941357,-17.2069,1.740095,0.186367,-2.460965,-0.528325,0.1789145,1.48975,0.275045,3.15352,2.53128,100.431,91.643,0.408405,359.957,6.11385,0.609339,0.4879,0.327529,0.1793,0.0341315,0.04495168,2.000756,0.759631575
1,6.25,0.253,1.186,0.741,-18.065,0.485,-0.09369815,-18.6059,2.8385,0.1616665,-2.74669,-0.604702,0.110085,1.5,0.271826,2.845915,2.316525,100.4395,93.9762,0.299106,360.6525,6.25564,0.59933,0.468951,0.313322,0.1880945,0.03000325,0.037591366,2.000756,0.758409625
1,6.75,0.232,1.2425,0.6635,-20.2565,0.707,-0.0946287,-19.64,1.658945,0.2762005,-2.24858,-0.792143,0.05866265,1.49618,0.275247,2.69561,2.41337,100.431,93.5959,0.2920045,360.1785,6.212155,0.600729,0.451048,0.311248,0.180244,0.031939,0.039244175,2.000756,0.792281225
1,7.25,0.2455,1.186,0.3655,-17.474,0.2755,-0.101012,-18.62845,2.08123,-0.06865345,-1.970755,0.139579,0.0406091,1.559175,0.2835195,2.568495,2.126115,100.477,95.8664,0.234181,359.4805,6.03225,0.604331,0.4786175,0.341014,0.1655235,0.03215,0.040152318,1.706526,1.0394395
1,7.75,0.274,1.21,0.195,-15.638,1.232,-0.167546,-3.97878,5.2419,-0.3081265,5.40306,2.04523,-0.180256,1.55578,0.363757,2.674375,2.25031,100.5005,94.0071,0.334572,359.4965,6.10126,0.704933,0.526454,0.4086715,0.1971365,0.03026155,0.060217071,20.1363745,5.3695925
1,8.25,0.288,1.224,-0.092,-6.049,3.184,-0.218191,12.57965,10.6065,-0.684623,11.861,3.2486,-0.312326,1.669675,0.416889,3.58599,2.99887,100.5285,90.7879,0.561606,359.516,6.18785,0.846744,0.6229635,0.4548115,0.2651985,0.035916,0.064236448,87.48768,16.398415
1,8.75,0.3295,1.2765,-1.037,11.628,9.2135,-0.2966795,42.19095,17.48,-2.30173,15.2196,2.723135,-0.5583405,1.79728,0.481561,4.562525,3.935145,100.568,87.2539,0.947379,358.741,6.691935,0.952294,0.726476,0.535149,0.3089445,0.0424586,0.081561933,175.0356,22.784615
1,9.25,0.3795,1.3445,-1.7775,32.089,20.8065,-0.344605,62.2182,28.69875,-2.7127,15.8847,2.33274,-0.8552405,1.88221,0.524691,5.80766,5.00397,100.586,83.3967,1.243765,358.431,6.78315,1.05239,0.796831,0.579204,0.346729,0.0474932,0.113250797,258.54925,30.76405
1,9.75,0.451,1.369,-2.955,48.05,26.9425,-0.391082,92.2392,37.241,-3.56533,14.3883,1.40985,-0.761855,1.969915,0.5556065,6.78637,6.12293,100.5685,80.6679,1.53065,356.8315,7.28218,1.132785,0.8692085,0.599477,0.3718185,0.0449592,0.12553299,331.180425,37.655275
1,10.25,0.524,1.67,-3.541,71.276,37.706,-0.459207,103.782,46.7009,-5.1265,14.85185,0.212889,-0.741785,1.96533,0.603715,7.32538,6.72831,100.549,75.2634,2.12155,356.065,7.07903,1.16484,0.908494,0.650646,0.389452,0.0439736,0.125154771,394.58525,42.56932
1,10.75,0.5535,1.842,-5.223,121.3285,49.659,-0.4461885,130.339,50.2671,-6.1587,13.3379,-0.0369209,-0.45028,2.052115,0.5949595,8.388175,7.476055,100.524,71.25275,2.577355,355.195,7.13661,1.183865,0.943116,0.664637,0.438508,0.0460876,0.133114545,459.050525,48.183715
1,11.25,0.618,1.828,-6.968,146.917,60.806,-0.430618,142.711,63.3033,-6.559755,12.3481,0.449439,-0.360485,2.01165,0.589399,8.89708,8.04312,100.505,69.2741,2.84382,353.858,7.28311,1.20261,1.00686,0.67077,0.423551,0.0474875,0.147562423,506.7625,54.3388425
1,11.75,0.61,2.024,-8.2075,162.86,82.479,-0.4138815,154.126,65.87065,-6.96397,10.1133,0.03744555,-0.288542,2.05308,0.579832,9.165455,8.46826,100.4405,65.2863,3.33207,353.354,7.26651,1.19349,1.030195,0.67475,0.409343,0.0468,0.150693402,548.8273,56.7097375
1,12.25,0.6715,2.1805,-8.328,164.067,95.779,-0.4871155,160.8205,76.26175,-7.20626,8.36155,0.401828,-0.368658,2.097945,0.6287575,9.721705,9.193205,100.386,65.9511,3.501835,352.813,7.70096,1.296635,1.040045,0.6923655,0.4030595,0.0456987,0.1486282805,541.612025,57.785595
1,12.75,0.6875,2.204,-7.957,151.179,93.4235,-0.4989745,135.816,76.84855,-6.97006,7.91427,0.532716,-0.3880605,2.106445,0.633721,10.1995,9.771755,100.331,62.6851,4.07244,352.5115,7.19393,1.274275,1.05341,0.701621,0.371991,0.04516435,0.1557949475,545.354825,57.2090775
1,13.25,0.701,2.256,-7.668,141.474,90.983,-0.464905,147.0235,72.8935,-6.52128,7.24736,0.335495,-0.295599,2.059895,0.610987,10.3739,9.934455,100.3185,61.2668,4.47995,352.1445,6.99958,1.25769,1.037655,0.681607,0.3785955,0.0439201,0.16194751,530.2588,56.653855
1,13.75,0.69,2.374,-7.711,131.003,86.771,-0.4254675,118.1745,75.91785,-6.444635,6.262275,0.293249,-0.2660575,2.08207,0.5797955,10.8841,10.2949,100.297,57.9668,4.515115,352.0625,6.68095,1.206295,1.02936,0.671042,0.3370835,0.0416583,0.15969193,514.366975,55.97704
1,14.25,0.697,2.183,-7.7745,115.699,92.626,-0.406686,87.4128,72.9026,-5.87979,4.784385,1.24419,-0.186958,2.01983,0.58538,11.1711,10.7338,100.274,57.9659,4.94597,351.72,6.79704,1.21193,1.05499,0.639918,0.315527,0.0375943,0.161780966,468.115,50.811905
1,14.75,0.667,2.112,-7.979,117.948,94.348,-0.409392,60.5827,74.78065,-5.21006,3.60211,0.2129458,-0.145251,1.91701,0.576429,11.3177,10.7201,100.279,55.7479,5.219295,351.686,6.707425,1.20796,0.980545,0.620497,0.271235,0.0340933,0.1584491045,425.5162,44.601415
1,15.25,0.6255,2.149,-6.944,97.6155,86.8645,-0.3402315,42.11805,68.1138,-4.946305,1.27996,0.347124,-0.153727,1.852035,0.523267,11.2642,10.72555,100.288,56.2661,5.329295,351.524,6.8151,1.084585,0.8899765,0.5803415,0.2039115,0.0328429,0.157982095,305.73715,37.381955
1,15.75,0.621,2.084,-5.52,47.133,75.829,-0.296318,10.9128,57.5914,-3.38314,-0.487077,0.501732,0.0815122,1.72674,0.495038,11.2301,10.7401,100.294,56.2377,5.36499,351.624,6.90854,1.00059,0.794023,0.54543,0.144756,0.0259204,0.150533235,178.438075,32.4680675
1,16.25,0.581,1.939,-3.91,13.941,60.741,-0.210043,-7.17582,39.5802,-2.19426,-3.225855,1.82406,0.0718582,1.5695,0.417597,10.919,10.5488,100.299,58.9193,4.92671,351.48,7.08973,0.875889,0.676941,0.45131,0.143553,0.0178235,0.138799362,106.130455,24.964595
1,16.75,0.5005,1.5875,-2.1825,-9.93,44.1025,-0.1230665,-20.9712,18.8054,-0.700664,-6.865325,2.47183,0.176702,1.40828,0.314967,10.6118,10.011755,100.289,60.1587,4.51021,351.4,6.71603,0.673984,0.479913,0.341266,0.2075235,0.0194354,0.126261467,80.804445,15.8453165
1,17.25,0.3435,1.2985,-0.574,-16.4275,24.577,-0.0660412,-23.5881,11.6888,0.0332345,-9.85157,0.0982191,0.398277,1.460045,0.2345515,9.816595,9.167095,100.313,60.3113,4.24826,352.166,6.82649,0.5401655,0.4210765,0.2761885,0.2755065,0.0253153,0.104351239,19.842225,5.0938775
1,17.75,0.2425,1.1215,0.1165,-16.7665,11.6345,-0.06936055,-25.3693,6.986115,0.1279715,-11.0813,-0.3845215,0.319548,1.526485,0.2408045,9.34836,8.699885,100.3205,62.46795,3.90129,352.6685,7.041565,0.531828,0.4486035,0.2702015,0.293269,0.02428495,0.0857707875,4.830019,1.05658155
1,18.25,0.256,1.166,0.363,-19.033,8.83,-0.0709859,-22.4757,4.504775,0.235647,-9.05971,-0.1381835,0.2482035,1.51962,0.23554,8.9056,8.17175,100.337,62.43185,3.5461,352.771,7.1087,0.522983,0.43131,0.265434,0.261039,0.0244197,0.0644018885,4.830019,0.80969405
1,18.75,0.261,1.2215,0.326,-20.9855,6.6095,-0.07429275,-21.5725,2.80306,0.125274,-7.80352,0.0737,0.238377,1.542425,0.244897,8.52805,7.700505,100.363,63.7983,3.28618,353.897,6.95407,0.564634,0.4499425,0.279514,0.2538165,0.02584,0.061029924,4.830019,0.8545788
1,19.25,0.2105,1.172,0.2745,-23.6325,4.9725,-0.06856015,-24.48865,2.603955,0.241709,-7.26725,-0.748268,0.254489,1.55568,0.234999,8.159945,7.32272,100.386,65.74855,3.11678,354.5065,6.7246,0.573277,0.4542405,0.2809905,0.2568585,0.0246178,0.0503937945,4.830019,0.86419295
1,19.75,0.229,1.2445,0.4295,-20.621,3.624,-0.07340885,-21.2449,1.92763,0.238844,-6.43987,-0.520361,0.2427065,1.54902,0.2441185,7.729705,7.189575,100.38,67.84445,2.81143,354.766,6.77683,0.5968535,0.4871055,0.2959175,0.235519,0.0256612,0.0545321315,4.830019,0.8404442
1,20.25,0.2415,1.282,0.379,-21.5845,2.907,-0.0804557,-20.6124,2.03012,0.135061,-5.86148,-0.433522,0.2290045,1.59408,0.254051,7.43245,6.82922,100.387,70.46805,2.543295,354.842,6.60398,0.586686,0.479321,0.302283,0.237931,0.0246328,0.0476762325,4.830019,0.869745875
