DOY2,HR2,USTAR_1_2_1,WS_1_2_1,FC_1_2_1,H_1_2_1,LE_1_2_1,TAU_1_1_1,H_1_1_1,LE_1_1_1,FC_1_1_1,SH_1_1_1,SLE_1_1_1,SC_1_1_1,WS_1_1_1,USTAR_1_1_1,T_SONIC_1_1_1,TA_1_1_1,PA_1_1_1,RH_1_1_1,VPD_1_1_1,CO2_1_1_1,H2O_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,T_SONIC_SIGMA_1_1_1,CO2_SIGMA_1_1_1,H2O_SIGMA_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1
1,0.25,0.5225,2.114,2.194,-9.86975,7.7755,-0.01875,-5.11067,5.162215,1.0628125,-0.427964,1.67814,0.5336185,1.99002,0.435108,9.2589,8.62045,100.844,99.8275,2.7186925,361.4765,9.220245,0.926087,0.678734,0.486499,0.321364,0.055215325,0.0732986875,2.598512,1.165141125
1,0.75,0.502,1.998,1.826,-6.74475,6.6965,-0.021957475,-5.302225,6.54581,1.082165,-1.39063,1.72941,0.516127,1.936025,0.45268825,9.2267,8.402995,100.81075,100,2.591765,361.61725,9.265115,0.9334995,0.6640645,0.503948,0.30842775,0.058812025,0.0844032375,2.598512,1.131833625
1,1.25,0.466,1.871,1.541,-7.927,4.418,-0.02232175,-5.8659375,6.7193,1.029775,1.4918025,1.74175,0.451048,1.9512075,0.39694575,8.8386475,8.1948625,100.80825,97.05,2.61387,362.1955,8.96035,0.8566215,0.6926945,0.44521825,0.29866975,0.069109525,0.086195977,2.598512,1.113158125
1,1.75,0.457,1.688,1.84,-9.68,5.566,-0.02443715,-5.9236475,6.75494,0.89460275,1.0685675,1.801085,0.35389675,1.92902,0.4193055,8.662165,7.97277,100.81775,97.0849,2.6844875,363.2015,9.1216,0.896248,0.66033025,0.4753055,0.33616325,0.056467125,0.09591635975,2.598512,1.18127275
1,2.25,0.4165,1.848,1.8955,-6.365,3.32,-0.017706875,-4.79234,5.599355,0.910526,0.6616215,1.2133125,0.64362125,1.8381525,0.410168,8.4036175,7.7294175,100.8065,97.746575,2.58799,363.963,8.09182,0.85736325,0.6436235,0.464196,0.29017375,0.0628321,0.06367016175,2.598512,1.1472688
1,2.75,0.392,1.606,1.24,-8.337,3.752,-0.0223951,-5.23501,5.9062475,0.774981,-0.0829013,1.610805,0.551769,1.87477,0.382451,8.04301,7.53149,100.82,99.92955,2.5026,364.02125,8.4039025,0.837062,0.642173,0.46873,0.325876,0.06344675,0.068593696,2.598512,1.18895
1,3.25,0.4615,1.67225,1.829,-7.983,3.82975,-0.0197822,-5.21819,6.36163,1.0377,0.09871385,1.798445,0.52841425,1.86263,0.411908,7.89152,7.5425,100.815,99.982075,2.3331375,364.279,9.15989,0.861557,0.630967,0.480181,0.313439,0.0742758,0.08914109625,2.598512,1.126923
1,3.75,0.48625,1.6435,1.68025,-10.1105,3.2645,-0.02509965,-7.1039725,4.785075,1.41614,0.979062,1.9254725,0.63971075,1.83102,0.43589525,7.9993075,7.756295,100.82725,100,2.2708675,365.602,8.467055,0.87413975,0.67461925,0.4892455,0.2911345,0.0749159,0.08152888175,2.598512,1.1342395
1,4.25,0.478,1.8165,1.3515,-7.935,2.054,-0.0228975,-4.52058,5.54929,1.23188,0.212484,1.89498,0.55471425,1.87257,0.421712,7.75984,7.34705,100.778,100,2.1675625,366.55975,8.656285,0.878362,0.664295,0.487625,0.299483,0.095179025,0.08095781175,2.598512,1.142661625
1,4.75,0.464,1.726,0.968,-9.825,3.198,-0.0282895,-5.60591,6.36213,1.35829,1.737285,1.7948,0.462481,1.90122,0.435886,7.52564,7.12223,100.778,100,1.98577,366.797,8.49958,0.902311,0.675831,0.493075,0.307101,0.09354055,0.082716213,2.598512,1.1871662125
1,5.25,0.40325,1.69475,1.40875,-8.8245,2.41925,-0.0217112,-7.2563575,6.258945,1.02772975,0.237912,2.01503,0.6171195,1.90136,0.45070625,7.617305,7.065275,100.785,100,1.9558775,367.45075,8.8362975,0.92194875,0.67957925,0.4983755,0.301985,0.07613955,0.0801431815,2.598512,1.197866475
1,5.75,0.43825,1.60475,1.416,-7.13525,3.01275,-0.02177475,-6.90609,6.002075,0.968143,1.39152,1.288755,0.6730255,1.916555,0.4335,7.69608,7.0765,100.7915,100,2.0766575,366.755,8.62326,0.9445275,0.6797645,0.5027575,0.278284,0.0879786,0.09756089,2.598512,1.1532853375
1,6.25,0.446,1.694,1.482,-8.571,3.881,-0.028891625,-8.228185,7.38551,1.03429,1.032838,1.38719,0.489925,1.907205,0.43803475,7.29409,6.9108775,100.83675,100,1.74481,367.96175,8.6878,0.93503525,0.68016875,0.50410425,0.27327125,0.09767525,0.083122394,2.598512,1.1832665
1,6.75,0.409,1.6215,1.82625,-9.6335,2.69775,-0.02943775,-7.548915,5.915555,1.1549025,0.424736,1.3700025,0.56477725,1.83238,0.419799,7.42176,6.9508,100.8665,100,1.7577075,368.06325,8.933765,0.8968785,0.6589245,0.491769,0.2653125,0.077625,0.0821890485,2.598512,1.1595495125
1,7.25,0.4135,1.4965,1.68925,-9.28275,2.814,-0.04280315,-8.45523,7.080085,0.63086125,2.39439,1.51948,0.3895755,1.872385,0.4615905,7.4773,7.20185,100.89975,100,2.03499,367.91575,8.18818,0.91768525,0.66211925,0.51899475,0.256322,0.1048475,0.0889484915,2.6812045,1.513269875
1,7.75,0.477,1.71,1.3075,-6.561,4.3945,-0.064149,4.5674875,10.6226,0.865895,9.10493,4.60557,0.409409,1.9986175,0.4759275,7.6760975,7.092545,100.9225,100,1.9538,368.32525,8.79036,0.971464,0.721013,0.52942475,0.295819,0.080724875,0.112733873,27.9424275,11.363754875
1,8.25,0.47,1.679,1.919,0.912,8.298,-0.088292325,32.859175,19.6743,1.09307,19.40655,7.39982,0.201914,2.174505,0.58737675,7.9970075,7.4890725,100.93675,100,1.98655,366.2405,9.40381,1.207835,0.8297635,0.6431555,0.351656,0.0629709,0.111570272,101.56943,20.531855
1,8.75,0.51775,1.756,0.6515,30.32975,19.28,-0.13640575,75.13695,32.8311,0.856839,20.74185,8.111325,-0.12237275,2.449595,0.6524275,8.23804,7.7414075,100.956,100,2.0392875,366.516,9.73206,1.35618,0.954573,0.72638575,0.4210205,0.07217725,0.138987675,192.8307,27.94423
1,9.25,0.60725,2.03925,0.5155,51.53275,31.56725,-0.171313,115.326,47.210725,0.821602,23.0061,7.1977125,-0.26876575,2.54107,0.693049,9.10235,8.31433,100.99,98.644775,2.6704125,364.043,9.8851125,1.43718,0.990485,0.732725,0.459181,0.0736485,0.15912294575,281.2487,36.73101
1,9.75,0.638,2.11025,-0.539,92.71975,46.08575,-0.20445225,147.3915,58.0139,-0.3593525,24.0367,7.10161,-0.365069,2.6747125,0.73131575,10.28735,9.41906,101.01,98.5234,2.98771,361.59525,10.1581,1.53161,1.09648,0.79590175,0.48593325,0.0616825,0.177504415,369.6186875,45.06549125
1,10.25,0.71,2.4985,-1.7445,144.089,55.874,-0.2152215,173.9055,71.1791,-2.11956,21.400075,5.6727,-0.298837,2.7617,0.756512,10.8905,10.2499,101.0005,96.7229,3.65634,360.539,10.3521,1.589685,1.166525,0.820556,0.4946105,0.0589617,0.176796419,444.1582625,51.20192875
1,10.75,0.77475,2.5625,-2.947,158.72625,71.75,-0.21696375,197.27375,78.31335,-2.10459,20.621125,5.2282425,-0.1601615,2.80281,0.747461,11.7838,10.9052,100.9835,94.499475,4.3500425,359.174,10.7157,1.5604525,1.22217,0.83290875,0.52201575,0.0596343,0.182296296,507.946175,57.08986375
1,11.25,0.823,2.4795,-4.59575,196.4345,90.9405,-0.26212,215.676,89.5659,-1.9642625,18.3798,3.80219,-0.0582969,2.72857,0.770369,12.2846,11.481,100.96,91.9078,4.91455,357.83975,10.8404,1.57099,1.28584,0.826202,0.522344,0.05760145,0.196144714,559.8373,61.19583875
1,11.75,0.838,2.553,-6.45675,211.5035,105.3925,-0.245309,211.90275,99.17525,-3.44691,14.5049,2.8341175,-0.051729775,2.892365,0.78344025,13.0287,12.0293,100.8815,88.38815,5.33433,357.108,10.847725,1.61723,1.2909975,0.86993275,0.4962525,0.0552334,0.19263226675,596.6256375,64.511985
1,12.25,0.84725,2.82475,-6.4905,202.44975,127.256,-0.23484425,212.53275,108.28175,-2.76953,13.0929,3.3344175,-0.16255625,2.961755,0.7964535,13.72895,12.7009,100.83525,86.1497,5.6851975,356.789,11.016725,1.6764775,1.3128075,0.8721005,0.4913435,0.0538708,0.20741010525,612.2563125,66.3405175
1,12.75,0.8835,2.88125,-5.9965,187.76075,110.13825,-0.19222275,206.7815,111.85375,-2.8581575,11.05395,3.7859375,-0.1753315,2.79599,0.77294925,14.32245,13.07975,100.77825,81.326525,6.1303775,356.56575,10.6145,1.531865,1.3384725,0.843609,0.48648625,0.05352155,0.20978605575,614.996675,66.46592875
1,13.25,0.814,2.681,-5.706,209.041,114.583,-0.247351,194.519,104.0075,-1.6815675,10.9198,3.947335,-0.09454815,2.81252,0.7397905,14.35875,13.42,100.7405,79.037,6.698545,356.0065,10.7055,1.5717775,1.244875,0.8174865,0.46355125,0.052854525,0.223558499,603.1231875,65.3392975
1,13.75,0.838,2.869,-5.6395,174.757,123.799,-0.21872925,170.84375,108.067,-3.3143825,9.6381575,3.7538275,-0.0652085,2.682105,0.766643,14.99965,14.0074,100.68375,77.250675,7.00823,355.86625,10.26215,1.599025,1.340895,0.868553,0.418931,0.051223425,0.2115586215,573.130225,63.45529625
1,14.25,0.868,2.805,-5.29075,179.379,131.373,-0.1981135,150.808,106.501,-2.245905,7.4741125,3.64918,-0.0212559,2.76675,0.7373825,15.2484,14.3993,100.6505,75.6796,7.28079,355.4425,10.4083,1.588235,1.28206,0.833082,0.373897,0.04543615,0.212763552,528.225575,58.9549525
1,14.75,0.863,2.8435,-5.808,156.2455,127.1,-0.2095745,121.5335,100.1415,-2.3593275,6.4746,3.559795,0.1055605,2.630385,0.7396325,15.5016,14.63785,100.664,75.349375,7.426865,355.30075,9.9681575,1.55163,1.228885,0.8134555,0.3409015,0.0432791,0.215500429,465.4132,53.2111925
1,15.25,0.815,2.83425,-4.6295,130.6335,121.49575,-0.18393825,79.328075,90.5479,-1.8897075,4.09071,3.1876575,0.050843425,2.528175,0.69250675,15.362375,14.355675,100.6765,74.97165,7.6284325,355.58425,10.423625,1.45343,1.2203375,0.78007525,0.259903,0.04183985,0.2133608655,391.742825,46.2689375
1,15.75,0.766,2.7345,-3.989,111.284,113.64,-0.162619,34.8308,78.0068,-1.02092,2.25593,3.73643,0.273695,2.44541,0.673739,15.1045,14.36085,100.6625,73.6204,7.55862,355.123,10.443,1.429295,1.05447,0.745061,0.212938,0.0343049,0.201138828,218.1837375,40.3922175
1,16.25,0.7175,2.463,-2.039,49.9025,89.2925,-0.0883408,3.08097,57.3387,-0.557176,-1.6864075,5.19476,0.2800695,2.2262,0.579958,14.6293,13.9231,100.652,76.6048,7.23291,355.3225,10.61875,1.20872,0.922439,0.663885,0.191514,0.0262557,0.196399313,149.09605125,31.80755375
1,16.75,0.64225,2.18025,-0.8165,10.62525,76.918,-0.037568475,-8.691265,37.7805,-0.04712715,-3.41585,4.853565,0.3768575,1.99417,0.4876615,14.295425,13.475825,100.64725,78.33995,6.764625,355.35,10.64445,1.0644525,0.77288475,0.56570825,0.260259,0.02772335,0.174083027,115.52803875,21.3241375
