DOY2,HR2,RH,TA,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,PPFD_OUT
1,0.25,68.975,-32.245,0.37575,0.14925,180.6,187.65,-1.1,-0.013652895,0.0271034525
1,0.75,70,-32.8225,0.37575,0.15,180.375,187.075,-1.1,-0.0185964125,0.01862725
1,1.25,69.875,-32.805,0.37575,0.097,178.325,187.3,-1.1,-0.0153712225,0.03375253
1,1.75,69.15,-32.87,0.37575,0.1975,178.275,186.8,-1.1,-0.0147171675,0.031396565
1,2.25,69.425,-33.4,0.37575,0.1575,177.925,185.5,-1.1,-0.01342077,0.016981955
1,2.75,69.675,-33.355,0.37575,0.12825,178.85,185.5,-1.1,-0.01938307,0.01367208
1,3.25,69.325,-33.3825,0.37575,0.167,181.6,185.975,-1.1,-0.0135721875,0.01354529
1,3.75,69.175,-33.0775,0.37575,0.16225,179.575,186.425,-1.1,-0.01550373,0.02375108
1,4.25,69.675,-32.75,0.37575,0.198,179.075,186.35,-1.1,-0.0137813075,0.02711801
1,4.75,70.325,-32.3675,0.37575,0.15775,183.075,187.55,-1.1,-0.020331775,0.0202397125
1,5.25,69.8,-32.8425,0.37575,0.202,182.525,187.85,-1.1,-0.01255816,0.006940115
1,5.75,69.825,-32.7325,0.37575,0.115,182.975,187.825,-1.1,-0.01450943,0.0202929125
1,6.25,69.575,-32.735,0.37575,0.223,180.775,187.75,-1.1,-0.017110085,0.02709452
1,6.75,69.7,-32.855,0.37575,0.15,179.975,186.55,-1.1,-0.0215574425,0.01358112
1,7.25,69.5,-32.905,0.37575,0.182,180.025,187.075,-1.1,-0.0154346375,0.006784511
1,7.75,69.8,-32.9375,0.37575,0.17775,181.65,187.075,-1.1,-0.020365695,0.0204639225
1,8.25,68.35,-33.1675,0.2805,0.11575,180.2,186.1,-1.1,-0.01635537,0.02044832
1,8.75,69.575,-32.96,0.358125,0.1465,180.55,187.225,-1.1,-0.01895564,0.02026206
1,9.25,69.125,-33.1575,0.43575,0.184,182,186.225,-4.2245,-0.013913575,0.02043476
1,9.75,68.95,-33.24,1.5645,0.25,182.225,184.15,-3.41,-0.009154437,0.01348561
1,10.25,68.5,-33.1,2.75,0.27925,179.925,185.925,-5.0405,0.0090752885,0.020370725
1,10.75,68.375,-33.1325,0.375,0.1895,179.1,184.85,-15.999,0.0542901375,0.04676762
1,11.25,68.65,-33.0225,0.45325,0.665,180.675,184.95,-7.57075,0.3307123,0.282734875
1,11.75,68.3,-33.615,1.139,1.355,180.05,185.075,-11.279,1.323713,1.333305
1,12.25,67.575,-33.575,1.046,1.93125,177,185.825,-11.9225,3.4116255,3.73387275
1,12.75,68.075,-33.785,2.418,3.4875,178.35,184.95,-10.241,6.005136,6.5616975
1,13.25,68.4,-33.4675,2.538,4.18525,178.325,185.925,-8.825,8.0212555,8.68484
1,13.75,67.45,-33.5175,3.50875,4.67,178.575,184.7,-8.0775,8.6569795,9.534802
1,14.25,66.95,-33.885,2.2465,3.70675,178.1,185.2,-7.6225,7.56873225,8.2828405
1,14.75,68,-33.4875,2.6165,2.62525,176.825,184.75,-6.1,5.092968,5.70450875
1,15.25,67.425,-33.145,2.51525,1.77,176.575,184.6,-11.63125,2.5821885,2.8975015
1,15.75,67.475,-32.98,1.101,1.213,178.95,183.15,-8.029,0.8947695,0.9647061
1,16.25,67.7,-33.525,1.03875,0.693,177.65,182.775,-16.3305,0.177887475,0.173566025
1,16.75,67.95,-33.765,0.621,0.2135,176.125,181.725,-14.8875,0.0475117175,0.04079156
1,17.25,67.7,-33.3975,2.238,0.22675,176.95,182.475,-7.99,0.00301704425,0.0308006025
1,17.75,68.325,-33.87,1.5135,0.2055,178.975,183.875,-1.7935,-0.00690206875,0.020336205
1,18.25,67.95,-33.9325,0.789,0.1855,178.325,183.85,-1.7135,-0.0162525575,0.020325925
1,18.75,68.5,-33.3675,0.2525,0.22325,180.425,183.7,-0.5905,-0.021160505,0.02045472
1,19.25,68.55,-33.01,0.2525,0.193,182.175,185.15,-0.5905,-0.01415113,0.01692072
1,19.75,69.25,-32.74,0.2525,0.261,181.25,185.15,-0.5905,-0.0106504725,0.0305427675
1,20.25,69.7,-32.74,0.2525,0.19225,182.775,185.25,-0.5905,-0.01276733,0.016984175
1,20.75,69.5,-32.7,0.2525,0.1095,182.5,186.125,-0.5905,-0.016097395,0.01695745
1,21.25,69.5,-32.715,0.2525,0.213,182.8,186.325,-0.5905,-0.01503934,0.02027988
1,21.75,70.1,-32.2225,0.2525,0.1925,183.075,188.1,-0.5905,-0.016467215,0.020465035
1,22.25,69.45,-32.6325,0.2525,0.125,179.775,187.725,-0.5905,-0.015890205,0.0204194625
1,22.75,69.225,-32.775,0.2525,0.085,176.925,186.675,-0.5905,-0.0173957175,0.020388005
1,23.25,70.2,-33.115,0.2525,0.13625,177.925,186.475,-0.5905,-0.0176299575,0.02375114
1,23.75,69.375,-32.88,0.2525,0.141,178.125,186.45,-0.5905,-0.0182459025,0.02313232
2,0.25,65.575,-36.8125,0.3,0.0835,174.3,175.875,-1.1,-0.0174429725,0.02703916
2,0.75,65.775,-36.525,0.3,0.2365,174.725,176,-1.1,-0.02027571,0.02720467
2,1.25,65.825,-36.4825,0.3,0.152,174.7,175.175,-1.1,-0.0143536025,0.0356092525
