DOY2,HR2,RH,TA,PPFD_IN,PPFD_OUT
1,0.25,69.55,-28.43,-0.028125125,0.4216613
1,0.75,69.6,-28.465,-0.028560555,0.41024025
1,1.25,69.6,-28.215,-0.025054515,0.40457795
1,1.75,69.05,-28.545,-0.02770746,0.40093985
1,2.25,70,-28.78,-0.02636366,0.40241815
1,2.75,70.4,-28.715,-0.02534138,0.4858172
1,3.25,70.4,-28.635,-0.02341032,0.4700021
1,3.75,70.3,-28.58,-0.028029175,0.4963602
1,4.25,69.8,-28.815,-0.02937488,0.428808
1,4.75,69.5,-28.97,-0.03020721,0.44386495
1,5.25,69,-28.775,-0.027515165,0.4246228
1,5.75,69.15,-28.625,-0.02834994,0.4648328
1,6.25,69.2,-28.94,-0.027137075,0.4899856
1,6.75,68.7,-29.215,-0.029434445,0.4856105
1,7.25,68.95,-28.965,-0.02713528,0.4753353
1,7.75,68.55,-28.57,-0.027973325,0.4736016
1,8.25,68.1,-28.805,-0.027937345,0.43264645
1,8.75,68.25,-28.55,-0.030619125,0.4124219
1,9.25,68.9,-28.87,-0.02638098,0.4148656
1,9.75,69.2,-28.94,-0.02414726,0.42043455
1,10.25,68.85,-29.06,-0.004165736,0.65629295
1,10.75,69.2,-29.065,0.20586425,0.730209
1,11.25,69,-28.95,1.382929,1.55372
1,11.75,69.2,-29.16,4.3575115,4.8920895
1,12.25,69.1,-29.21,9.105698,10.3945885
1,12.75,69.2,-29.2,13.848655,16.42292
1,13.25,68.95,-29.31,18.16656,21.481855
1,13.75,69.65,-29.315,18.319385,21.070655
1,14.25,68.95,-29.195,17.101345,19.89977
1,14.75,68.75,-29.035,13.58658,15.10839
1,15.25,69.25,-29.23,8.207007,9.574895
1,15.75,69.55,-29.33,3.60178,4.278229
1,16.25,69.8,-29.42,0.93126965,1.23661
1,16.75,70.05,-29.845,0.113560035,0.70508
1,17.25,69.85,-29.745,-0.008807495,0.6473919
1,17.75,70.2,-29.52,-0.02393831,0.42238715
1,18.25,70.15,-29.37,-0.025473505,0.332168
1,18.75,70.2,-28.97,-0.028200535,0.3189004
1,19.25,69.8,-28.975,-0.02862022,0.32452555
1,19.75,69.05,-28.975,-0.025757575,0.32534005
1,20.25,68.5,-29.01,-0.027291715,0.33839045
1,20.75,68.85,-28.73,-0.02677999,0.3347532
1,21.25,69.2,-28.545,-0.02858194,0.36424375
1,21.75,69.4,-28.455,-0.02749853,0.38920295
1,22.25,69.3,-28.545,-0.023921745,0.41173865
1,22.75,69.7,-28.87,-0.028804005,0.41019935
1,23.25,69.35,-28.635,-0.0293914,0.4087037
1,23.75,69.45,-28.63,-0.02837167,0.403875
2,0.25,69.25,-31.61,-0.025002525,0.3642632
2,0.75,68.85,-32.005,-0.02765342,0.3576902
2,1.25,69.3,-31.595,-0.02583517,0.35990125
2,1.75,68.55,-31.755,-0.02790017,0.3521722
2,2.25,69.05,-31.47,-0.029679775,0.3552975
2,2.75,69.15,-31.54,-0.02784681,0.354465
2,3.25,69.35,-31.735,-0.02498586,0.35834855
2,3.75,69.2,-31.93,-0.027371325,0.35306415
2,4.25,69.05,-31.615,-0.02621849,0.35948615
2,4.75,68.3,-32.1,-0.026139565,0.3587844
2,5.25,67.95,-32.76,-0.024834535,0.36901985
2,5.75,68.3,-32.455,-0.029039455,0.3574992
2,6.25,68.4,-32.57,-0.026102905,0.3661586
2,6.75,68.3,-32.605,-0.025024905,0.3654213
2,7.25,68.85,-32.44,-0.025723135,0.380321
2,7.75,69.25,-31.64,-0.026422195,0.37731525
2,8.25,68.85,-31.535,-0.018165575,0.41174115
2,8.75,69.55,-30.92,0.0005682025,0.68838675
2,9.25,68.85,-31.04,0.7003095,1.481762
2,9.75,69.15,-31.27,5.0619745,7.528534
2,10.25,69.5,-31.14,17.348925,24.8533
2,10.75,68.9,-31.005,38.14265,53.63414
2,11.25,69.6,-30.275,63.53208,83.85707
2,11.75,69.7,-30.365,88.053885,119.6807
2,12.25,70.05,-30.215,109.6224,165.46175
2,12.75,69.4,-30.02,125.49305,193.58965
2,13.25,68.75,-29.895,136.63015,215.3098
2,13.75,69.25,-29.59,147.13945,235.31605
2,14.25,69.5,-29.96,139.5153,216.31845
2,14.75,69.1,-30.415,129.31015,188.6934
2,15.25,68.7,-30.235,115.2952,149.94525
2,15.75,69.65,-30.265,96.46043,124.43025
2,16.25,69.5,-30.565,60.49975,87.588055
2,16.75,69.65,-30.995,39.1684,49.26624
2,17.25,69.5,-30.99,18.163925,26.00217
2,17.75,69.45,-31.345,5.655542,8.9628605
2,18.25,69.25,-31.43,0.9247539,1.790281
2,18.75,69.25,-31.68,0.017160085,0.7166207
2,19.25,69.3,-31.68,-0.025836265,0.43783945
2,19.75,69.35,-31.565,-0.03157512,0.34739115
2,20.25,68.95,-31.815,-0.03015528,0.3403265
2,20.75,68.6,-32.225,-0.028695005,0.32504885
2,21.25,69.15,-31.92,-0.027938595,0.3390841
2,21.75,69.5,-31.7,-0.02788233,0.3434381
2,22.25,69.3,-31.79,-0.02615866,0.3472061
2,22.75,69.25,-31.605,-0.02542224,0.33669285
2,23.25,69.1,-31.47,-0.026764245,0.3448946
2,23.75,69.05,-31.69,-0.024967465,0.33191945
3,0.25,71.35,-21.645,-0.031779845,0.061327315
3,0.75,70.8,-21.47,-0.03094922,0.05138683
3,1.25,70.95,-20.6,-0.03064687,0.05767624
3,1.75,71.05,-20.52,-0.02998415,0.053881065
3,2.25,70.5,-19.835,-0.02564459,0.060012795
3,2.75,70.9,-19.6,-0.02979112,0.06301591
3,3.25,70.4,-19.265,-0.02979199,0.056853815
3,3.75,69.95,-19.215,-0.028522125,0.0667877
3,4.25,69.75,-19.285,-0.031495215,0.059648415
3,4.75,69.65,-19.915,-0.03200858,0.054390065
3,5.25,69.85,-20.18,-0.030927245,0.058383905
3,5.75,70.05,-20.515,-0.02788055,0.061490955
3,6.25,70.05,-20.38,-0.02043685,0.112107
3,6.75,69.45,-20.555,0.07737059,0.2186954
3,7.25,69.25,-19.635,2.145605,2.111041
3,7.75,69.15,-19.645,14.892895,14.198165
3,8.25,69.45,-18.955,46.770835,42.72997
3,8.75,69.1,-18.605,108.9157,96.41064
3,9.25,68.5,-17.845,181.39555,170.36115
3,9.75,68.5,-18.035,253.70875,260.4045
3,10.25,68.3,-17.535,333.21505,325.4348
3,10.75,68.15,-17.14,372.81375,393.1039
3,11.25,68,-16.915,433.6362,438.904
3,11.75,66.85,-16.495,498.51685,519.95795
3,12.25,65.6,-16.225,546.8203,552.1498
3,12.75,66.7,-16.31,585.9336,597.53305
3,13.25,67.5,-15.305,606.44225,600.2603
3,13.75,67.4,-15.46,602.38715,595.47955
3,14.25,68.25,-16.53,599.77005,602.309
3,14.75,67.65,-15.425,551.7935,560.07015
3,15.25,67.95,-15.11,516.1344,532.66465
3,15.75,64.4,-15.4,462.0393,483.5489
3,16.25,65.75,-16.085,393.2763,415.3602
3,16.75,68.55,-16.335,316.17405,344.79165
3,17.25,69.8,-16.37,245.8959,278.5094
3,17.75,66.65,-16.995,183.47525,204.743
3,18.25,70.25,-17.645,123.48685,135.0154
3,18.75,70.05,-18.17,73.572415,78.02708
3,19.25,70.95,-18.07,34.37753,36.246435
3,19.75,71.15,-17.585,10.0937725,10.085703
3,20.25,71.75,-18.235,1.12947685,1.1920175
3,20.75,71.6,-20.84,0.0119706035,0.1593594
3,21.25,71.15,-20.025,-0.024433475,0.064937025
3,21.75,71.65,-20.165,-0.028069605,0.053407615
3,22.25,71.15,-19.125,-0.02907508,0.05211676
3,22.75,71.35,-21.34,-0.03339315,0.048971075
3,23.25,72.2,-20.9,-0.03212232,0.050964795
3,23.75,70.9,-21.185,-0.030890625,0.047439495
4,0.25,75.8,-20.44,-0.024524725,0.03608157
4,0.75,74.45,-20.335,-0.026839895,0.033177885
4,1.25,74.7,-21.45,-0.024660835,0.03432103
4,1.75,75.2,-21.765,-0.025570775,0.044039445
4,2.25,74.1,-21.02,-0.023163385,0.035963535
4,2.75,73.5,-20.87,-0.02621527,0.041834415
4,3.25,73.7,-21.435,-0.022936745,0.051520515
4,3.75,73.55,-21.515,-0.006818795,0.105907435
