DOY2,HR2,G_1_1_1,G_1_2_1,H,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,TAU,RH,TA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT
1,0.25,-2.18575,-1.90225,-18.4617340275,5.46376441875,0.34683631225,1.43143921745,1.381360880825,0.500535324925,-1.875158325,0.4820882977,-0.0202,82.825,-1.50225,-0.2665,-0.6145,0.26975,-1.6085,-15.065,-1.132,0.47225,257.15,287.725,0,0.016
1,0.75,-2.11775,-1.89925,-23.2204746,5.57561772,0.336737793,1.4861968497,1.3050216006,0.4782469749,-1.5369631,0.4454664634,-0.0255,83.475,-1.57775,-0.263,-0.6415,0.2745,-1.614,-17.145,-1.3155,0.45975,254.525,288.1,0,0.01975
1,1.25,-2.1535,-1.9335,-28.28509153,6.478930684,0.370585431,1.3570500625,1.340899387,0.5119038171,-1.2588853,0.4587940093,-0.0259,82.175,-1.5995,-0.2525,-0.6345,0.25975,-1.6025,-16.03,-1.17725,0.45625,256,286.75,0,0.031
1,1.75,-2.155,-1.93875,-24.85680343,5.947768557,0.380569345,1.4064453036,1.4037876948,0.4730767897,-1.5686766,0.4582214879,-0.0285,80.33,-1.992,-0.2705,-0.6245,0.27975,-1.556,-15.13,-1.04575,0.465,256.15,286.975,0,0.004
1,2.25,-2.168,-1.94325,-20.4264400325,5.4629653485,0.35363015525,1.3790382266,1.430925090625,0.470940622875,-1.62561495,0.467504155625,-0.04575,80.775,-1.82,-0.26625,-0.63475,0.26975,-1.591,-14.1325,-1.0235,0.4665,256.3,285.8,0,0.016
1,2.75,-2.1715,-1.94775,-24.9641993775,5.99883000825,0.34440403525,1.4510057608,1.307719207775,0.513582153925,-1.494193275,0.50225088375,-0.037825,81.15,-1.6165,-0.2625,-0.64025,0.25725,-1.612,-13.805,-1.04775,0.487,259.2,286.075,0,0.031
1,3.25,-2.20125,-1.948,-27.11211715,5.58356793,0.324526967,1.4165536206,1.3133428566,0.4876871764,-0.9467236,0.5043082242,-0.0308,80.5675,-1.77975,-0.2455,-0.64775,0.26225,-1.641,-14.9075,-1.184,0.533,257.825,285.95,0,0.01975
1,3.75,-2.25075,-1.948,-28.37674598,5.788698742,0.351422088,1.601179218,1.4151838654,0.4843506158,-0.4901087,0.5481613157,-0.0359,80.275,-1.80325,-0.256,-0.63275,0.2475,-1.634,-12.1525,-0.9755,0.42325,262.025,285.625,0,0.031
1,4.25,-2.284,-1.94875,-24.16810432,5.200734812,0.3136132245,1.3361446773,1.2762735507,0.44549034965,-1.1347334,0.55283701015,-0.0316,80.65,-1.605,-0.27925,-0.656,0.2625,-1.638,-14.2075,-0.99,0.438,261.225,286.875,0,0.031
1,4.75,-2.32775,-1.949,-25.28408147,4.9097794295,0.3113685175,1.18832006985,1.23070267355,0.4090844909,-0.8518553,0.5138522597,-0.03435,79.7275,-1.778,-0.258,-0.62,0.26,-1.631,-13.8525,-1.04325,0.375,257.7,286.925,0,0.016
