DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,TS_2,WS,G_1,G_2,G_3,G_4,SG_1,SG_2,LW_IN,LW_OUT,VPD,CO2
1,0.25,1.04611,2.5354975,1.501955,0,-12.8236,-0.3871185,82.57535,0.138762,100.088,0.815558,-0.2917085,0.030943875,-0.309739,1.421525,-3.78817,-4.05026,-5.05039,-5.538055,-4.09505625,-5.2099375,257.8375,273.33,0.560535,468.753525
1,0.75,1.11196774775,1.9458909,1.397904704,0,-12.74585,-0.39721875,81.70645,0.14483325,100.1525,0.78825825,-0.39091875,0.031387075,-0.3371935,1.384225,-3.84014,-4.0748375,-5.3676625,-5.67835,-4.23396125,-5.4374975,258.92,274.7525,0.7563375,471.5088
1,1.25,1.16873,1.567414199,1.04026261475,0,-12.506,-0.383393,82.226825,0.1517385565,100.112,0.85225575,-0.610084,0.0331932,-0.327951,1.2631175,-4.18814,-4.189435,-5.4447475,-5.7425525,-4.3430975,-5.42020375,259.565,271.7875,0.694265,467.93
1,1.75,1.1088725,2.1487,1.333185,0,-12.347975,-0.379842,82.09,0.1445893045,100.0965,0.81318325,-0.673982,0.0315205,-0.31643,1.237225,-4.33843,-4.203745,-5.4703325,-5.72077,-4.3463125,-5.40886625,263.065,272.53,0.60158,466.090925
1,2.25,1.251092681,1.8310625,0.51306352825,0,-12.613475,-0.38614625,82.71345,0.13705725,100.1045,0.83738425,0.028124,0.0318022,-0.31257,1.099795,-4.38157,-4.245095,-5.4759875,-5.723505,-4.37469875,-5.33036125,264.085,272.955,0.5354725,472.40975
1,2.75,0.97110075,1.612425,1.459547759,0,-12.179325,-0.382975,82.664425,0.139920277,100.125,0.83497725,-0.701244,0.0308655,-0.3316515,1.2331,-4.3683375,-4.25365,-5.4524475,-5.758575,-4.417615,-5.33903125,260.28,271.0525,0.50799,466.06595
1,3.25,1.05542,1.7180975,1.41428,0,-12.188525,-0.3917895,82.21485,0.156865,100.129,0.81971575,-0.2357465,0.03093365,-0.33606675,1.320605,-4.3905625,-4.271875,-5.46432,-5.786215,-4.4360225,-5.34835125,261.37,271.845,0.476255,463.1795
1,3.75,1.210972877,1.47445,0.89367,0,-12.709275,-0.393176,82.4215,0.14814564475,100.15175,0.8007885,-0.36483775,0.026928175,-0.3391075,1.276635,-4.4163075,-4.3055775,-5.4293575,-5.797965,-4.43788875,-5.39840125,261.19,273.63,0.51517,462.44475
1,4.25,1.1216498735,2.13884,2.17432907925,0,-12.579275,-0.39405225,81.8456,0.14142,100.16,0.7880605,0.12148925,0.03234665,-0.340644,1.4338,-4.4226775,-4.2787725,-5.4114575,-5.8293775,-4.4529075,-5.379535,260.725,274.5,0.54768,463.611
1,4.75,0.9032148225,1.65958,0.8280608035,0,-13.03825,-0.39259775,81.8162,0.1358105,100.10425,0.8338765,0.4335815,0.03118495,-0.3308475,1.2746,-4.4274325,-4.275285,-5.4788875,-5.8584225,-4.47188625,-5.38648625,262.65,273.45,0.53,462.965
1,5.25,1.091985,1.678646369,0.30941883,0,-12.989425,-0.3879365,82.366075,0.1492356735,100.124,0.82217325,0.81014,0.0309032,-0.332241,1.33687,-4.430655,-4.34706,-5.3928475,-5.8620225,-4.46735125,-5.4130425,262.4875,273.505,0.5596,456.8
1,5.75,1.06517668225,1.8019275,1.3565,0,-13.07275,-0.3959525,81.80815,0.138424733,100.1235,0.80715725,1.04919,0.0283274,-0.34687775,1.2378,-4.4583675,-4.280285,-5.4229975,-5.905515,-4.4467675,-5.43860125,257.56,271.6525,0.65652,454.07165
1,6.25,1.12362286975,2.2665175,0.46132277,0,-12.69275,-0.3915275,81.687175,0.1415325,100.13225,0.8012985,0.8771215,0.0308802,-0.3449585,1.32095,-4.46051,-4.2808825,-5.398045,-5.9278,-4.41992,-5.5130725,257.84,272.875,0.5471675,454.4467
1,6.75,1.24398,1.784,1.05626,0,-12.953275,-0.392007,80.87955,0.150606,100.1315,0.728127,0.234626,0.028880175,-0.34869225,1.26954,-4.4691825,-4.285535,-5.4131325,-5.93031,-4.3905241645,-5.5159475,258.13,275.39,0.5037,454.9171
1,7.25,1.069778489,2.01790148175,1.435415152,0,-12.801725,-0.4002485,81.761,0.13710806175,100.127,0.762669,0.2406235,0.03174635,-0.34848575,1.4112,-4.4677125,-4.2981,-5.4097975,-5.92196,-4.41638875,-5.55506125,256.86,273.89,0.49214,454.771
1,7.75,1.15557891125,2.03948510825,1.1073167515,0,-13.149,-0.39396875,81.7177,0.14211,100.12,0.7251775,0.337031,0.027268875,-0.3553265,1.30279,-4.45928,-4.30779,-5.317615,-5.9030675,-4.539815,-5.5987,256.57,273.68,0.501265,458.636
1,8.25,0.833815981,1.93443673,1.19126,0,-12.991925,-0.3964875,81.85425,0.131433,100.1235,0.8039105,0.06790905,0.03809275,-0.34104,1.4134,-4.4370625,-4.3014375,-5.3069525,-5.86752,-4.535795,-5.60385125,259.34,271.58,0.54329,460.541425
1,8.75,1.03453075,1.75579,0.5390095,0,-13.2439,-0.40139875,82.014875,0.1492325,100.133,0.8759645,0.561118,0.09853055,-0.36682425,1.4298,-4.438855,-4.234485,-5.3361225,-5.88484,-4.53799625,-5.56268375,257.04,269.08,0.5264025,460.4786
1,9.25,1.24216362025,2.04344595425,0.567716058,0.3344375,-13.09935,-0.39883525,81.74715,0.1425545,100.144,1.400245,0.133776,1.090285,-0.36084075,1.4494,-4.4325,-4.24048,-5.41018,-5.8447975,-4.53442,-5.51023,257.545,271.1875,0.56816,464.369825
1,9.75,1.013637633,2.761525,1.58226410875,2.30654,-13.1815,-0.39743625,82.3219,0.134487,100.169,3.4603925,0.452428,5.8697575,-0.37530825,1.4016875,-4.4357575,-4.28235,-5.4086725,-5.80875,-4.53304125,-5.4886925,256.0825,270.8525,0.5468125,463.683
1,10.25,1.07598,2.4132662765,1.04178663775,8.5552,-12.54295,-0.39879725,81.609975,0.143891,100.1815,9.3331025,0.7343405,16.761375,-0.357037,1.623595,-4.4403925,-4.33829,-5.434775,-5.7658925,-4.50384875,-5.51814625,259.04,273.3825,0.578705,462.521
1,10.75,1.1136975,1.59701724525,1.6074686295,22.93365,-12.599,-0.39896225,81.6459,0.148018,100.219,20.7978,2.54898,34.060075,-0.375769,1.51435,-4.44999,-4.33384,-5.349645,-5.7766725,-4.52255375,-5.53832125,258.7,272.0475,0.57865,462.312
