DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT,TS_2,WS,G_1,G_2,G_3,G_4,SG_1,SG_2,CO2,VPD,TS_3
1,0.25,9e-04,-0.9036595,-17.60859903,0,-28.065,-2.44125,69.465,0.0561,98.625,0.136,-15.1275,0,0,-4.45175,0.3235075,-8.935,-5.6345,-5.77525,-10.1,-7.07375,-7.78575,413.5,0.17229,-5.02875
1,0.75,0,-0.7690475,-17.5253,0,-28.1325,-2.44025,69.9925,0.0521,98.6,0.13675,-14.95,0,0,-4.443,0.33835,-8.9675,-5.56,-5.813,-10.18,-7.110125,-7.804125,413.05,0.1747125,-4.98675
1,1.25,0.0028,-0.6542225,-14.400966035,0,-27.925,-2.4455,69.695,0.0542,98.6,0.13125,-14.07,0,0,-4.433,0.3300825,-9.005,-5.534,-5.821,-10.1775,-7.142,-7.829,413.9,0.165695,-4.9585
1,1.75,0,-0.4156318415,-17.8865,0,-27.915,-2.45375,69.3375,0.05445,98.6,0.12325,-13.3475,0,0,-4.42575,0.33774,-9.075,-5.53475,-5.8285,-10.28,-7.190125,-7.85525,412.85,0.1711675,-4.9275
1,2.25,0.01035,-0.50967775,-16.07430972,0,-28.02,-2.461,69.69,0.051275,98.6,0.10775,-13.51,0,0,-4.41225,0.33199575,-9.03,-5.59625,-5.79825,-10.2425,-7.250875,-7.924875,412.9,0.1684,-4.8995
1,2.75,0.006115,-0.64588475,-17.9161615975,0,-28.2,-2.46725,70.0725,0.0563,98.6,0.109,-13.67,0,0,-4.4165,0.328085,-9.1,-5.5925,-5.785,-10.385,-7.3125,-7.876875,412.5,0.1620075,-4.86575
1,3.25,0.001485,-0.454550376,-19.5308,0,-28.1675,-2.465,69.295,0.050465,98.6,0.11375,-13.8,0,0,-4.4155,0.31684375,-9.105,-5.595,-5.8225,-10.445,-7.2735,-7.917125,412.175,0.165005,-4.84075
1,3.75,0,-0.180341,-16.65895,0,-28.3025,-2.46,69.04,0.0517,98.5,0.113,-14.61,0,0,-4.417,0.3327025,-9.0425,-5.599,-5.84325,-10.3925,-7.12575,-7.892875,412,0.1689725,-4.8145
1,4.25,0,-0.149233031,-14.95825,0,-28.4375,-2.46875,69.0075,0.0582,98.5,0.12025,-12.44,0,0,-4.43225,0.33505625,-9.0625,-5.586,-5.8485,-10.3825,-7.06675,-7.978125,412.2,0.1665325,-4.78225
1,4.75,0,-0.530218,-17.8628,0,-28.4925,-2.4755,69.4225,0.0469,98.575,0.11175,-12.51,0,0,-4.43275,0.328952,-9.04,-5.56875,-5.8675,-10.4375,-7.0915,-7.991125,412.55,0.1665075,-4.7645
1,5.25,0,-0.31362814125,-17.457903915,0,-28.6475,-2.48825,69.735,0.047205,98.5,0.115,-12.2725,0,0,-4.417,0.325663,-9.0125,-5.57125,-5.8255,-10.4825,-7.134875,-8.04625,412.4,0.1797025,-4.75625
1,5.75,0,-0.261275,-13.58984341,0,-28.60825,-2.4945,69.6075,0.048475,98.5,0.1155,-13.4175,0,0,-4.43075,0.30942,-9.015,-5.591,-5.8385,-10.505,-7.193625,-8.088375,411.6,0.16784,-4.74975
1,6.25,0,-0.34341081725,-18.743,0,-28.6025,-2.499,69.4495,0.0571,98.5,0.097,-13.915,0,0,-4.44425,0.322645,-9.155,-5.61925,-5.878,-10.6,-7.284,-8.112875,410.9,0.1770325,-4.7535
1,6.75,0,-0.43049,-15.62375,0,-28.35,-2.50675,68.99,0.0512875,98.5,0.11575,-12.89,0,0,-4.44625,0.317195,-9.24,-5.618,-5.9825,-10.6425,-7.275625,-8.181625,409.7,0.1811275,-4.7665
1,7.25,0.0467,-0.359398517,-19.8003,0,-28.3575,-2.4975,69.41,0.048,98.5,0.1255,-14.48,0,0,-4.454,0.322755,-9.245,-5.63625,-5.9415,-10.56,-7.33825,-8.1735,410.2,0.1724125,-4.7645
1,7.75,0,-0.4582215,-14.14175,0,-28.65075,-2.485,69.5675,0.0481,98.45,0.131,-13.755,0,0,-4.4515,0.328345,-9.1575,-5.65725,-5.939,-10.5275,-7.406375,-8.131375,411.325,0.1824325,-4.76375
1,8.25,0,-0.426605,-15.380484825,0,-28.555,-2.484,69.1275,0.0557,98.4,0.1265,-13.58,0,0,-4.44275,0.321445,-9.085,-5.638,-5.96225,-10.445,-7.433125,-8.060875,411,0.1796875,-4.76625
1,8.75,0.00557,-0.386151373,-18.106775,0,-28.8075,-2.492,68.975,0.050335,98.4,0.13375,-13.87,0,0,-4.4295,0.319,-9.055,-5.70225,-5.9295,-10.44,-7.458,-8.101125,409.5,0.17242,-4.771
