DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,TS_2,WS,G_1,G_2,G_3,G_4,SG_1,SG_2,CO2
1,0.25,0,-5.22893,-36.9847625,-2.395053333,-41.027,-1.6255,59.519,0.0265975,96.175,-1.07685,-30.85135,-0.9489874955,-1.8693833335,0.0332125,-16.22665,-19.708333335,-19.7967,-18.0233,-17.311675,-19.30835,398.715
1,0.75,0,-8.607833,-37.799145,-2.3863833335,-41.123166665,-1.6537166665,61.6873,0.02838,96.175,-1.1853831665,-30.41515,-0.866291752,-1.86705,0.02226,-15.06935,-19.0043,-19.64755,-18.0597,-16.890176725,-18.648085345,417.41
1,1.25,0,-5.30008317025,-39.5424587495,-2.351433333,-40.5695,-1.6305666665,62.53385,0.026185,96.175,-1.475616667,-32.47815,-0.928410573,-1.88275,0.02657,-15.15215,-19.207666665,-19.69915,-18.083,-16.96591667,-18.899408335,415.896
1,1.75,0,-6.732321072,-40.18712,-2.007545,-40.409675,-1.63195,61.8004825,0.02179,96.143155,-1.293308333175,-29.3859675,-0.924086224825,-1.892731666825,0.034775,-15.219285,-19.37413416825,-19.723275,-18.1509925,-16.95523375175,-19.14265416825,404.909
1,2.25,0,-8.206731662625,-36.75805722175,-1.920662,-39.8695,-1.6331,62.548935,0.02422,96.135,-2.7075735,-30.557035,-0.98219664015,-1.88997,0.03054,-15.2773,-19.44078333,-19.759735,-18.238915,-16.9910916685,-19.2095425,417.75
1,2.75,0,-7.74609699999999,-42.9060503575,-2.671242,-40.03105,-1.609935833475,63.200325,0.028525,96.1325,-1.549190833525,-27.2546225,-0.9246173175,-1.857136666475,0.0265,-15.3373775,-19.56255833475,-19.80107,-18.3512525,-17.10505583525,-19.240275,419.736975
1,3.25,0,-7.3493475179,-43.966697238,-2.2395646668,-39.855,-1.59068,62.39018,0.0208225,96.13,-1.0239888,-32.50014,-0.8256091398,-1.82568,0.0300375,-15.40202,-19.619000002,-19.868153332,-18.45546,-17.131540002,-19.2642,417.96525
1,3.75,0,-5.61523775,-29.5911024115,-2.0998280002,-40.0772,-1.6154933332,60.90594,0.0277025,96.13,-1.580370833125,-29.33634,-0.9248965868,-1.8482,0.0235425,-15.48228,-19.683680002,-19.981113332,-18.56186,-17.216586668,-19.31354,415.2705
1,4.25,0,-4.0899635,-29.468755,-2.0478933332,-40.127,-1.6628,60.5469,0.03106,96.13,-1.351114,-27.896866668,-0.93475606,-1.8567799998,0.018180305,-15.5713,-19.75132,-19.912846668,-18.6362,-17.235266666,-19.31585,415.131
1,4.75,0,-4.523937644,-40.0139525,-2.1573066666,-39.8078,-1.7236,61.08814,0.02258252,96.13,-2.3796466666,-30.29226,-0.911169,-1.8830999998,0.02558,-15.66198,-19.78692,-20.05898,-18.7774,-17.2327,-19.46599,414.72075
1,5.25,0,-5.877875021675,-32.25186,-2.7273175,-40.17875,-1.6495,57.7385625,0.0317825,96.124175,-0.828958333125,-31.060675,-0.926640725125,-1.883937500125,0.0294975,-15.749425,-19.9030125,-20.17755,-18.888575,-17.22960417125,-19.5624875,416.94
1,5.75,0,-4.76412403245,-33.461175551,-2.7452955,-39.94,-1.64475,59.712175,0.0337025,96.14607416425,-0.5180875,-24.81556249875,-0.959995791875,-1.84120416675,0.0380175,-15.81305,-19.94755416875,-20.1598125,-18.9320625,-17.20091667125,-19.4544520875,419.1285
1,6.25,0,-10.33098975,-32.91264,-2.3412925,-39.9315,-1.628199999875,57.525575,0.02361,96.13025,-1.28512,-22.4002,-0.954814375,-1.844587499875,0.0222,-15.8770625,-19.9861125,-20.175825,-18.9765,-17.2074458375,-19.39031875,415.3645
1,6.75,0,-9.99068,-37.02644,-2.10310666655,-40.18325,-1.5860625,58.475075,0.0369225,96.11625,-1.55613625,-27.4103,-0.80908025,-1.814412500125,0.016358175,-15.879375,-20.0338875,-20.17645,-18.965875,-17.2300625,-19.29369375,415.945
1,7.25,0,-21.9384,-39.214125,-2.2479090001,-40.409000001,-1.5493333331,59.296590001,0.028385,96.1,-1.534589,-24.4497,-0.81202,-1.829366667,0.03137,-15.91021,-19.929610001,-20.25989,-18.96782,-17.297416669,-19.228255001,415.548
1,7.75,0,-3.510676029425,-33.270945,-2.00617575,-40.414299999,-1.5168633331,59.61019,0.0247875,96.085,-0.992252325,-26.888999999,-0.9752588099,-1.8237799999,0.020935,-15.9363,-19.949890001,-20.29802,-19.0205,-17.381433338,-19.112205,415.57325
1,8.25,0,-2.65887,-30.1700645165,-2.2049700001,-40.091533331,-1.5354300001,59.50351,0.0204125,96.087475,-0.8149800001,-27.88881,-0.9297479,-1.806243333,0.0381,-15.91619,-19.941189999,-20.28339,-19.0153,-17.394166669,-19.20845,414.8595
1,8.75,0,-4.6371755,-45.287734454,-2.40597075,-40.0441,-1.562981666575,60.6282575,0.02391,96.1,-0.563171425,-28.17295,-0.8914742,-1.821393333425,0.037455,-16.059325,-19.95730916575,-20.4339075,-19.15555,-17.50617958575,-19.04483333425,414.77125
1,9.25,0,-6.295314,-62.929975,-1.9850916665,-39.957,-1.59595,61.4030000025,0.031785,96.1,-0.70405,-29.453575,-0.84297475,-1.846875,0.0375075,-16.02795,-20.026775,-20.44805,-19.163025,-17.5235875,-19.0090375,416.178
1,9.75,0,-3.33995383775,-29.55966,-1.58694249975,-38.6275833325,-1.58845,60.7111750025,0.033555,96.1,-0.037700025,-29.212975,-0.78135748325,-1.83077499975,0.023445,-16.122325,-19.969225,-20.537775,-19.259925,-17.5823749975,-19.1485875,414.565
1,10.25,0,-4.85499375,-28.145503302,-1.073645833075,-38.64965,-1.581465,61.73372583075,0.0198325,96.10875,0.151733074925,-30.826035,0.39824805,-1.854214166925,0.03219,-16.15224,-19.8158675,-20.547385,-19.2567175,-17.63568,-19.11593,414.7775
1,10.75,0,-3.695626,-29.5435375,0.023249925,-39.15065,-1.58186,60.291035,0.02403,96.1175,2.00500575,-34.16726,2.034704015075,-1.86585,0.028715,-16.127925,-19.66360750075,-20.49755,-19.2256,-17.63113375,-19.189805,415.191
1,11.25,0,-5.90090375,-48.58433,1.96356,-38.80946666925,-1.6336,58.8169575,0.03014,96.13245,4.6666275,-41.332725,4.683804950075,-1.88902583315,0.02214,-16.0396575,-19.500975,-20.38105,-19.128175,-17.62171666925,-19.1918075,414.942
1,11.75,0,-9.44744575,-26.23948,3.5423525,-38.15753333075,-1.693736666925,57.6409175,0.0211,96.1474225,6.5596665,-53.6568825,7.348226049925,-1.96759166685,0.02312,-15.98515,-19.4730575,-20.3037675,-19.07341,-17.64673291925,-19.06948,414.71
1,12.25,-0.00173499999999999,-2.62197375,-22.0593875,4.562695916925,-36.4915,-1.6995,56.3685325,0.029375,96.1508,8.37950325,-48.467415,9.52926472575,-1.992055,0.0416925,-16.1211575,-19.55684083075,-20.4386,-19.2207825,-17.73345791925,-19.0943325,413.88825
1,12.75,0,-5.357823,-26.1154,4.937661666925,-35.3571,-1.679065833075,55.2144925,0.02338,96.180895,9.4700325,-58.30410833075,12.05836724925,-1.900282499925,0.0512475,-16.27829,-19.6445825,-20.5211075,-19.3287175,-17.87202916925,-19.04850375,417.25725
1,13.25,0,-2.8620935,-30.11345,5.121125,-35.21578333525,-1.7827,55.7404525,0.022988675,96.1903975,10.4974,-62.37879166475,11.86759525,-1.980545833525,0.041535,-16.28465,-19.61801083525,-20.222505,-19.22235,-17.98031375,-18.9841275,415.83225
1,13.75,0,-4.0068539905,-28.4891,4.769,-35.43966667,-1.8135,55.3865,0.02463,96.1933,9.0279,-52.39285,10.1280953335,-1.9277166665,0.05114,-16.2477,-19.58085,-19.92715,-19.066,-17.933175,-18.97365,418.5125
1,14.25,0,-11.656234,-25.3926633605,3.53070000015,-36.2053166685,-1.73949666685,55.7132,0.0277475,96.16165,7.5357585,-54.2538500015,7.19137275,-1.87959333315,0.0340775,-16.287415,-19.6316150015,-19.493785,-18.904315,-17.8933425,-18.864925,421.76835
1,14.75,0,-11.9304235,-46.174795,1.766148,-37.338333332,-1.6461200002,56.19988,0.025385,96.1,4.522586,-44.410886668,5.2720536002,-1.8494999998,0.057905,-16.28132,-19.613153332,-19.223046668,-18.7844,-17.79449,-18.81833,423.167825
1,15.25,0,-5.503363,-36.713349118,0.0106875,-37.675375,-1.567175000125,57.2868875,0.02124671,96.1,2.3143375,-44.1237375,2.00591875,-1.802541666875,0.05313044,-16.25895,-19.60606250125,-18.9388875,-18.67195,-17.6726875,-18.77994375,421.341
