DOY2,HR2,FC_1_1_1,H_1_1_1,LE_1_1_1,USTAR_1_1_1,CO2_1_1_1,WS_1_1_1,TA_1_1_1,TA_1_2_1,RH_1_1_1,VPD_1_1_1,WS_1_2_1,PPFD_IN_1_1_2,PPFD_OUT_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,PPFD_IN_1_1_1,PPFD_DIF_1_1_1,NETRAD_1_1_1,PPFD_BC_IN_1_1_1,TS_1_1_1,TS_1_2_1,PA_1_1_1
1,0.25,1.166106557,-9.682123021,3.5736354825,0.76037853575,414.08,2.590171544,-2.0397,-2.2428,86.5217694125,1.424156037,2.7113,2.1772,1.1179,0.3396125,2.9395,1.35745,0.34929,-4.6477675,1.8531875,1.491525,1.873075,96.5
1,0.75,0.74126454025,-6.13718175,2.786041614,0.684245,414.0403,2.3587009925,-2.094375,-2.426,86.32529175,1.419664585,2.3725,2.2114,1.1217,0.3143025,2.968,1.358075,0.3503125,-4.2728125,1.85395,1.486575,1.871075,96.5
1,1.25,0.79410888,-9.367353088,1.67777,0.674855705,413.938,2.370388257,-1.9883,-2.27035,86.24373358,1.417795677,2.4296,2.22995,1.1167,0.3627725,2.9674,1.36255,0.3499775,-3.9037175,1.8207125,1.48575,1.865425,96.5
1,1.75,0.938124,-9.132531367,3.85618,0.642679625,414.078440475,2.297473869,-2.0624,-2.28945,86.871117155,1.3964873655,2.3692,2.22315,1.1134,0.3818525,2.9903,1.3678,0.34837,-4.114625,1.849,1.48375,1.866675,96.6
1,2.25,0.7831931335,-9.3269,2.97763463925,0.6254001,414.112,2.194837956,-2.2672,-2.53945,86.6258466,1.38057982475,2.2738,2.17845,1.088625,0.337495,2.9608,1.367625,0.34925,-4.4201,1.848625,1.48745,1.86515,96.6
1,2.75,0.7099563445,-9.57832518,1.403704386,0.682347996,413.9922103,2.30201015575,-2.415075,-2.7321,86.8742037725,1.34918696,2.3925,2.15525,1.120025,0.415485,2.9506,1.363875,0.34834,-3.58886,1.84255,1.4963,1.8567,96.6
1,3.25,0.906809318,-7.145468912,3.12591,0.6483318,413.84588565,2.2267405995,-2.5614,-2.79875,87.4441467375,1.3454161145,2.4429,2.20745,1.110625,0.2952325,2.9425,1.366775,0.348365,-3.173935,1.8861125,1.4954,1.85475,96.6
1,3.75,0.7590394965,-9.983496257,2.90370724225,0.7173855,414.0945,2.260858183,-2.61355,-2.8392,87.95138169,1.323030429,2.3379,2.2755,1.112425,0.320535,2.9383,1.367725,0.347445,-3.46935,1.857725,1.4926,1.855175,96.6
1,4.25,0.76941943775,-6.1324664205,1.87148880475,0.661187191,414.1409487,2.081836214,-2.6131,-2.96605,88.4,1.248753818,2.4325,2.286,1.1228,0.2615875,2.9435,1.361525,0.3465425,-3.6344,1.8618875,1.486675,1.8515,96.5
1,4.75,0.688038314,-6.026686335,1.22799402125,0.64491835,414.2189333,2.218928,-2.68525,-2.98745,88.13233958,1.243764837,2.3442,2.1955,1.1313,0.24696,2.9383,1.362675,0.349035,-4.0928575,1.8515625,1.48025,1.8476,96.5
1,5.25,0.90199534275,-8.840716881,2.69200348525,0.6946586315,414.2250758,2.374445,-2.72265,-3.09125,88.135125195,1.243867681,2.3879,2.228,1.12535,0.1815525,2.9381,1.365675,0.346635,-2.89044,1.8592625,1.4757,1.850625,96.525
1,5.75,0.78465560875,-9.39349805925,2.233631396,0.6237150915,414.23911395,2.14285292975,-2.900225,-3.1739,88.659005925,1.215790756,2.2392,2.2673,1.126025,0.3543425,2.9383,1.364375,0.34749,-2.691825,1.842725,1.473775,1.853,96.55
1,6.25,0.783959652,-4.6577275,1.574455,0.610984983,414.129,2.1675595995,-3.0472,-3.41045,88.553821675,1.2226131885,2.2825,2.5949,1.675925,1.53075,5.6501,1.36715,0.3474575,-3.130595,1.847825,1.476575,1.8466,96.575
1,6.75,0.615047684,-4.920579491,1.43938227475,0.562997825,414.42602925,2.085706495,-3.142525,-3.38805,88.761322765,1.2286331375,2.2888,2.93575,1.654775,1.75905,5.8616,1.3736,0.3501725,-2.8974325,2.052725,1.4755,1.844275,96.55
1,7.25,0.772044078,-3.87664452375,1.5050861,0.59984175,414.2720734,2.01687025,-3.0973,-3.3778,88.9376374,1.2360863555,2.3733,14.3275,3.470725,5.8864,5.8859,8.9108,5.628625,-1.119875,4.5799625,1.4757,1.841225,96.6
1,7.75,0.8008679045,-2.718878661,2.494575075,0.5495969,414.125103975,2.098208542,-3.0154,-3.293,88.715562465,1.2651006905,2.3425,54.494,10.747,24.313,9.3826,48.05475,43.03375,2.825025,15.53925,1.482075,1.83485,96.6
1,8.25,0.8353734915,6.088420953,2.48175687075,0.582505129,414.2750424,2.180864938,-2.7503,-3.2017,88.381654865,1.348533702,2.5579,168.15,22.057,97.536,21.908,165.585,97.8745,33.056,31.45575,1.462575,1.823875,96.6
1,8.75,0.984141443,37.422377515,4.1153287355,0.681811012,414.27043565,2.2592,-2.48055,-2.7674,86.89096157,1.453006332,2.4637,323.985,34.9885,193.625,35.158,325.555,146.71,95.52025,46.7165,1.45735,1.81575,96.6
1,9.25,0.925285224,76.31136276,4.10057068375,0.69192753325,414.21359465,2.318891,-1.92985,-2.45635,84.7737686,1.6429930815,2.7358,450.4,47.83975,265.3525,42.794,469.095,197.91,144.85855,67.060875,1.44745,1.7942,96.5
1,9.75,1.18149,87.43356177,6.897560566,0.7319284,414.12085,2.4057035,-1.3388,-1.77855,82.62713154,1.7859832635,2.9633,566.955,60.87975,331.515,51.681,594.13,239.6825,192.35325,88.418,1.444675,1.778,96.5
1,10.25,1.29584082675,105.85757065,8.057789739,0.7330457215,414.2232928,2.477343839,-0.92083,-1.4129,79.981254645,1.9114472405,2.8542,659.485,72.129,379.8675,56.621,704.87,265.8275,226.81675,103.03125,1.437075,1.757325,96.5
1,10.75,1.200581408,130.4928379,9.284033353,0.792388576,414.1703231,2.638305804,-0.5922275,-1.00905,76.6275,2.0773107305,3.1142,736.375,81.82125,424.565,62.845,791.4175,300.195,257.977,131.016125,1.442975,1.749875,96.475
1,11.25,1.151822824,149.98,8.915446396,0.832035175,413.5329,2.81805509375,-0.112275,-0.64905,75.08477579,2.277815359,3.1679,791.18,91.167,453.08,67.436,845.575,321.73,276.3595,170.285,1.447,1.7583,96.4
1,11.75,1.30217660775,166.5150868,10.16077280475,0.8726981,413.447,2.7708954235,0.01903,-0.288405,74.35839879,2.38295403075,3.1854,814.135,93.208,463.855,70.12,863.1625,329.79,280.35125,168.26125,1.4558,1.7623,96.4
1,12.25,1.11452,173.00667565,11.333114255,0.841681675,413.1324327,2.6809048875,0.2185975,-0.101085,72.71967238,2.508188586,3.1404,810.835,96.12125,456.5225,70.465,841.58,327.59,279.146,177.09,1.450325,1.744975,96.3
1,12.75,1.1730432555,158.233727275,10.47273124,0.830934651,412.80699175,2.856257,0.1397075,-0.05213,71.360376135,2.5845259535,3.2112,771.965,89.00825,439.195,67.384,790.03,306.96,263.1725,174.865,1.450575,1.757275,96.3
1,13.25,1.135808841,148.198665625,11.207298335,0.83863278825,412.926053275,2.80853375,0.4927,0.114135,70.25603712,2.710273694,3.1183,703.86,82.57225,403.9475,62.841,691.34,287.79,235.1115,147.71,1.457325,1.783425,96.225
1,13.75,0.995619508,132.4015,10.2551099225,0.859652,412.80754095,3.029226876,0.59363,0.251595,68.83313471,2.72035630075,3.3066,629.325,70.5235,359.05,57.489,588.28,254.745,203.1085,113.8,1.463325,1.79805,96.2
1,14.25,1.00637347025,103.132136775,9.3917860065,0.8446624015,412.8309668,3.0411706415,0.64416,0.426295,69.5626467925,2.72789282425,3.26,518.41,56.79325,300.6075,49.552,485.2175,215.9775,156.7975,78.956875,1.46655,1.79925,96.2
1,14.75,0.878188615,80.60389048,7.3579975415,0.785247,412.96355555,2.83226171075,0.67029,0.48967,69.43,2.69480234,3.101375,404.455,44.1595,233.585,42.501,369.185,171.24,105.829,61.467375,1.464525,1.7982,96.25
1,15.25,0.74489288725,44.54583619,7.087783222,0.77583345,413.14396615,2.942563,0.393315,0.2669225,70.4176869,2.642413815,3.0364,279.015,31.35625,157.385,33.897,230.5475,122.935,51.0965,42.298625,1.4853,1.826075,96.3
1,15.75,0.788756421,9.37909390475,4.946148546,0.77979765125,413.18425595,2.7920765,0.07779,-0.0503925,72.3423977,2.468638637,2.9719,118.43,17.74725,60.154,15.397,99.2985,77.55025,7.6206075,25.642125,1.50765,1.846725,96.3
1,16.25,0.816378041,-4.58093808525,3.87335007875,0.722978425,413.4720809,2.78151725,-0.1574675,-0.34949,73.49569905,2.287157878,2.9452,42.097,8.36365,18.0595,7.7433,32.96725,29.1265,-3.67955,10.262125,1.51085,1.857975,96.325
1,16.75,0.697233122,-7.815061552,2.0864664235,0.694277,413.4525,2.676323,-0.21386,-0.4612925,75.23,2.150395684,2.78745,11.0885,2.456625,3.61245,5.8686,3.79835,1.553375,-9.3748575,2.9833875,1.508975,1.8533,96.4
1,17.25,0.6440265,-7.70470648625,2.927979959,0.6724272645,413.48964235,2.497605953,-0.50823,-0.821415,76.30109438,2.028296732,2.9372,2.87375,1.137175,0.9359075,5.8616,1.343675,0.368345,-10.8180925,1.79525,1.501275,1.84585,96.4
1,17.75,0.85191014,-8.98820405375,3.590066511,0.723420561,413.8457952,2.5359832135,-0.66838,-0.9066375,77.122662165,1.959038954,2.813575,2.703725,1.134175,0.8852925,5.8666,1.345025,0.361905,-10.4472,1.7568625,1.488425,1.852675,96.4
1,18.25,0.768073955,-7.1838530125,1.40527171025,0.6395106665,414.031036025,2.40671681075,-0.82365,-1.1599,77.594775095,1.85122649,2.7222,2.68,1.1342,1.020325,5.8441,1.3514,0.3630175,-10.6404725,1.7535375,1.48105,1.86085,96.4
1,18.75,0.61588879,-7.8481622895,2.349838977,0.634829375,413.915975,2.301824,-1.160925,-1.36155,78.722825515,1.8492578315,2.590125,2.7185,1.134125,0.892035,5.7372,1.353475,0.359415,-10.517875,1.7622,1.4715,1.8483,96.5
1,19.25,0.7213548015,-5.67166,1.81573744575,0.6943382235,413.526616375,2.425788,-1.1495,-1.42415,79.764369435,1.7602613795,2.653025,2.7075,1.1336,1.094625,5.7238,1.358825,0.35955,-9.0926225,1.7661,1.46635,1.8427,96.5
1,19.75,0.9359322765,-6.5420755115,2.0121042295,0.7191589,413.758156,2.473145,-1.3631,-1.630825,80.399977235,1.7157883605,2.5678,2.7524,1.133275,1.1019,5.7228,1.354875,0.359145,-7.5927075,1.78725,1.4645,1.8375,96.5
1,20.25,0.719651,-6.678549647,1.7261074715,0.7031631055,413.51608715,2.452722347,-1.44285,-1.71285,81.753853215,1.7231602345,2.617325,2.625725,1.1326,0.39015,3.3186,1.354325,0.3549725,-6.83659,1.7896,1.462175,1.836275,96.5
1,20.75,0.8709004975,-8.189550478,1.71733,0.705181725,413.5971707,2.518861703,-1.4263,-1.69895,82.88451671,1.645488503,2.60785,2.29085,1.1172,0.196195,3.0325,1.35735,0.35204,-6.925085,1.811875,1.4616,1.833475,96.5
1,21.25,0.793554736,-7.686285902,1.618051633,0.702126009,413.682794575,2.56861,-1.64785,-1.8473,83.39682475,1.6183948305,2.5672,2.2422,1.112675,0.120325,3.0322,1.35975,0.3538425,-7.2034,1.8040375,1.460275,1.833825,96.5
1,21.75,0.8869703355,-5.311336311,2.3474441305,0.691496509,413.86400385,2.5727576845,-1.573425,-1.9326,83.64174272,1.597601404,2.674675,2.253175,1.100675,0.2593425,3.0154,1.359125,0.3501625,-7.1092425,1.7961625,1.4624,1.8326,96.6
1,22.25,0.98431489275,-7.83011,3.670084104,0.7412144,414.0559686,2.565964724,-1.8081,-2.257175,84.060014735,1.515604911,2.6072,2.23255,1.10485,0.213005,2.9491,1.359025,0.349915,-6.66327,1.8207875,1.461675,1.830125,96.6
1,22.75,0.83907307825,-8.027276394,2.542994418,0.723424,413.936052025,2.4992,-1.9929,-2.274475,84.05375723,1.5155749715,2.6954,2.20785,1.108025,0.2741875,2.9756,1.3565,0.349075,-7.1716675,1.83995,1.4629,1.827725,96.6
1,23.25,0.845043653,-7.09032909875,2.0201481685,0.716346,414.035,2.54653095275,-2.09935,-2.387425,84.335786635,1.502272732,2.728625,2.2471,1.114525,0.3058275,2.9435,1.355475,0.347475,-6.700825,1.8334125,1.46195,1.82915,96.5
1,23.75,0.790087926,-8.53614,2.2711926755,0.6900832,413.76025,2.575829124,-2.18985,-2.483075,85.124729245,1.47022824525,2.6597,2.23835,1.10875,0.179385,2.9531,1.359625,0.3499775,-5.875125,1.843975,1.46305,1.825325,96.5
2,0.25,0.695775631,-6.71104182575,3.76304,0.6960953,411.20618275,2.48011325,-1.66565,-1.97335,82.52246638,1.71503249225,2.779675,2.3759,1.1313,0.51031,3.59215,1.34555,0.364925,-7.9714,1.7500625,1.1304,1.4167,96.7
2,0.75,0.774611536,-6.012985813,2.693843743,0.67152523975,411.01354995,2.355829568,-1.6664,-1.997775,82.59260292,1.6887230285,2.646675,2.3707,1.13265,0.463995,3.68635,1.34955,0.363295,-7.297975,1.775825,1.1247,1.4139,96.7
2,1.25,0.74495207125,-8.8141110925,1.871113714,0.6605321,410.9716682,2.4814713195,-1.71455,-2.077525,83.915607445,1.583133584,2.94875,2.36895,1.13295,0.34792,3.7145,1.35065,0.3611825,-6.4363875,1.7569625,1.1202,1.4155,96.7
2,1.75,0.60880708725,-9.12375271025,2.5282500955,0.659967262,411.19472745,2.344529,-1.945,-2.344225,84.48343433,1.5764620795,2.689825,2.39005,1.13295,0.31011,3.5411,1.352825,0.3586625,-6.206685,1.752775,1.12085,1.4132,96.75
2,2.25,0.6221545515,-7.114810828,2.23993554775,0.644553,411.591998975,2.21317369,-1.902525,-2.33535,84.3,1.550371486,2.53305,2.382375,1.13295,0.316355,3.4368,1.3586,0.3594875,-6.3273525,1.76385,1.12135,1.4135,96.7
2,2.75,0.6452714375,-10.27292151,2.984938422,0.68435765,411.93919355,2.328712698,-2.033,-2.38705,84.5470956725,1.53318273225,2.69625,2.3875,1.13295,0.30173,3.4,1.356075,0.3572275,-6.523255,1.7607,1.11865,1.4128,96.7
2,3.25,0.742314995,-5.797902459,3.119487947,0.6605738,411.907859175,2.465761692,-2.03425,-2.434375,85.251847275,1.4779035485,2.70145,2.408,1.1331,0.3902625,3.3417,1.356825,0.35699,-5.75664,1.7744375,1.1213,1.40795,96.6
2,3.75,0.71452475,-9.17119218325,2.255093762,0.6867251155,411.5340954,2.38208626525,-2.128625,-2.49785,85.1052257525,1.5017101525,2.585025,2.33595,1.1327,0.3458275,3.3761,1.358025,0.3520175,-6.688705,1.797175,1.12045,1.40315,96.6
2,4.25,0.691362927,-6.22040676075,2.19114762,0.701608,411.22305,2.6348013185,-2.0888,-2.5256,85.62322856,1.53997303,2.841525,2.407325,1.13625,0.516805,3.5369,1.3569,0.3511675,-5.369975,1.8145375,1.11715,1.40595,96.625
2,4.75,0.823592246,-9.50680158525,2.61004703775,0.6956783,412.118,2.5448875,-2.0516,-2.461875,85.7900485,1.45952582875,2.804975,2.394025,1.1441,0.5566925,3.2735,1.361275,0.3520475,-4.955735,1.8237875,1.1137,1.40065,96.7
2,5.25,0.623438979,-4.527930374,1.969541406,0.747164925,411.6641,2.492606119,-2.21475,-2.513425,86.1026657125,1.443742552,2.844075,2.392175,1.15335,0.5949575,3.41585,1.364575,0.35202,-4.0026,1.8125875,1.11695,1.39785,96.7
2,5.75,0.679935446,-6.1689925435,2.68591105825,0.74140439425,411.7595812,2.56526466625,-2.32565,-2.6607,87.04245702,1.429958924,2.868325,2.4253,1.1526,0.5590025,3.3645,1.366275,0.3502025,-4.2785,1.824575,1.11745,1.3963,96.7
2,6.25,0.716959,-5.508051416,2.879159723,0.70837423975,411.3475,2.6763535,-2.2711,-2.6003,86.3192165375,1.425598194,2.994175,3.829325,1.7012,2.039475,5.8543,1.4115,0.368825,-4.926305,2.2380375,1.11915,1.38545,96.7
