DOY2,HR2,CO2,H2O,CH4,FC,FCH4,G,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,397.1508424,5.237902,1928.0177676,-1.1474748,-63.97474775,-35.12064035,-73.1533881,-8.740097975,0.32899345,0.02968335,-0.7140411,0.15787525,0.024208775,100.531,56.424,1.0002,0.0353194,8.1046854,0.0978006,3.7256,4.3201,5.5635,7.2692,8.582,4.4121,4.4849,5.727,7.2548,8.501,2.6149,3.4814,5.1145,7.1296,8.479,-85.7528962,-0.235018,-0.235849,-4.4,-0.4485887,243.5600835,309.8540555
1,0.75,405.05233345,5.14427745,1976.0208758,-1.449958,-52.554032025,-36.1712763,-89.1929749,-6.5205592,0.2995863,0.034486775,-0.4342546,0.12918585,0.021988725,100.503,57.474,0.4991,0.0336791,7.27074755,0.0902685,3.5964,4.1878,5.4585,7.2657,8.6,4.2434,4.365,5.5667,7.2375,8.511,2.5562,3.3868,4.9944,7.083,8.49,-86.5513358,-0.3437129,-0.344929625,-4.6685712,-0.6451613,241.1715183,310.5045571
1,1.25,388.884616725,5.051002675,1974.368913775,-2.916931,-58.511594025,-36.26493335,-73.4809518,-4.429306575,0.225264675,0.026353975,-0.59131275,0.15204165,0.02623915,100.551,57.779,0.4437,0.0316879,6.407546975,0.0907503,3.5343,4.1073,5.3502,7.2731,8.613,4.2266,4.2734,5.4103,7.1871,8.52,2.5055,3.3085,4.8912,7.0789,8.491,-86.9667459,-0.235018,-0.2270047,-4.228571,-0.655242,239.6206155,308.5660272
1,1.75,408.187715475,4.9153172,1975.226029925,-0.934682,-47.824257175,-36.796009925,-71.6833573,-4.4013997,0.3301982,0.02568305,-0.6562185,0.1368958,0.02455605,100.562,58.018,-0.0312999999999999,0.0345073,6.41044835,0.077728425,3.4464,4.0335,5.2504,7.2703,8.614,4.2096,4.1806,5.2874,7.1725,8.512,2.5524,3.2432,4.8123,7.0615,8.484,-86.7704894,-0.3437129,-0.235849,-4.3371427,-0.5443544,239.8370295,306.7887149
1,2.25,403.80764,4.279761,1953.672539825,-1.4706926,-64.778069125,-36.2727061,-77.632480375,-4.8555403,0.262788225,0.02838635,-0.5745838,0.15059865,0.023276225,100.5625,59.09,-0.09975,0.029727625,6.5541379,0.07880215,3.306875,3.924625,5.14475,7.283125,8.62375,4.118875,4.075875,5.14275,7.151375,8.515,2.493625,3.156875,4.73475,7.063625,8.48,-86.438882875,-0.235018,-0.235849,-4.3214285,-0.302419,239.536705375,306.091505375
1,2.75,403.136379275,4.577455525,1951.91380185,-1.4799125,-64.718661125,-34.6192111,-78.5714286,-7.885006975,0.270469775,0.030800325,-0.54330725,0.1559057,0.024249825,100.56,56.81375,-0.47525,0.0228635,6.101214,0.072764575,3.236625,3.79825,5.036,7.258875,8.6325,3.936625,3.9425,5.001375,7.089375,8.515,2.294125,3.07575,4.622375,7.02525,8.4825,-86.784142375,-0.2232671,-0.235849,-4.342857,-0.453629,239.178082125,307.019200875
1,3.25,362.5625825,4.56413155,1929.5624889,-1.956834225,-51.1292431,-35.2454064,-72.41601115,-8.547307,0.18670035,0.0293086,-0.520761675,0.146275425,0.02336315,100.5525,54.5275,-0.44425,0.02405575,5.950204525,0.06397015,3.150625,3.708625,4.935375,7.213625,8.63125,3.792625,3.767625,4.881125,7.0285,8.515,2.1225,2.998125,4.516,6.94975,8.50125,-88.951448375,-0.2232671,-0.2240566,-4.335714125,-0.33392175,238.7633305,306.889244625
1,3.75,403.729524,4.69832,1927.94387895,-1.3282681,-50.937166875,-34.4247302,-68.3986731,-7.7307904,0.306587475,0.02906545,-0.6522102,0.135954075,0.02629065,100.54125,54.89,-0.148625,0.025431,5.9021559,0.0497868,3.002875,3.664125,4.8255,7.1675,8.64,3.617625,3.568125,4.825625,6.966625,8.515,2.047625,2.949875,4.435875,6.903875,8.50125,-87.7092325,-0.117509,-0.117925,-4.164286125,-0.497731625,237.91821275,306.19132675
1,4.25,411.2748888,4.4401866,1944.4761488,-1.26609925,-60.4781838,-35.0113251,-73.22461715,-8.6417659,0.211345375,0.029339875,-0.3868845,0.13904565,0.023857975,100.515,52.69875,-0.25725,0.017885125,5.8323934,0.07487295,2.85075,3.631375,4.737375,7.098625,8.64125,3.42625,3.40225,4.76575,6.918,8.5075,1.8275,2.815625,4.360375,6.876625,8.5025,-87.603591,-0.117509,-0.117925,-4.171429,-0.390625125,237.712547625,305.34238325
1,4.75,406.98832075,4.58562,1946.1220958,0.3077426,-70.463566825,-35.0049268,-78.0951245,-4.6632046,0.250465675,0.027623025,-0.357056025,0.15712785,0.024806125,100.49875,53.07125,-0.204125,0.017641125,4.7317603,0.06975825,2.6835,3.59025,4.655125,7.02925,8.6325,3.283,3.23825,4.6035,6.862125,8.50875,1.72425,2.736,4.291875,6.812375,8.51125,-85.7897915,-0.235018,-0.235849,-4.164286125,-0.447328625,237.41902475,305.030201375
