DOY2,HR2,CO2,H2O,CH4,FC,FCH4,G,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_DIF
1,0.25,447.241313,9.0417315,2333.556141,1.197374,3.118252,-8.0802505,-3.357742,3.799371,1.719685,0.139929,-0.01712,0.410969,0.14903,102.049,91.2,7.434,0.9204255,17.065282,0.1734085,11.04,11.35,11.365,11.67,12.29,10.66,11.01,11.7,11.11,12.27,10.92,10.89,11.55,11.75,12.33,-52.334258,0,0,-2.484472,1.207243,294.600871,347.264276,-0.363196
1,0.75,446.100292,8.981285,2342.1860975,0.983897,-0.132402,-8.400231,-2.0167395,3.08921,1.595196,0.1320335,-0.015474,0.384092,0.1417175,102.06,91.2,7.245,0.871326,16.9495025,0.182129,11,11.31,11.32,11.685,12.3,10.57,10.955,11.705,11.105,12.255,10.79,10.815,11.505,11.765,12.33,-47.733299,0,0,-2.380952,1.183597,298.546849,346.735171,-0.363196
1,1.25,445.793301,8.928924,2399.740174,1.026276,2.918542,-8.8475115,-2.669589,4.106278,1.6460165,0.1242425,-0.0139335,0.4114265,0.1404715,102.0505,91.6,7.025,0.889463,16.8278465,0.179973,10.955,11.29,11.3,11.695,12.295,10.535,10.895,11.66,11.095,12.24,10.705,10.715,11.445,11.775,12.33,-48.7700195,0,0,-2.402863,1.207243,299.40745,346.316847,-0.363196
1,1.75,447.081852,8.838146,2411.4138545,1.1242545,1.764702,-9.180792,-2.548352,3.338157,1.737322,0.138777,-0.016075,0.389505,0.154267,102.07,92.3,6.759,0.838533,16.621862,0.193407,10.895,11.255,11.29,11.685,12.3,10.415,10.8,11.66,11.06,12.255,10.62,10.675,11.37,11.755,12.335,-44.2665395,0,0,-2.380952,1.159951,300.334843,345.3245225,-0.363196
1,2.25,447.494453,8.639168,2413.544214,1.019213,2.177061,-9.968805,-2.0389875,3.951812,1.465425,0.141573,-0.0150955,0.408318,0.139975,102.08,93.1,6.6875,0.735273,16.36162,0.187107,10.825,11.21,11.3,11.68,12.285,10.335,10.775,11.645,11.02,12.25,10.545,10.64,11.335,11.765,12.34,-43.0224165,0,0,-2.351738,1.10664,302.076871,344.413838,-0.363196
1,2.75,444.2068715,8.433702,2452.90522,0.919383,3.7115025,-10.226333,-2.209164,4.045017,1.491702,0.132781,-0.011989,0.384796,0.1352705,102.09,93.05,6.39,0.7219495,16.296602,0.1975195,10.695,11.185,11.26,11.685,12.265,10.26,10.74,11.595,10.94,12.25,10.49,10.56,11.28,11.775,12.335,-40.764784,0,0,-2.277433,1.10664,304.7279565,343.815077,-0.363196
1,3.25,443.331054,8.464032,2473.1934275,0.999124,2.422126,-11.197884,-2.55917,4.373126,1.586097,0.130803,-0.014913,0.397432,0.149479,102.07,93.3,6.295,0.698877,16.282268,0.1998305,10.625,11.155,11.25,11.68,12.27,10.17,10.675,11.585,10.88,12.245,10.41,10.475,11.24,11.78,12.335,-38.5153325,0,0,-2.160576,1.10664,303.587215,343.072334,-0.363196
1,3.75,443.075466,8.520265,2446.528964,0.964207,2.711939,-11.8237795,-1.765,3.632473,1.7398605,0.13813,-0.0187625,0.408689,0.154537,102.0625,93.6,6.289,0.661485,16.143335,0.189533,10.55,11.12,11.25,11.68,12.27,10.075,10.575,11.57,10.81,12.255,10.355,10.365,11.195,11.785,12.34,-36.6748495,0,0,-2.249489,1.037851,305.589833,342.289382,-0.363196
1,4.25,444.806574,8.3701785,2450.397286,0.915286,2.76836,-12.240039,-1.9634795,2.716674,1.56656,0.134841,-0.015132,0.394078,0.1493435,102.055,93.8,6.242,0.619224,15.8436715,0.1846235,10.465,11.065,11.2,11.68,12.275,9.94,10.52,11.55,10.735,12.265,10.23,10.325,11.165,11.785,12.35,-35.56302,0,0,-2.263461,1.098901,306.388451,341.963199,-0.363196
1,4.75,445.920953,8.127092,2433.061187,1.1545655,4.85302,-12.44186,-2.167754,5.454252,1.694971,0.127133,-0.013902,0.4085435,0.145341,102.0415,94.2,6.124,0.615743,15.5576195,0.188461,10.39,11.03,11.14,11.665,12.28,9.805,10.465,11.52,10.64,12.265,10.155,10.265,11.13,11.78,12.35,-35.208571,0,0,-2.263461,1.098901,303.774454,341.391667,-0.363196
