DOY2,HR2,CO2,FC,H,LE,TA,T_SONIC,T_SONIC_SIGMA,RH,VPD,PA,NETRAD,PPFD_IN,TS,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA
1,0.25,408.11525,0.8232465,-21.51933,8.1114625,1.6291165,2.275752,0.2203671,70.942935,1.9854835,93.57222,-19.58546,0.09276085,1.296667,4.924788,0.2999864,0.7835538,0.7413905,0.338973
1,0.75,409.0053,0.8935095,-22.29773,4.7007515,1.638256,2.153559,0.22474685,71.27803,1.902794,93.451625,-21.187735,0.09124236,1.3,4.6473475,0.30457105,0.74963675,0.7777302,0.32137265
1,1.25,408.44525,1.407085,-26.313485,2.605407,1.508437,2.1258885,0.21575695,73.49541,1.74123,93.42748,-21.63147,0.08926316,1.296667,5.1058685,0.28752355,0.6966799,0.80022285,0.32148135
1,1.75,408.8045,1.0379,-22.15419,3.852927,1.6200215,2.125029,0.20681005,71.37756,1.867816,93.43895,-22.08987,0.087385875,1.3,5.310876,0.3023741,0.73381735,0.9048522,0.34173205
1,2.25,409.40075,1.07763,-20.92976,9.585431,1.6890175,2.222593,0.2029451,71.96722,1.838181,93.46778,-22.568785,0.092628665,1.25,5.62604,0.3169783,0.7548206,0.8038979,0.329903
1,2.75,408.5238,0.866661,-19.74705,12.678325,1.8219885,2.4048615,0.21486695,70.935105,1.909728,93.483005,-22.429935,0.08262798,1.2,5.684358,0.34241715,0.7379306,0.90032595,0.3415548
1,3.25,407.4841,0.872847,-18.815815,3.7421935,1.815979,2.3962355,0.20458345,70.86815,1.891769,93.45513,-18.718995,0.08724071,1.2,5.161711,0.3031574,0.6766776,0.80406785,0.33195415
1,3.75,408.6542,0.862931,-16.57684,4.545723,1.986811,2.5080715,0.2181084,71.36664,1.991149,93.44821,-25.732795,0.08525365,1.2,4.963672,0.2944101,0.75738295,0.8115455,0.31821375
1,4.25,408.34515,1.37396,-21.47959,1.8669345,1.8902685,2.2636145,0.2307837,72.277005,1.9298695,93.438925,-24.21504,0.0771215,1.2,5.035281,0.28560045,0.77943595,0.79012495,0.32625925
1,4.75,408.5383,0.884441,-19.147295,5.267221,1.944004,2.011963,0.2095678,72.83697,1.862498,93.428865,-20.30518,0.082220655,1.203333,5.184605,0.28518765,0.7569958,0.80669195,0.3346486
1,5.25,408.8906,1.23827,-21.81788,8.116286,1.9050825,2.0487935,0.22959805,71.272,1.822163,93.431865,-19.920075,0.081628115,1.2,4.9723495,0.29084555,0.7200481,0.7859666,0.32563705
