DOY2,HR2,CO2,FC,H,LE,TA,T_SONIC,T_SONIC_SIGMA,RH,VPD,PA,NETRAD,PPFD_IN,TS,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA
1,0.25,412.2424,1.4437325,-8.70164925,18.1644475,3.18818275,3.769985,0.2956686,76.6325225,2.4653385,93.98441,-7.4164095,0.1169316,2.043333,6.261081,0.3937255,0.9486161,1.050711,0.4383773
1,0.75,413.69465,1.4630575,-7.240085,18.2936575,3.02765325,3.62018825,0.283876825,76.62708,2.266256,93.916565,-7.41220075,0.125404225,2,6.28560825,0.399230575,0.972060675,0.9954996,0.4341612
1,1.25,413.0751,1.71483,-13.1178975,14.203435,2.9823595,3.44762425,0.29291425,82.5926375,2.2338015,93.932005,-9.1636425,0.132585825,2,6.8503595,0.403432825,0.9270169,0.95578585,0.4476493
1,1.75,413.3777,1.62575,-11.46183,14.73735,2.95331575,3.6508525,0.297049275,80.80076,2.300657,93.9435625,-11.2861875,0.124796475,2,6.7484345,0.43646125,1.07591975,1.12688425,0.466570375
1,2.25,413.596225,1.153155,-12.16372,14.912315,3.0316065,3.741062,0.2557774,82.69006,2.412324,93.93991,-11.0807275,0.12142565,1.986667,6.940863,0.4330879,1.062101,1.088945,0.4734549
1,2.75,412.1795,1.27975,-12.66403,19.7691,2.99568375,3.6819815,0.27150835,79.1890475,2.41341875,93.91942,-10.6959875,0.1109161,1.94,6.50531025,0.42094935,1.0681165,1.19745675,0.4577574
1,3.25,410.32485,1.213295,-11.323495,15.6018725,2.938705,3.4952415,0.29723525,81.63179,2.38279,93.91138,-9.01168075,0.1121212,1.906667,6.19520025,0.404134575,0.975602275,0.9748274,0.436663625
1,3.75,411.4446,0.930675,-8.21964925,12.02413,2.824969,3.5024065,0.290707825,80.3199475,2.43740425,93.913035,-8.893356,0.106893925,1.9,6.0506645,0.377239075,0.95327215,0.996711025,0.4365868
1,4.25,412.111425,1.54366,-9.295799,12.6517775,2.86153325,3.458518,0.289695175,80.222625,2.31620525,93.9014925,-9.752281,0.108084725,1.9,6.30013225,0.38684695,0.973042,1.078208,0.423051075
1,4.75,412.4761,1.0726025,-8.75372475,11.99693,2.765899,3.33912675,0.263421525,80.65801,2.19425,93.85742,-8.68015875,0.1048765,1.9,6.08408725,0.411649125,0.997551525,1.140224,0.42261205
1,5.25,412.156475,1.5314375,-14.73138,14.7622,2.7383735,3.31119175,0.272785225,83.43021,2.165242,93.842515,-11.51671,0.10925945,1.9,6.47140325,0.39395705,0.965680775,0.949835975,0.421506825
1,5.75,412.244125,1.29214,-12.2079375,13.49682,2.7965075,3.2196535,0.272950775,83.06837,2.26948925,93.8296475,-9.874899,0.111724425,1.9,5.9783985,0.395160575,0.98211155,1.00034405,0.424320025
1,6.25,412.0038,1.08273,-12.885915,14.73803,2.8354745,3.257774,0.2533718,81.15877,2.285891,93.803795,-10.9235875,0.111569725,1.9,6.179332,0.3832945,0.9750378,0.9452403,0.4388785
1,6.75,411.94265,1.094445,-5.311545,14.92732,2.95995175,3.277991,0.2502775,81.828475,2.31575975,93.81061,-9.1162485,0.14408015,1.9,6.574592,0.3755087,0.8827834,1.021905,0.4004458
1,7.25,411.85715,1.09442,-8.20589275,10.337774,2.9523695,3.6852925,0.2936495,82.02155,2.3886635,93.832945,-11.2346525,2.80949975,1.9,6.2450025,0.37090735,0.961911025,0.95395145,0.407316625
1,7.75,412.63755,0.951054,-8.595656,11.94088,3.02071975,3.61892125,0.2845654,81.487,2.48458575,93.8676825,-9.49431625,23.2402025,1.9,6.26944625,0.37652335,0.92136065,0.892464825,0.4004651
1,8.25,413.3536,1.0520205,-13.00947,13.6918425,2.90325,3.71056425,0.232817875,79.89572,2.517541,93.9006225,-2.6680495,75.977375,1.9,6.254262,0.389807575,0.89758875,0.88481215,0.4108204
1,8.75,412.412425,0.94845625,-4.966297,20.53579,3.10814275,3.659004,0.27273415,79.6100425,2.43563825,93.961285,9.63764025,145.754375,1.9,5.98708675,0.381526025,0.9245368,0.998163275,0.40387195
1,9.25,412.3171,0.957084,-1.014029,21.03897,3.4079125,3.803345,0.3404277,80.449585,2.4494205,93.99987,24.417395,197.231875,1.896667,6.098536,0.3778013,0.9005725,0.9169327,0.4296871
1,9.75,411.91705,0.68192075,6.4416885,33.4184275,3.66348425,4.099559,0.316975575,78.996255,2.627912,93.9904175,40.6676825,303.135275,1.896667,5.8435265,0.3929911,0.9598425,1.006225025,0.412355225
1,10.25,412.199425,0.768105,14.65262,37.118685,3.68934475,4.100933,0.3113045,78.73766,2.695931,93.98026,71.49905,383.2334,1.97249975,5.5482525,0.3583016,0.89453635,0.984349325,0.38074405
1,10.75,412.35075,1.29407,19.25943,42.79625,3.920331,4.197336,0.28173805,77.16241,2.698133,93.9783125,82.6362975,466.48445,2.01,5.5864565,0.3550909,0.87077865,0.92039175,0.37863315
1,11.25,412.1164,1.041094,17.82574,53.86634,4.015617,4.4771075,0.26607845,76.21748,2.7829,93.94339,84.485295,414.63535,2.256667,5.554815,0.3601777,0.90300315,0.89943265,0.39375775
1,11.75,412.27205,0.76303375,18.081505,59.05734,4.47233975,4.376435,0.285918825,74.78701,2.980156,93.9730175,98.75943,419.00805,2.44833275,5.9812385,0.368791525,0.900741775,1.0015,0.3778791
1,12.25,411.8834,0.71643,25.78887,62.4310375,4.80667125,4.7756535,0.31082465,75.19705,3.026684,93.944375,87.635835,450.71805,2.81,5.8510075,0.40098625,0.9517353,1.001868475,0.410389125
1,12.75,411.5405,0.8678405,24.4520525,55.2873925,4.846972,4.853134,0.2649328,73.00896,3.25491875,93.906675,83.7260425,420.36265,2.90083325,5.736036,0.3626857,0.9400177,1.016639,0.3951686
1,13.25,412.3464,0.984719,9.089671,39.2861,4.61900875,5.19712025,0.289316575,75.927025,3.15511275,93.900025,73.979625,371.57175,3.0516665,5.76945225,0.358456375,0.9805203,0.980234725,0.359288475
1,13.75,411.6649,0.6767,9.33645425,41.58365,4.556972,5.1479095,0.26371555,74.8541,3.364363,93.91196,65.89075,343.57475,3.14083325,5.750952,0.3785845,0.93271015,1.018882,0.3909041
1,14.25,411.3655,0.63074825,4.8963195,33.49165,4.67775475,5.1193245,0.229617075,75.52651,3.33016,93.929565,41.449715,280.4625,3.2683335,5.36866325,0.347811775,0.857808625,0.9444284,0.373201875
1,14.75,411.397825,0.83204675,2.077849,36.320695,4.27064425,4.939816,0.200728375,75.3644725,3.256356,93.9411525,26.32648,205.209625,3.196666,5.3668015,0.349851825,0.864131325,0.837899175,0.37595085
1,15.25,411.4771,0.871708,-6.59,28.15638,4.402182,5.0145045,0.252028,72.8446875,3.242209,94.0051775,10.65305,131.18915,3.19333325,4.9520325,0.34055095,0.90472785,1.023581,0.3782826
1,15.75,411.948025,0.867507,-4.011964,21.83695,4.251266,4.882918,0.271637,72.97805,3.1893085,94.031555,-0.73430585,69.222975,3.18916625,5.215367,0.3152165,0.8061396,0.8761449,0.3442234
1,16.25,412.5852,0.990829,-9.675857,17.5768,3.93560925,4.47225325,0.324207575,75.65297,3.004517,94.0511425,-7.3954475,21.6564525,3.0616665,5.195757,0.3074355,0.89381165,0.9306933,0.3355521
1,16.75,413.067725,1.1512475,-9.19638925,17.2746575,3.59334775,4.3078275,0.317352125,78.36868,2.965586,94.06542,-10.95546,1.836655,2.893333,5.263224,0.324938425,0.809327025,0.87105655,0.365289675
1,17.25,412.165,0.781822,-8.82889825,16.1469125,3.63143,4.1497845,0.3036976,83.397915,2.908106,94.0680725,-9.9581495,0.168247425,2.7566665,5.95002,0.34434045,0.8011708,0.882517,0.38857475
1,17.75,412.18605,0.812899,-12.96086,17.4140875,3.4038205,3.9790085,0.3209641,82.62895,2.72284375,94.05833,-10.0148755,0.15560255,2.7,5.6100375,0.3355623,0.8039924,0.86630705,0.39319525
1,18.25,411.4432,0.984947,-10.42398,18.66673,3.3480605,3.777691,0.30590605,82.2329825,2.89587375,94.035235,-10.2954,0.1377069,2.62750025,5.909349,0.34387785,0.9108735,0.8863096,0.39214685
1,18.75,412.27425,1.156995,-12.5948125,14.1660125,3.3143925,3.8152415,0.35238675,84.933665,2.7734255,94.0567375,-7.7635965,0.1536442,2.66,5.6459445,0.31911505,0.8192352,0.88012985,0.37988845
1,19.25,412.30495,1.419665,-12.77089,14.84037,3.363935,3.852351,0.33729855,79.199945,2.7930645,94.0535425,-7.1162315,0.13339095,2.54750025,5.7045295,0.35548705,0.86193495,0.9066255,0.39094985
1,19.75,410.711675,1.3597875,-13.375865,19.676015,3.4141075,3.574182,0.3363,82.0504075,2.90789625,93.99761,-7.411602,0.13953045,2.475,5.986022,0.36263395,0.9145872,0.8761676,0.402249
