DOY2,HR2,H,LE,FC,USTAR,CO2,H2O,T_SONIC,WS,U_SIGMA,V_SIGMA,W_SIGMA,TA,RH,PA,NETRAD,PPFD_IN,PPFD_OUT,G_1_1_1,G_2_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1
1,0.25,-94.74039,-14.581875,-1.71101875,0.05134,406.176025,4.317957,6.19515000000002,0.227880225,0.248601411759429,0.213157822954104,0.0654217089351845,3.49365,27.65625,99.4366835,-122.485,0,0,-12.48325,-5.14435,5.288,7.230875,8.21625,8.318,9.6175,5.746375,6.8707,7.713725,8.3685,9.53875,6.39765,7.486325,8.04275,8.70025,9.797,5.0421,6.3618,7.1065,7.805725,9.1025
1,0.75,-66.119575,-13.82234,-0.75541,0.0414875,403.84485,4.201341,6.39790000000004,0.266969725,0.305522905510762,0.258958470518594,0.0721143197121978,3.0625,27.9165,99.4309155,-120.82,0,0,-12.7625,-5.40965,5.1685,7.063625,8.1375,8.19725,9.60925,5.588425,6.76545,7.653275,8.32325,9.514,6.3339,7.42305,7.99605,8.689,9.79875,5.04435,6.303225,7.048925,7.7581,9.11925
1,1.25,-96.90184,-14.5612525,-4.73563,0.049755,406.71925,4.15179,6.22415000000002,0.1451974,0.294892520010351,0.248805464971259,0.075970385335681,2.15545,29.14175,99.4329705,-113.04,0,0,-13.168,-5.558375,5.026475,6.99735,8.0935,8.149,9.624,5.448325,6.7039,7.6006,8.28675,9.51875,6.287,7.334925,7.941,8.67775,9.817,4.897675,6.271975,7.0079,7.713725,9.136
1,1.75,-90.770065,-26.98503,-3.69812475,0.0587225,406.20075,4.20266,5.53365000000002,0.268169675,0.269582094285339,0.25363456735659,0.0658944461017098,2.390275,29.841,99.43033825,-114.6,0,0,-13.538,-5.84865,4.975975,6.925175,8.04,8.09425,9.6305,5.29715,6.685025,7.54965,8.2485,9.5235,6.233125,7.239625,7.88585,8.653,9.83175,4.745775,6.2498,6.970575,7.667325,9.15275
1,2.25,-101.9472,-18.32386,-4.339807,0.0552225,404.40535,4.21723925,6.02590000000003,0.2082619,0.295257273069559,0.280841598680611,0.0791760437051991,2.8767,30.20575,99.43473725,-116.1,0,0,-13.8415,-6.1653,4.898175,6.809025,8.006,8.1945,9.6135,5.131325,6.519275,7.478525,8.22125,9.52,6.19065,7.16915,7.83905,8.623,9.83175,4.610725,6.211425,6.920475,7.6117,9.15625
1,2.75,-85.8055625,-22.583415,-2.56233,0.07658,404.856075,3.285071,5.51652500000005,0.187211675,0.226353540996637,0.269370664711523,0.068793746726558,2.61425,30.57975,99.4520245,-113.17,0,0,-13.9955,-6.459125,4.821975,6.683775,8.07475,8.28525,9.647,5.017225,6.35555,7.4065,8.17775,9.51175,6.161975,7.093425,7.79225,8.593,9.84175,4.485725,6.2045,6.900875,7.57395,9.173
1,3.25,-84.46378,-20.28992,-4.0764525,0.06013,405.01935,4.122354,4.78470000000001,0.16205665,0.262554716347043,0.2904650265638,0.0741097416194908,2.40435,31.172,99.500187,-116.4875,0,0,-14.07725,-6.74975,4.7025,6.568575,8.148375,8.26975,9.66175,4.8865,6.230625,7.334225,8.14425,9.51525,6.1218,7.021675,7.744525,8.5695,9.8335,4.356625,6.137475,6.88265,7.535125,9.21675
1,3.75,-101.534555,-18.8478875,-2.899799,0.0531275,406.5124,4.118104,5.50037500000002,0.12192175,0.286746961529004,0.282761616340395,0.0733324097928955,2.3839,31.0105,99.5146415,-107.725,0,0,-14.1985,-7.044675,4.630375,6.450275,8.194,8.23025,9.67,4.7342,6.078725,7.308775,8.0925,9.53,6.0486,6.976075,7.699375,8.54125,9.82525,4.235775,6.0321,6.8605,7.505425,9.21675
1,4.25,-77.99159,-18.8861275,-3.0622815,0.0537925,403.96995,4.1549925,6.68360000000003,0.25632145,0.264321195083668,0.252760930257753,0.0598700691815849,2.22985,30.32275,99.51308725,-97.475,0,0,-14.324,-7.2668,4.450875,6.332375,8.135,8.1885,9.6635,4.5698,5.9248,7.289375,8.0356,9.517,6.04,6.9724,7.668075,8.5095,9.817,4.116425,5.9276,6.84365,7.4853,9.20325
1,4.75,-75.65638,-28.95026,-3.045023,0.0522925,408.09595,2.9260315,6.06407500000003,0.226141375,0.227487055954804,0.234925042422392,0.0701784361789453,2.703875,29.404,99.515497,-107.8825,0,0,-14.48275,-7.47375,4.156825,6.203175,8.03225,8.14025,9.67175,4.41455,5.7685,7.1686,7.989825,9.527,5.931,6.94735,7.62725,8.48425,9.80875,3.99395,5.817975,6.817325,7.4601,9.1965
