DOY2,HR2,H,LE,FC,USTAR,CO2,H2O,T_SONIC,WS,U_SIGMA,V_SIGMA,W_SIGMA,TA,RH,PA,NETRAD,PPFD_IN,PPFD_OUT,G_1_1_1,G_2_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1
1,0.25,-17.7796,1.16513,2.483505,0.14037,437.087,8.41829,12.2895,0.947225,0.575302133624502,0.586167512445239,0.151154835347848,7.795,84.5,100.83265,-68.63,0,0,-2.531,-2.2635,9.245,9.985,10.57,10.66,11.25,8.955,9.615,10.215,10.69,11.25,9.445,10.08,10.45,10.83,11.29,8.645,9.845,10.4,10.55,10.985
1,0.75,-18.6415,-0.153433,2.42895,0.142029,439.061,8.29044,12.2915,0.8473875,0.535160139997059,0.633908821355615,0.159373465716291,7.652,85.5,100.8222,-67.53,0,0,-2.7,-2.6,9.135,9.88,10.535,10.61,11.25,8.89,9.53,10.145,10.65,11.25,9.335,9.995,10.4,10.81,11.295,8.485,9.72,10.335,10.505,10.99
1,1.25,-16.2295,0.777501,2.63647,0.132851,439.499,8.28089,12.504,0.888024,0.518089760562781,0.589359822179965,0.156524758424985,7.8825,84.7,100.8361,-67.3,0,0,-2.797,-2.8625,9.075,9.8,10.59,10.565,11.25,8.88,9.435,10.045,10.575,11.265,9.23,9.905,10.305,10.78,11.3,8.335,9.59,10.255,10.455,10.985
1,1.75,-20.4901,-1.311455,2.303655,0.1369885,439.523,8.41062,12.302,0.8824565,0.497642274901352,0.613718415043054,0.147816584184237,8.255,84.6,100.84775,-68.28,0,0,-2.6865,-3.09,9.04,9.72,10.58,10.54,11.27,8.765,9.34,9.97,10.525,11.27,9.095,9.8,10.26,10.74,11.305,8.175,9.475,10.18,10.42,10.995
1,2.25,-19.521,-0.511875,2.29661,0.1434475,438.458,8.53199,12.231,0.9035005,0.570900197240447,0.618245960805151,0.148490037916508,8.12,84.9,100.85545,-70.03,0,0,-2.672,-3.1605,9.05,9.69,10.575,10.495,11.27,8.67,9.27,9.885,10.47,11.27,9.035,9.755,10.175,10.74,11.31,8.064,9.355,10.095,10.385,11
1,2.75,-20.7099,-1.19609,2.77162,0.1538155,437.564,8.49367,12.045,0.89934,0.585908907539948,0.611958125362084,0.162788205960997,7.847,85.2,100.88285,-71.055,0,0,-2.694,-3.309,8.94,9.66,10.525,10.425,11.285,8.565,9.235,9.83,10.41,11.26,9,9.695,10.125,10.7,11.315,8.04,9.295,10.02,10.365,11.01
1,3.25,-21.244,1.73383,2.11659,0.161512,438.681,8.36502,11.7145,0.780355,0.559100217054687,0.684503714062107,0.149328466762821,7.718,84.6,100.8654,-69.375,0,0,-2.736,-3.409,8.89,9.585,10.475,10.38,11.295,8.45,9.17,9.785,10.355,11.265,8.98,9.655,10.095,10.66,11.325,7.969,9.255,9.94,10.345,11.02
1,3.75,-14.0724,0.833712,1.778255,0.1424,438.248,8.33983,11.778,0.867964,0.508294106812115,0.583897188980748,0.149164244744097,7.581,85.7,100.86085,-67.92,0,0,-2.9005,-3.6595,8.795,9.495,10.415,10.34,11.29,8.365,9.14,9.74,10.31,11.27,8.935,9.615,10.065,10.63,11.32,7.8425,9.195,9.86,10.325,11.01
1,4.25,-19.578,-0.5874435,2.32746,0.1356065,435.405,8.36065,11.306,0.919139,0.516109568620065,0.589127630562302,0.154918997650001,7.441,86.65,100.8616,-68.23,0,0,-3.1205,-3.8255,8.755,9.465,10.37,10.32,11.295,8.255,9.1,9.665,10.275,11.255,8.875,9.55,10.015,10.595,11.32,7.7215,9.175,9.79,10.3,11.02
1,4.75,-20.0407,-0.503591,2.7525,0.1383715,439.391,8.332665,11.1365,0.8618805,0.53956587127438,0.627962559781033,0.14124169625585,7.2355,87.35,100.85535,-67.66,0,0,-3.265,-4.0845,8.61,9.39,10.34,10.305,11.29,8.24,9.015,9.63,10.205,11.24,8.86,9.485,9.98,10.535,11.32,7.733,9.15,9.72,10.27,11.04
