DOY2,HR2,USTAR,TA,WS,FC,H,LE,H2O,CO2,SW_IN,LW_IN,SW_OUT,RH,TS,PA
1,0.25,0.03425,-19.564725,0.1435,0.33875,-57.2857,-5.51025,3.478858881475,419.4168151525,-4.3778832225,178.969163315,-0.2263583325,63.83100012725,0.6,97.93425
1,0.75,0.0419,-19.824746875,0.10175,-0.069,-48.5201,-1.708,3.593057312675,419.620393825,-4.48510007,170.3208292425,-0.3212000003,59.692000031,0.6,97.904525
1,1.25,0.03265,-20.455933334,0.104,-0.6688,-60.374,-1.9776,3.3591051378,419.55811402,-4.344533315075,176.940834435,-0.4918833434,58.2022497235,0.6,97.8914
1,1.75,0.03,-20.898466634,0.0913,-0.26025,-64.98265,-1.76965,3.2980895139,420.0827824975,-4.446383418,179.1674992575,-0.577591673325,58.3850838515,0.6,97.909
1,2.25,0.034775,-21.131316634,0.118,-0.171525,-74.297,-4.510775,3.30324534645,420.3083697,-4.251133287,171.76666536,-0.376333333,58.8233333325,0.6,97.9079
1,2.75,0.01725,-21.490991634,0.0976,-0.15995,-50.46075,-0.4446,3.517735047875,420.6852416375,-4.365266627,170.73333266,-0.25866667,61.338333665,0.6,97.9238
1,3.25,0.0348,-21.694275,0.159,-1.6208,-59.7035,-3.6478,3.311008156675,421.333036135,-4.020908455,172.875002565,-0.393333337,62.4116667475,0.6,97.8522
1,3.75,0.0307,-22.0013333,0.189,-0.68625,-51.0283,1.53325,3.43727783875,420.55323025,-4.132400081925,170.7925033075,-0.21825000285,62.8893317435,0.6,97.7857
1,4.25,0.0341,-21.972283334,0.119,-0.76135,-67.519225,-6.827,3.49963226165,420.2866162775,-4.108816677425,174.189998185,-0.27904167585,62.446749405,0.6,97.6201
1,4.75,0.029075,-21.90025,0.11245,-0.8666,-64.049625,-3.8614,3.4315998384,420.3081992,-3.877674963075,175.1499985,-0.67950001735,62.086000536,0.6,97.67835
1,5.25,0.0328,-21.612124966,0.137225,-0.8896,-49.2785,-3.0266,3.4364179054,420.92845912,-4.023749933075,171.40166925,-0.706733344225,62.98908333275,0.6,97.6403
1,5.75,0.0179,-20.5309,0.0957,-0.441,-104.57165,-0.811575,3.4111192248,421.06052346,-4.21403337435,171.04249405,-0.8772000123,62.51616667,0.6,97.588025
1,6.25,0.0211,-16.520300168,0.094,-0.8683,-93.9682,-0.3989,3.411242539625,420.001968,-4.037433237575,171.45582895,-1.3674666733,62.0266679505,0.6,97.4914875
1,6.75,0.040375,-16.773466568,0.125375,-0.52075,-70.0972,-1.43015,3.562404302475,420.8967921,-4.17085833,170.362502565,-0.67766667725,61.47416692,0.6,97.478025
1,7.25,0.02625,-17.037366604,0.130125,-0.32,-52.9419,0.3784,3.553625403525,420.7753137675,-3.71048334435,169.8358348,-0.351083325875,63.312499,0.6,97.462125
1,7.75,0.030375,-17.260566872,0.08245,-0.6613,-49.67655,-2.39055,3.66459367565,420.95107969,-0.19465833025,169.3900033075,0.083000009,64.5062522525,0.6,97.459425
1,8.25,0.033525,-17.180499834,0.129,-0.196,-43.28995,-0.2864,3.7868799522,420.9820013,4.917858340575,169.6300040575,0.620541670875,64.31541683,0.6,97.4593
1,8.75,0.0333,-16.403774734,0.1164,-0.0338,-48.10535,-0.0254,3.8744352256,421.36777106,12.01658329325,170.71083775,1.892666633,63.3916663325,0.6,97.4887
1,9.25,0.04525,-14.620941672,0.127125,-0.31425,-32.8029,-3.29965,3.835971288675,421.3785660725,24.02558267,172.1691685,4.32116678505,60.927333598,0.6,97.5963
1,9.75,0.0469,-11.8663,0.1442,-0.08085,-14.09165,2.698725,3.19549705395,423.6581529725,32.55483318,173.60250255,4.6472166381,59.406000068,0.59425,97.6793125
1,10.25,0.033,-11.5446,0.271,0.2147,-45.1767,4.4418,3.488239560925,411.2672754325,46.4827501065,175.519998185,6.846091810575,57.451666165,0.6,97.7251
1,10.75,0.0382,-11.3724,0.28125,0.159425,-15.3965,6.2059,3.454869524825,412.755571335,40.9683320065,177.630004435,8.79303348065,54.608333,0.56,97.881625
1,11.25,0.0705,-11.089196869,0.3555,-0.227275,-21.96655,7.35145,3.44034290385,414.1179223125,38.60791666925,182.94167,6.57435824345,52.584666732,0.59325,97.8785125
