DOY2,HR2,USTAR,TA,WS,FC,H,LE,H2O,CO2,SW_IN,LW_IN,SW_OUT,RH,TS,PA
1,0.25,0.323,1.289125,1.2715,1.549,1.392,8.182,6.0803754895,444.57405755,-0.59916666425,310.174991675,1.032083306,97.300000835,3.7,100.162
1,0.75,0.2195,1.262187503,1.26575,1.895,1.1925,7.321,5.21700224675,446.55303745,-0.54066667025,310.0250025,0.9870000165,97.30000067,3.72875,100.134
1,1.25,0.29075,1.872,1.259,1.239,2.604,3.404,4.7194663,437.0979867,-0.6179166775,309.3333333,1.01341666075,98.5833355025,3.8,100.143
1,1.75,0.269,1.863916667,1.2145,1.43375,1.39725,11.0785,5.33469261875,446.652878225,-0.53799999325,309.708334975,0.975000003,97.50833458,3.8,100.2135
1,2.25,0.2595,1.64566665,1.254,1.97475,0.491,24.953,6.4216660215,439.445078075,-0.55666665,306.0333333,1.042333297,97.100001165,3.63625,100.2255
1,2.75,0.28475,1.602,1.32225,1.815,2.991,22.582,6.461929685,440.732665775,-0.58800002,308.8666667,0.984333337,97.650000335,3.625,100.1975
1,3.25,0.389,1.556583317,1.35,1.315,0.51,18.227,5.0798513165,438.508608975,-0.5447500055,306.716658325,0.99033327,98.3666675,3.6325,100.179
1,3.75,0.182,0.818583329,1.133,1.5985,0.765,18.741,5.3159350975,438.2241941,-0.5667499985,307.316669975,1.05575003525,97.3833316675,3.55,100.1745
1,4.25,0.219,1.131499984,1.017,1.28625,1.39225,14.61325,5.07064634275,438.15983185,-0.58208332825,306.649993325,1.051833357,96.19166825,3.505,100.18
1,4.75,0.2605,1.33,1.18875,1.285,1.43825,18.03,5.476821473,442.082463,-0.59908334225,306.799997475,0.8725000035,96.5,3.35,100.227125
1,5.25,0.3465,1.043416675,1.27525,1.282,1.528,13.699,6.219388629,439.4421746,-0.6100833295,306.34166915,1.10099999525,96.42499983,3.345,100.2235
