DOY2,HR2,TA_1_1_1,RH_1_1_1,VPD_1_1_1,H2O_1_1_1,RH_1_1_2,WS_1_1_1,PA_1_1_1,PA_1_1_2,CO2_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,USTAR_1_1_1,TAU_1_1_1,H_1_1_1,FC_1_1_1,LE_1_1_1,WS_1_1_2,T_SONIC_1_1_1,G_1_1_1,G_1_2_1,G_1_3_1,G_2_1_1,G_2_2_1,G_2_3_1,G_3_1_1,G_3_2_1,G_3_3_1,T_CANOPY_1_1_1
1,0.25,-16.46184995,46.67014645,0.16820545,1.9325768,47.6653825,0.4784578,67.9176643,68.4723533,413.4018633,-75.0435528,-0.3374006,-3.8132166,-0.0161111,186.2943647,235.3413083,0.0526311,-0.55620995,-64.0861972,-0.04212825,-9.09604945,0.5246098,-17.12217685,-3.669995,-3.9905426,-3.2425795,-2.7750431,-2.32556495,-2.832207,-2.945943,-2.98643955,-2.73939435,-19.395101
1,0.75,-16.504896675,42.1936054,0.16766075,1.84965175,46.436011,0.2890535,67.9213066,68.47751805,412.0595918,-72.6052722,-0.3374006,-3.9793342,-0.128538,180.9555155,238.6659145,0.0473498,-0.603405,-57.30157455,-0.488885,-7.9187766,0.6493583,-17.1955784,-3.701421875,-4.011839075,-3.24456135,-2.7799044,-2.325657475,-2.835236275,-2.946100975,-2.94597125,-2.734380025,-20.7417199
1,1.25,-16.29528445,42.82006555,0.173830625,1.78769835,47.3864421,0.100118,67.92825435,68.48324435,413.328999625,-77.08860155,-0.3374082,-4.07119435,-0.0079877,185.78144135,235.99944585,0.0364618,-0.505445425,-55.030993225,-8.98749999999997e-05,-10.357434625,0.12100445,-17.251034775,-3.72251925,-4.0080361,-3.245501525,-2.783556125,-2.3257403,-2.835960625,-2.945916125,-2.9442185,-2.73466415,-20.9572291
1,1.75,-16.36737275,40.575472175,0.172618225,1.6959883,47.7398924,0.25506395,67.933463875,68.498661675,413.36271175,-76.779985675,-0.3373686,-3.85085745,0.00323190000000001,186.536337075,232.701910825,0.0340081,-0.5843536,-53.812801,0.03250275,-6.477755375,0.386388925,-17.237046525,-3.739572125,-4.0211495,-3.2458905,-2.784103425,-2.32656,-2.8380435,-2.946063125,-2.94589985,-2.73360905,-21.5081925
1,2.25,-16.4861992,38.6698546,0.1755681,1.6547484,46.931864125,0.37671505,67.9655236,68.52866535,412.08972025,-73.234425075,-0.337406775,-3.891319775,0.0444233,188.7022776,235.99759075,0.033360625,-0.49881275,-52.397506125,-0.03048765,-8.66402805,0.72529165,-17.200020175,-3.7398686,-4.0280562,-3.2472719,-2.7862925,-2.3266143,-2.8400143,-2.9460792,-2.9470242,-2.7335039,-21.036925375
1,2.75,-16.6485392,41.3398532,0.1639591,1.6907359,46.76528075,0.74173445,67.96895365,68.5356294,411.86327445,-71.72861165,-0.33738885,-3.9506955,0.032829875,185.300988325,238.900611575,0.03676975,-0.456912275,-49.11539145,-0.062481325,-11.314684175,0.7944519,-17.311649325,-3.7336764,-4.0280622,-3.2465746,-2.7859319,-2.3266041,-2.8401834,-2.9453463,-2.9470977,-2.7335598,-19.465496125
1,3.25,-16.5577358,39.4063845,0.1340545,1.6966364,46.444663,0.8802623,67.9880534,68.557388,411.916394,-69.2128507,-0.337412175,-3.5146782,-0.1915829,189.3232045,239.33302675,0.0507783,-0.8651462,-50.5575694,-0.2696064,-7.1421742,0.968113,-17.348277,-3.7306593,-4.025111,-3.2488533,-2.7886681,-2.3266475,-2.8414776,-2.9432766,-2.9470877,-2.7335194,-20.358353425
1,3.75,-14.77197795,40.1313122,0.15573125,2.04421965,44.761587825,0.482269,67.982992,68.55574,411.9564833,-74.076814,-0.337387175,-4.56315,0.031772,183.905717,236.445483,0.05023775,-0.84146575,-46.445633875,0.01264085,-11.59614035,0.48581,-17.357452,-3.61603825,-3.8863473,-3.24810375,-2.78792815,-2.32668505,-2.84347915,-2.9455628,-2.9500444,-2.73359155,-20.42677335
1,4.25,-14.94707155,39.93699525,0.16213965,2.1472994,41.50701955,0.321876,67.992977,68.561748,411.6041135,-74.505683,-0.3374119,-4.16958,0.018111,183.393183,232.6455,0.07229155,-1.03448635,-44.7668385,0.04984925,-8.818244,0.243868,-17.511949,-3.6071953,-3.88561955,-3.2476936,-2.7888055,-2.3266919,-2.8392749,-2.93552755,-2.9501222,-2.7336024,-20.3518512
1,4.75,-15.073798625,38.056850125,0.1595055,2.06526975,41.150752575,0.517113,68.017977,68.592223,411.2877956,-73.691849,-0.337379825,-4.540308,0.03019,183.448433,232.563133,0.0352996,-1.2504672,-67.0489282,0.0817654,-7.3847908,0.380436025,-17.602817775,-3.622932125,-3.892229,-3.249474875,-2.790348625,-2.326720625,-2.833094625,-2.93898975,-2.9515755,-2.7336515,-20.585898125
1,5.25,-15.306085,37.6297982,0.1624902,2.0940416,42.80555925,0.3896125,68.05802675,68.634365425,412.210787,-75.5447875,-0.33736635,-4.176206725,-0.34340435,183.299483,234.868007825,0.05348445,-1.13513615,-84.62857565,-0.1344535,-4.5979025,0.5624206,-17.7401416,-3.6297202,-3.8993682,-3.2493068,-2.791762,-2.3266886,-2.8334766,-2.9283164,-2.952906,-2.7336284,-21.934001325
1,5.75,-15.9361065,38.52992575,0.155541525,2.094613275,43.273439925,0.4013123,68.0829254,68.666989,413.098144,-77.25302985,-0.337364675,-4.51146735,-0.13355775,183.7428578,236.7316622,0.038872225,-0.93121765,-55.425920175,0.018252,-3.441786,0.5925287,-17.8019425,-3.6488584,-3.910532175,-3.242325725,-2.7638226,-2.326661275,-2.8328408,-2.918378525,-2.95394945,-2.73358495,-21.476015825
