DOY2,HR2,USTAR,WS,TA,T_SONIC,RH,SW_IN,SW_OUT,NETRAD,H,LE,FC
1,0.25,0.14,2.275,1.115,1.75,29.63,-4.575,0.8,-64.03,-6.97,0.74,0.065
1,0.75,0.15,2.22,1.295,1.92,30.83,-4.835,0.745,-64.5,-8.34,0.525,0.055
1,1.25,0.16,2.3,1.13,1.74,29.37,-4.995,0.795,-63.99,-8.34,0.555,0.075
1,1.75,0.15,2.24,1.035,1.455,28.72,-4.755,0.565,-64.94,-7.08,0.38,0.05
1,2.25,0.17,2.045,1.82,1.6,28.13,-4.72,0.72,-64.42,-8.9,1.06,0.03
1,2.75,0.145,2.23,1.56,1.57,28.53,-4.755,0.715,-63.505,-7.165,1.96,0.02
1,3.25,0.15,2.28,1.36,1.55,28.76,-4.74,0.645,-64.655,-7.915,0.89,0.025
1,3.75,0.155,2.17,1.39,1.42,26.06,-4.945,0.755,-64.74,-8.045,0.47,0.07
1,4.25,0.17,2.045,1.33,1.35,24.66,-4.685,0.695,-64.83,-4.785,0.5,0.03
1,4.75,0.15,2.05,1.46,1.39,23.93,-4.525,0.76,-65.885,-6.43,0.79,0.08
1,5.25,0.155,1.92,1.55,1.44,23.61,-4.72,0.71,-66.01,-5.735,0.89,0.04
1,5.75,0.135,2.095,1.47,1.175,25.18,-4.825,0.565,-66.3,-5.615,0.62,0.075
1,6.25,0.16,2.205,1.37,1.285,27.09,-4.74,0.655,-65.045,-5.615,0.76,0.07
1,6.75,0.14,2.305,1.65,1.31,26.24,-4.355,0.96,-63.425,-4.295,0.775,0.07
1,7.25,0.14,2.32,1.29,1.17,25.6,6.605,5.99,-58.215,-6.5,1.03,0.04
1,7.75,0.14,2.1,1.41,1.18,25.86,64.16,33.41,-23.94,-4.18,1.115,0.06
1,8.25,0.19,1.8,2.03,1.86,27.06,149.29,52.075,8.675,-1.27,2.405,0.11
1,8.75,0.27,1.49,2.43,2.49,25.69,240.12,63.895,46.08,15.62,4.855,0.1
