DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,NEE_1_1_1,FC_1_1_1,SC_1_1_1,H_1_1_1,LE_1_1_1,G_1_1_1,TS_1_1_1,RH_1_1_1,PA_1_1_1,CO2_1_1_1,VPD_1_1_1,NETRAD_1_1_1,SW_IN_1_1_1
1,0.25,0.05025,-12.003,0.4848,-0.03525,-0.17545,-1.165,-85.484025,-5.61925,-8.61,-0.3965,40.899,99.79,392.3036,0.147,-84.55,-0.5
1,0.75,0.06815,-11.97325,0.489475,-0.2541,-0.8238,-1.513525,-81.998,-4.979125,-8.68825,-0.41675,40.55425,99.6975,392.3877,0.14,-84.1375,-0.5
1,1.25,0.042875,-12.335,0.517975,-0.14025,-0.5075,-0.86105,-85.021,-10.4811,-8.771,-0.43775,40.858,99.6975,392.5799,0.14,-84.0025,-0.5
1,1.75,0.049625,-12.836,0.50625,-0.14115,-0.16405,-0.864375,-83.3575,-4.8737,-8.8565,-0.464,41.79425,99.7,392.47375,0.13725,-84.665,-0.5
1,2.25,0.0406,-13.35225,0.586175,-0.038875,-0.2345,-0.6408,-78.11985,-13.670125,-8.952,-0.495,43.06625,99.7975,392.842775,0.13725,-83.9,-0.5
1,2.75,0.04765,-13.992,0.68125,0.055075,-0.225725,-1.1948,-90.85075,-5.171775,-9.0375,-0.526,44.18175,99.7975,392.7561,0.13725,-82.9375,-0.5
1,3.25,0.062175,-14.36375,0.7312,0.01775,-0.024775,-0.9644,-88.49565,-5.4153,-9.14025,-0.55175,45.0725,99.7,392.591975,0.13725,-83.3,-0.5
1,3.75,0.052625,-14.10275,0.638675,-0.32025,-0.05775,-1.415,-85.8173,-2.772425,-9.202,-0.55125,44.81225,99.7,392.6038,0.1345,-82.31,-0.5
1,4.25,0.0502,-13.91425,0.621375,-0.1765,-0.52385,-1.0371,-82.153175,-5.8482,-9.25275,-0.54025,42.86375,99.6975,392.330375,0.12725,-82.5375,-0.5
1,4.75,0.0328,-14.04775,0.67825,-0.2275,-0.10675,-1.56295,-82.77625,-7.7282,-9.28475,-0.52925,43.289,99.5975,392.3756,0.11725,-82.11,-0.5
1,5.25,0.03975,-14.2675,0.658125,0.092525,-0.34205,-1.04115,-82.464,-5.296,-9.31125,-0.51825,43.46175,99.5,392.10215,0.1145,-82.255,-0.5
1,5.75,0.04,-14.58525,0.6102,-0.8125,-0.4085,-1.11375,-87.1276,-5.22925,-9.383,-0.50725,44.74225,99.5,391.8256,0.129,-81.465,-0.5
1,6.25,0.0644,-14.94,0.5444,-0.4747,-0.899375,-1.13825,-75.70015,-6.66545,-9.393,-0.5015,43.91225,99.5,390.672875,0.129,-80.865,-0.5
1,6.75,0.0487,-15.0145,0.6107,-0.282,-0.8671,-1.1862,-72.441375,-6.6004,-9.393,-0.503825,44.6395,99.5,392.1509,0.13625,-82.3,-0.3
1,7.25,0.0552,-14.938,0.664325,-0.0763249999999999,-0.2346,-1.113,-77.665825,-3.05575,-9.44375,-0.495775,45.70625,99.5,392.61255,0.13175,-78.465,0
1,7.75,0.087875,-14.35825,0.642125,-1.534875,-0.845625,-1.5822,-50.636725,-4.21675,-9.46825,-0.524775,44.966,99.5,393.107125,0.12175,-56.917,2.038125
1,8.25,0.1015,-12.551,0.555575,-2.21525,-0.878025,-2.22515,-39.2454,-5.1732,-9.55275,-0.543825,43.85025,99.5975,392.996125,0.14,-23.9455,7.60725
1,8.75,0.14305,-11.643,0.705625,-4.219,-4.2135,-3.063575,-23.2836,-9.1366,-9.56275,-0.55575,42.709,99.5975,391.7617,0.17625,-5.90705,13.035
1,9.25,0.1705,-11.1375,0.705475,-5.2674,-3.34465,-4.971775,-21.6312,-16.35075,-9.57,-0.54995,37.95575,99.5975,390.398475,0.18175,3.489775,17.05
1,9.75,0.201,-10.3845,0.70475,-6.292225,-4.043,-3.79885,-14.332,-12.622625,-9.55,-0.515225,35.11025,99.5975,389.9108,0.199,5.6055,28.1475
1,10.25,0.242125,-9.60275,0.819725,-6.077775,-4.458,-3.08485,-11.59815,-2.7998,-9.482,-0.45,34.30225,99.5975,387.7345,0.20175,7.735,36.915
1,10.75,0.244,-9.273,0.836825,-4.665625,-3.8244,-2.6895,-16.3396,-1.56095,-9.411,-0.31525,32.05075,99.695,386.4814,0.229,12.391,37.0105
1,11.25,0.1953,-8.77275,0.802525,-5.69045,-4.42725,-2.199,6.148525,-2.587625,-9.31375,-0.281,29.9785,99.595,386.1446,0.24725,3.369175,33.4755
1,11.75,0.233,-8.68925,0.834925,-5.2894,-4.606175,-1.9616,8.610375,-3.107375,-9.211,-0.26575,28.6955,99.595,386.01305,0.29625,-2.00615,33.0325
1,12.25,0.2415,-8.29575,0.97305,-5.2302,-4.2775,-1.54665,3.7982,-3.9847,-9.0955,-0.2405,27.8915,99.595,385.4566,0.289,3.5816,32.3925
1,12.75,0.2927,-8.18175,0.9413,-4.6374,-4.5858,-1.5332,10.498,-2.74315,-8.98275,-0.2005,25.963,99.4975,384.88175,0.27725,5.198075,39.91125
1,13.25,0.2379,-7.6915,0.98205,-4.8645,-4.4093,-1.7522,0.366450000000001,-1.741625,-8.86,-0.191,26.022,99.5975,385.08375,0.2845,12.478,37.7775
1,13.75,0.2824,-7.8725,0.908475,-4.27675,-3.9739,-1.419,-7.019625,-9.711625,-8.7255,-0.18525,25.191,99.5975,384.3125,0.27725,12.00225,34.8725
1,14.25,0.2184,-7.56975,0.75935,-3.972375,-3.534575,-1.0893,-8.96135,-4.5882,-8.581,-0.18525,24.23725,99.5975,383.468,0.27,5.6761,26.3775
1,14.75,0.1882,-7.558,0.8852,-3.557975,-3.396175,-1.19725,-14.5748,-2.632,-8.44825,-0.18525,25.1165,99.5,383.766625,0.27,8.059,26.745
1,15.25,0.2357,-7.70825,0.74245,-3.0495,-3.1436,-1.017025,-24.0164,-5.611625,-8.31825,-0.19,26.38875,99.595,383.3262,0.27725,-2.11145,19.625
1,15.75,0.185375,-7.98425,0.733725,-1.77815,-1.9795,-0.808375,-39.9068,-3.9292,-8.23475,-0.2005,26.13975,99.6,385.111825,0.2845,-15.77875,11.78075
1,16.25,0.1267,-7.9835,0.624675,-1.120325,-1.53075,-1.206,-55.434775,-5.2441,-8.10225,-0.2,26.9595,99.6975,386.073425,0.27,-49.913,4.774325
1,16.75,0.088375,-8.5905,0.541525,-0.585975,-0.5996,-0.40775,-78.54715,-7.25465,-7.98325,-0.20525,28.745,99.6975,386.958375,0.26,-78.0825,0
1,17.25,0.0553,-9.13475,0.5598,0.4616,-0.1404,-0.358825,-94.34575,-8.4067,-7.89975,-0.21,31.016,99.6975,389.109,0.25725,-85.8825,-0.2
1,17.75,0.0451,-9.58775,0.49135,0.491175,-0.2526,-0.5902,-89.83875,-6.033725,-7.8,-0.21,30.848,99.6975,391.3632,0.2445,-87.2275,-0.5
