DOY2,HR2,CO2,H2O,FC,SC,G,H,LE,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_2_1_1,TS_3_1_1,PPFD_IN,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,435.841,7.005,1.395,0.365,-5.309,-26.14,0.805,2.235,0.424,0.768,0.608,0.454,101.054,77,6.16,1.733,8.327,0.179,9.92,9.465,8.68,0.566,-64.738,-2.368,1.386,286.606,342.704
1,0.75,436.209,7.023,1.458,0.365,-5.366,-29.1355,0.54,2.268,0.435,0.8095,0.6245,0.4555,101.063,77.23,6.11,1.665,7.3025,0.1765,9.955,9.465,8.68,0.566,-62.041,-2.368,1.363,286.5395,340.7715
1,1.25,435.627,6.95,1.196,0.434,-5.5345,-29.5095,0,2.1865,0.42,0.7855,0.59,0.4515,101.0705,79.385,5.393,1.542,7.283,0.177,9.95,9.46,8.635,0.563,-62.0685,-2.368,1.4405,283.808,339.8095
1,1.75,436,6.95,1.486,0.752,-5.6985,-26.9225,0.269,2.18,0.3915,0.7835,0.616,0.44,101.075,79.385,5.393,1.542,7.099,0.1805,9.95,9.46,8.635,0.5765,-58.2055,-2.368,1.3745,285.895,340.119
1,2.25,436,6.881,1.19,1.159,-5.8535,-27.7165,0.306,2.173,0.395,0.7655,0.6025,0.4315,101.0555,80.05,5.2075,1.3435,7.041,0.1845,9.9,9.43,8.545,0.5755,-54.8065,-2.368,1.3315,287.0695,339.6605
1,2.75,435,6.946,1.29,1.159,-6.0375,-27.138,0.366,2.172,0.3925,0.768,0.589,0.413,101.027,80.05,5.2075,1.3435,7.3525,0.167,9.9,9.43,8.545,0.5495,-55.22,-2.368,1.381,284.718,339.03
1,3.25,436,6.981,1.336,-0.153,-6.167,-26.8985,0.128,2.193,0.4285,0.8415,0.662,0.4825,101.01,82.65,4.556,1.224,6.942,0.1645,9.825,9.365,8.495,0.527,-50.426,-2.368,1.324,285.2895,338.3985
1,3.75,435.83,7.007,1.596,-0.0105,-6.26,-25.194,-0.264,2.17,0.4035,0.803,0.625,0.433,101.0305,82.65,4.556,1.224,6.617,0.162,9.825,9.365,8.495,0.535,-62.842,-2.368,1.4055,274.309,336.689
1,4.25,435.616,6.844,1.238,0.591,-6.329,-25.6165,0.083,2.1635,0.3805,0.735,0.612,0.434,101.018,83.7,4.2035,1.133,6.291,0.1655,9.79,9.35,8.52,0.513,-61.214,-2.368,1.3545,272.907,335.643
1,4.75,435.683,6.844,1.32,0.2875,-6.379,-27.652,-0.02,2.255,0.4075,0.764,0.633,0.433,101.021,83.7,4.2035,1.133,5.9305,0.1605,9.79,9.35,8.52,0.542,-61.399,-2.368,1.339,276.3755,333.0565
