DOY2,HR2,CO2,H2O,FC,SC,H,SH,LE,SLE,PA,RH,T_SONIC,TA,VPD,LW_IN,LW_OUT,NETRAD,PPFD_IN,SW_IN,SW_OUT,TAU,U_SIGMA,USTAR,W_SIGMA,V_SIGMA,WS
1,0.25,412.9115,3.05055,-0.0217674,-0.0390407,-7.7473087,-0.622513,0.5666175,-0.259189,98.665875,78.1145,-6.37349999999998,-7.07699999999999,0.3328025,235.57,279.06,-56.732,-0.0010760075,-2.9749,-0.51112,-0.058041675,0.13565675,0.083086375,0.012796845,0.08559315,0.78245175
1,0.75,412.9455,2.97779,0.00944846425,-0.0367916,-9.898660475,-0.4214135,-0.068941,-0.161817,98.684825,77.8015,-6.47699999999998,-6.97974999999999,0.33567275,236.6725,280.7225,-54.732,-0.00088097,-3.233075,-0.570195,-0.0707933,0.1190515,0.07265955,0.019379225,0.1056945,0.93919425
1,1.25,412.69975,2.9339825,-0.020025475,-0.0232324,-8.5314635,-0.49442025,-0.039608,-0.253044,98.71265,77.583,-6.28749999999997,-6.88874999999995,0.37396925,240.7025,281.4825,-50.7665,0.0003869475,-3.09315,-0.7991275,-0.0657942,0.13361275,0.06653845,0.013520075,0.0959464,0.89230275
1,1.75,412.585,2.87899,0.00070400000000001,-0.0207321,-8.27007625,-0.7375365,0.04905,-0.45223825,98.6763,77.52125,-6.83449999999998,-7.11174999999997,0.41801,240.2775,281.72,-43.86925,0.0025079,-2.67885,-0.516255,-0.0464309,0.11183,0.071886,0.01061639,0.106232,0.8926285
1,2.25,412.71625,2.8711475,-0.047037,-0.0222392,-8.5126975,-0.4796775,1.570624,0.00528822,98.661575,79.11225,-6.90299999999996,-7.09199999999998,0.297742,241,281.6225,-42.419,0.001652375,-2.5984,-0.3642625,-0.052105475,0.104152,0.080826575,0.0095464775,0.079428475,0.8342155
1,2.75,413.6125,2.84645,0.042643275,-0.0270658,-8.3311819,-0.71146825,-0.969112,-0.13509,98.63285,78.79925,-6.75349999999997,-7.51949999999999,0.26943825,240.1325,281.415,-49.9865,0.00050035,-3.156275,-0.374005,-0.049768275,0.11249525,0.07574415,0.0083490225,0.087903575,0.616416
1,3.25,413.866,2.78365,0.0085092,-0.0122033,-10.6223575,-0.585911,-3.290877,-0.0969842,98.57095,77.761,-7.21974999999999,-7.75924999999996,0.369055,239.6425,280.3625,-44.81225,6.1845e-05,-2.347275,-0.299655,-0.06109435,0.1348915,0.0713385,0.006492075,0.0789008,0.7297125
1,3.75,413.58725,2.8451625,0.21060937,-0.0124352,-13.50766375,-0.423189,-0.282215,-0.0358925,98.606625,78.5,-7.40999999999996,-8.10749999999998,0.37341925,227.8475,274.695,-42.17075,0.0022773,-3.5591,-0.4663625,-0.051255075,0.115735,0.084720025,0.0111555725,0.0667734,0.7735245
1,4.25,414.84,2.83076,0.20282631,-0.0119537,-12.1655065,-0.899188,-1.056796,-0.234223,98.4794,79.74225,-7.48125,-8.65624999999996,0.262128,231.5525,273.745,-45.571,-0.0016101875,-3.24135,-0.53175,-0.0391891,0.1118205,0.06659295,0.008593825,0.09575915,0.6420355
1,4.75,416.432,2.81535,0.132639825,-0.017481475,-6.98762475,-0.60247775,-1.883787,-0.16836105,98.42095,79.21,-7.726,-8.93699999999995,0.229223,234.19,274.6775,-41.97425,0.00050447,-2.26925,-0.425355,-0.0443121,0.117024,0.0717236,0.00524352,0.0602998,0.5140095
1,5.25,415.55725,2.6686275,0.003155275,-0.049199525,-8.029594875,-0.21940025,0.5837801,-0.014186245,98.325725,79.254,-8.12899999999997,-8.964,0.2826175,238.9175,276.845,-40.33475,0.0004956,-2.980375,-0.5402825,-0.0472227,0.15623425,0.07233915,0.010474975,0.0903618,0.53174925
1,5.75,415.262,2.67379,0.038155325,-0.011560375,-8.52791025,-0.28346025,-2.50042185,-0.1613195,98.3654,77.7745,-8.10174999999998,-9.04499999999999,0.2401865,240.315,277.8775,-42.2215,0.0006217585,-2.802475,-0.5668625,-0.04704035,0.1992435,0.062502025,0.008990415,0.06450505,0.549894
1,6.25,415.584,2.68596,-0.032623475,-0.01790035,-8.335139,-0.18605425,-1.79761617,-0.105908675,98.370875,77.40625,-8.47574999999997,-9.13324999999997,0.24844525,240.63,278.0475,-40.25275,-0.0001022975,-2.7529,-0.820015,-0.05417865,0.103536,0.0931189,0.01177785,0.066386175,0.77160475
1,6.75,417.61475,2.49055,-0.03086037,-0.023517375,-7.4118885,-0.64867325,-1.9628415,-0.3727635,98.272175,76.791,-8.77349999999996,-9.36699999999999,0.24107,239.92,277.28,-39.125,0.010984525,-2.5425,-0.72887,-0.0386229,0.104250825,0.080393325,0.0056288975,0.080592475,0.63534675
1,7.25,416.84025,2.60126,-0.079910775,-0.0107899175,-7.8565425,-0.64116625,-1.168668,-0.255466,98.3377,77.92,-8.64899999999996,-9.23624999999997,0.28391675,244.91,279.195,-32.73475,0.79532,-1.320275,-0.064347,-0.0327202,0.127764,0.0837936,0.00993154,0.0873119,0.626351
1,7.75,415.59,2.86159,0.1041263,-0.024626275,-9.504224,-0.454002,-2.181272875,-0.22235275,98.375625,79.369,-8.339,-8.82799999999997,0.33929,243.2325,280.91,-27.83325,11.0365,5.66465,1.012535,-0.04250985,0.0988986,0.095467875,0.0130649,0.07483485,0.978687
1,8.25,416.6465,2.4625,-0.0274381875,-0.02584815,-7.2796265,-0.328976,-0.39790825,-0.317631,98.3801,77.28125,-8.46574999999997,-8.8095,0.319803,245.1525,282.06,-3.822125,33.916,25.175,5.949825,-0.0408821,0.110193,0.0616866,0.010925,0.0901156,0.688974
1,8.75,416.76875,2.575045,-0.207472025,-0.16618325,-7.076364,0.246918,0.674845925,-0.1849065,98.3735,75.42675,-8.01149999999997,-8.54824999999999,0.40871125,242.68,284.7875,6.9705,71.2145,50.75275,16.93025,-0.0516527,0.173687,0.119931,0.0196313,0.0848654,0.808983
1,9.25,417.77725,2.2237075,-0.359001425,-0.1905005,-2.0774052,0.353489,0.87517775,0.01426595,98.36195,73.449,-8.69749999999997,-8.85549999999998,0.44626775,241.3675,285.795,14.099,123.345,82.35175,26.61,-0.04501335,0.207499,0.10060255,0.0252931,0.1400015,1.063525
1,9.75,415.19375,2.5546825,-0.8453868,-0.1552945,-3.37004725,0.3929295,-0.1521,-0.0417144,98.3512,71.767,-7.17074999999997,-7.46599999999995,0.544128,243.3325,289.63,12.7475,145.985,79.9935,24.5545,-0.0673443,0.273157,0.126452,0.0381694,0.186733,1.47716
1,10.25,414.36425,2.4624025,-0.9800311,-0.1683495,-6.46832325,0.393538,6.8466505,-0.31501,98.3686,71.132,-6.60874999999998,-7.26499999999999,0.693801,250.5,292.11,21.61625,170.73,116.0475,32.03325,-0.054329,0.270129,0.137594,0.0400774,0.254196,1.1395
1,10.75,413.189,2.82202,-0.8839141075,-0.12748825,-1.357209,0.419735,2.597838,-0.405779,98.35245,67.8345,-5.49649999999999,-6.87949999999998,0.538851,256.49,299.75,22.896,210.085,101.45,35.442,-0.079498625,0.286629,0.13759725,0.04050405,0.22531025,1.1457
1,11.25,412.2445,2.55332,-1.5887551,-0.11880975,2.7644045,0.244164,6.634256,-0.205061,98.472375,65.759,-5.76349999999997,-7.06099999999998,0.816969,248.93,299.0175,26.399,244.08,143.165,51.69075,-0.08265305,0.35457225,0.14009325,0.043670775,0.308663,1.3828225
1,11.75,411.59425,2.57649,-1.5597627,-0.090010575,1.687852475,0.22508225,7.133969175,-0.04110015,98.3792,64.6265,-5.40725000000001,-6.81099999999998,0.899071,250.9225,300.87,28.89625,252.985,122.64,56.50125,-0.10228475,0.26943775,0.15041475,0.0460288,0.371497,1.5670375
1,12.25,410.9945,2.627915,-1.44017785,-0.0856707,-3.71297475,-0.06049895,6.980060025,-0.0030942675,98.35195,62.39,-5.09999999999998,-6.52599999999998,0.986573,253.0925,301.355,29.0265,215.9325,111.0175,54.38475,-0.096931575,0.39134,0.1502975,0.045591375,0.28073975,1.5694175
1,12.75,411.63425,2.76729,-1.7642897,-0.043857225,-1.0731695,0.0138058325,7.678815,0.105766475,98.341975,59.841,-4.96099999999999,-5.55599999999998,0.965865,258.5775,302.525,32.08025,209.77,109.2525,50.89875,-0.1053189,0.36413,0.14511675,0.04563895,0.3507625,1.4778075
1,13.25,411.499,3.1825775,-1.622156585,-0.0362097,0.0370994,0.1382372,8.5393591,-0.040023125,98.341,58.43925,-4.45499999999998,-5.35874999999999,0.944483,259.26,302.8975,26.22675,204.95,96.9665,23.6685,-0.103912,0.38911,0.172492,0.0449556,0.366015,1.53677
