DOY2,HR2,CH4,FCH4,SCH4,CO2,CO2_SIGMA,FC,SC,H2O,H,SH,LE,SLE,PA,RH,TA,T_SONIC,T_SONIC_SIGMA,VPD,SW_IN,TAU,U_SIGMA,USTAR,V_SIGMA,W_SIGMA,WS
1,0.25,2830.53464415,159.952436025,25.4,512.127075155,0.33201733295,21.178254536,4.39317697694999,25.77950482,17.770107666475,2.2541300134,120.871353372498,2.62670068794998,102.44170024,100,21.9083196025,25.015811725,0.8905633618,10.08901716,0.03675,-0.000167550000000001,0.6805427603,0.483992194374998,0.6805427603,0.491356305,1.654706121675
1,0.75,2971.188147125,110.16035825,36.7825000000001,546.5720203,0.3602328965,21.5811950647498,2.72599223024999,25.020153008,7.26736953564999,1.2410099781,81.2924042394998,3.34072618724994,102.439304275,100,22.02103698,24.342134275,0.6433717677,11.693375711,0,-0.0001311,0.56521388325,0.34949210255,0.56521388325,0.50107886395,1.77859290765
1,1.25,2796.11526995,100.94411045,25.225,557.995338849999,0.4086626374,15.167688859,3.309029272,24.931999662,5.9147664617,1.0151975699,86.2797286380001,7.93382273017499,102.4264611775,100,22.23841912,24.70653001,0.7822531114,10.5636587748,0.015,-0.000445375,0.8271834402,0.800939373999999,0.8271834402,0.5924855176,1.8120755132
1,1.75,2871.69341975,106.8399595,11.3,577.340673524998,0.410204874875,12.75721244375,5.3173059986,25.556615376,16.94280925625,1.281578462,76.6176610869999,8.06559012605,102.4155111375,100,20.91061725,24.24096265,1.066001101,10.1276248652,0,-0.000374375,0.696865044375,0.351260758125,0.696865044375,0.499839016625,1.814964089
1,2.25,2641.195194125,174.385254125,10.35675,597.55138718,0.2608373318,11.2573934692,3.34376972760001,25.823925604,8.4849446286,1.2283405136,127.41432868,1.908548797125,102.4037151625,100,20.82819474,22.71338288,0.5537056073,5.91220020459997,0.040125,-0.0002717,0.579090267,0.3391482071,0.579090267,0.4769316636,1.5896952076
1,2.75,2796.35471475,77.835,10.5715,548.516220372499,0.3085736301,18.6495121212499,4.5346389975,25.8852553375,9.681887129025,1.2366023721,85.1624616675,3.13981573049999,102.387571165,100,20.726265395,22.5498774575,0.60762527545,10.986788382,0.057625,-0.000231025000000001,0.572121519275,0.327969832325,0.572121519275,0.483128998075,1.508684557375
1,3.25,2905.635859,92.54,18.27,653.2140522175,0.356421240399999,28.1258225719998,5.4307234333,25.271346018,10.288089279,1.674100296625,134.10615823,5.9623012922,102.36702723,100,20.321483795,22.2223193175,0.756158549575,13.254682726,0.217625,-0.00018885,0.695769537825,0.3938495968,0.695769537825,0.52613512565,1.59992675835
1,3.75,2647.08286775,389.834858324999,27.365,724.117070475,0.27718736,11.4457777675,6.15617745429999,25.57246415275,13.18651112435,1.87865270345,158.18129618875,8.1708047814,102.37400547,100,20.300482585,22.33722713,0.764159603100001,9.85303088354999,0.287875,-0.000141,0.732838272825,0.434759765425,0.732838272825,0.502761939325,1.599572091
1,4.25,2771.84861525,80.8,9.96875,703.009175205,0.156857591,10.7084022311,4.90323457637501,25.5683609375,12.10726889345,1.3054639052,131.8708228,7.535317352,102.38451204,100,20.6327263,21.942170325,0.57813453745,8.5214460351,0.407125,-0.0002683,0.5576462682,0.32624468685,0.5576462682,0.4766519936,1.63169449115
1,4.75,2884.37309555,378.705278399999,14.115,682.71052019,0.325404716625,31.0187375102501,1.2511254989,25.7321912135,7.96931608,1.932036032075,59.9840601605,6.5962040415,102.4211312675,100,20.6687306675,23.57839078,0.428602589,9.99043716590001,0.4845,-0.000377125,0.546493582825,0.29699010515,0.546493582825,0.527382920875,1.7234554083
1,5.25,3150.84208115,108.0910991,19.74,603.93326923,0.27036355575,12.157959049,1.337429608125,25.435517628,13.16428137395,1.96377802585,127.32516402,11.267003655175,102.46132936,100,19.6953775525,22.0384580925,0.530991337,10.1844763624,0.25375,-0.000277175000000001,0.5947846759,0.33241719005,0.5947846759,0.523599179325,1.650654544225
1,5.75,3382.335712725,162.7235111,28.5975,622.373185517499,0.14542783875,18.25473333275,3.017093276375,25.714941678,10.237940650575,1.101116331225,71.8370540255,9.125273316525,102.48766695,100,20.485240065,25.593421685,1.168912948025,8.37735086950001,0.300625,-0.000361275000000001,0.618604704425,0.3336710781,0.618604704425,0.484424558425,1.730001240825
